Date,Open,High,Low,Close,Volume,OpenInt
2012-07-27,15.333,15.377,15.303,15.377,1120106,0
2012-07-30,15.369,15.413,15.363,15.394,203236,0
2012-07-31,15.394,15.486,15.394,15.437,55918,0
2012-08-01,15.469,15.795,15.469,15.795,83895,0
2012-08-02,15.733,15.855,15.394,15.394,70928,0
2012-08-03,15.578,15.824,15.518,15.671,66221,0
2012-08-06,15.578,15.979,15.493,15.648,43340,0
2012-08-07,15.671,15.843,15.578,15.769,44004,0
2012-08-08,15.824,15.824,15.677,15.795,48215,0
2012-08-09,15.733,15.812,15.733,15.795,31012,0
2012-08-10,15.824,15.824,15.506,15.727,66557,0
2012-08-13,15.733,15.788,15.64,15.759,32245,0
2012-08-14,15.743,15.824,15.671,15.759,50779,0
2012-08-15,15.843,15.855,15.769,15.855,28784,0
2012-08-16,15.855,15.855,15.733,15.837,68560,0
2012-08-17,15.848,15.916,15.795,15.885,19466,0
2012-08-20,15.916,15.916,15.764,15.812,34743,0
2012-08-21,15.824,15.824,15.549,15.769,63257,0
2012-08-22,15.965,15.979,15.812,15.812,22798,0
2012-08-23,15.812,15.812,15.671,15.684,29290,0
2012-08-24,15.695,15.874,15.652,15.764,31417,0
2012-08-27,15.855,15.855,15.64,15.671,29822,0
2012-08-28,15.781,15.781,15.303,15.377,145026,0
2012-08-29,15.369,15.406,15.363,15.406,149307,0
2012-08-30,15.486,15.578,15.469,15.574,29680,0
2012-08-31,15.69,15.72,15.506,15.584,35406,0
2012-09-04,15.64,15.648,15.518,15.584,23251,0
2012-09-05,15.671,15.764,15.56,15.615,37430,0
2012-09-06,15.363,15.456,15.363,15.363,313803,0
2012-09-07,15.733,15.733,15.333,15.363,153817,0
2012-09-10,15.426,15.456,15.382,15.413,66531,0
2012-09-11,15.377,15.486,15.377,15.479,49287,0
2012-09-12,15.382,15.413,15.363,15.387,58404,0
2012-09-13,15.42,15.542,15.306,15.363,90734,0
2012-09-14,15.382,15.426,15.271,15.426,52754,0
2012-09-17,15.426,15.456,15.363,15.426,29936,0
2012-09-18,15.518,15.609,15.363,15.549,36679,0
2012-09-19,15.549,15.578,15.394,15.479,47289,0
2012-09-20,15.51,15.549,15.426,15.537,33252,0
2012-09-21,15.578,15.578,15.377,15.406,73931,0
2012-09-24,15.451,15.456,15.303,15.369,52289,0
2012-09-25,15.42,15.42,15.303,15.322,50121,0
2012-09-26,15.333,15.346,15.328,15.333,11929,0
2012-09-27,15.377,15.401,15.118,15.203,108012,0
2012-09-28,15.211,15.333,15.062,15.167,62294,0
2012-10-01,15.211,15.253,14.994,15.123,101344,0
