Date,Open,High,Low,Close,Volume,OpenInt
1990-03-26,3.0453,3.0946,3.003,3.003,36801,0
1990-03-27,3.003,3.0946,3.003,3.003,18683,0
1990-03-28,3.0946,3.0946,3.003,3.0453,39912,0
1990-03-29,3.0946,3.0946,3.0453,3.0946,27458,0
1990-03-30,3.003,3.0946,3.003,3.0453,217108,0
1990-04-02,3.003,3.2643,3.003,3.2643,405916,0
1990-04-03,3.3986,3.667,3.3561,3.5751,884013,0
1990-04-04,3.5328,3.667,3.5328,3.667,487439,0
1990-04-05,3.6174,3.667,3.5751,3.5751,133321,0
1990-04-06,3.667,3.667,3.5751,3.5751,45005,0
1990-04-09,3.667,3.667,3.4904,3.5751,266081,0
1990-04-10,3.4904,3.5751,3.4904,3.4904,402236,0
1990-04-11,3.4904,3.5328,3.3986,3.4904,266365,0
1990-04-12,3.4904,3.5751,3.3986,3.5751,423748,0
1990-04-16,3.5751,3.667,3.5328,3.6174,305426,0
1990-04-17,3.5751,3.6174,3.5328,3.6174,538106,0
1990-04-18,3.5751,3.7517,3.5751,3.667,505557,0
1990-04-19,3.8013,3.8013,3.667,3.8013,252778,0
1990-04-20,3.8013,3.8013,3.667,3.667,82091,0
1990-04-23,3.7517,3.7517,3.6174,3.6174,99636,0
1990-04-24,3.6174,3.7093,3.6174,3.667,92849,0
1990-04-25,3.6174,3.8013,3.6174,3.7517,689827,0
1990-04-26,3.7517,3.8437,3.7093,3.8437,593020,0
1990-04-27,3.8437,3.8437,3.7517,3.8013,150592,0
1990-04-30,3.7517,3.8013,3.7093,3.7093,105583,0
1990-05-01,3.7093,3.7517,3.667,3.7093,69639,0
1990-05-02,3.6174,3.7517,3.6174,3.7517,349584,0
1990-05-03,3.7093,3.7517,3.7093,3.7517,140968,0
1990-05-04,3.7517,3.7517,3.7093,3.7093,31419,0
1990-05-07,3.7517,3.7517,3.7093,3.7093,67370,0
1990-05-08,3.7517,3.7517,3.7093,3.7517,28307,0
1990-05-09,3.7517,3.8013,3.7093,3.8013,731156,0
1990-05-10,3.8013,3.8437,3.7093,3.8437,108131,0
1990-05-11,3.8437,3.886,3.8013,3.886,1195948,0
1990-05-14,3.8013,3.9711,3.8013,3.886,350152,0
1990-05-15,3.9711,3.9711,3.8437,3.9284,1441933,0
1990-05-16,3.9711,3.9711,3.886,3.9711,37082,0
1990-05-17,3.886,4.0626,3.886,4.0626,672564,0
1990-05-18,3.9711,4.0626,3.9711,4.0626,41329,0
1990-05-21,4.0202,4.0626,4.0202,4.0202,55194,0
1990-05-22,4.0202,4.0626,4.0202,4.0626,210317,0
1990-05-23,4.0626,4.0626,3.9711,4.0202,70482,0
1990-05-24,4.0626,4.0626,4.0202,4.0202,89734,0
1990-05-25,3.9711,4.0202,3.9284,3.9284,26041,0
1990-05-29,3.9284,4.0202,3.9284,4.0202,55482,0
1990-05-30,4.0202,4.0202,3.9284,3.9284,51521,0
1990-05-31,3.9284,4.0202,3.9284,4.0202,33119,0
1990-06-01,3.9711,4.0202,3.9284,3.9711,52084,0
1990-06-04,4.0202,4.0202,3.9711,4.0202,133041,0
1990-06-05,4.0202,4.0626,3.9711,3.9711,803621,0
1990-06-06,4.0202,4.0202,3.9284,3.9284,244852,0
1990-06-07,3.9284,3.9711,3.8437,3.9284,451773,0
