Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,31.359,32.058,31.32,31.93,1899555,0
2005-02-28,31.969,32.073,31.65,31.785,2541063,0
2005-03-01,31.785,32.258,31.665,32.242,2982380,0
2005-03-02,31.952,32.05,31.721,31.769,2344119,0
2005-03-03,31.906,32.041,31.657,32.009,2492638,0
2005-03-04,32.066,32.539,32.066,32.427,2705057,0
2005-03-07,32.386,32.808,32.298,32.771,1932502,0
2005-03-08,32.771,32.796,32.435,32.658,2208827,0
2005-03-09,32.491,32.491,31.888,31.969,3168094,0
2005-03-10,31.969,32.208,31.713,32.179,2495136,0
2005-03-11,32.05,32.29,31.922,31.978,2026358,0
2005-03-14,31.969,32.635,31.93,32.628,2203835,0
2005-03-15,32.689,33.155,32.658,32.689,3391492,0
2005-03-16,32.707,33.011,31.914,32.208,2868178,0
2005-03-17,32.689,32.85,32.371,32.45,3051145,0
2005-03-18,32.61,32.738,32.009,32.337,5444438,0
2005-03-21,32.337,32.45,32.05,32.089,2094506,0
2005-03-22,32.155,32.362,31.513,31.571,2112975,0
2005-03-23,31.571,31.571,31.008,31.456,3117046,0
2005-03-24,31.487,31.946,31.45,31.641,1879213,0
2005-03-28,31.841,31.858,31.592,31.624,2185738,0
2005-03-29,31.65,31.65,31.074,31.151,2565773,0
2005-03-30,31.257,31.85,31.223,31.85,2027108,0
2005-03-31,31.938,32.41,31.866,32.17,2106986,0
2005-04-01,32.53,32.651,31.88,32.155,1942363,0
2005-04-04,32.155,32.403,31.888,32.386,2340127,0
2005-04-05,32.386,32.586,32.258,32.33,1963458,0
2005-04-06,32.506,32.57,32.258,32.298,1178172,0
2005-04-07,32.41,32.689,32.345,32.427,1532873,0
2005-04-08,32.546,32.57,32.226,32.315,1230844,0
2005-04-11,32.337,32.89,32.307,32.796,1500925,0
2005-04-12,32.808,33.204,32.482,33.091,2337002,0
2005-04-13,32.996,33.291,32.73,32.859,1735935,0
2005-04-14,32.859,32.924,32.435,32.435,1640708,0
2005-04-15,32.441,32.61,32.001,32.001,2315663,0
2005-04-18,32.001,32.594,31.858,32.482,2435977,0
2005-04-19,32.482,32.963,32.33,32.808,1807326,0
2005-04-20,32.628,33.004,32.465,32.714,3014078,0
2005-04-21,32.931,33.276,32.835,33.276,3259447,0
2005-04-22,33.276,33.548,33.091,33.306,1954348,0
2005-04-25,33.442,33.628,33.172,33.484,1757403,0
2005-04-26,33.186,33.323,32.771,32.796,2005264,0
2005-04-27,32.45,33.004,32.274,32.859,2331760,0
2005-04-28,32.859,33.051,32.345,32.603,2462561,0
2005-04-29,32.603,32.73,32.208,32.707,3297514,0
2005-05-02,32.707,33.091,32.578,32.789,2657755,0
2005-05-03,32.586,32.931,32.45,32.658,2242402,0
2005-05-04,32.658,32.85,32.371,32.658,2492638,0
2005-05-05,32.57,32.714,32.155,32.386,2074410,0
2005-05-06,32.371,32.523,32.208,32.354,2045207,0
2005-05-09,32.41,32.562,31.969,32.53,2146175,0
2005-05-10,32.371,32.85,32.249,32.667,2060929,0
2005-05-11,32.698,33.027,32.57,33.011,1463234,0
2005-05-12,32.996,33.051,32.594,32.635,1147972,0
2005-05-13,32.796,32.817,31.377,32.073,2446837,0
2005-05-16,32.13,32.29,31.751,32.226,1915908,0
2005-05-17,32.073,32.33,31.994,32.29,1722959,0
2005-05-18,32.474,32.499,32.026,32.137,2234788,0
2005-05-19,32.137,32.321,31.529,32.29,2347987,0
2005-05-20,32.435,32.45,32.106,32.395,2193478,0
2005-05-23,32.45,32.491,32.217,32.378,1499548,0
2005-05-24,32.45,32.628,32.179,32.435,1685390,0
2005-05-25,32.482,32.482,32.066,32.298,1524014,0
2005-05-26,32.465,32.474,32.29,32.29,1098923,0
2005-05-27,32.29,32.714,32.226,32.714,1528384,0
2005-05-31,32.763,32.826,32.29,32.57,2392792,0
2005-06-01,32.378,32.899,32.29,32.747,2593609,0
2005-06-02,32.57,32.689,32.499,32.586,1146724,0
2005-06-03,32.667,32.85,32.321,32.619,1248315,0
2005-06-06,32.578,32.722,32.474,32.628,837327,0
2005-06-07,32.747,33.146,32.619,32.682,1475838,0
2005-06-08,32.85,33.099,32.714,32.938,1325320,0
2005-06-09,32.474,32.771,32.458,32.667,1792847,0
2005-06-10,32.667,32.917,32.539,32.843,1429910,0
2005-06-13,32.763,32.996,32.53,32.924,988845,0
2005-06-14,33.195,33.195,32.843,33.044,1214867,0
2005-06-15,33.083,33.083,32.307,32.658,1941865,0
2005-06-16,32.843,32.843,32.41,32.763,1228721,0
2005-06-17,33.083,33.244,32.756,33.236,2490765,0
2005-06-20,33.058,33.227,32.917,33.067,1488693,0
2005-06-21,33.019,33.204,32.78,32.883,1307476,0
2005-06-22,33.058,33.404,33.004,33.306,1501175,0
2005-06-23,33.306,33.525,33.22,33.468,1378489,0
2005-06-24,33.492,33.5,33.133,33.172,1997901,0
2005-06-27,33.083,33.587,32.996,33.492,1741053,0
2005-06-28,33.613,34.014,33.492,33.948,1600772,0
2005-06-29,34.051,34.164,33.732,33.973,1404071,0
2005-06-30,33.973,34.229,33.676,33.7,1513654,0
2005-07-01,33.845,34.253,33.812,34.204,1086319,0
2005-07-05,34.204,34.693,34.051,34.445,1757152,0
2005-07-06,34.414,34.509,33.78,33.795,1725076,0
2005-07-07,33.693,34.278,33.517,34.204,2089889,0
2005-07-08,34.357,34.806,34.213,34.726,1541610,0
2005-07-11,34.87,35.182,34.701,35.175,1714841,0
2005-07-12,35.141,35.278,34.935,35.102,1214120,0
2005-07-13,35.095,35.359,35.055,35.255,1179295,0
2005-07-14,35.527,35.727,34.798,35.118,1888949,0
2005-07-15,35.03,35.255,34.814,34.822,1373250,0
2005-07-18,34.911,35.102,34.814,34.885,1079575,0
2005-07-19,34.966,35.022,34.662,34.734,1344290,0
2005-07-20,34.614,35.182,34.461,35.141,1387352,0
2005-07-21,35.095,35.248,34.213,34.27,2586492,0
2005-07-22,34.067,34.701,33.94,34.63,1561459,0
2005-07-25,34.573,34.783,34.309,34.349,1176428,0
2005-07-26,34.293,34.445,34.142,34.245,1300237,0
2005-07-27,34.324,34.543,34.067,34.204,1596650,0
2005-07-28,34.287,34.614,34.213,34.582,1104038,0
2005-07-29,34.534,34.646,34.381,34.549,1375244,0
2005-08-01,34.621,34.621,33.988,34.051,1229848,0
2005-08-02,34.213,34.862,34.173,34.693,1211625,0
2005-08-03,34.693,35.214,34.534,34.829,1848886,0
2005-08-04,34.614,34.775,34.332,34.341,1079081,0
2005-08-05,34.126,34.213,33.468,33.732,2044830,0
2005-08-08,33.685,33.907,33.019,33.172,1673408,0
2005-08-09,33.227,33.578,33.227,33.492,1333808,0
2005-08-10,33.685,33.997,33.227,33.236,1845519,0
2005-08-11,33.291,33.532,33.083,33.244,1568069,0
2005-08-12,33.091,33.434,33.058,33.372,1404322,0
2005-08-15,33.236,33.557,33.195,33.508,1306723,0
2005-08-16,33.451,33.628,32.978,33.004,1405196,0
2005-08-17,32.789,32.89,32.29,32.635,1928759,0
2005-08-18,32.651,32.931,32.45,32.771,1117769,0
2005-08-19,32.85,33.004,32.747,32.771,1118264,0
2005-08-22,32.963,34.557,32.85,33.981,6922398,0
2005-08-23,34.133,34.902,34.133,34.775,3096202,0
2005-08-24,34.565,34.982,34.262,34.301,2368832,0
2005-08-25,34.534,34.822,34.452,34.646,1259297,0
2005-08-26,34.509,34.783,34.398,34.549,1278643,0
2005-08-29,34.253,34.877,34.187,34.854,939793,0
2005-08-30,34.693,34.902,34.278,34.573,1716839,0
2005-08-31,34.614,34.671,34.287,34.526,2654388,0
2005-09-01,34.573,35.414,34.526,35.303,2694448,0
2005-09-02,35.255,35.615,35.24,35.342,1283760,0
2005-09-06,35.543,36.031,35.543,36.022,1562206,0
2005-09-07,36.128,36.151,35.784,36.08,1886330,0
2005-09-08,35.937,36.104,35.734,35.792,1662175,0
2005-09-09,35.871,36.738,35.816,36.697,2042336,0
2005-09-12,36.937,37.083,36.255,36.361,3245094,0
2005-09-13,36.594,36.648,36.329,36.449,1772004,0
2005-09-14,36.619,36.833,36.433,36.619,1681642,0
2005-09-15,36.8,36.937,36.586,36.688,1962584,0
2005-09-16,36.881,36.913,36.458,36.857,3347936,0
2005-09-19,36.777,37.195,36.586,36.746,1432905,0
2005-09-20,36.473,36.937,36.255,36.399,1611376,0
2005-09-21,36.399,36.458,35.414,36.047,2407770,0
2005-09-22,35.894,35.976,35.584,35.76,2016375,0
2005-09-23,35.861,36.337,35.775,36.24,1882836,0
2005-09-26,36.217,36.49,35.856,36.065,1681269,0
2005-09-27,36.217,36.424,35.856,36.329,1696868,0
2005-09-28,36.777,37.692,36.73,37.497,4145953,0
2005-09-29,37.22,38.54,37.22,38.178,3419952,0
