Date,Open,High,Low,Close,Volume,OpenInt
2007-11-08,6.1979,6.5445,6.1857,6.464,1555150,0
2007-11-09,6.5877,6.6002,6.3713,6.5445,336854,0
2007-11-12,6.5877,6.6496,6.3713,6.6124,378606,0
2007-11-13,6.6309,6.7981,6.5568,6.7981,316875,0
2007-11-14,6.8043,7.0518,6.7734,6.9901,330075,0
2007-11-15,6.9586,7.4226,6.835,7.2187,437322,0
2007-11-16,7.2992,7.3425,7.1135,7.138,240420,0
2007-11-19,6.9586,7.0146,6.6061,6.8043,246259,0
2007-11-20,6.8291,7.0518,6.7238,6.8969,108512,0
2007-11-21,6.928,6.928,6.6002,6.6496,128856,0
2007-11-23,6.5877,6.6496,6.5568,6.6372,74600,0
2007-11-26,6.5568,6.6804,6.464,6.5259,242863,0
2007-11-27,6.5259,6.5877,6.464,6.5568,138608,0
2007-11-28,6.6496,6.6745,6.464,6.6496,165329,0
2007-11-29,6.6804,6.6804,6.5877,6.5877,76154,0
2007-11-30,6.6372,6.6745,6.495,6.6061,65131,0
2007-12-03,6.5629,6.5629,6.47,6.495,62120,0
2007-12-04,6.495,6.5445,6.47,6.5384,53953,0
2007-12-05,6.47,6.5692,6.47,6.4888,56396,0
2007-12-06,6.495,6.5504,6.495,6.5073,18643,0
2007-12-07,6.4765,6.5199,6.464,6.4888,59072,0
2007-12-10,6.4765,6.5877,6.4765,6.5877,107278,0
2007-12-11,6.6188,6.6188,6.495,6.5384,73407,0
2007-12-12,6.5259,6.5692,6.5073,6.5568,60502,0
2007-12-13,6.495,6.5568,6.4022,6.4578,163045,0
2007-12-14,6.495,6.5568,6.4207,6.4578,62323,0
2007-12-17,6.4515,6.47,6.427,6.427,43791,0
2007-12-18,6.3713,6.4022,5.8453,6.1732,680767,0
2007-12-19,6.1857,6.2042,6.0433,6.1857,259751,0
2007-12-20,6.1857,6.1857,6.0619,6.1608,227088,0
2007-12-21,6.1857,6.464,6.124,6.464,1771239,0
2007-12-24,6.4578,6.7115,6.3713,6.7053,193976,0
2007-12-26,6.5692,6.7981,6.4888,6.7424,177858,0
2007-12-27,6.6929,6.8043,6.3527,6.4888,201997,0
2007-12-28,6.3773,6.6124,6.3403,6.3713,170755,0
2007-12-31,6.3279,6.7053,6.3279,6.6929,504675,0
2008-01-02,6.6619,6.6619,6.4022,6.464,57546,0
2008-01-03,6.3837,6.427,6.1857,6.2353,259916,0
2008-01-04,6.3341,6.3341,6.2103,6.2599,140766,0
2008-01-07,6.3032,6.3651,6.1857,6.2599,90728,0
2008-01-08,6.3837,6.464,6.1549,6.2042,79801,0
2008-01-09,6.2165,6.3713,6.2042,6.3096,101910,0
2008-01-10,6.2539,6.3651,6.124,6.2722,242835,0
2008-01-11,6.1979,6.297,6.124,6.2476,103821,0
2008-01-14,6.3032,6.3837,6.1857,6.3341,120267,0
2008-01-15,6.2353,6.3219,6.124,6.3155,106627,0
2008-01-16,6.2599,6.2786,6.1919,6.2722,112362,0
2008-01-17,6.2476,6.3096,6.1857,6.266,199700,0
2008-01-18,6.266,6.266,6.1857,6.2042,134482,0
2008-01-22,6.1857,6.3096,6.0619,6.1979,210926,0
2008-01-23,6.1549,6.427,6.0619,6.3713,251732,0
2008-01-24,6.3403,6.3403,6.1857,6.3032,93130,0
2008-01-25,6.297,6.3403,6.1549,6.3403,152290,0
2008-01-28,6.3341,6.464,6.2911,6.464,185562,0
2008-01-29,6.3837,6.5629,6.3403,6.5321,130083,0
2008-01-30,6.47,6.4888,6.2476,6.4207,107078,0
2008-01-31,6.2722,6.5013,6.2415,6.5013,194476,0
2008-02-01,6.5135,6.5135,6.3527,6.464,73470,0
2008-02-04,6.4391,6.5073,6.3713,6.4207,81179,0
2008-02-05,6.3403,6.47,6.3279,6.3465,41616,0
2008-02-06,6.427,6.4515,6.4022,6.4391,74497,0
2008-02-07,6.3899,6.5135,6.3403,6.5013,96149,0
2008-02-08,6.4765,6.5259,6.4022,6.47,53032,0
2008-02-11,6.4391,6.4456,6.3096,6.3096,31432,0
2008-02-12,6.3279,6.427,6.3279,6.427,59225,0
2008-02-13,6.4022,6.5568,6.4022,6.495,118583,0
2008-02-14,6.433,6.4578,6.3219,6.4022,200996,0
2008-02-15,6.3651,6.47,6.3651,6.4207,38818,0
2008-02-19,6.3899,6.4825,6.3899,6.4022,29367,0
2008-02-20,6.3713,6.427,6.2722,6.2911,140783,0
2008-02-21,6.3465,6.427,6.3032,6.3403,42639,0
2008-02-22,6.2846,6.3899,6.266,6.3651,96639,0
2008-02-25,6.3588,6.427,6.3096,6.427,44107,0
2008-02-26,6.4391,6.4888,6.433,6.4888,108492,0
2008-02-27,6.4022,6.4888,6.3527,6.4515,84421,0
2008-02-28,6.3899,6.4888,6.2539,6.3957,99578,0
2008-02-29,6.3155,6.3465,6.2722,6.3341,70501,0
2008-03-03,6.3096,6.3588,6.223,6.3219,80156,0
2008-03-04,6.2539,6.4207,6.2288,6.4207,93841,0
2008-03-05,6.4145,6.4145,6.2539,6.2911,63106,0
2008-03-06,6.2539,6.297,6.1549,6.297,102419,0
2008-03-07,6.2165,6.2539,6.1672,6.2476,46732,0
2008-03-10,6.297,6.3279,6.0805,6.2599,94167,0
2008-03-11,6.3219,6.3713,6.1979,6.3713,147458,0
2008-03-12,6.3713,6.4022,6.2415,6.3588,126095,0
2008-03-13,6.2722,6.4086,6.2722,6.3899,63779,0
2008-03-14,6.4086,6.4086,6.1979,6.3219,98656,0
2008-03-17,6.2539,6.3032,6.0495,6.1857,74865,0
2008-03-18,6.3032,6.3899,6.1857,6.3899,348994,0
2008-03-19,6.2353,6.433,6.2288,6.3341,96285,0
2008-03-20,6.4888,6.4888,6.3155,6.3713,374126,0
2008-03-24,6.3527,6.47,6.3403,6.3899,97098,0
2008-03-25,6.4022,6.427,6.3341,6.4145,27894,0
2008-03-26,6.3713,6.4145,6.3096,6.4022,144117,0
2008-03-27,6.3403,6.3713,6.1979,6.3527,118040,0
2008-03-28,6.2103,6.3588,6.2103,6.2415,63775,0
2008-03-31,6.2476,6.3588,6.2476,6.3403,58668,0
2008-04-01,6.3403,6.433,6.3403,6.433,143790,0
2008-04-02,6.3651,6.4391,6.3403,6.4207,76653,0
2008-04-03,6.3651,6.4825,6.3155,6.4456,59379,0
2008-04-04,6.4825,6.4825,6.3651,6.4022,33591,0
2008-04-07,6.3465,6.4456,6.3465,6.433,33978,0
2008-04-08,6.3713,6.427,6.3651,6.4022,22718,0
2008-04-09,6.3713,6.4022,6.3713,6.4022,45558,0
2008-04-10,6.4145,6.433,6.3713,6.4207,81903,0
2008-04-11,6.3713,6.427,6.3588,6.3899,57473,0
2008-04-14,6.3773,6.3773,6.3155,6.3403,65885,0
2008-04-15,6.3465,6.3465,6.1979,6.2476,59656,0
2008-04-16,6.297,6.4022,6.297,6.4022,36142,0
2008-04-17,6.2353,6.4145,6.2353,6.3899,61622,0
2008-04-18,6.3957,6.433,6.3465,6.433,81323,0
2008-04-21,6.3713,6.4207,6.3219,6.4145,25563,0
2008-04-22,6.3957,6.433,6.3713,6.433,46563,0
2008-04-23,6.427,6.427,6.3341,6.3713,38383,0
2008-04-24,6.3465,6.427,6.3341,6.427,70513,0
2008-04-25,6.427,6.427,6.3279,6.3651,51784,0
2008-04-28,6.427,6.464,6.427,6.4456,119214,0
2008-04-29,6.4515,6.464,6.4022,6.4391,60515,0
2008-04-30,6.4456,6.4578,6.433,6.4515,39896,0
2008-05-01,6.4515,6.464,6.433,6.464,109350,0
2008-05-02,6.4578,6.4765,6.4022,6.4022,74923,0
2008-05-05,6.427,6.47,6.4207,6.47,53275,0
