Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,10.398,10.436,10.346,10.436,3435,0
2005-02-28,10.552,10.603,10.361,10.406,11813,0
2005-03-01,10.458,10.626,10.422,10.626,10579,0
2005-03-02,10.573,10.573,10.398,10.552,11540,0
2005-03-03,10.552,10.552,10.458,10.458,14289,0
2005-03-04,10.436,10.495,10.368,10.444,13468,0
2005-03-07,10.346,10.383,10.25,10.312,16624,0
2005-03-08,10.265,10.265,10.179,10.179,17316,0
2005-03-09,10.11,10.124,10.055,10.084,15522,0
2005-03-10,10.084,10.084,10.008,10.055,4396,0
2005-03-11,10.022,10.055,9.961,9.961,9211,0
2005-03-14,9.917,10.047,9.904,9.985,18828,0
2005-03-15,10.03,10.03,9.936,10.015,14705,0
2005-03-16,9.985,9.985,9.936,9.961,2063,0
2005-03-17,9.91,9.91,9.91,9.91,824,0
2005-03-18,9.917,9.936,9.856,9.856,16492,0
2005-03-21,9.897,9.917,9.872,9.876,5774,0
2005-03-22,9.876,10.097,9.876,9.961,13188,0
2005-03-23,9.891,9.891,9.856,9.856,3166,0
2005-03-24,9.85,9.872,9.829,9.872,17727,0
2005-03-28,9.876,10.117,9.872,9.985,16081,0
2005-03-29,10.062,10.129,10.062,10.084,1925,0
2005-03-31,10.148,10.218,10.148,10.187,3988,0
2005-04-01,10.368,10.392,10.368,10.392,3851,0
2005-04-04,10.33,10.33,10.234,10.272,4396,0
2005-04-05,10.226,10.226,9.829,9.829,34489,0
2005-04-06,9.891,10.008,9.891,10.008,18828,0
2005-04-07,10.038,10.084,10.038,10.047,5358,0
2005-04-08,10.068,10.135,10.047,10.117,8790,0
2005-04-11,10.11,10.226,10.062,10.187,5911,0
2005-04-13,10.117,10.117,9.961,9.961,4396,0
2005-04-14,9.961,9.961,9.922,9.953,15668,0
2005-04-15,9.904,10.047,9.904,10.047,9338,0
2005-04-18,10.055,10.055,10.038,10.055,3851,0
2005-04-19,10.015,10.047,9.961,10.047,4947,0
2005-04-20,10.047,10.047,9.922,9.993,8384,0
2005-04-21,10.022,10.022,9.846,9.846,22809,0
2005-04-22,9.846,9.846,9.75,9.758,22946,0
2005-04-25,9.838,9.883,9.788,9.883,12920,0
2005-04-26,9.883,9.883,9.821,9.883,5774,0
2005-04-27,9.883,10.015,9.883,10.015,5220,0
2005-04-28,10.038,10.038,9.922,9.953,4263,0
2005-04-29,9.977,10.008,9.936,10.008,1925,0
2005-05-02,10.008,10.038,9.97,10.038,3303,0
2005-05-03,9.977,10.03,9.944,10.008,13188,0
2005-05-04,10.015,10.03,10.015,10.03,691,0
2005-05-05,10.008,10.008,9.91,9.91,5632,0
2005-05-06,9.91,9.953,9.91,9.944,4127,0
2005-05-09,9.953,9.97,9.936,9.97,3577,0
2005-05-10,9.97,10.047,9.714,9.883,54135,0
2005-05-11,9.876,9.922,9.876,9.922,4672,0
2005-05-12,9.944,9.97,9.944,9.953,7688,0
2005-05-13,9.977,10.14,9.936,10.14,17592,0
2005-05-16,10.068,10.129,10.062,10.129,7963,0
2005-05-17,10.163,10.209,10.103,10.179,6865,0
2005-05-18,10.209,10.278,10.179,10.179,11540,0
2005-05-19,10.17,10.17,9.97,9.97,17174,0
2005-05-20,10.068,10.068,10.015,10.015,3851,0
2005-05-23,10.076,10.11,10.076,10.084,5220,0
2005-05-24,10.117,10.226,10.084,10.187,17999,0
2005-05-25,10.226,10.321,10.179,10.234,19513,0
2005-05-26,10.218,10.218,10.135,10.14,2342,0
2005-05-27,10.148,10.148,10.124,10.124,6190,0
2005-05-31,10.203,10.321,10.194,10.321,10030,0
2005-06-01,10.33,10.336,10.309,10.33,16624,0
2005-06-02,10.336,10.336,10.226,10.226,4127,0
2005-06-03,10.294,10.368,10.286,10.361,4947,0
2005-06-06,10.368,10.368,10.34,10.346,4263,0
2005-06-07,10.368,10.422,10.354,10.368,3988,0
2005-06-08,10.368,10.368,10.368,10.368,1369,0
2005-06-09,10.368,10.368,10.084,10.129,21986,0
2005-06-10,10.148,10.234,10.11,10.226,13330,0
2005-06-13,10.243,10.258,10.194,10.258,1369,0
2005-06-14,10.209,10.209,10.03,10.068,12778,0
2005-06-15,10.068,10.11,10.047,10.11,4672,0
2005-06-16,10.11,10.14,9.928,10.14,11131,0
2005-06-17,10,10.124,9.97,10.124,4396,0
2005-06-20,10.117,10.154,10.008,10.055,17450,0
2005-06-21,10.062,10.117,10.038,10.047,8235,0
2005-06-22,10.062,10.179,10.062,10.179,25556,0
2005-06-23,10.179,10.346,10.047,10.148,24184,0
2005-06-24,10.148,10.179,10.091,10.179,19374,0
2005-06-27,10.179,10.25,10.179,10.209,7418,0
