Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,12.562,12.767,12.562,12.748,161096,0
2005-02-28,12.981,13.018,12.804,12.888,201076,0
2005-03-01,12.84,12.962,12.814,12.814,109510,0
2005-03-02,12.897,13.074,12.85,12.943,241911,0
2005-03-03,13.101,13.121,12.934,12.981,180118,0
2005-03-04,13.092,13.287,13.092,13.213,176464,0
2005-03-07,13.25,13.316,13.176,13.25,146265,0
2005-03-08,13.25,13.307,13.186,13.213,109081,0
2005-03-09,13.725,13.865,13.659,13.818,255561,0
2005-03-10,13.911,13.986,13.837,13.958,170983,0
2005-03-11,14.107,14.19,14.023,14.023,184418,0
2005-03-14,13.958,14.042,13.902,13.976,123159,0
2005-03-15,13.911,13.911,13.753,13.753,168296,0
2005-03-16,13.772,13.837,13.669,13.715,149382,0
2005-03-17,13.762,13.837,13.659,13.818,604298,0
2005-03-18,13.827,13.986,13.827,13.958,127780,0
2005-03-21,13.967,13.967,13.772,13.874,183126,0
2005-03-22,14.06,14.19,13.939,13.976,154864,0
2005-03-23,13.911,13.911,13.688,13.772,193983,0
2005-03-24,13.4,13.566,13.362,13.474,354110,0
2005-03-28,13.186,13.27,13.074,13.213,198710,0
2005-03-29,12.84,12.943,12.748,12.748,145943,0
2005-03-30,12.794,12.924,12.775,12.924,95218,0
2005-03-31,12.999,13.008,12.888,12.897,106179,0
2005-04-01,12.84,12.999,12.767,12.84,160237,0
2005-04-04,12.665,12.71,12.571,12.71,212895,0
2005-04-05,12.693,12.832,12.693,12.767,141214,0
2005-04-06,12.701,12.757,12.655,12.701,85975,0
2005-04-07,12.72,12.888,12.72,12.823,76733,0
2005-04-08,12.832,12.832,12.673,12.804,87802,0
2005-04-11,12.655,12.73,12.589,12.645,153467,0
2005-04-12,12.376,12.589,12.272,12.562,201503,0
2005-04-13,12.394,12.459,12.292,12.302,131005,0
2005-04-14,12.247,12.329,12.181,12.198,120687,0
2005-04-15,12.05,12.142,11.975,12.069,209888,0
2005-04-18,11.835,11.975,11.827,11.92,119828,0
2005-04-19,11.9,12.069,11.9,12.05,194841,0
2005-04-20,11.9,11.91,11.744,11.789,98549,0
2005-04-21,11.939,12.106,11.92,12.087,117463,0
2005-04-22,12.05,12.152,12.004,12.031,121010,0
2005-04-25,12.069,12.172,12.05,12.142,136380,0
2005-04-26,11.948,12.004,11.874,11.93,141107,0
2005-04-27,11.939,11.985,11.779,11.956,78882,0
2005-04-28,11.744,11.809,11.567,11.584,92101,0
2005-04-29,11.724,11.995,11.669,11.874,132080,0
2005-05-02,11.939,12.116,11.92,12.077,175605,0
2005-05-03,12.142,12.217,12.041,12.142,175497,0
2005-05-04,12.087,12.321,12.087,12.263,108330,0
2005-05-05,12.116,12.329,12.116,12.189,146373,0
2005-05-06,12.282,12.376,12.247,12.282,166684,0
2005-05-09,12.189,12.189,12.087,12.116,100804,0
2005-05-10,11.995,11.995,11.835,11.845,126275,0
2005-05-11,11.939,11.939,11.697,11.789,131542,0
2005-05-12,11.679,11.697,11.538,11.584,74691,0
2005-05-13,11.502,11.604,11.397,11.455,77699,0
2005-05-16,11.445,11.472,11.362,11.472,113487,0
2005-05-17,11.352,11.417,11.316,11.381,264481,0
2005-05-18,11.397,11.528,11.352,11.472,211285,0
2005-05-19,11.612,11.697,11.584,11.64,107898,0
2005-05-20,11.528,11.547,11.463,11.492,78023,0
2005-05-23,11.669,11.779,11.649,11.714,281138,0
2005-05-24,11.809,11.9,11.779,11.854,181837,0
2005-05-25,11.567,11.659,11.519,11.538,152391,0
2005-05-26,11.576,11.594,11.502,11.557,192369,0
2005-05-27,11.584,11.761,11.576,11.714,131542,0
2005-05-31,11.799,11.854,11.754,11.779,150887,0
2005-06-01,11.688,11.91,11.688,11.835,120044,0
2005-06-02,11.77,11.779,11.649,11.754,109940,0
2005-06-03,11.754,11.809,11.697,11.779,456206,0
2005-06-06,11.809,11.891,11.744,11.891,158302,0
2005-06-07,11.744,11.835,11.724,11.77,106502,0
2005-06-08,11.679,11.827,11.679,11.724,189682,0
2005-06-09,11.502,11.538,11.417,11.502,123913,0
2005-06-10,11.492,11.557,11.362,11.397,140141,0
2005-06-13,11.333,11.455,11.259,11.269,162494,0
2005-06-14,11.306,11.371,11.296,11.333,113271,0
2005-06-15,11.492,11.519,11.39,11.502,148844,0
2005-06-16,11.557,11.612,11.538,11.584,100054,0
2005-06-17,11.64,11.714,11.622,11.679,134766,0
2005-06-20,11.632,11.724,11.612,11.679,101020,0
2005-06-21,11.697,11.819,11.697,11.77,117680,0
2005-06-22,11.64,11.724,11.612,11.612,256422,0
2005-06-23,11.612,11.64,11.463,11.492,146910,0
2005-06-24,11.492,11.557,11.437,11.519,151531,0
2005-06-27,11.362,11.39,11.212,11.333,148521,0
2005-06-28,11.194,11.492,11.194,11.397,457388,0
2005-06-29,11.316,11.352,11.286,11.324,306178,0
2005-06-30,11.25,11.25,11.101,11.11,310047,0
2005-07-01,11.231,11.259,11.166,11.176,221923,0
2005-07-05,11.203,11.25,11.101,11.203,349705,0
2005-07-06,11.148,11.212,11.073,11.11,259860,0
2005-07-07,10.979,10.999,10.84,10.924,344653,0
2005-07-08,11.027,11.212,11.027,11.156,245889,0
2005-07-11,11.119,11.166,11.092,11.129,173669,0
2005-07-12,11.11,11.176,11.027,11.11,331864,0
2005-07-13,11.073,11.092,10.979,11.027,484900,0
2005-07-14,11.148,11.212,11.119,11.119,305426,0
2005-07-15,11.212,11.352,11.203,11.296,195056,0
2005-07-18,11.352,11.352,11.221,11.221,118645,0
2005-07-19,11.138,11.138,11.083,11.101,191618,0
2005-07-20,11.073,11.212,11.054,11.185,252016,0
2005-07-21,11.277,11.362,11.241,11.352,405480,0
2005-07-22,11.333,11.342,11.277,11.277,203439,0
2005-07-25,11.185,11.203,11.101,11.101,253842,0
2005-07-26,11.073,11.073,10.943,10.979,245781,0
2005-07-27,11.027,11.203,11.008,11.166,209028,0
2005-07-28,10.979,11.027,10.924,10.979,214615,0
2005-07-29,11.044,11.101,11.027,11.064,175173,0
2005-08-01,11.054,11.054,10.961,11.018,143686,0
2005-08-02,11.018,11.018,10.887,10.999,316604,0
2005-08-03,11.092,11.286,11.092,11.269,227189,0
2005-08-04,11.286,11.362,11.259,11.352,400429,0
2005-08-05,11.306,11.324,11.231,11.25,225900,0
2005-08-08,11.25,11.286,11.166,11.166,139280,0
2005-08-09,11.259,11.352,11.259,11.286,139494,0
2005-08-10,11.883,12.207,11.827,11.948,550135,0
2005-08-11,12.263,12.544,12.263,12.544,317570,0
2005-08-12,12.544,12.58,12.479,12.544,366899,0
2005-08-15,12.655,12.814,12.599,12.794,318432,0
2005-08-16,12.441,12.497,12.321,12.385,281462,0
2005-08-17,12.282,12.589,12.282,12.459,387749,0
2005-08-18,12.227,12.282,12.181,12.227,174852,0
2005-08-19,12.096,12.292,12.096,12.217,149490,0
2005-08-22,12.84,12.914,12.794,12.897,381194,0
2005-08-23,12.775,12.794,12.683,12.739,385169,0
2005-08-24,12.785,12.85,12.683,12.701,326276,0
2005-08-25,12.832,12.953,12.832,12.859,177753,0
2005-08-26,12.859,12.878,12.73,12.775,809135,0
2005-08-29,12.609,12.71,12.562,12.655,513379,0
2005-08-30,12.739,12.748,12.609,12.73,795272,0
2005-08-31,12.562,12.814,12.552,12.804,158947,0
2005-09-01,12.794,12.924,12.767,12.924,154109,0
2005-09-02,12.869,12.878,12.767,12.804,106931,0
2005-09-06,12.73,12.804,12.665,12.757,154433,0
2005-09-07,12.609,12.665,12.562,12.589,280602,0
2005-09-08,12.376,12.506,12.376,12.394,203439,0
2005-09-09,12.609,12.775,12.544,12.701,236647,0
2005-09-12,12.794,12.888,12.757,12.794,320150,0
2005-09-13,12.869,12.888,12.814,12.84,235572,0
2005-09-14,12.785,12.888,12.757,12.767,168618,0
2005-09-15,13.056,13.092,12.99,13.036,326061,0
2005-09-16,13.27,13.464,13.241,13.436,401933,0
2005-09-19,13.474,13.474,13.27,13.307,308436,0
2005-09-20,13.492,13.659,13.381,13.492,1008491,0
2005-09-21,13.8,14.06,13.79,13.921,969048,0
2005-09-22,13.715,13.781,13.633,13.772,339495,0
2005-09-23,13.772,13.911,13.725,13.874,925309,0
2005-09-26,14.143,14.31,14.143,14.31,1095539,0
2005-09-27,14.31,14.46,14.218,14.405,1166038,0
2005-09-28,14.581,14.758,14.562,14.703,2199030,0
2005-09-29,14.656,14.738,14.591,14.683,749918,0
2005-09-30,14.552,14.572,14.395,14.46,254379,0
2005-10-03,14.143,14.143,13.967,14.107,437184,0
2005-10-04,14.143,14.181,14.069,14.069,926598,0
2005-10-05,14.051,14.051,13.734,13.743,364964,0
2005-10-06,13.65,13.659,13.4,13.483,403974,0
2005-10-07,13.725,13.948,13.679,13.818,232349,0
2005-10-10,13.772,13.79,13.604,13.614,296400,0
2005-10-11,14.051,14.107,13.986,14.069,780225,0
2005-10-12,14.06,14.06,13.725,13.808,409028,0
2005-10-13,13.743,13.902,13.633,13.892,522085,0
2005-10-14,13.837,14.097,13.772,14.097,295111,0
2005-10-17,13.827,13.883,13.762,13.808,356581,0
2005-10-18,13.585,13.633,13.529,13.604,234496,0
2005-10-19,13.335,13.79,13.25,13.566,328532,0
2005-10-20,13.277,13.408,13.186,13.213,331434,0
2005-10-21,13.4,13.52,13.372,13.408,229124,0
2005-10-24,13.492,13.679,13.492,13.633,208920,0
2005-10-25,13.725,13.929,13.725,13.781,138098,0
2005-10-26,13.865,14.003,13.772,13.772,247717,0
2005-10-27,14.162,14.255,13.967,14.032,709725,0
2005-10-28,13.948,14.116,13.911,14.116,474798,0
2005-10-31,14.245,14.656,14.134,14.414,475012,0
2005-11-01,14.627,14.758,14.581,14.729,803007,0
2005-11-02,14.868,14.972,14.729,14.944,533692,0
2005-11-03,14.888,15.261,14.888,15.12,596130,0
2005-11-04,15.493,15.661,15.446,15.568,1060826,0
2005-11-07,15.744,15.995,15.707,15.922,1138419,0
2005-11-08,15.828,15.865,15.753,15.818,1350026,0
2005-11-09,15.679,15.726,15.632,15.679,1116279,0
2005-11-10,15.548,15.548,15.4,15.503,589039,0
2005-11-11,16.051,16.135,15.949,16.107,291349,0
2005-11-14,15.652,15.652,15.474,15.623,381085,0
2005-11-15,15.306,15.354,15.176,15.251,585062,0
2005-11-16,15.568,15.697,15.483,15.568,183341,0
2005-11-17,16.051,16.414,16.042,16.396,563997,0
2005-11-18,16.284,16.294,16.051,16.18,459752,0
2005-11-21,15.986,16.115,15.883,16.06,695002,0
2005-11-22,15.939,16.237,15.893,16.219,295755,0
2005-11-23,16.097,16.47,16.097,16.423,492315,0
2005-11-25,15.995,16.032,15.893,15.949,205587,0
2005-11-28,16.135,16.135,15.958,15.995,308650,0
2005-11-29,15.912,15.922,15.726,15.753,334013,0
2005-11-30,15.558,15.697,15.455,15.493,306394,0
2005-12-01,15.781,16.032,15.772,15.912,571198,0
2005-12-02,16.748,16.805,16.47,16.563,561526,0
2005-12-05,16.748,16.841,16.675,16.815,423105,0
2005-12-06,16.582,16.841,16.479,16.748,227727,0
2005-12-07,16.748,16.748,16.535,16.683,207523,0
2005-12-08,16.237,16.284,16.097,16.229,484900,0
2005-12-09,16.683,16.796,16.618,16.758,279096,0
2005-12-12,17.214,17.243,17.121,17.178,220419,0
2005-12-13,17.075,17.309,17.037,17.289,174852,0
2005-12-14,17.261,17.261,16.926,17.01,435465,0
2005-12-15,16.777,16.851,16.657,16.748,248360,0
2005-12-16,16.748,16.87,16.731,16.815,210961,0
2005-12-19,16.815,16.851,16.675,16.675,215583,0
2005-12-20,17.01,17.148,16.945,17.121,195593,0
2005-12-21,17.383,17.586,17.354,17.531,242235,0
2005-12-22,17.354,17.55,17.354,17.494,241699,0
2005-12-23,17.541,17.661,17.494,17.624,277271,0
2005-12-27,17.847,18.004,17.576,17.651,281999,0
2005-12-28,18.069,18.192,17.883,18.144,297582,0
2005-12-29,18.359,18.359,17.968,17.996,182590,0
2005-12-30,17.801,17.903,17.697,17.883,95218,0
2006-01-03,18.118,18.415,18.061,18.386,375604,0
2006-01-04,18.62,19.038,18.62,19.019,291241,0
2006-01-05,18.685,18.685,18.527,18.601,316711,0
2006-01-06,18.611,18.983,18.377,18.917,480923,0
2006-01-09,18.954,18.963,18.721,18.834,295647,0
2006-01-10,18.099,18.144,18.034,18.144,352821,0
2006-01-11,18.275,18.35,18.192,18.192,409994,0
2006-01-12,18.396,18.582,18.275,18.313,265877,0
2006-01-13,18.303,18.471,18.294,18.396,218269,0
2006-01-17,17.399,17.409,17.01,17.325,856851,0
2006-01-18,16.331,16.748,16.284,16.628,1392584,0
2006-01-19,17.354,17.606,17.309,17.541,886726,0
2006-01-20,17.168,17.243,16.87,16.89,825254,0
2006-01-23,16.841,16.982,16.832,16.945,437399,0
2006-01-24,17.214,17.309,17.14,17.252,418164,0
2006-01-25,17.243,17.334,17.148,17.224,656958,0
2006-01-26,17.837,18.303,17.828,18.183,780762,0
2006-01-27,18.424,18.582,18.331,18.443,1760236,0
2006-01-30,18.238,18.238,18.024,18.219,1339279,0
2006-01-31,18.174,18.192,18.034,18.154,223965,0
2006-02-01,17.818,17.959,17.762,17.847,280708,0
2006-02-02,17.94,18.043,17.746,17.782,249651,0
2006-02-03,17.717,17.94,17.681,17.883,431272,0
2006-02-06,18.144,18.209,17.987,18.099,359913,0
2006-02-07,18.052,18.089,17.867,17.922,158194,0
2006-02-08,17.541,17.633,17.309,17.624,333047,0
2006-02-09,17.559,17.671,17.447,17.466,614723,0
2006-02-10,17.168,17.196,16.935,17.065,368296,0
2006-02-13,16.665,16.861,16.628,16.657,613541,0
2006-02-14,16.748,17.047,16.721,17.028,831057,0
2006-02-15,16.982,17.204,16.982,17.121,313809,0
2006-02-16,17.204,17.299,17.047,17.289,275981,0
2006-02-17,16.489,16.712,16.489,16.693,414079,0
2006-02-21,16.935,16.935,16.768,16.841,375389,0
2006-02-22,16.657,16.832,16.638,16.786,553142,0
2006-02-23,17.261,17.576,17.14,17.279,861579,0
2006-02-24,17.409,17.651,17.409,17.466,347124,0
2006-02-27,18.126,18.219,17.996,18.109,389897,0
2006-02-28,18.126,18.126,17.697,17.949,708329,0
2006-03-01,17.762,17.932,17.689,17.876,360666,0
2006-03-02,17.633,17.717,17.586,17.633,380762,0
2006-03-03,17.586,17.726,17.576,17.606,472326,0
2006-03-06,18.052,18.144,17.883,18.004,403974,0
2006-03-07,17.959,17.959,17.746,17.801,224287,0
2006-03-08,17.847,17.959,17.615,17.932,380978,0
2006-03-09,18.174,18.2,17.876,17.893,380762,0
2006-03-10,18.099,18.406,18.061,18.35,378613,0
2006-03-13,18.611,18.721,18.601,18.676,401612,0
2006-03-14,18.545,18.908,18.517,18.898,379259,0
2006-03-15,19.308,19.447,19.224,19.428,297044,0
2006-03-16,19.308,19.438,19.205,19.234,454378,0
2006-03-17,19.959,20.107,19.94,20.107,489414,0
2006-03-20,20.825,20.871,20.65,20.75,952497,0
2006-03-21,20.64,20.685,20.462,20.499,492100,0
2006-03-22,20.285,20.509,20.267,20.453,340676,0
2006-03-23,20.062,20.089,19.727,19.885,492531,0
2006-03-24,20.099,20.443,20.099,20.341,274906,0
2006-03-27,20.257,20.257,20.107,20.211,255991,0
2006-03-28,19.94,19.997,19.596,19.68,374959,0
2006-03-29,19.783,20.182,19.783,20.127,463515,0
2006-03-30,20.434,20.656,20.414,20.63,387855,0
2006-03-31,20.64,20.705,20.443,20.63,642665,0
2006-04-03,20.852,21.002,20.74,20.917,538203,0
2006-04-04,21.159,21.3,21.038,21.3,315208,0
2006-04-05,21.151,21.449,21.151,21.449,425898,0
2006-04-06,21.514,21.532,21.345,21.466,497795,0
2006-04-07,21.662,21.727,21.401,21.485,398818,0
2006-04-10,21.662,21.7,21.559,21.653,263407,0
2006-04-11,21.401,21.43,21.178,21.262,397312,0
2006-04-12,20.982,21.224,20.982,21.224,303813,0
2006-04-13,20.852,20.992,20.852,20.965,223105,0
2006-04-17,20.518,20.61,20.424,20.434,387749,0
2006-04-18,21.103,21.514,21.103,21.504,576357,0
2006-04-19,20.917,21.243,20.862,21.076,579043,0
2006-04-20,21.123,21.217,21.038,21.076,534766,0
2006-04-21,21.012,21.012,20.76,20.907,603654,0
2006-04-24,20.453,20.527,20.359,20.499,311553,0
2006-04-25,20.73,20.891,20.73,20.806,246427,0
2006-04-26,20.806,20.955,20.797,20.955,238259,0
2006-04-27,21.02,21.141,20.705,21.086,472434,0
2006-04-28,21.029,21.168,20.907,21.103,381944,0
2006-05-01,20.843,20.917,20.434,20.518,376357,0
2006-05-02,21.029,21.3,21.029,21.233,248254,0
2006-05-03,21.123,21.217,20.881,21.123,199356,0
2006-05-04,21.123,21.365,21.113,21.224,182913,0
2006-05-05,21.253,21.784,21.253,21.718,418700,0
2006-05-08,22.072,22.61,22.072,22.359,658461,0
2006-05-09,22.314,22.416,22.193,22.379,495754,0
2006-05-10,22.072,22.072,21.653,21.811,374421,0
2006-05-11,21.449,21.458,20.937,21.012,463298,0
2006-05-12,21.012,21.067,20.518,20.665,503384,0
2006-05-15,20.665,20.778,20.462,20.75,279850,0
2006-05-16,20.107,20.238,20.034,20.192,447394,0
2006-05-17,20.08,20.089,19.262,19.336,695432,0
2006-05-18,19.373,19.541,19.205,19.318,238045,0
2006-05-19,19.382,19.68,19.308,19.606,301450,0
2006-05-22,18.676,18.712,18.154,18.377,759806,0
2006-05-23,18.424,18.695,18.377,18.386,1195701,0
2006-05-24,18.611,18.861,18.34,18.666,821923,0
2006-05-25,18.377,18.517,18.266,18.48,806018,0
2006-05-26,18.48,18.815,18.48,18.685,382160,0
2006-05-30,18.656,18.712,18.321,18.331,397636,0
2006-05-31,18.331,18.443,18.192,18.331,376785,0
2006-06-01,17.867,18.321,17.818,18.266,301235,0
2006-06-02,18.527,18.685,18.507,18.611,161849,0
2006-06-05,18.451,18.563,18.014,18.034,321655,0
2006-06-06,17.801,17.801,17.289,17.438,657495,0
2006-06-07,16.945,17.075,16.861,16.89,1167757,0
2006-06-08,16.265,16.405,15.995,16.302,1198494,0
2006-06-09,17.093,17.121,16.786,16.87,916280,0
2006-06-12,17.019,17.056,16.657,16.731,574316,0
2006-06-13,16.331,16.349,15.781,15.856,610424,0
2006-06-14,15.818,16.154,15.818,16.154,829983,0
2006-06-15,16.591,17.112,16.591,17.028,1102202,0
2006-06-16,17.354,17.447,17.214,17.383,858570,0
2006-06-19,17.214,17.279,16.935,16.991,386352,0
2006-06-20,16.805,16.906,16.647,16.796,517250,0
2006-06-21,16.609,16.898,16.507,16.786,822353,0
2006-06-22,16.963,17.01,16.786,16.841,613647,0
2006-06-23,17.083,17.252,17.028,17.131,292208,0
2006-06-26,17.028,17.083,16.906,17.047,229338,0
2006-06-27,16.935,16.935,16.442,16.507,223214,0
2006-06-28,16.47,16.517,16.294,16.423,556903,0
2006-06-29,16.6,17.541,16.6,17.484,670713,0
2006-06-30,17.576,17.576,17.334,17.494,219774,0
2006-07-03,17.586,17.949,17.586,17.94,134443,0
2006-07-05,17.633,17.641,17.317,17.531,301129,0
2006-07-06,17.531,17.782,17.474,17.576,224072,0
2006-07-07,17.317,17.383,17.065,17.065,281138,0
2006-07-10,17.354,17.399,17.14,17.214,190221,0
2006-07-11,16.796,17.01,16.657,16.972,497259,0
2006-07-12,16.553,16.563,16.302,16.331,842449,0
2006-07-13,16.507,16.573,16.18,16.18,357550,0
2006-07-14,16.19,16.219,15.995,16.097,515852,0
2006-07-17,16.005,16.023,15.8,15.874,353143,0
2006-07-18,15.642,15.688,15.297,15.604,564857,0
2006-07-19,15.632,16.46,15.623,16.339,809242,0
2006-07-20,16.553,16.553,16.145,16.145,757442,0
2006-07-21,16.21,16.21,15.986,16.032,162601,0
2006-07-24,16.145,16.423,16.145,16.396,229338,0
2006-07-25,16.21,16.312,15.986,16.21,326922,0
2006-07-26,16.145,16.154,15.568,15.726,632456,0
2006-07-27,16.051,16.19,15.939,15.949,477699,0
2006-07-28,16.46,16.758,16.339,16.657,578613,0
2006-07-31,16.657,16.657,16.47,16.582,255239,0
2006-08-01,16.377,16.396,16.115,16.219,905641,0
2006-08-02,16.294,16.517,16.294,16.47,522728,0
2006-08-03,16.349,16.665,16.284,16.544,315099,0
2006-08-04,16.777,17.01,16.703,16.832,350671,0
2006-08-07,16.432,16.489,16.312,16.386,270822,0
2006-08-08,16.47,16.647,16.358,16.386,333154,0
2006-08-09,16.517,16.609,16.377,16.405,1490165,0
2006-08-10,16.526,16.657,16.442,16.628,247608,0
2006-08-11,16.386,16.386,16.154,16.21,311661,0
2006-08-14,16.703,16.935,16.703,16.748,310478,0
2006-08-15,17.261,17.568,17.261,17.55,445458,0
2006-08-16,17.641,17.867,17.624,17.847,303062,0
2006-08-17,17.968,18.285,17.968,18.174,369370,0
2006-08-18,18.144,18.144,17.912,18.069,176786,0
2006-08-21,17.624,17.746,17.615,17.633,149059,0
2006-08-22,17.949,18.118,17.922,18.061,177432,0
2006-08-23,18.089,18.229,17.959,18.061,259538,0
2006-08-24,18.061,18.144,17.959,17.968,301450,0
2006-08-25,17.811,17.949,17.792,17.883,184740,0
2006-08-28,17.681,17.828,17.633,17.772,889843,0
2006-08-29,17.987,18.164,17.903,18.144,486404,0
2006-08-30,17.811,17.903,17.746,17.801,268028,0
2006-08-31,17.932,17.987,17.867,17.912,332080,0
2006-09-01,17.867,17.987,17.818,17.932,400429,0
2006-09-05,18.238,18.434,18.183,18.415,342720,0
2006-09-06,18.052,18.089,17.818,17.867,177325,0
2006-09-07,17.681,17.726,17.494,17.651,239656,0
2006-09-08,17.641,17.754,17.641,17.736,168403,0
2006-09-11,17.364,17.466,17.178,17.344,298549,0
2006-09-12,17.121,17.409,17.093,17.409,460074,0
2006-09-13,16.926,16.972,16.758,16.89,612358,0
2006-09-14,16.703,16.805,16.657,16.777,392799,0
2006-09-15,16.841,16.906,16.683,16.758,292317,0
2006-09-18,16.796,16.815,16.703,16.815,302847,0
2006-09-19,16.731,16.74,16.396,16.517,221386,0
2006-09-20,16.526,16.609,16.396,16.507,1215582,0
2006-09-21,16.563,16.647,16.414,16.526,662439,0
2006-09-22,16.47,16.526,16.321,16.432,291457,0
2006-09-25,16.339,16.479,16.219,16.442,322192,0
2006-09-26,16.367,16.46,16.265,16.396,501343,0
2006-09-27,16.517,16.721,16.517,16.628,770016,0
2006-09-28,16.628,16.683,16.47,16.582,574744,0
2006-09-29,16.479,16.479,16.302,16.358,492961,0
2006-10-02,16.377,16.544,16.367,16.46,562386,0
2006-10-03,16.302,16.377,16.2,16.312,834495,0
2006-10-04,16.255,16.507,16.145,16.489,481246,0
2006-10-05,16.841,17.083,16.748,17.065,774530,0
2006-10-06,17.158,17.344,17.112,17.148,680817,0
2006-10-09,17.037,17.158,16.982,17.093,399247,0
2006-10-10,17.158,17.214,17.065,17.131,476410,0
2006-10-11,16.517,16.748,16.489,16.647,483611,0
2006-10-12,16.452,16.638,16.358,16.609,741859,0
2006-10-13,16.497,16.628,16.452,16.591,323481,0
2006-10-16,16.675,16.906,16.675,16.89,268241,0
2006-10-17,16.748,16.748,16.517,16.609,370124,0
2006-10-18,16.805,16.972,16.777,16.87,541322,0
2006-10-19,16.906,17.093,16.906,17.037,314455,0
2006-10-20,17.075,17.121,16.945,17.065,225255,0
2006-10-23,17.065,17.243,17,17.243,363783,0
2006-10-24,17.233,17.373,17.214,17.317,827082,0
2006-10-25,16.841,16.935,16.573,16.703,685759,0
2006-10-26,16.563,16.768,16.563,16.731,363353,0
2006-10-27,16.544,16.563,16.339,16.367,501450,0
2006-10-30,16.2,16.358,16.172,16.275,445676,0
2006-10-31,16.284,16.497,16.284,16.396,303493,0
2006-11-01,16.405,16.507,16.164,16.172,197635,0
2006-11-02,15.596,16.164,15.596,16.08,502847,0
2006-11-03,16.08,16.145,15.912,15.939,388929,0
2006-11-06,15.939,16.135,15.903,16.08,533368,0
2006-11-07,16.255,16.339,16.145,16.18,330683,0
2006-11-08,15.865,15.939,15.781,15.883,472004,0
2006-11-09,15.52,15.52,15.279,15.288,722406,0
2006-11-10,15.354,15.362,15.224,15.279,290274,0
2006-11-13,15.14,15.261,15.13,15.186,366577,0
2006-11-14,15.669,15.903,15.604,15.883,490595,0
2006-11-15,15.613,16.051,15.577,15.753,1604189,0
2006-11-16,15.493,15.52,15.345,15.428,519934,0
2006-11-17,15.158,15.205,15.055,15.166,514239,0
2006-11-20,14.786,14.833,14.693,14.748,899086,0
2006-11-21,14.543,14.758,14.543,14.703,439226,0
2006-11-22,14.925,15.13,14.925,15.019,1192476,0
2006-11-24,14.99,15.045,14.935,14.98,597096,0
2006-11-27,15.028,15.075,14.851,14.907,820526,0
2006-11-28,15.019,15.12,14.963,15.084,843631,0
2006-11-29,15.679,15.762,15.587,15.726,739065,0
