Date,Open,High,Low,Close,Volume,OpenInt
2017-06-30,0.1124,0.12,0.1073,0.12,9000,0
2017-07-03,0.15,0.15,0.15,0.15,1100,0
2017-07-07,0.15,0.15,0.15,0.15,4203,0
2017-07-10,0.15,0.15,0.15,0.15,400,0
2017-08-04,0.15,0.15,0.15,0.15,1500,0
2017-08-08,0.14,0.1461,0.14,0.1461,3000,0
2017-08-15,0.15,0.15,0.15,0.15,4600,0
2017-08-16,0.1,0.15,0.1,0.15,3812,0
2017-08-22,0.100001,0.100001,0.1,0.1,3028,0
2017-08-25,0.1,0.1,0.0608,0.0608,2888,0
2017-08-28,0.0003,0.0042,0.0003,0.0042,14900,0
2017-08-29,0.01,0.04,0.0098,0.01,33612,0
2017-08-30,0.01,0.01,0.01,0.01,100,0
2017-09-05,0.0299,0.0299,0.0249,0.025,22188,0
2017-09-07,0.07,0.07,0.07,0.07,100,0
2017-09-08,0.03,0.03,0.03,0.03,624,0
2017-09-18,0.065,0.065,0.065,0.065,1300,0
2017-09-20,0.065,0.065,0.065,0.065,2000,0
2017-09-21,0.065,0.065,0.065,0.065,1000,0
2017-09-29,0.05,0.05,0.035,0.035,4919,0
2017-10-03,0.03,0.03,0.03,0.03,600,0
2017-10-05,0.02,0.02,0.02,0.02,200,0
2017-10-09,0.03,0.03,0.03,0.03,400,0
2017-10-10,0.0306,0.0306,0.03,0.03,2819,0
2017-10-12,0.03,0.03,0.03,0.03,2300,0
2017-10-13,0.039,0.04,0.039,0.04,400,0
2017-10-20,0.04,0.04,0.04,0.04,400,0
2017-10-23,0.04,0.04,0.04,0.04,200,0
2017-10-25,0.052,0.052,0.052,0.052,181,0
2017-10-26,0.05,0.05,0.05,0.05,200,0
2017-11-03,0.03,0.03,0.02,0.02,1948,0
2017-11-08,0.02,0.02,0.02,0.02,300,0
2017-11-09,0.02,0.02,0.02,0.02,200,0
