Date,Open,High,Low,Close,Volume,OpenInt
2013-04-11,500,525,477.5,500,3222,0
2013-04-12,497.5,500,475,477.5,810,0
2013-04-15,477.5,487.5,470,470,445,0
2013-04-16,487.5,487.5,472.5,472.5,257,0
2013-04-17,475,477.5,470,475,655,0
2013-04-18,500,500,470,470,642,0
2013-04-19,490,500,480,482.5,1197,0
2013-04-22,500,500,480,492.5,1541,0
2013-04-23,512.5,525,492.5,512.5,3295,0
2013-04-24,520,525,505,512.5,1652,0
2013-04-25,512.5,517.5,510,512.5,2762,0
2013-04-26,517.5,575,512.5,562.5,1913,0
2013-04-29,575,637.5,575,632.5,3442,0
2013-04-30,637.5,662.5,602.5,655,2625,0
2013-05-01,662.5,700,652.5,700,2089,0
2013-05-02,707.5,712.5,677.5,702.5,2052,0
2013-05-03,725,750,710,737.5,1174,0
2013-05-06,750,767.5,712.5,745,1968,0
2013-05-07,745,787.5,727.5,737.5,1051,0
2013-05-08,757.5,762.5,695,700,1081,0
2013-05-09,677.5,697.5,650,687.5,905,0
2013-05-10,697.5,712.5,692.5,692.5,420,0
2013-05-13,722.5,722.5,682.5,712.5,676,0
2013-05-14,687.5,710,675,692.5,988,0
2013-05-15,697.5,697.5,657.5,675,340,0
2013-05-16,642.5,675,640,642.5,458,0
2013-05-17,682.5,682.5,627.5,660,561,0
2013-05-20,687.5,697.5,650,690,688,0
2013-05-21,700,700,655,662.5,601,0
2013-05-22,687.5,687.5,650,650,297,0
2013-05-23,685,685,530,550,4152,0
2013-05-24,550,582.5,502.5,530,1241,0
2013-05-28,532.5,562.5,512.5,535,854,0
2013-05-29,535,565,512.5,545,946,0
2013-05-30,545,545,512.5,532.5,1393,0
2013-05-31,520,587.5,520,575,1305,0
2013-06-03,547.5,607.5,547.5,597.5,868,0
2013-06-04,620,620,570,580,570,0
2013-06-05,592.5,605,555,565,362,0
2013-06-06,585,585,570,570,296,0
2013-06-07,560,587.5,557.5,575,224,0
2013-06-10,555,592.5,555,592.5,677,0
2013-06-11,600,612.5,580,587.5,634,0
2013-06-12,582.5,612.5,580,587.5,461,0
2013-06-13,625,635,575,635,812,0
2013-06-14,612.5,650,600,625,851,0
2013-06-17,652.5,652.5,600,607.5,322,0
2013-06-18,625,630,595,617.5,218,0
2013-06-19,612.5,622.5,575,575,323,0
2013-06-20,567.5,592.5,550,575,433,0
2013-06-21,562.5,572.5,542.5,552.5,339,0
2013-06-24,565,587.5,560,575,798,0
2013-06-25,552.5,592.5,552.5,575,395,0
2013-06-26,565,587.5,562.5,587.5,424,0
2013-06-27,567.5,582.5,567.5,582.5,179,0
2013-06-28,587.5,587.5,547.5,552.5,771,0
2013-07-01,582.5,582.5,562.5,572.5,240,0
2013-07-02,535,570,535,562.5,465,0
2013-07-03,545,572.5,540,552.5,105,0
2013-07-05,587.5,587.5,540,575,520,0
2013-07-08,560,572.5,537.5,555,587,0
2013-07-09,572.5,572.5,557.5,570,99,0
2013-07-10,567.5,567.5,550,550,115,0
2013-07-11,530,557.5,510,557.5,480,0
2013-07-12,562.5,562.5,525,560,396,0
2013-07-15,545,552.5,530,552.5,489,0
2013-07-16,540,547.5,520,537.5,510,0
2013-07-17,517.5,545,517.5,545,270,0
2013-07-18,530,550,520,547.5,765,0
2013-07-19,540,545,520,540,787,0
2013-07-22,540,562.5,527.5,562.5,572,0
2013-07-23,562.5,562.5,537.5,547.5,249,0
2013-07-24,557.5,567.5,540,567.5,156,0
2013-07-25,560,595,535,567.5,717,0
2013-07-26,567.5,612.5,567.5,582.5,468,0
2013-07-29,600,670,585,647.5,1471,0
2013-07-30,642.5,650,577.5,612.5,286,0
2013-07-31,612.5,612.5,580,605,195,0
2013-08-01,575,602.5,575,587.5,170,0
2013-08-02,600,605,587.5,587.5,83,0
2013-08-05,595,637.5,595,605,404,0
2013-08-06,622.5,625,587.5,595,193,0
2013-08-07,587.5,612.5,575,575,168,0
2013-08-08,582.5,625,580,625,202,0
2013-08-09,625,625,570,582.5,105,0
2013-08-12,567.5,607.5,562.5,600,164,0
2013-08-13,610,610,577.5,590,92,0
2013-08-14,572.5,600,570,577.5,272,0
2013-08-15,577.5,577.5,550,570,197,0
2013-08-16,565,572.5,562.5,572.5,39,0
2013-08-19,552.5,572.5,530,557.5,139,0
2013-08-20,547.5,552.5,517.5,530,742,0
2013-08-21,525,537.5,500,530,345,0
2013-08-22,520,535,485,505,991,0
2013-08-23,512.5,527.5,502.5,522.5,493,0
2013-08-26,512.5,532.5,462.5,507.5,1738,0
2013-08-27,507.5,537.5,450,485,2921,0
2013-08-28,497.5,507.5,472.5,507.5,222,0
2013-08-29,515,557.5,497.5,550,640,0
2013-08-30,555,555,525,537.5,297,0
2013-09-03,520,547.5,517.5,530,331,0
2013-09-04,532.5,547.5,527.5,530,279,0
2013-09-05,537.5,547.5,532.5,540,124,0
2013-09-06,547.5,575,542.5,575,1126,0
2013-09-09,585,585,550,575,800,0
2013-09-10,575,575,530,537.5,434,0
2013-09-11,530,575,530,547.5,233,0
2013-09-12,535,545,532.5,532.5,148,0
2013-09-13,537.5,542.5,532.5,532.5,62,0
2013-09-16,530,547.5,530,530,224,0
2013-09-17,572.5,575,530,537.5,238,0
2013-09-18,550,552.5,517.5,525,648,0
2013-09-19,522.5,545,522.5,545,153,0
2013-09-20,532.5,540,525,525,53,0
2013-09-23,525,535,510,525,378,0
2013-09-24,510,587.5,502.5,585,1600,0
2013-09-25,597.5,662.5,575,610,1812,0
