Date,Open,High,Low,Close,Volume,OpenInt
1984-07-19,2.2418,2.2769,2.198,2.2069,2211754,0
1984-07-20,2.2154,2.233,2.1805,2.189,606610,0
1984-07-23,2.1805,2.198,2.1717,2.1717,232048,0
1984-07-24,2.1717,2.1717,2.0667,2.1191,715327,0
1984-07-25,2.1103,2.1278,2.0139,2.0579,898951,0
1984-07-26,2.0754,2.0841,1.97,2.0491,703450,0
1984-07-27,2.0579,2.0841,2.0139,2.0317,250319,0
1984-07-30,2.0317,2.0317,1.9178,1.9178,300564,0
1984-07-31,1.9265,1.9265,1.8302,1.9089,594733,0
1984-08-01,1.9178,1.9355,1.8653,1.9355,531697,0
1984-08-02,1.97,2.0139,1.9265,1.9439,510687,0
1984-08-03,1.9439,1.9792,1.9265,1.9439,406540,0
1984-08-06,1.9265,1.9617,1.8916,1.8916,256714,0
1984-08-07,1.9089,2.0841,1.9089,2.0054,1016805,0
1984-08-08,2.0579,2.0841,2.0054,2.0054,1240629,0
1984-08-09,2.0405,2.0405,2.0054,2.0139,282294,0
1984-08-10,2.0405,2.0579,1.97,1.9878,275896,0
1984-08-13,1.9878,2.0139,1.97,1.9878,164443,0
1984-08-14,1.9792,2.0054,1.9792,1.9964,178147,0
1984-08-15,2.0139,2.0139,1.97,1.9792,306048,0
1984-08-16,1.9878,1.9878,1.9439,1.9617,290515,0
1984-08-17,1.9878,1.9964,1.9439,1.9439,98665,0
1984-08-20,1.9265,1.9355,1.9089,1.9089,139778,0
1984-08-21,1.9265,1.9265,1.8653,1.9002,268589,0
1984-08-22,1.9089,1.9265,1.8653,1.8653,235699,0
1984-08-23,1.874,1.874,1.8476,1.8565,645895,0
1984-08-24,1.8565,1.874,1.8565,1.8565,309700,0
1984-08-27,1.8653,1.8653,1.8128,1.8391,170837,0
1984-08-28,1.8391,1.8391,1.8128,1.8128,121505,0
1984-08-29,1.8302,1.8391,1.8217,1.8302,194592,0
1984-08-30,1.8391,1.8565,1.8302,1.8476,169924,0
1984-08-31,1.8476,1.8476,1.8302,1.8302,66689,0
1984-09-04,1.8391,1.8391,1.7776,1.8037,126985,0
1984-09-05,1.7776,1.795,1.7078,1.795,307874,0
1984-09-06,1.8037,1.8391,1.795,1.8302,466836,0
1984-09-07,1.8565,1.9617,1.8565,1.9002,1297270,0
1984-09-10,1.9355,1.9355,1.9089,1.9178,455873,0
1984-09-11,1.9355,1.9617,1.9178,1.9265,433947,0
1984-09-12,1.9527,2.0405,1.9527,2.0139,1839933,0
1984-09-13,2.0317,2.0317,1.9617,1.9878,1296353,0
1984-09-14,2.0054,2.0054,1.9265,1.9617,540837,0
1984-09-17,1.9878,1.9964,1.9617,1.9617,459526,0
1984-09-18,1.9439,1.9527,1.9089,1.9089,252145,0
1984-09-19,1.9089,1.9964,1.9089,1.9792,1048781,0
1984-09-20,1.9878,1.9964,1.9792,1.9792,497898,0
1984-09-21,1.9792,1.9878,1.8653,1.8653,243010,0
1984-09-24,1.8391,1.8565,1.8302,1.8565,167182,0
1984-09-25,1.8653,1.8653,1.8391,1.8565,87703,0
1984-09-26,1.8391,1.9439,1.8391,1.9265,711671,0
1984-09-27,1.9355,1.9617,1.8916,1.9089,454959,0
1984-09-28,1.9089,1.9089,1.8565,1.9002,160789,0
1984-10-01,1.9002,1.9002,1.8653,1.8916,46594,0
1984-10-02,1.8653,1.8916,1.8391,1.8391,159875,0
1984-10-03,1.8565,1.874,1.8391,1.8476,418414,0
1984-10-04,1.8653,1.874,1.8391,1.8476,126074,0
1984-10-05,1.8476,1.8565,1.8391,1.8476,65778,0
1984-10-08,1.8476,1.8476,1.8217,1.8302,31976,0
1984-10-09,1.8302,1.8302,1.8128,1.8128,128812,0
1984-10-10,1.795,1.8128,1.795,1.8128,108716,0
1984-10-11,1.8217,1.8217,1.795,1.795,107803,0
1984-10-12,1.7864,1.795,1.7688,1.7688,319750,0
1984-10-15,1.7514,1.795,1.7514,1.795,211949,0
1984-10-16,1.795,1.795,1.7602,1.7688,107803,0
1984-10-17,1.7776,1.7864,1.7776,1.7864,67607,0
1984-10-18,1.7688,1.7688,1.7514,1.7514,158046,0
1984-10-19,1.7688,1.7864,1.7602,1.7602,211949,0
1984-10-22,1.7337,1.7602,1.7337,1.7602,68516,0
1984-10-23,1.7776,1.874,1.7602,1.8217,718069,0
1984-10-24,1.8128,1.8217,1.6723,1.6988,4077267,0
1984-10-25,1.6988,1.7163,1.6723,1.7163,740906,0
1984-10-26,1.6988,1.7163,1.6814,1.6901,155307,0
1984-10-29,1.6814,1.6988,1.6463,1.655,172664,0
1984-10-30,1.655,1.6901,1.6463,1.6901,171750,0
1984-10-31,1.6901,1.8128,1.6723,1.7688,5848680,0
1984-11-01,1.7514,1.8128,1.7337,1.8128,1476331,0
1984-11-02,1.795,1.8037,1.7864,1.795,112371,0
1984-11-05,1.7776,1.7864,1.7337,1.7776,282294,0
1984-11-06,1.795,1.8128,1.7864,1.8128,524387,0
1984-11-07,1.8128,1.8128,1.7688,1.7688,127900,0
1984-11-08,1.7602,1.7776,1.7602,1.7602,59382,0
1984-11-09,1.7688,1.7776,1.7602,1.7602,41111,0
1984-11-12,1.7514,1.7514,1.7337,1.7337,23751,0
1984-11-13,1.7337,1.7337,1.7337,1.7337,64867,0
1984-11-14,1.7163,1.7163,1.6723,1.6901,356294,0
1984-11-15,1.6988,1.6988,1.6723,1.6901,232961,0
1984-11-16,1.6723,1.7078,1.6463,1.6988,706192,0
1984-11-19,1.6638,1.6638,1.62,1.6375,221085,0
1984-11-20,1.655,1.655,1.6287,1.6287,131555,0
1984-11-21,1.6287,1.6375,1.6111,1.6287,101408,0
1984-11-23,1.6287,1.6375,1.5937,1.5937,119679,0
1984-11-26,1.5762,1.5762,1.5063,1.5063,198242,0
1984-11-27,1.5063,1.5149,1.4361,1.4799,545400,0
1984-11-28,1.4799,1.5239,1.4449,1.4887,571896,0
1984-11-29,1.4887,1.5414,1.4709,1.5149,1970573,0
1984-11-30,1.5324,1.5762,1.5063,1.5675,763744,0
1984-12-03,1.5499,1.5587,1.5324,1.5499,125158,0
1984-12-04,1.5324,1.5762,1.5324,1.5499,570980,0
1984-12-05,1.5499,1.5762,1.5149,1.5414,775620,0
1984-12-06,1.5324,1.5937,1.5324,1.5675,814902,0
1984-12-07,1.5499,1.5587,1.5414,1.5499,813990,0
1984-12-10,1.5239,1.5499,1.5149,1.5499,651375,0
1984-12-11,1.5499,1.5587,1.5324,1.5324,188195,0
1984-12-12,1.5324,1.5414,1.5239,1.5324,316097,0
1984-12-13,1.5149,1.5499,1.5149,1.5499,225648,0
1984-12-14,1.5414,1.5851,1.5324,1.5851,360861,0
1984-12-17,1.5851,1.6111,1.5851,1.5851,246664,0
1984-12-18,1.5937,1.6375,1.5587,1.6375,826779,0
1984-12-19,1.6287,1.6375,1.5851,1.6111,465008,0
1984-12-20,1.5851,1.5851,1.5414,1.5414,126985,0
1984-12-21,1.5587,1.5587,1.5324,1.5324,387354,0
1984-12-24,1.5324,1.5414,1.5324,1.5324,78565,0
1984-12-26,1.5414,1.5414,1.5324,1.5414,52077,0
1984-12-27,1.5324,1.5414,1.5149,1.5239,390093,0
1984-12-28,1.5149,1.5149,1.5063,1.5149,265850,0
1984-12-31,1.5063,1.5149,1.4974,1.5063,317009,0
1985-01-02,1.5239,1.5762,1.5149,1.5675,255800,0
1985-01-03,1.5499,1.5675,1.5414,1.5587,150739,0
1985-01-04,1.5675,1.5851,1.5499,1.5587,225648,0
1985-01-07,1.5675,1.5762,1.5499,1.5499,80395,0
1985-01-08,1.5414,1.5762,1.5414,1.5762,224741,0
1985-01-09,1.5937,1.655,1.5762,1.6463,578294,0
1985-01-10,1.6375,1.6901,1.6375,1.6814,475057,0
1985-01-11,1.6638,1.6814,1.6638,1.6723,170837,0
1985-01-14,1.6723,1.7078,1.6723,1.7078,153481,0
1985-01-15,1.7163,1.7163,1.6463,1.6463,583771,0
1985-01-16,1.6638,1.6814,1.6463,1.6463,636763,0
1985-01-17,1.6463,1.6463,1.6463,1.6463,29234,0
1985-01-18,1.6287,1.655,1.6287,1.655,127900,0
1985-01-21,1.6463,1.6463,1.6111,1.6111,257626,0
1985-01-22,1.6287,1.6463,1.6111,1.6463,543571,0
1985-01-23,1.6638,1.6638,1.6375,1.6638,221085,0
1985-01-24,1.6723,1.7163,1.6638,1.7163,417504,0
1985-01-25,1.7163,1.7514,1.7078,1.7078,732684,0
1985-01-28,1.6988,1.7078,1.6814,1.6901,171750,0
1985-01-29,1.6988,1.6988,1.6723,1.6814,379133,0
1985-01-30,1.7163,1.7514,1.7078,1.7337,1161148,0
1985-01-31,1.7514,1.7776,1.7514,1.7602,1395933,0
1985-02-01,1.7688,1.7776,1.7602,1.7688,737251,0
1985-02-04,1.7688,1.8037,1.7688,1.795,683350,0
1985-02-05,1.8128,1.8476,1.8128,1.8391,1779637,0
1985-02-06,1.8391,1.8476,1.8302,1.8302,281378,0
1985-02-07,1.8302,1.8476,1.8217,1.8302,347155,0
1985-02-08,1.8128,1.9002,1.8128,1.9002,1379491,0
1985-02-11,1.9089,1.9178,1.9002,1.9178,644067,0
1985-02-12,1.9089,1.9089,1.8391,1.8391,303306,0
1985-02-13,1.8391,1.8391,1.795,1.795,519822,0
1985-02-14,1.8391,1.8476,1.8128,1.8128,317009,0
1985-02-15,1.8128,1.8217,1.8037,1.8217,400142,0
1985-02-19,1.8217,1.8302,1.8037,1.8037,1389541,0
1985-02-20,1.795,1.8391,1.795,1.8302,585601,0
1985-02-21,1.8302,1.8565,1.8217,1.8391,453130,0
1985-02-22,1.8391,1.8565,1.8391,1.8476,283206,0
1985-02-25,1.8476,1.8476,1.8037,1.8037,274982,0
1985-02-26,1.8302,1.8391,1.7776,1.8217,855100,0
1985-02-27,1.7864,1.795,1.7776,1.795,250319,0
1985-02-28,1.795,1.8302,1.795,1.8128,1526577,0
1985-03-01,1.8128,1.8476,1.8128,1.8476,843227,0
1985-03-04,1.8217,1.8391,1.8037,1.8037,387354,0
1985-03-05,1.8037,1.8128,1.7688,1.795,162617,0
1985-03-06,1.795,1.795,1.7776,1.7776,651375,0
1985-03-07,1.7688,1.7776,1.7337,1.7776,341676,0
1985-03-08,1.7602,1.7602,1.7337,1.7602,102322,0
1985-03-11,1.7337,1.7337,1.7163,1.7252,105061,0
1985-03-12,1.7078,1.7514,1.6814,1.7337,553621,0
1985-03-13,1.7514,1.7602,1.6901,1.6901,226568,0
1985-03-14,1.7078,1.7514,1.6988,1.7337,165357,0
1985-03-15,1.7602,1.7602,1.7252,1.7602,91358,0
1985-03-18,1.7602,1.7602,1.7514,1.7602,156220,0
1985-03-19,1.7602,1.7602,1.7337,1.7602,124247,0
1985-03-20,1.7602,1.7602,1.7337,1.7337,74913,0
1985-03-21,1.7163,1.7514,1.6988,1.7514,290515,0
1985-03-22,1.7337,1.7688,1.7252,1.7688,384612,0
1985-03-25,1.7514,1.7688,1.7163,1.7514,244838,0
1985-03-26,1.7252,1.7252,1.7163,1.7163,26495,0
1985-03-27,1.6988,1.7163,1.6988,1.7078,33801,0
1985-03-28,1.6988,1.7252,1.6988,1.7163,104148,0
1985-03-29,1.7078,1.7514,1.6901,1.7514,122415,0
1985-04-01,1.7514,1.7514,1.7078,1.7163,286860,0
1985-04-02,1.6988,1.7078,1.6901,1.7078,47508,0
1985-04-03,1.7078,1.7078,1.6638,1.6814,123333,0
1985-04-04,1.6988,1.6988,1.6463,1.655,86789,0
1985-04-08,1.655,1.6638,1.5675,1.5675,166271,0
1985-04-09,1.5851,1.5937,1.5675,1.5937,198242,0
1985-04-10,1.62,1.6463,1.6111,1.6463,97750,0
1985-04-11,1.6638,1.6723,1.655,1.6723,55727,0
1985-04-12,1.655,1.6723,1.6463,1.6723,314268,0
1985-04-15,1.6723,1.6814,1.6723,1.6723,218345,0
1985-04-16,1.6814,1.6814,1.655,1.655,63950,0
1985-04-17,1.655,1.6723,1.655,1.655,84963,0
1985-04-18,1.6463,1.6723,1.5414,1.5675,502466,0
1985-04-19,1.5675,1.5762,1.5499,1.5675,381873,0
1985-04-22,1.5675,1.5937,1.5675,1.5937,251232,0
1985-04-23,1.5937,1.6463,1.5937,1.6375,84963,0
1985-04-24,1.6287,1.6988,1.6287,1.6814,169012,0
1985-04-25,1.6988,1.7252,1.6814,1.6814,307874,0
1985-04-26,1.6814,1.7078,1.6638,1.6901,110543,0
1985-04-29,1.6814,1.6988,1.6463,1.6463,128812,0
1985-04-30,1.6287,1.6638,1.62,1.6638,73086,0
1985-05-01,1.6814,1.7078,1.6723,1.6988,133377,0
1985-05-02,1.6901,1.6901,1.6814,1.6814,36544,0
1985-05-03,1.6901,1.7078,1.6901,1.6988,98665,0
1985-05-06,1.6814,1.7078,1.6814,1.6988,74913,0
1985-05-07,1.6988,1.7078,1.6901,1.6988,248492,0
1985-05-08,1.7078,1.7078,1.6901,1.6901,169924,0
1985-05-09,1.6988,1.7163,1.6814,1.7078,78565,0
1985-05-10,1.7163,1.7163,1.6988,1.6988,65778,0
1985-05-13,1.7163,1.7163,1.6988,1.7078,67607,0
1985-05-14,1.6988,1.7602,1.6988,1.7337,724461,0
1985-05-15,1.7514,1.7602,1.7337,1.7337,53899,0
1985-05-16,1.7602,1.7688,1.7514,1.7602,278638,0
1985-05-17,1.7337,1.8037,1.7337,1.795,192766,0
1985-05-20,1.795,1.8302,1.795,1.8128,311525,0
1985-05-21,1.795,1.8217,1.795,1.795,296909,0
1985-05-22,1.795,1.795,1.7078,1.7163,255800,0
1985-05-23,1.7337,1.7776,1.7337,1.7337,176320,0
1985-05-24,1.7514,1.7602,1.7252,1.7514,108716,0
1985-05-28,1.7514,1.7688,1.7252,1.7602,242097,0
1985-05-29,1.7602,1.7602,1.7337,1.7602,112371,0
1985-05-30,1.7688,1.7688,1.7252,1.7602,110543,0
1985-05-31,1.7688,1.7864,1.7252,1.7864,274982,0
1985-06-03,1.7688,1.8302,1.7688,1.8302,443994,0
1985-06-04,1.8302,1.8391,1.795,1.795,322490,0
1985-06-05,1.795,1.795,1.7337,1.7337,123333,0
1985-06-06,1.7337,1.7776,1.7252,1.7602,322490,0
1985-06-07,1.7688,1.8128,1.7688,1.8037,530782,0
1985-06-10,1.8037,1.8302,1.8037,1.8302,547227,0
1985-06-11,1.8302,1.8476,1.8217,1.8302,732684,0
1985-06-12,1.8302,1.9178,1.8302,1.9089,1262555,0
1985-06-13,1.9265,1.9964,1.9178,1.9439,841400,0
1985-06-14,1.9527,1.9792,1.9265,1.9617,793895,0
1985-06-17,1.9527,1.9617,1.9089,1.9089,295084,0
1985-06-18,1.9178,1.9439,1.9178,1.9439,96840,0
1985-06-19,1.9439,1.9878,1.9439,1.97,906263,0
1985-06-20,1.9878,1.9964,1.9089,1.9265,1439787,0
1985-06-21,1.9178,1.9617,1.9178,1.9527,243010,0
1985-06-24,1.9527,1.97,1.9355,1.9527,253976,0
1985-06-25,1.97,1.97,1.9355,1.9439,184542,0
1985-06-26,1.9617,1.9792,1.9527,1.9617,117848,0
1985-06-27,1.9792,2.0139,1.9792,2.0054,440341,0
1985-06-28,2.0054,2.0054,1.9439,2.0054,422069,0
1985-07-01,2.0139,2.0405,2.0139,2.0317,442168,0
1985-07-02,2.0317,2.0491,2.0317,2.0491,53899,0
1985-07-03,2.0405,2.0667,2.0405,2.0579,142515,0
1985-07-05,2.0491,2.0579,2.0317,2.0317,241183,0
1985-07-08,2.0139,2.0491,1.9878,1.9878,60294,0
1985-07-09,1.97,1.9964,1.97,1.9878,43851,0
1985-07-10,1.9964,2.0054,1.9878,2.0054,115110,0
1985-07-11,2.0054,2.0317,2.0054,2.0317,115110,0
1985-07-12,2.0491,2.0579,2.0139,2.0139,1005839,0
1985-07-15,1.9964,2.0054,1.97,1.9792,82222,0
1985-07-16,1.9792,2.0139,1.97,2.0139,184542,0
1985-07-17,2.0317,2.0317,1.9964,1.9964,46594,0
1985-07-18,1.9964,2.0054,1.9878,2.0054,14621,0
1985-07-19,2.0139,2.0491,2.0139,2.0491,373647,0
1985-07-22,2.0405,2.0491,2.0405,2.0405,42935,0
1985-07-23,2.0491,2.0491,2.0139,2.0317,58466,0
1985-07-24,2.0054,2.0317,1.9792,2.0317,177233,0
1985-07-25,2.0139,2.0139,1.97,1.97,46594,0
1985-07-26,1.9617,1.9964,1.9617,1.9792,90445,0
1985-07-29,1.9964,1.9964,1.9617,1.9792,128812,0
1985-07-30,1.9617,1.9792,1.9617,1.97,101408,0
1985-07-31,1.9878,1.9878,1.9617,1.9617,42022,0
1985-08-01,1.9527,1.9527,1.9439,1.9439,145259,0
1985-08-02,1.9792,1.9792,1.97,1.9792,98665,0
1985-08-05,1.97,1.9964,1.97,1.9964,281378,0
1985-08-06,2.0054,2.0054,1.9792,1.9792,52987,0
1985-08-07,1.9792,1.9792,1.9439,1.9617,838657,0
1985-08-08,1.9527,1.97,1.9527,1.9617,26495,0
1985-08-09,1.9617,1.9964,1.9617,1.9878,276812,0
1985-08-12,1.97,1.9878,1.9617,1.9617,18270,0
1985-08-13,1.9527,1.9527,1.9439,1.9439,79480,0
1985-08-14,1.9617,1.9792,1.9527,1.9527,73086,0
1985-08-15,1.97,1.9792,1.9527,1.9527,101408,0
1985-08-16,1.9355,1.9527,1.874,1.874,133377,0
1985-08-19,1.874,1.874,1.8565,1.8653,287776,0
1985-08-20,1.8565,1.8565,1.8302,1.8565,35631,0
1985-08-21,1.8565,1.9178,1.8565,1.9089,437598,0
1985-08-22,1.9089,1.9089,1.8565,1.8565,291431,0
1985-08-23,1.8565,1.8653,1.8565,1.8653,67607,0
1985-08-26,1.8653,1.8653,1.8476,1.8653,83135,0
1985-08-27,1.8565,1.8653,1.8565,1.8653,15533,0
1985-08-28,1.8391,1.8391,1.8217,1.8302,96840,0
1985-08-29,1.8128,1.8217,1.8037,1.8128,31976,0
1985-08-30,1.8128,1.8302,1.8128,1.8217,56640,0
1985-09-03,1.8128,1.8302,1.8128,1.8302,48418,0
1985-09-04,1.8391,1.8391,1.8128,1.8128,21924,0
1985-09-05,1.8302,1.8391,1.8128,1.8217,257626,0
1985-09-06,1.8217,1.8391,1.8217,1.8302,47508,0
1985-09-09,1.8217,1.8565,1.8217,1.8565,88617,0
1985-09-10,1.8476,1.9089,1.8476,1.8916,138863,0
1985-09-11,1.874,1.9002,1.874,1.9002,118763,0
1985-09-12,1.874,1.9089,1.874,1.9089,191848,0
1985-09-13,1.8916,1.8916,1.8565,1.8565,84052,0
1985-09-16,1.8391,1.8916,1.8391,1.8916,104148,0
1985-09-17,1.8653,1.8916,1.8653,1.8653,219255,0
1985-09-18,1.874,1.874,1.8653,1.8653,147998,0
1985-09-19,1.8565,1.8916,1.8565,1.8916,69430,0
1985-09-20,1.8916,1.9002,1.874,1.8916,460440,0
1985-09-23,1.8916,1.9002,1.8565,1.8565,537181,0
1985-09-24,1.8476,1.8916,1.8476,1.8653,116936,0
1985-09-25,1.8476,1.8565,1.8391,1.8476,382787,0
1985-09-26,1.8302,1.8302,1.8128,1.8217,34717,0
1985-09-30,1.8128,1.8302,1.8128,1.8217,305133,0
1985-10-01,1.8302,1.8302,1.8128,1.8302,153481,0
1985-10-02,1.8217,1.8476,1.8128,1.8476,74913,0
1985-10-03,1.8302,1.874,1.8302,1.8565,96840,0
1985-10-04,1.8565,1.8653,1.8476,1.8476,22837,0
1985-10-07,1.8476,1.8653,1.8476,1.8565,46594,0
1985-10-08,1.8476,1.8476,1.8302,1.8391,344417,0
1985-10-09,1.8476,1.8476,1.8128,1.8128,105061,0
1985-10-10,1.8128,1.8302,1.8037,1.8217,65778,0
1985-10-11,1.8128,1.8302,1.8128,1.8217,45680,0
1985-10-14,1.8302,1.8302,1.8037,1.8217,67607,0
1985-10-15,1.8217,1.8302,1.8217,1.8302,318835,0
1985-10-16,1.8302,1.8391,1.8217,1.8217,139778,0
1985-10-17,1.8217,1.8302,1.8128,1.8302,101408,0
1985-10-18,1.8128,1.8217,1.8128,1.8128,22837,0
1985-10-21,1.8128,1.8302,1.8128,1.8302,53899,0
1985-10-22,1.8391,1.8391,1.795,1.8128,100495,0
1985-10-23,1.8302,1.8302,1.8217,1.8302,947372,0
1985-10-24,1.8391,1.8565,1.8391,1.8565,78565,0
1985-10-25,1.8653,1.8653,1.8476,1.8565,29234,0
1985-10-28,1.8391,1.8565,1.8391,1.8391,28320,0
1985-10-29,1.8302,1.8916,1.8302,1.874,67607,0
1985-10-30,1.8916,1.9002,1.8565,1.8565,134295,0
1985-10-31,1.8565,1.8653,1.8476,1.8653,62121,0
1985-11-01,1.874,1.8916,1.8565,1.8653,59382,0
1985-11-04,1.8476,1.8653,1.8391,1.8565,63039,0
1985-11-05,1.874,1.9089,1.874,1.8916,49333,0
1985-11-06,1.874,1.9002,1.874,1.9002,30149,0
1985-11-07,1.874,1.9002,1.874,1.9002,31976,0
1985-11-08,1.874,1.874,1.8565,1.8653,85874,0
1985-11-11,1.8476,1.8653,1.8302,1.8653,275896,0
1985-11-12,1.8476,1.9089,1.8476,1.8916,83135,0
1985-11-13,1.8916,1.9089,1.874,1.9002,66689,0
1985-11-14,1.8916,1.9265,1.8916,1.9265,147084,0
1985-11-15,1.9265,1.9265,1.9089,1.9265,141602,0
1985-11-18,1.9089,1.9265,1.9002,1.9265,54815,0
1985-11-19,1.9355,1.9439,1.9178,1.9355,122415,0
1985-11-20,1.9178,1.9265,1.9089,1.9265,46594,0
1985-11-21,1.9178,1.9355,1.9178,1.9355,95925,0
1985-11-22,1.9439,1.9439,1.9178,1.9355,64867,0
1985-11-25,1.9178,1.9178,1.8653,1.8653,73998,0
1985-11-26,1.8653,1.8916,1.8565,1.8653,79480,0
1985-11-27,1.874,1.8916,1.8565,1.8653,35631,0
1985-11-29,1.8653,1.8916,1.8653,1.8653,26495,0
1985-12-02,1.8653,1.9265,1.8653,1.9265,253976,0
1985-12-03,1.9089,1.9178,1.874,1.9002,104148,0
1985-12-04,1.9178,1.9355,1.9089,1.9355,61210,0
1985-12-05,1.9178,1.9265,1.9002,1.9002,65778,0
1985-12-06,1.9002,1.9002,1.8476,1.874,740906,0
1985-12-09,1.8653,1.8916,1.8391,1.8565,67607,0
1985-12-10,1.8565,1.8565,1.8302,1.8476,1581391,0
1985-12-11,1.8391,1.8565,1.8391,1.8476,286860,0
1985-12-12,1.8565,1.8565,1.8302,1.8476,572810,0
1985-12-13,1.8476,1.8565,1.8391,1.8565,306961,0
1985-12-16,1.8391,1.8653,1.8391,1.8653,554537,0
1985-12-17,1.8565,1.8565,1.8391,1.8476,83135,0
1985-12-18,1.8391,1.8476,1.8302,1.8476,154389,0
1985-12-19,1.8653,1.874,1.8565,1.8653,95012,0
1985-12-20,1.8565,1.8916,1.8391,1.8653,227478,0
1985-12-23,1.8565,1.874,1.8476,1.8565,143429,0
1985-12-24,1.8476,1.8476,1.8391,1.8391,11876,0
1985-12-26,1.8476,1.8476,1.8391,1.8391,12789,0
1985-12-27,1.8391,1.8565,1.8302,1.8565,171750,0
1985-12-30,1.8391,1.9089,1.8391,1.9089,182714,0
1985-12-31,1.9089,1.9617,1.8916,1.9617,216518,0
1986-01-02,1.9792,1.9792,1.9439,1.9439,137038,0
1986-01-03,1.9617,1.9617,1.9439,1.9527,134295,0
1986-01-06,1.97,1.9792,1.9265,1.9355,391926,0
1986-01-07,1.9265,1.9527,1.9089,1.9355,158046,0
1986-01-08,1.9265,1.9439,1.9089,1.9265,824951,0
1986-01-09,1.9089,1.9265,1.9002,1.9265,176320,0
1986-01-10,1.9178,1.9617,1.8916,1.8916,369082,0
1986-01-13,1.874,1.874,1.8565,1.874,72175,0
1986-01-14,1.874,1.874,1.8565,1.8653,813990,0
1986-01-15,1.8653,1.8916,1.8653,1.8916,36544,0
1986-01-16,1.874,1.8916,1.8653,1.874,249407,0
1986-01-17,1.8916,1.9002,1.874,1.874,62121,0
1986-01-20,1.874,1.8916,1.8653,1.8916,109627,0
1986-01-21,1.874,1.9002,1.874,1.874,35631,0
1986-01-22,1.8916,1.9002,1.8565,1.8653,174493,0
1986-01-23,1.8565,1.874,1.8565,1.874,33801,0
1986-01-24,1.8653,1.8916,1.8565,1.8916,79480,0
1986-01-27,1.874,1.874,1.8565,1.8565,159875,0
1986-01-28,1.8565,1.8653,1.8565,1.8653,348981,0
1986-01-29,1.8653,1.874,1.8476,1.8476,682438,0
1986-01-30,1.8565,1.8565,1.8476,1.8565,126074,0
1986-01-31,1.8476,1.8916,1.8391,1.8916,577377,0
1986-02-03,1.8916,1.8916,1.8653,1.874,422069,0
1986-02-04,1.874,1.874,1.8037,1.8037,151657,0
1986-02-05,1.7602,1.7776,1.7337,1.7514,183629,0
1986-02-06,1.7688,1.8476,1.7602,1.8128,316097,0
1986-02-07,1.8128,1.8128,1.7688,1.795,122415,0
1986-02-10,1.8037,1.8565,1.795,1.8565,39282,0
1986-02-11,1.8565,1.8916,1.8302,1.8391,386439,0
1986-02-12,1.8565,1.8565,1.8217,1.8302,76739,0
