Date,Open,High,Low,Close,Volume,OpenInt
2013-06-14,8.5,8.5,7.6403,8,19446,0
2013-06-17,8,8,7.762,7.95,1491,0
2013-06-18,7.81,8,7.7809,7.9965,5566,0
2013-06-19,8.04,8.05,8.01,8.0199,4795,0
2013-06-20,8.05,8.2,8.05,8.2,19722,0
2013-06-21,7.6,8.34,7.6,8.2404,17239,0
2013-06-24,8.14,8.749,5.94,8.15,27411,0
2013-06-25,8.16,8.2,7.8,8,15632,0
2013-06-26,7.95,7.95,7.5,7.75,25419,0
2013-06-27,7.7,8.06,7.4,7.9,15207,0
2013-06-28,8.02,8.05,7.6,8,4454,0
2013-07-01,7.83,8,7.33,7.89,7086,0
2013-07-02,7.51,7.85,7.5,7.65,18167,0
2013-07-03,7.48,7.8499,7.03,7.35,15486,0
2013-07-05,7.41,7.8,7.101,7.4,13830,0
2013-07-08,7.5899,7.65,7.481,7.602,53956,0
2013-07-09,7.3,7.47,7.15,7.44,16500,0
2013-07-10,7.43,7.73,6.99,7.25,50314,0
2013-07-11,7.1,7.2,6.8,7.09,19686,0
2013-07-12,7.09,7.5,6.8,7.1899,58355,0
2013-07-15,7.18,7.47,7.13,7.14,32654,0
2013-07-16,7.25,7.25,6.95,7.1671,6508,0
2013-07-17,7.16,7.16,6.95,6.98,4935,0
2013-07-18,6.95,7.06,6.8,6.91,17127,0
2013-07-19,6.89,7.125,6.11,6.45,37002,0
2013-07-22,7.24,7.24,5.94,6.15,56872,0
2013-07-23,6.15,6.17,6,6.1172,16562,0
2013-07-24,6.21,6.33,6.05,6.05,16497,0
2013-07-25,6.01,6.48,5.9,5.91,24560,0
2013-07-26,5.95,6.03,5.771,5.95,27279,0
2013-07-29,6.05,6.2499,5.8,6.1,10100,0
2013-07-30,6,6.24,5.9601,6.13,10884,0
2013-07-31,6.25,6.3899,6.099,6.35,19530,0
2013-08-01,6.48,6.48,6.2988,6.35,24956,0
2013-08-02,6.2,6.2,6.14,6.1999,4700,0
2013-08-05,6.11,6.2,6.0228,6.09,32653,0
2013-08-06,6.2,6.39,6.05,6.3,19616,0
2013-08-07,6.31,6.4,6.1,6.149,14998,0
2013-08-08,6.3,6.36,6,6.228,31801,0
2013-08-09,6.19,6.29,6,6.28,11734,0
2013-08-12,6.26,6.26,6.185,6.2,3588,0
2013-08-13,6.01,6.1724,6.01,6.1,9611,0
2013-08-14,6.07,6.07,6.011,6.05,1834,0
2013-08-15,6,6.2,5.85,6.2,16952,0
2013-08-16,6.15,6.2215,6.15,6.2215,300,0
2013-08-19,6.22,6.22,6.07,6.12,4579,0
2013-08-20,6.2,6.2,6.05,6.07,10372,0
2013-08-21,6.06,6.0968,6.0587,6.09,2084,0
2013-08-22,6.09,6.15,6.05,6.05,5933,0
2013-08-23,6.18,6.18,6.0501,6.159,16668,0
