Date,Open,High,Low,Close,Volume,OpenInt
2017-03-29,23.2101,23.26,22.75,22.75,2215,0
2017-03-30,22.07,22.21,21.49,21.53,16191,0
2017-03-31,21.87,21.87,21,21.07,9059,0
2017-04-03,21.15,21.66,21.15,21.6,13611,0
2017-04-04,21.12,21.12,20.5,20.5846,26276,0
2017-04-05,19.75,20.88,19.6264,20.75,97197,0
2017-04-06,19.93,19.93,16.304,19.8536,1473,0
2017-04-07,19.5788,19.5801,19.15,19.2386,12674,0
2017-04-10,18.51,18.55,18.28,18.3,10965,0
2017-04-11,18.29,18.5462,18,18.07,14982,0
2017-04-12,17.7436,18.4004,17.65,18.3856,18958,0
2017-04-13,17.99,18.36,17.9,18.26,14688,0
2017-04-17,18.2593,18.5996,18.1977,18.5942,5092,0
2017-04-18,18.91,19.13,18.61,18.6428,24353,0
2017-04-19,18.7301,21.31,18.7214,20.92,114328,0
2017-04-20,21.08,21.3,20.61,21.238,13971,0
2017-04-21,21.26,22.9261,21.26,22.56,16678,0
2017-04-24,22.9,23.2,22.85,23,11871,0
2017-04-25,23.13,23.13,22.21,22.2102,21258,0
2017-04-26,23.109,23.15,21.85,22.7603,15855,0
2017-04-27,23.81,24.24,23.0323,23.0323,4326,0
2017-04-28,22.801,23.58,22.47,23.15,17616,0
2017-05-01,23.54,23.8716,23.39,23.65,18620,0
2017-05-02,23.68,25.8,23.68,25.27,22405,0
2017-05-03,24.9327,25.6504,24.77,24.93,52982,0
2017-05-04,26.55,28.73,26.55,28.72,52175,0
2017-05-05,28.62,28.62,26.48,26.99,20491,0
2017-05-08,26.59,27.88,26.18,26.77,14083,0
2017-05-09,27.478,28.0322,27.1199,27.62,17230,0
2017-05-10,26.49,26.53,24.3301,25.03,54601,0
2017-05-11,24.47,24.67,23.85,24.47,10231,0
2017-05-12,24.3,25.08,24.24,24.32,44327,0
2017-05-15,22,23.0304,21.99,22.8,72757,0
2017-05-16,22.47,23.32,22.33,23.221,45763,0
2017-05-17,22.53,23.2,21.9852,22.62,62321,0
2017-05-18,23.25,23.25,21.92,22.25,43930,0
2017-05-19,21.32,21.32,20.7,20.81,108962,0
2017-05-22,20.33,20.57,20.08,20.4,86081,0
2017-05-23,20.1,20.33,19.8,19.84,47039,0
2017-05-24,19.95,20.35,19.48,20.04,59660,0
2017-05-25,20.6,23.45,20.2,23.2,364461,0
2017-05-26,22.67,22.86,21.56,21.66,83671,0
2017-05-30,22.32,22.54,21.58,21.96,133262,0
2017-05-31,23.54,24.25,23.24,23.65,111069,0
2017-06-01,23.41,24,21.66,24,98162,0
2017-06-02,24.65,25.25,23.95,24.34,128097,0
2017-06-05,25.39,25.6105,24.74,24.88,92347,0
2017-06-06,25.29,25.31,23.4704,23.55,77612,0
2017-06-07,24.51,27.33,24.29,27.1799,187033,0
2017-06-08,27.81,27.82,26.72,27.49,61276,0
2017-06-09,27.18,27.49,26.5,26.99,40273,0
2017-06-12,25.87,26.7,25.56,26.693,27188,0
2017-06-13,26.84,27.47,25.94,26.1,43143,0
2017-06-14,26.61,29.25,26.36,28.98,259019,0
2017-06-15,29.2,29.57,28.96,29.5,31099,0
2017-06-16,28.79,29.16,28.75,28.9,22469,0
2017-06-19,28.492,30.03,28.37,29.93,53503,0
2017-06-20,31.9,32.66,31.45,31.65,66672,0
2017-06-21,31.52,34.74,30.16,34.2186,201955,0
2017-06-22,33.24,33.5,32.0657,33.38,80653,0
2017-06-23,33.3412,33.71,32.19,32.39,65983,0
2017-06-26,32.28,33.47,31.6184,31.66,35540,0
2017-06-27,31.01,31.02,29.55,29.958,62654,0
2017-06-28,30.01,30.18,28.0762,28.9,110695,0
2017-06-29,28.25,29.03,27.65,28.72,64360,0
2017-06-30,27.73,28.05,26.19,26.24,125983,0
2017-07-03,25.77,25.77,25.18,25.27,71368,0
2017-07-05,25.56,28.1,25.5,28,208264,0
2017-07-06,26.38,27.59,25.3,27.53,171435,0
2017-07-07,28.7,30.22,28.54,29.36,267391,0
2017-07-10,29.97,30.04,28.35,29.03,85108,0
2017-07-11,29.34,29.47,27.38,27.71,118331,0
2017-07-12,25.96,27.66,25.27,27.14,227334,0
2017-07-13,26.75,26.89,25.7,25.98,175696,0
2017-07-14,25.4,25.87,24.89,25.01,183897,0
2017-07-17,25.3,26.04,25,26.02,87424,0
2017-07-18,24.86,25.88,24.84,25.26,108490,0
2017-07-19,25,25.1,23.99,24.2331,97167,0
2017-07-20,23.59,24.9,23.55,24.82,90935,0
2017-07-21,25.13,26.97,25.1,26.8,190150,0
2017-07-24,25.8,25.92,25.4,25.52,90792,0
2017-07-25,23.99,24.28,22.98,23.03,239353,0
2017-07-26,22.39,22.98,21.65,21.87,201285,0
2017-07-27,21.55,22.08,21.17,21.31,136461,0
2017-07-28,21.05,21.09,20.41,20.56,206382,0
2017-07-31,20.68,21.1,19.69,19.8799,122012,0
2017-08-01,20.55,22.1,20.5,21.06,271845,0
2017-08-02,21.11,21.92,20.57,20.67,174731,0
2017-08-03,20.27,21.61,20.16,21.41,193757,0
2017-08-04,21.3001,21.7,20.57,20.77,165943,0
2017-08-07,21.41,21.87,20.83,20.94,200761,0
2017-08-08,21.34,21.48,20.62,21.22,164625,0
