Date,Open,High,Low,Close,Volume,OpenInt
2014-10-09,13.17,13.639,12.463,13.122,9660549,0
2014-10-10,13.054,13.262,12.756,13.044,1898789,0
2014-10-13,13.074,13.619,12.895,13.17,869312,0
2014-10-14,13.179,13.403,13.026,13.17,321108,0
2014-10-15,13.074,13.271,13.026,13.17,604798,0
2014-10-16,13.093,13.17,12.935,13.083,656775,0
2014-10-17,13.009,13.214,13,13.131,327684,0
2014-10-20,13.044,13.441,13.026,13.441,165272,0
2014-10-21,13.498,13.876,13.403,13.807,425831,0
2014-10-22,13.639,14.41,13.517,13.826,429438,0
2014-10-23,13.836,13.948,13.412,13.639,183529,0
2014-10-24,13.572,14.118,13.376,14.016,235730,0
2014-10-27,13.876,13.92,13.648,13.885,68501,0
2014-10-28,13.706,14.118,13.46,14.109,159995,0
2014-10-29,14.109,14.118,13.752,13.903,114006,0
2014-10-30,13.826,13.856,13.639,13.76,126691,0
2014-10-31,13.78,14.109,13.77,14.081,115556,0
2014-11-03,14.054,14.146,13.648,13.866,62124,0
2014-11-04,13.903,14.034,13.17,13.826,220139,0
2014-11-05,14.034,14.297,13.572,14.224,374303,0
2014-11-06,14.194,14.803,13.93,14.486,227339,0
2014-11-07,14.673,14.842,14.447,14.74,282143,0
2014-11-10,14.721,14.862,14.476,14.533,235885,0
2014-11-11,14.437,15.058,14.224,14.456,418454,0
2014-11-12,14.579,15.048,14.437,14.75,392165,0
2014-11-13,14.797,15.334,14.513,14.663,302869,0
2014-11-14,14.636,14.862,14.364,14.644,249516,0
2014-11-17,14.759,15.324,14.486,14.813,476833,0
2014-11-18,14.803,14.983,14.608,14.731,226992,0
2014-11-19,14.768,14.871,13.885,14.232,294848,0
2014-11-20,14.429,14.862,14.214,14.437,130386,0
2014-11-21,14.673,14.74,14.486,14.543,125564,0
2014-11-24,14.437,14.852,14.437,14.654,100395,0
2014-11-25,14.579,14.889,14.373,14.579,201597,0
2014-11-26,14.513,14.813,14.494,14.759,84585,0
2014-11-28,14.654,14.788,14.287,14.579,78655,0
2014-12-01,14.608,14.673,14.447,14.598,180985,0
2014-12-02,14.654,15.048,14.552,14.626,371380,0
2014-12-03,14.654,14.823,14.392,14.654,185672,0
2014-12-04,14.513,14.813,14.373,14.579,110534,0
2014-12-05,14.608,15.048,14.608,14.852,124437,0
2014-12-08,14.842,15.078,14.721,14.976,243881,0
2014-12-09,14.956,15.369,14.833,14.992,651524,0
2014-12-10,14.788,15.2,14.788,15.012,315713,0
2014-12-11,15.173,15.493,14.823,15.068,257996,0
2014-12-12,14.956,15.256,14.721,14.928,211609,0
2014-12-15,15.068,15.2,14.654,15.032,318740,0
2014-12-16,14.983,15.314,14.813,14.833,401464,0
2014-12-17,14.823,15.304,14.644,15.135,649450,0
2014-12-18,15.237,15.643,15.105,15.425,321021,0
2014-12-19,15.586,15.935,15.192,15.688,2247811,0
2014-12-22,15.766,15.766,15.048,15.463,479110,0
2014-12-23,15.519,15.717,15.209,15.265,208233,0
2014-12-24,15.265,15.324,14.928,15.2,94844,0
2014-12-26,15.294,15.707,15.145,15.284,297228,0
2014-12-29,15.247,15.503,15.183,15.284,119202,0
2014-12-30,15.237,15.351,14.889,15.256,130719,0
2014-12-31,15.274,15.643,15.192,15.274,195729,0
2015-01-02,15.369,15.519,14.966,15.163,63759,0
2015-01-05,15.058,15.155,14.579,14.956,148070,0
2015-01-06,15.041,15.155,14.156,14.552,288328,0
2015-01-07,14.476,14.721,14.354,14.617,146380,0
2015-01-08,14.617,14.778,14.316,14.588,207697,0
2015-01-09,14.552,14.617,14.204,14.486,135845,0
2015-01-12,14.429,14.598,14.204,14.486,161123,0
2015-01-13,14.561,15.351,14.326,14.712,374736,0
2015-01-14,14.579,14.938,14.494,14.626,142668,0
2015-01-15,14.617,14.833,14.344,14.636,164986,0
2015-01-16,14.561,14.862,14.316,14.833,134911,0
2015-01-20,14.852,15.155,14.644,15.096,116209,0
2015-01-21,15.041,15.096,14.759,14.833,131839,0
2015-01-22,14.966,15.511,14.778,15.304,153552,0
2015-01-23,15.351,15.351,14.447,14.731,134412,0
2015-01-26,14.702,14.803,14.214,14.543,255543,0
2015-01-27,14.41,14.74,14.224,14.383,145463,0
2015-01-28,14.373,14.447,14.194,14.287,90584,0
2015-01-29,14.354,14.552,14.268,14.533,190596,0
2015-01-30,14.373,14.494,14.054,14.259,211998,0
2015-02-02,14.336,15.087,14.176,15.032,138303,0
2015-02-03,15.048,15.408,14.768,15.068,95035,0
2015-02-04,15.058,15.228,15.048,15.163,81861,0
2015-02-05,15.145,15.284,14.797,15.237,92001,0
