Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,7.9367,7.9862,7.887,7.9862,11793,0
2005-02-28,7.9367,7.9764,7.887,7.9665,11290,0
2005-03-01,7.9665,7.9665,7.8673,7.9267,13305,0
2005-03-02,7.9267,7.9267,7.659,7.768,17741,0
2005-03-03,7.6688,7.7185,7.6193,7.6688,7560,0
2005-03-04,7.7185,7.7185,7.5299,7.5398,4637,0
2005-03-07,7.5398,7.6193,7.4902,7.5498,4940,0
2005-03-08,7.5398,7.6093,7.5398,7.5498,7460,0
2005-03-09,7.5398,7.6688,7.5398,7.6291,38203,0
2005-03-10,7.5895,7.5895,7.3513,7.3513,10181,0
2005-03-11,7.3613,7.3613,6.7462,6.7958,141622,0
2005-03-14,6.6966,6.6966,6.3691,6.4683,53524,0
2005-03-15,6.4683,6.6271,6.4683,6.5875,15120,0
2005-03-16,6.5675,6.5875,6.4486,6.4783,16733,0
2005-03-17,6.3791,6.4386,6.1609,6.2006,17640,0
2005-03-18,6.2403,6.27,6.141,6.141,42638,0
2005-03-21,6.1509,6.1906,5.9624,5.9723,36186,0
2005-03-22,5.9723,6.2501,5.9624,6.0715,29433,0
2005-03-23,6.0815,6.2403,6.0715,6.1509,12297,0
2005-03-24,6.1509,6.4486,6.1509,6.389,57656,0
2005-03-28,6.4783,6.5875,6.399,6.4981,54330,0
2005-03-29,6.4981,6.5974,6.399,6.4486,22578,0
2005-03-30,6.4486,6.776,6.4287,6.7462,15321,0
2005-03-31,6.7958,6.7958,6.6767,6.766,21570,0
2005-04-01,6.8454,6.8454,6.5675,6.6866,11894,0
2005-04-04,6.6271,6.6271,6.3593,6.518,16530,0
2005-04-05,6.518,6.7163,6.4486,6.7163,44956,0
2005-04-06,6.6172,6.9942,6.5478,6.8155,27821,0
2005-04-07,6.895,6.895,6.776,6.8751,8870,0
2005-04-08,6.776,7.0438,6.776,6.9446,12297,0
2005-04-11,6.885,6.885,6.8155,6.8255,4435,0
2005-04-12,6.776,6.8653,6.7263,6.8553,6350,0
2005-04-13,6.8255,6.8355,6.7462,6.776,11693,0
2005-04-14,6.776,6.776,6.6569,6.6767,16530,0
2005-04-15,6.7263,6.7858,6.5478,6.5478,16833,0
2005-04-18,6.4981,6.4981,6.1806,6.2105,22781,0
2005-04-19,6.3097,6.3494,6.2105,6.3097,14918,0
2005-04-20,6.3097,6.3097,6.2006,6.2006,19656,0
2005-04-21,6.2501,6.2501,6.141,6.141,30946,0
2005-04-22,6.141,6.1708,6.141,6.1609,19958,0
2005-04-25,6.1609,6.1609,6.0021,6.0517,11390,0
2005-04-26,6.1014,6.1014,5.9823,6.0021,7963,0
2005-04-27,6.0517,6.0517,5.9723,6.012,15926,0
2005-04-28,6.0418,6.0715,5.9922,6.0021,24898,0
2005-04-29,5.9922,6.0219,5.9723,5.9823,21671,0
2005-05-02,6.0219,6.0815,5.9128,5.9823,13406,0
2005-05-03,5.9526,6.012,5.8534,5.8831,8668,0
2005-05-04,5.9426,6.012,5.9029,6.012,3428,0
2005-05-05,5.9526,6.0517,5.9526,5.9922,16330,0
2005-05-06,6.0517,6.0517,5.9526,6.0319,14413,0
2005-05-09,5.9326,6.0219,5.9029,5.9922,4637,0
2005-05-10,5.9426,6.2898,5.9426,6.2898,25703,0
2005-05-11,6.2998,6.3691,6.1609,6.2403,16632,0
2005-05-12,6.3097,6.3691,6.2006,6.2006,9273,0
2005-05-13,6.1014,6.1014,5.9029,5.9526,17035,0
2005-05-16,5.8731,6.2403,5.8731,6.1906,12600,0
2005-05-17,6.2898,6.2898,5.9326,5.9723,4940,0
2005-05-18,5.9723,6.1211,5.8534,5.9326,18245,0
2005-05-19,5.9029,5.9823,5.8534,5.8534,16027,0
2005-05-20,5.9526,6.012,5.8334,5.9426,38908,0
2005-05-23,5.893,5.9326,5.8731,5.9128,9173,0
2005-05-24,5.9128,6.0517,5.9128,6.0418,34574,0
2005-05-25,6.0418,6.0616,5.9823,6.0219,36691,0
2005-05-26,6.0219,6.27,5.9723,6.27,5443,0
2005-05-27,6.2501,6.766,6.2006,6.6271,33263,0
2005-05-31,6.6271,7.0935,6.5775,7.0438,89508,0
2005-06-01,7.0438,7.0438,6.5279,6.5279,19253,0
2005-06-02,6.6271,6.6966,6.4981,6.5081,9476,0
2005-06-03,6.4486,6.5478,6.3691,6.3691,6048,0
2005-06-06,6.3494,6.389,6.1113,6.1311,19453,0
2005-06-07,6.1113,6.2501,6.0517,6.0914,12600,0
2005-06-08,6.0815,6.2799,6.0815,6.1708,23789,0
2005-06-09,6.2105,6.4486,6.1806,6.3691,43646,0
2005-06-10,6.2501,6.2501,6.0517,6.0715,19858,0
2005-06-13,6.1708,6.2006,6.1014,6.2006,29735,0
2005-06-14,6.1014,6.1806,6.0715,6.1509,11793,0
2005-06-15,6.1014,6.2006,5.9723,6.1806,20261,0
2005-06-16,6.1509,6.2105,5.9723,6.1906,20664,0
2005-06-17,6.2898,6.766,6.1014,6.1014,32054,0
2005-06-20,6.0914,6.0914,5.8631,5.9128,8468,0
2005-06-21,5.8831,6.0021,5.8731,5.8831,21269,0
2005-06-22,5.9326,6.0914,5.9326,6.0021,36287,0
2005-06-23,5.9922,6.0815,5.9029,5.9029,12701,0
2005-06-24,5.9029,6.0815,5.8037,6.0815,315799,0
2005-06-27,5.9823,6.27,5.9823,6.0616,37598,0
2005-06-28,6.0815,6.1708,6.0021,6.1211,36086,0
2005-06-29,6.1509,6.1509,6.0219,6.1211,18547,0
2005-06-30,6.1609,6.27,6.1509,6.27,11693,0
2005-07-01,6.2303,6.2501,6.1311,6.1509,7460,0
2005-07-05,6.2105,6.2105,6.1509,6.1509,4133,0
2005-07-06,6.2105,6.2601,6.2006,6.2501,8265,0
2005-07-07,6.2501,6.647,6.2501,6.5974,20261,0
2005-07-08,6.6172,6.7163,6.5279,6.7163,9878,0
2005-07-11,6.7263,6.895,6.7263,6.8751,39411,0
2005-07-12,6.776,6.9149,6.647,6.7363,6552,0
2005-07-13,6.7363,6.8155,6.6966,6.7065,5544,0
2005-07-14,6.7561,6.895,6.7462,6.8553,20160,0
2005-07-15,6.6073,6.7462,6.6073,6.647,7257,0
2005-07-18,6.5675,6.6966,6.5675,6.6172,8568,0
2005-07-19,6.5577,6.637,6.5577,6.5675,8568,0
2005-07-20,6.5577,6.6866,6.5577,6.637,4940,0
2005-07-21,6.5378,6.9149,6.5378,6.8751,17136,0
2005-07-22,6.9446,7.0735,6.9446,7.0538,53827,0
2005-07-25,7.143,7.1827,7.024,7.0636,4536,0
2005-07-26,6.9743,6.9843,6.6966,6.8454,8870,0
2005-07-27,6.6966,6.9049,6.6172,6.8553,8468,0
2005-07-28,6.7958,7.8375,6.7958,7.7185,85275,0
2005-07-29,7.9367,8.0259,7.649,7.8275,55338,0
2005-08-01,7.8375,7.887,7.5498,7.5498,25401,0
2005-08-02,7.5498,7.8771,7.5498,7.7779,21369,0
2005-08-03,7.8375,7.8375,7.659,7.7382,13507,0
2005-08-04,7.8375,7.8375,7.639,7.639,32961,0
2005-08-05,7.7382,7.7382,7.5696,7.5696,12096,0
2005-08-08,7.6688,7.9367,7.6688,7.8771,33666,0
2005-08-09,7.9267,7.9267,7.7581,7.7978,5342,0
2005-08-10,7.8673,7.8771,7.7779,7.7879,5443,0
2005-08-11,7.8375,7.887,7.6985,7.8771,13810,0
2005-08-12,7.9367,7.9367,7.6887,7.7283,15221,0
2005-08-15,7.8077,7.9267,7.7879,7.8573,8165,0
2005-08-16,7.907,7.907,7.7482,7.7482,42739,0
2005-08-17,7.7482,7.8771,7.7482,7.8375,77816,0
2005-08-18,7.8375,7.9168,7.7879,7.8573,99588,0
2005-08-19,7.8375,7.9367,7.7581,7.9367,23183,0
2005-08-22,7.9367,8.0359,7.8077,7.8673,36388,0
2005-08-23,7.887,8.0062,7.887,7.9367,31348,0
2005-08-24,7.887,7.887,7.6887,7.768,11088,0
2005-08-25,7.7085,7.7581,7.5895,7.7581,8365,0
2005-08-26,7.7085,7.7085,7.5696,7.639,6552,0
2005-08-29,7.6887,7.6887,7.639,7.659,11793,0
2005-08-30,7.659,7.6688,7.5597,7.5895,17338,0
2005-08-31,7.5299,7.659,7.4505,7.6093,13104,0
2005-09-01,7.7283,7.9367,7.7283,7.8375,8971,0
2005-09-02,7.6887,7.6985,7.6291,7.6985,2420,0
2005-09-06,7.7978,7.7978,7.7185,7.7581,2823,0
2005-09-07,7.8275,7.8275,7.768,7.768,908,0
2005-09-08,7.8375,7.8375,7.7482,7.7482,504,0
2005-09-09,7.7382,7.7879,7.6887,7.768,12196,0
2005-09-12,7.6688,7.6688,7.6093,7.6291,1815,0
2005-09-13,7.6093,7.6093,7.4902,7.5299,4536,0
2005-09-14,7.4902,7.52,7.4407,7.4803,9476,0
2005-09-15,7.4605,7.4902,7.4605,7.4803,1008,0
2005-09-16,7.4505,7.639,7.4505,7.6291,6653,0
2005-09-19,7.6787,7.6787,7.639,7.639,2318,0
2005-09-20,7.639,7.6688,7.5597,7.5696,2318,0
2005-09-21,7.5398,7.5398,7.4407,7.4407,3428,0
2005-09-22,7.4307,7.5398,7.3415,7.5002,93742,0
2005-09-23,7.5795,7.5795,7.401,7.4505,2923,0
2005-09-26,7.401,7.4307,7.3415,7.391,8165,0
2005-09-27,7.3415,7.3415,7.0438,7.2223,12297,0
2005-09-28,7.2422,7.2621,6.9446,7.2621,11894,0
2005-09-29,7.1629,7.391,7.143,7.3613,4435,0
2005-09-30,7.3215,7.5597,7.3215,7.5498,5544,0
2005-10-03,7.4307,7.4307,7.4307,7.4307,100,0
2005-10-04,7.3513,7.3513,6.7462,7.2422,46568,0
2005-10-05,7.3215,7.3215,7.0935,7.143,2117,0
2005-10-06,7.143,7.143,7.024,7.0835,2823,0
2005-10-07,7.0935,7.0935,7.0835,7.0835,504,0
2005-10-10,7.0438,7.1033,7.0438,7.1033,1311,0
2005-10-11,6.9942,6.9942,6.9049,6.9049,1411,0
2005-10-12,6.9446,7.0141,6.9446,6.9743,2016,0
2005-10-13,6.8751,7.1629,6.8058,7.153,7862,0
2005-10-17,7.0935,7.3613,7.0935,7.3215,8365,0
2005-10-18,7.4207,7.4207,7.3415,7.3712,2318,0
2005-10-19,7.3712,7.3712,7.0438,7.0835,20462,0
2005-10-20,7.0438,7.0538,6.9942,7.0041,4032,0
2005-10-21,6.9743,6.9942,6.9743,6.9743,403,0
2005-10-24,6.9942,6.9942,6.9446,6.9446,15926,0
2005-10-25,6.9049,7.0338,6.4486,6.9942,26711,0
2005-10-26,7.0438,7.0438,6.9446,6.9446,6955,0
2005-10-27,7.0438,7.0438,6.9446,6.9446,1915,0
2005-10-28,7.0041,7.1133,7.0041,7.0041,2318,0
2005-10-31,7.0935,7.1133,6.9942,7.0338,4536,0
2005-11-01,6.9446,7.0735,6.8454,6.8553,14413,0
2005-11-02,6.766,6.7958,6.5675,6.5675,5544,0
2005-11-03,6.647,6.647,6.4683,6.5577,2016,0
2005-11-04,6.5478,6.5478,6.4783,6.5279,3125,0
2005-11-07,6.4981,6.5378,6.4585,6.5378,3428,0
2005-11-08,6.4981,6.5081,6.4585,6.4585,4435,0
2005-11-09,6.5081,6.5081,6.3691,6.399,5645,0
2005-11-10,6.3097,6.3195,6.2898,6.2998,3125,0
2005-11-11,6.4287,6.4287,6.2998,6.2998,3326,0
2005-11-14,6.2998,6.2998,6.1113,6.1509,16933,0
2005-11-15,6.1014,6.1113,5.9922,6.0616,9576,0
2005-11-16,6.0616,6.2105,6.0616,6.2105,11793,0
2005-11-17,6.1906,6.1906,6.1806,6.1806,14213,0
2005-11-18,6.0815,6.141,6.0815,6.1311,7761,0
2005-11-21,6.0715,6.1509,6.0319,6.1509,5140,0
2005-11-22,6.1211,6.1509,6.1211,6.141,6148,0
2005-11-23,6.141,6.1509,5.9426,5.9526,11290,0
2005-11-25,5.9526,6.0815,5.9526,5.9823,15926,0
2005-11-28,5.9526,5.9624,5.9426,5.9426,1613,0
2005-11-29,5.9426,6.1113,5.9029,5.9426,6854,0
2005-11-30,5.9426,6.0517,5.9426,5.9823,9273,0
2005-12-01,6.0319,6.0319,5.9326,5.9723,14616,0
2005-12-02,5.9723,5.9823,5.9426,5.9624,7660,0
2005-12-05,5.9228,5.9228,5.8631,5.893,11290,0
2005-12-06,5.8831,5.9526,5.8831,5.8831,2520,0
2005-12-07,5.8831,5.9228,5.8731,5.8831,2217,0
2005-12-08,5.9823,6.4783,5.9823,6.4089,162385,0
2005-12-09,6.647,6.7163,6.5875,6.647,59874,0
2005-12-12,6.7065,6.7065,6.5675,6.637,9777,0
2005-12-13,6.5875,6.647,6.2006,6.4683,12600,0
2005-12-14,6.4683,6.6073,6.4683,6.5974,2520,0
2005-12-15,6.5577,6.5577,6.4486,6.4585,6148,0
2005-12-16,6.4683,6.518,6.4683,6.4683,1008,0
2005-12-19,6.4883,6.4883,6.4486,6.4783,4737,0
2005-12-20,6.4683,6.5974,6.4683,6.5974,7257,0
2005-12-21,6.5675,6.5675,6.4585,6.4585,19152,0
2005-12-22,6.4486,6.6866,6.4486,6.637,10584,0
2005-12-23,6.5875,6.6966,6.5478,6.5875,6451,0
2005-12-27,6.4883,6.6966,6.4386,6.5875,8165,0
2005-12-28,6.5478,6.7363,6.5478,6.5974,21066,0
2005-12-29,6.4981,6.647,6.3494,6.6271,19958,0
2005-12-30,6.5974,6.6569,6.5378,6.6569,7157,0
2006-01-03,6.5675,6.5675,6.518,6.518,3931,0
2006-01-04,6.4783,6.5974,6.4683,6.4683,3225,0
