Date,Open,High,Low,Close,Volume,OpenInt
2014-07-31,54.5,55,41.3,42,324681,0
2014-08-01,42,42.4,34.35,34.5,71825,0
2014-08-04,36.85,36.85,33.05,36.2,17815,0
2014-08-05,35.5,37.3,35.5,36.5,13318,0
2014-08-06,36,37.5,35,37.3,5480,0
2014-08-07,36.15,38,36.15,37.85,5804,0
2014-08-08,38,38.95,37.9,38.7,14448,0
2014-08-11,39.95,39.95,36.85,38.5,3522,0
2014-08-12,38.5,38.5,37,37.75,6098,0
2014-08-13,37,37.5,36.5,37.15,4040,0
2014-08-14,36.5,40.5,35,36.5,2061,0
2014-08-15,36.1,37,35.75,36.55,3243,0
2014-08-18,36.65,37.15,36.5,37.15,1055,0
2014-08-19,37.55,37.55,36.15,36.7,2241,0
2014-08-20,36.15,38.5,36.15,37.5,2009,0
2014-08-21,37.45,37.95,37.15,37.95,2931,0
2014-08-22,37.25,38.75,37.25,38.4,3655,0
2014-08-25,42.4,43.75,40.55,43.4,21271,0
2014-08-26,44.75,46.45,44.25,46.45,39600,0
2014-08-27,50,50,47.5,48.95,32355,0
2014-08-28,49.1,50,47.55,48.95,13867,0
2014-08-29,48.15,48.5,43.8,46.2,15570,0
2014-09-02,48.95,48.95,43.05,43.55,13847,0
2014-09-03,44.7,46.45,44.35,44.35,4980,0
2014-09-04,43.5,44.9,41.1,42.25,3013,0
2014-09-05,41.7,43.149,41,42.75,3531,0
2014-09-08,46.2,46.2,43.613,44.5,1296,0
2014-09-09,46,46,42.85,45.599,1356,0
2014-09-10,44.95,44.95,41.5,43.2,4645,0
2014-09-11,44.75,44.75,42,44,3024,0
2014-09-12,42.35,44,42.35,43.999,451,0
2014-09-15,42.8,44,40.8,43,4801,0
2014-09-16,40.75,43.25,40.75,42.5,3213,0
2014-09-17,42,44.25,42,43,6168,0
2014-09-18,43.55,43.55,42.8,42.9,1522,0
2014-09-19,41.555,43.45,41.555,43.45,697,0
2014-09-22,43.15,43.15,41.1,41.2,2395,0
2014-09-23,40.9,41.75,40.8,40.8,2730,0
2014-09-24,40.95,41.849,38.8,39.2,4156,0
2014-09-25,38.406,39.565,38.3,39.55,3199,0
2014-09-26,39,40.549,37,37.85,2066,0
2014-09-29,36.05,40.8,36.05,38.5,7044,0
2014-09-30,37.5,37.55,36.25,36.35,2030,0
2014-10-01,39,39.3,35.75,37.15,1565,0
2014-10-02,37.15,37.15,35,35.15,2011,0
2014-10-03,37.15,37.7,34,35.05,3915,0
2014-10-06,36,37.25,35,35.1,813,0
2014-10-07,35,37,35,37,286,0
2014-10-08,35.05,37.6,35.005,36.25,31918,0
2014-10-09,35.9,36.35,32.65,33.35,6003,0
2014-10-10,32.9,33.52,30.6,30.75,3257,0
2014-10-13,30.7,30.9,30.1,30.1,782,0
2014-10-14,30.3,30.5,27.55,27.55,2661,0
2014-10-15,26.55,26.55,25.85,26.25,1614,0
2014-10-16,25,28.55,25,28.5,1833,0
2014-10-17,30.3,30.35,28.25,28.8,15984,0
2014-10-20,30.5,33.8,29.375,30.2,2471,0
2014-10-21,30.25,32.25,28.95,31.7,15326,0
2014-10-22,34.7,34.7,30.1,30.15,2272,0
2014-10-23,31.65,32.15,27.35,28.15,5921,0
2014-10-24,28.4,31,28.2,29.4,1494,0
2014-10-27,29.5,30,29.5,29.5,1314,0
2014-10-28,31.3,32.2,29.75,30.6,1759,0
2014-10-29,31.75,32,30.5,30.8,941,0
2014-10-30,29.85,30.85,27.75,27.75,3152,0
2014-10-31,28.1,29.949,26.8,27.5,3300,0
2014-11-03,26.85,28.25,26.4,27,4409,0
2014-11-04,27.5,29.15,27.5,27.55,1083,0
2014-11-05,27.65,28.5,26.8,27.95,1724,0
2014-11-06,26.5,28,25.35,26,1751,0
2014-11-07,26.235,28,25.5,26.748,2745,0
2014-11-10,26.75,26.9,26.5,26.5,430,0
2014-11-11,26.5,26.7,25.75,26.25,756,0
2014-11-12,26.25,26.7,26.2,26.25,845,0
2014-11-13,25.55,26.949,25.55,25.75,810,0
2014-11-14,25.75,25.75,25.5,25.5,1280,0
2014-11-17,25.505,25.505,23.95,24.9,1950,0
2014-11-18,24.2,25.1,22.85,23.55,2803,0
2014-11-19,23.95,24.499,22.55,23.25,3070,0
2014-11-20,24.75,24.75,23.5,23.65,2119,0
2014-11-21,23.5,23.5,22.5,22.75,3140,0
2014-11-24,22.5,23.816,22.5,22.65,4740,0
2014-11-25,23.9,24.15,22.5,23.5,4557,0
2014-11-26,24.15,30.5,24,29.75,34180,0
2014-11-28,35,37.95,33.8,34.5,33189,0
2014-12-01,37.5,41,35,38.9,37248,0
2014-12-02,39,40,35.2,36.7,14571,0
2014-12-03,36.65,39.05,36.65,37.75,7218,0
2014-12-04,38.25,38.5,36.8,36.8,5060,0
2014-12-05,37.85,37.99,35.8,35.9,3076,0
2014-12-08,35.86,36.799,33.3,35.3,6035,0
2014-12-09,33.85,35.45,33.5,33.55,3709,0
2014-12-10,33.6,37.35,33.6,35.95,2683,0
2014-12-11,35.7,37.55,35.7,36.25,1855,0
2014-12-12,37.65,37.85,33.5,33.55,2893,0
2014-12-15,33.85,37.25,32.75,33.045,1183,0
2014-12-16,32.5,33,30,32.7,3543,0
2014-12-17,33.642,33.642,30.75,33.034,1303,0
2014-12-18,32.036,32.55,30.45,30.85,5461,0
2014-12-19,31.75,34.299,31.19,32.65,2002,0
2014-12-22,31,32.749,30.75,31.2,2483,0
2014-12-23,31.518,33.75,31.518,33,1883,0
2014-12-24,32.8,32.8,31.15,31.25,3062,0
2014-12-26,31.1,31.1,27.25,29.815,7068,0
2014-12-29,29.05,31.7,28.5,28.55,3956,0
2014-12-30,28.1,32.075,28.1,30.15,3377,0
2014-12-31,30.75,33.75,30.75,31.95,3617,0
2015-01-02,33.505,33.75,33.025,33.025,591,0
2015-01-05,33.35,35,32.55,33.65,3637,0
2015-01-06,33.65,35,33.053,34.1,4353,0
2015-01-07,34.15,35.949,33.825,35.05,14505,0
2015-01-08,35.95,39.35,35.75,38.5,16171,0
2015-01-09,38.85,41.5,37.4,39.1,13758,0
2015-01-12,39.5,43,37.85,39,8688,0
2015-01-13,40.85,41.15,40,41,3814,0
2015-01-14,40.001,40.001,37.55,39.85,2402,0
2015-01-15,40.7,40.7,37.8,40.05,2507,0
2015-01-16,39.1,39.899,39.05,39.05,660,0
2015-01-20,38.85,38.85,36.75,37.85,3109,0
2015-01-21,39.5,39.7,38.5,38.8,1855,0
2015-01-22,38.75,41.35,38.75,40.5,5716,0
2015-01-23,40,41.45,40,40.5,2384,0
2015-01-26,42.5,44.25,42,42.25,8514,0
2015-01-27,42.8,43,41.25,42.15,2597,0
2015-01-28,42.8,43.799,41.9,42.35,4646,0
2015-01-29,42.4,42.5,41.1,41.4,822,0
2015-01-30,41.3,41.45,39.95,40.75,2249,0
2015-02-02,42.75,43.44,40.5,41.85,4769,0
2015-02-03,43.2,43.35,36.85,37.9,10156,0
2015-02-04,43.5,43.5,37.5,38.2,4871,0
2015-02-05,38.75,40,38,39.7,6549,0
2015-02-06,41.5,41.5,37.4,37.85,4895,0
2015-02-09,39,39.2,37,37.15,10354,0
2015-02-10,37.85,37.85,35,35.25,10483,0
2015-02-11,39.15,39.15,34.6,35.35,9040,0
2015-02-12,35.35,37.449,35.35,35.625,3804,0
2015-02-13,35.85,37.4,35.5,35.85,1470,0
2015-02-17,37.3,37.3,32.25,32.3,8795,0
2015-02-18,32.45,33.3,29.05,33.3,11255,0
2015-02-19,33.5,37.5,32.95,33.675,2758,0
2015-02-20,33.6,37.45,33,34.55,3624,0
2015-02-23,33.55,35.1,33.55,33.6,2997,0
2015-02-24,33.35,36.149,32.25,33.55,6962,0
2015-02-25,33.4,33.7,31.35,33.25,6223,0
2015-02-26,32.65,37.449,32.65,34,4994,0
2015-02-27,35,35,33.05,33.9,2437,0
2015-03-02,34.15,36.4,34.15,34.55,3400,0
2015-03-03,35.6,35.95,35.05,35.1,980,0
2015-03-04,35,36,35,35.45,2800,0
2015-03-05,36,37.15,35.45,36.9,980,0
2015-03-06,37.3,37.4,35,35.15,3860,0
2015-03-09,36.2,37.1,35.05,37.1,2180,0
2015-03-10,35.8,36.75,35.5,35.5,1100,0
2015-03-11,36.8,36.8,35.1,36.45,720,0
2015-03-12,37.5,38.5,34.05,34.5,5640,0
2015-03-13,36,36,31.3,32.55,3140,0
2015-03-16,33.5,33.9,32.25,33.2,2260,0
2015-03-17,33.5,34.2,32.9,32.9,1720,0
2015-03-18,33.5,33.65,31.8,32.1,2280,0
2015-03-19,31.9,33.4,31.5,31.5,2660,0
2015-03-20,34.15,34.15,31.05,31.5,2360,0
2015-03-23,30.9,31.45,30,30,7500,0
2015-03-24,30.6,30.95,30.15,30.15,1180,0
2015-03-25,29.75,30.4,29.75,30.05,2500,0
2015-03-26,31,31.5,29.75,29.75,3880,0
2015-03-27,29.5,30.7,29.5,30.1,640,0
2015-03-30,30.7,31,29.25,29.9,1700,0
2015-03-31,29,30.3,29,30,2640,0
2015-04-01,31,31.2,30,30,2320,0
2015-04-02,30.45,30.45,29.7,30.15,2040,0
2015-04-06,30.4,30.8,29.35,30.8,1540,0
2015-04-07,30.7,30.75,29.55,30,1452,0
2015-04-08,30.75,30.75,30,30.05,2040,0
2015-04-09,32.9,39.492,32.6,35.9,49706,0
2015-04-10,37.35,37.5,34.7,35,9680,0
2015-04-13,36.8,36.8,34.1,34.3,6180,0
2015-04-14,35.05,35.55,33.35,33.9,2520,0
2015-04-15,33.355,36,33.25,34.5,4567,0
2015-04-16,33.3,35,32.95,33.65,3579,0
2015-04-17,34,34,31.35,32.35,5540,0
2015-04-20,33.05,33.05,31.3,31.3,5733,0
2015-04-21,31.05,32.8,31.05,32.05,2655,0
2015-04-22,31.7,32.95,31.3,31.85,1862,0
2015-04-23,31.85,32.95,31.25,32.05,2900,0
2015-04-24,31.55,33.25,31.4,32,1300,0
2015-04-27,31.6,32.2,30.75,31.2,3140,0
2015-04-28,30.65,31.1,26.4,29.15,17520,0
2015-04-29,29.75,29.75,27.8,28.5,2340,0
2015-04-30,29,29.35,28.5,28.5,1660,0
2015-05-01,27.75,29.35,27.6,28,580,0
2015-05-04,29.95,30.45,26.8,27.15,3440,0
2015-05-05,28.5,28.5,26.5,27.25,1320,0
2015-05-06,29.5,29.75,27.6,28.7,1085,0
2015-05-07,29.3,29.4,28.6,28.75,2565,0
2015-05-08,28.75,29.15,27.55,28.75,4580,0
2015-05-11,28.85,29.9,27.55,29.3,2480,0
2015-05-12,31.2,31.45,29.25,30.7,4125,0
2015-05-13,31.45,31.45,28.65,29.8,5100,0
2015-05-14,29.85,31.2,29.8,29.95,1460,0
2015-05-15,31.25,31.25,28.75,29.75,546,0
2015-05-18,31,31,28.55,28.55,719,0
2015-05-19,30,31.1,27.55,28.25,2440,0
2015-05-20,27.5,28.7,26.75,27.5,960,0
2015-05-21,26.95,29.15,26.75,28,3760,0
2015-05-22,29.75,29.75,27.25,27.85,800,0
2015-05-26,27,29.95,27,28.9,824,0
2015-05-27,30,30,26.65,26.75,4340,0
2015-05-28,27.25,28.4,25.5,26.8,8696,0
2015-05-29,27.1,29.7,27.1,28.75,4820,0
2015-06-01,27.95,28.9,27.55,27.65,740,0
2015-06-02,29,29.65,28.1,29.5,3596,0
2015-06-03,28.85,29,28,29,1360,0
2015-06-04,29.4,30.2,28.5,30.2,3900,0
2015-06-05,30.45,30.45,28.75,29.1,700,0
2015-06-08,30.1,30.1,28.85,29.65,1680,0
2015-06-09,30.7,30.7,29.25,29.3,1452,0
2015-06-10,29.55,30.25,29.25,29.3,1287,0
2015-06-11,29.9,30.05,28.5,28.7,2436,0
2015-06-12,29.85,29.9,28.6,28.8,1200,0
2015-06-15,31.05,37.5,28.75,33.7,52480,0
2015-06-16,35.5,35.5,31.35,31.5,19740,0
2015-06-17,31.35,35,31.35,32.3,11500,0
2015-06-18,32.5,34.9,32.5,34.7,13380,0
2015-06-19,33.9,35.75,31.3,35.25,15040,0
2015-06-22,35.75,37.75,34.75,36.5,13860,0
2015-06-23,37.6,38.6,36.25,36.5,15980,0
2015-06-24,35.7,42.5,34.6,40.7,48900,0
2015-06-25,41.5,42,38.25,40.05,18080,0
2015-06-26,38.85,40.2,34.5,35.6,19520,0
2015-06-29,35,36.9,32.55,33.3,13580,0
2015-06-30,34.5,34.95,33,34.45,11643,0
2015-07-01,34,35.75,33.55,34.4,6080,0
2015-07-02,34.95,35.45,33.35,34.45,2120,0
2015-07-06,33.95,35.1,33.05,33.3,4160,0
2015-07-07,33.5,33.5,32.2,33.5,2880,0
2015-07-08,32.5,32.65,30.25,31.35,6740,0
2015-07-09,31.9,34.25,31.85,32.9,5820,0
2015-07-10,33.3,33.3,31.4,31.65,4220,0
2015-07-13,31.65,34.75,31.5,34.75,4140,0
2015-07-14,34.05,34.05,32,32.4,9131,0
2015-07-15,33.15,33.5,32,33.05,5258,0
2015-07-16,33.05,33.7,32.5,32.6,3220,0
2015-07-17,32.7,34.5,32.55,33.55,6400,0
2015-07-20,34.35,35.75,33,33.6,12800,0
2015-07-21,33.15,33.9,32.95,33.35,5320,0
2015-07-22,33.25,33.75,32.75,32.95,4400,0
2015-07-23,33.4,34,32.8,33.15,1400,0
