Date,Open,High,Low,Close,Volume,OpenInt
1982-01-04,0.6183,0.6251,0.6183,0.6251,939818,0
1982-01-05,0.6183,0.6251,0.6183,0.6183,815430,0
1982-01-06,0.6111,0.6183,0.6043,0.6111,778572,0
1982-01-07,0.6043,0.6043,0.5972,0.5972,170456,0
1982-01-08,0.6043,0.6043,0.5972,0.6043,142816,0
1982-01-11,0.5972,0.6043,0.5905,0.5972,1651589,0
1982-01-12,0.5905,0.5972,0.5763,0.5763,732501,0
1982-01-13,0.5763,0.5834,0.5695,0.5695,329399,0
1982-01-14,0.5695,0.5695,0.5626,0.5626,237258,0
1982-01-15,0.5695,0.5695,0.5626,0.5626,522887,0
1982-01-18,0.5626,0.5695,0.5556,0.5695,960545,0
1982-01-19,0.5626,0.5695,0.5626,0.5626,430746,0
1982-01-20,0.5695,0.5695,0.5626,0.5695,877625,0
1982-01-21,0.5695,0.5695,0.5626,0.5695,407716,0
1982-01-22,0.5695,0.5695,0.5626,0.5695,112870,0
1982-01-25,0.5626,0.5626,0.5556,0.5626,46071,0
1982-01-26,0.5626,0.5695,0.5626,0.5695,621938,0
1982-01-27,0.5695,0.5763,0.5626,0.5695,753234,0
1982-01-28,0.5763,0.5763,0.5695,0.5763,195798,0
1982-01-29,0.5763,0.5834,0.5695,0.5695,1216235,0
1982-02-01,0.5763,0.5834,0.5695,0.5695,617328,0
1982-02-02,0.5626,0.5695,0.5556,0.5626,1149435,0
1982-02-03,0.5556,0.5626,0.5489,0.5489,707163,0
1982-02-04,0.5418,0.5489,0.5347,0.5489,1363652,0
1982-02-05,0.5695,0.5834,0.5556,0.5834,1064203,0
1982-02-08,0.5763,0.5834,0.5695,0.5763,1511078,0
1982-02-09,0.5763,0.5834,0.5695,0.5834,5327929,0
1982-02-10,0.5972,0.5972,0.5905,0.5972,499850,0
1982-02-11,0.6111,0.6251,0.5972,0.6251,1234662,0
1982-02-12,0.6458,0.6528,0.6391,0.6391,1803616,0
1982-02-16,0.6251,0.6251,0.6251,0.6251,605813,0
1982-02-17,0.6251,0.632,0.6183,0.6183,562049,0
1982-02-18,0.6111,0.6251,0.5972,0.5972,329399,0
1982-02-19,0.6183,0.6251,0.6043,0.6251,1299160,0
1982-02-22,0.6251,0.632,0.6183,0.6183,1375170,0
1982-02-23,0.6183,0.6251,0.6111,0.6183,856893,0
1982-02-24,0.6183,0.6183,0.6111,0.6183,619634,0
1982-02-25,0.6251,0.632,0.6251,0.6251,4881057,0
1982-02-26,0.6251,0.6251,0.6183,0.6183,605813,0
1982-03-01,0.6251,0.6391,0.6111,0.6391,1808227,0
1982-03-02,0.6458,0.6528,0.6391,0.6528,691042,0
1982-03-03,0.6458,0.6528,0.6391,0.6391,992799,0
1982-03-04,0.6391,0.6391,0.6251,0.6251,361645,0
1982-03-05,0.6183,0.6251,0.6111,0.6183,175064,0
1982-03-08,0.6183,0.6391,0.6043,0.6043,285630,0
1982-03-09,0.6251,0.6391,0.6043,0.632,631151,0
1982-03-10,0.632,0.6391,0.6183,0.6183,419233,0
1982-03-11,0.6183,0.6251,0.6111,0.6251,527494,0
1982-03-12,0.6111,0.6251,0.5972,0.5972,813124,0
1982-03-15,0.6111,0.6111,0.6043,0.6043,244168,0
1982-03-16,0.6183,0.6183,0.6111,0.6111,304058,0
1982-03-17,0.6111,0.6183,0.6043,0.6043,467604,0
1982-03-18,0.6183,0.6251,0.6043,0.6043,198101,0
1982-03-19,0.6111,0.6183,0.6043,0.6183,495245,0
1982-03-22,0.6391,0.6528,0.6183,0.6458,2913895,0
1982-03-23,0.6528,0.6668,0.6458,0.6458,490638,0
1982-03-24,0.6391,0.6458,0.632,0.6391,518282,0
1982-03-25,0.6391,0.6458,0.632,0.6458,490638,0
1982-03-26,0.6458,0.6458,0.6391,0.6391,230350,0
1982-03-29,0.6391,0.6458,0.632,0.6391,1349833,0
1982-03-30,0.6458,0.6458,0.6391,0.6458,103654,0
1982-03-31,0.6597,0.6668,0.6528,0.6528,2953048,0
1982-04-01,0.6809,0.7014,0.6668,0.7014,1110270,0
1982-04-02,0.7084,0.7154,0.7014,0.7014,1455793,0
1982-04-05,0.7084,0.7084,0.7014,0.7084,1785193,0
1982-04-06,0.7154,0.7223,0.7084,0.7084,359341,0
1982-04-07,0.7154,0.7223,0.7084,0.7154,359341,0
1982-04-08,0.7294,0.7364,0.7154,0.7364,820033,0
1982-04-12,0.7294,0.7431,0.7223,0.7294,580474,0
1982-04-13,0.7223,0.7294,0.7154,0.7223,430746,0
1982-04-14,0.7223,0.7223,0.7223,0.7223,414625,0
1982-04-15,0.7294,0.7294,0.7223,0.7294,691042,0
1982-04-16,0.7294,0.7364,0.7294,0.7364,513676,0
1982-04-19,0.7223,0.7294,0.7154,0.7154,230350,0
1982-04-20,0.7154,0.7154,0.7084,0.7154,133602,0
1982-04-21,0.7084,0.7154,0.7014,0.7084,1080327,0
1982-04-22,0.7084,0.7084,0.7014,0.7084,585082,0
1982-04-23,0.7084,0.7084,0.7014,0.7014,126688,0
1982-04-26,0.7084,0.7084,0.7014,0.7084,794697,0
1982-04-27,0.7014,0.7084,0.6946,0.7014,1324499,0
1982-04-28,0.7014,0.7084,0.6946,0.7084,366253,0
1982-04-29,0.7014,0.7014,0.6946,0.6946,515974,0
1982-04-30,0.7014,0.7084,0.6878,0.7014,377772,0
1982-05-03,0.6946,0.7014,0.6878,0.7014,191188,0
1982-05-04,0.7084,0.7154,0.7014,0.7154,716378,0
1982-05-05,0.7154,0.7223,0.7154,0.7154,704862,0
1982-05-06,0.7294,0.7294,0.7223,0.7223,762448,0
1982-05-07,0.7294,0.7294,0.7223,0.7223,1027350,0
1982-05-10,0.7154,0.7294,0.7084,0.7154,117474,0
