Date,Open,High,Low,Close,Volume,OpenInt
2009-12-08,16.05,16.05,16.05,16.05,0,0
2009-12-09,16.05,16.412,16.05,16.412,4252818,0
2009-12-10,16.852,16.852,16.191,16.451,274278,0
2009-12-11,16.299,17.414,16.251,17.052,721382,0
2009-12-14,17.101,17.125,16.531,16.828,404367,0
2009-12-15,16.852,16.892,16.674,16.852,365944,0
2009-12-16,16.971,16.971,16.7,16.852,466537,0
2009-12-17,16.933,16.933,16.491,16.61,195157,0
2009-12-18,16.603,17.303,16.184,17.247,343315,0
2009-12-21,17.149,17.872,16.741,17.872,229611,0
2009-12-22,17.966,17.966,17.542,17.655,172925,0
2009-12-23,17.735,17.806,17.214,17.374,109700,0
2009-12-24,17.341,17.711,17.341,17.606,22430,0
2009-12-28,17.655,17.655,17.469,17.51,49628,0
2009-12-29,17.414,17.598,17.332,17.542,27307,0
2009-12-30,17.495,17.896,17.495,17.856,100621,0
2009-12-31,17.856,17.903,17.455,17.662,72006,0
2010-01-04,17.64,17.64,16.955,17.132,63278,0
2010-01-05,17.253,17.806,16.892,17.447,86533,0
2010-01-06,17.447,17.535,16.948,17.455,159969,0
2010-01-07,17.414,17.613,16.948,17.101,117481,0
2010-01-08,17.181,17.181,16.805,16.948,126105,0
2010-01-11,16.877,17.039,16.819,16.877,47459,0
2010-01-12,16.852,16.852,16.427,16.5,249179,0
2010-01-13,16.508,16.562,16.307,16.508,190171,0
2010-01-14,16.403,16.589,16.226,16.555,124042,0
2010-01-15,16.435,16.741,16.315,16.708,31838,0
2010-01-19,16.836,17.526,16.814,17.286,130446,0
2010-01-20,17.052,17.405,16.948,17.332,128236,0
2010-01-21,17.374,17.414,17.125,17.294,127564,0
2010-01-22,17.253,17.253,16.627,16.942,51864,0
2010-01-25,17.239,17.239,16.474,16.627,42496,0
2010-01-26,16.717,16.753,16.137,16.33,207330,0
2010-01-27,16.226,16.595,16.016,16.173,348931,0
2010-01-28,16.347,16.538,16.05,16.538,21518,0
2010-01-29,16.653,16.683,16.129,16.546,40290,0
2010-02-01,16.546,16.571,16.184,16.251,37627,0
2010-02-02,16.33,16.603,16.283,16.33,23968,0
2010-02-03,16.266,16.525,16.201,16.283,70443,0
2010-02-04,16.356,16.421,16.173,16.275,47988,0
2010-02-05,16.37,16.435,16.137,16.307,15051,0
2010-02-08,16.173,16.184,15.607,16.12,118735,0
2010-02-09,16.05,16.201,15.97,16.098,134404,0
2010-02-10,16.173,16.179,16.05,16.113,116003,0
2010-02-11,16.09,16.173,16.05,16.074,88292,0
2010-02-12,16.05,16.356,15.97,16.33,104455,0
2010-02-16,16.33,16.33,16.082,16.257,35469,0
2010-02-17,16.191,16.33,16.016,16.156,79717,0
2010-02-18,16.05,16.165,16.05,16.058,14713,0
2010-02-19,16.064,16.165,15.98,16.165,429944,0
2010-02-22,16.191,16.395,16.05,16.33,74841,0
2010-02-23,16.184,16.299,16.05,16.184,18886,0
2010-02-24,16.179,16.338,16.034,16.338,88961,0
2010-02-25,16.09,16.299,16.064,16.146,22832,0
2010-02-26,16.209,16.257,16.05,16.257,33240,0
2010-03-01,16.257,16.403,16.165,16.347,75456,0
2010-03-02,16.37,16.667,16.299,16.627,135012,0
2010-03-03,16.762,17.247,16.508,16.771,94386,0
2010-03-04,16.963,17.157,16.814,17.012,99631,0
2010-03-05,17.174,17.294,17.012,17.19,52290,0
2010-03-08,17.23,17.414,17.132,17.19,67145,0
2010-03-09,17.174,17.303,16.955,17.005,40326,0
2010-03-10,16.948,16.948,16.692,16.78,51653,0
2010-03-11,16.732,17.039,16.443,16.892,126966,0
2010-03-12,16.997,17.214,16.877,16.997,104958,0
2010-03-15,16.997,16.997,16.546,16.852,33791,0
2010-03-16,16.859,17.405,16.771,17.23,164552,0
2010-03-17,17.23,17.383,16.908,17.204,341683,0
2010-03-18,17.119,17.125,16.771,16.852,90208,0
2010-03-19,16.771,16.771,16.058,16.129,309398,0
2010-03-22,16.064,16.692,15.97,16.412,142209,0
2010-03-23,16.378,16.58,16.098,16.546,86727,0
2010-03-24,16.403,16.61,16.209,16.459,91648,0
2010-03-25,16.459,17.19,16.395,16.789,112375,0
2010-03-26,16.747,16.925,16.724,16.814,99894,0
2010-03-29,16.814,16.836,16.635,16.805,70209,0
2010-03-30,16.885,16.885,16.717,16.753,169531,0
2010-03-31,16.653,17.012,16.538,16.877,2178614,0
2010-04-01,16.908,16.963,16.653,16.814,132783,0
2010-04-05,16.828,16.997,16.653,16.908,166787,0
2010-04-06,16.859,16.933,16.525,16.925,149646,0
2010-04-07,16.852,16.948,16.674,16.805,107188,0
2010-04-08,16.708,16.708,16.191,16.307,126952,0
2010-04-09,16.251,16.283,16.05,16.283,125585,0
2010-04-12,16.226,16.474,16.098,16.465,142961,0
2010-04-13,16.378,16.387,16.064,16.347,149653,0
2010-04-14,16.315,16.859,16.291,16.491,110518,0
2010-04-15,16.435,16.491,16.362,16.459,53845,0
2010-04-16,16.387,16.387,16.05,16.098,236065,0
