Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,7.9744,8.0504,7.9744,8.0111,92279,0
2005-02-28,8.0111,8.0621,7.9744,8.0437,114191,0
2005-03-01,8.0733,8.0787,8.0252,8.0252,176231,0
2005-03-02,8.0621,8.0621,8.0111,8.0388,108766,0
2005-03-03,8.0388,8.1088,8.0054,8.0336,180111,0
2005-03-04,7.991,8.1231,7.9744,8.0993,103917,0
2005-03-07,8.0993,8.1231,8.0899,8.0899,131644,0
2005-03-08,8.112,8.1166,8.0844,8.1038,131644,0
2005-03-09,8.112,8.1166,7.9625,7.9744,149870,0
2005-03-10,7.9413,8.0437,7.9371,7.9791,121171,0
2005-03-11,7.8776,7.918,7.8776,7.9075,96354,0
2005-03-14,7.9282,7.9862,7.8663,7.8663,120785,0
2005-03-15,7.8178,7.8663,7.6957,7.7129,268323,0
2005-03-16,7.7129,7.7306,7.4886,7.5512,348588,0
2005-03-17,7.5311,7.5925,7.5221,7.5464,204354,0
2005-03-18,7.5221,7.5512,7.4482,7.4482,209780,0
2005-03-21,7.4534,7.4949,7.2625,7.2923,503112,0
2005-03-22,7.2923,7.3453,7.2266,7.2676,334635,0
2005-03-23,7.2464,7.2464,7.1278,7.1444,647940,0
2005-03-24,7.1278,7.2923,7.1068,7.2417,285579,0
2005-03-28,7.2464,7.3137,7.1543,7.1587,325325,0
2005-03-29,7.139,7.2511,7.139,7.2511,311954,0
2005-03-30,7.2787,7.3964,7.2321,7.3846,259600,0
2005-03-31,7.3964,7.4831,7.3964,7.433,194450,0
2005-04-01,7.4831,7.5403,7.3964,7.4585,253200,0
2005-04-04,7.4375,7.4996,7.3846,7.4482,231299,0
2005-04-05,7.4482,7.4681,7.3964,7.4127,194649,0
2005-04-06,7.4127,7.4996,7.4127,7.4681,158596,0
2005-04-07,7.4534,7.5221,7.4534,7.4886,132806,0
2005-04-08,7.4886,7.5107,7.4482,7.4886,178177,0
2005-04-11,7.4731,7.4949,7.3964,7.4482,202597,0
2005-04-12,7.4065,7.4534,7.3964,7.4534,137660,0
