Date,Open,High,Low,Close,Volume,OpenInt
2010-08-23,17.428,17.616,17.421,17.449,4736,0
2010-08-24,17.498,17.553,17.449,17.553,3157,0
2010-08-25,17.498,17.755,17.498,17.755,4170,0
2010-08-26,17.741,17.762,17.685,17.762,3395,0
2010-08-27,17.727,17.935,17.553,17.553,6142,0
2010-08-30,17.601,17.609,17.351,17.413,4220,0
2010-08-31,17.413,17.441,17.343,17.343,10623,0
2010-09-01,17.568,17.588,17.413,17.588,2298,0
2010-09-02,17.504,17.657,17.504,17.519,861,0
2010-09-03,17.413,17.616,17.407,17.449,574,0
2010-09-07,17.481,17.594,17.481,17.574,2432,0
2010-09-08,17.594,17.594,17.478,17.478,1436,0
2010-09-09,17.531,17.929,17.531,17.901,9764,0
2010-09-10,17.923,18.04,17.762,18.04,3876,0
2010-09-13,17.782,18.187,17.782,18.11,9792,0
2010-09-14,17.971,18.256,17.838,17.845,3446,0
2010-09-15,17.923,17.977,17.873,17.943,3217,0
2010-09-16,18.11,18.11,18.11,18.11,338,0
2010-09-17,17.977,18.11,17.873,18.102,18807,0
2010-09-20,18.11,18.194,18.11,18.11,3438,0
2010-09-21,18.152,18.285,17.984,18.027,14931,0
2010-09-22,17.977,18.277,17.977,18.04,8257,0
2010-09-23,18.068,18.229,17.964,18.04,7609,0
2010-09-24,18.034,18.249,17.977,18.005,17429,0
2010-09-27,18.172,18.172,17.866,17.943,9150,0
2010-09-28,17.498,17.498,17.469,17.469,2064,0
2010-09-29,17.469,17.469,17.309,17.461,861,0
2010-09-30,17.413,17.574,17.273,17.574,6208,0
2010-10-01,17.386,17.413,17.302,17.413,8576,0
2010-10-04,17.519,17.553,17.428,17.456,3707,0
2010-10-05,17.581,17.588,17.434,17.588,5258,0
2010-10-06,17.568,17.588,17.504,17.588,5501,0
2010-10-07,17.461,17.531,17.434,17.481,8542,0
2010-10-08,17.553,17.553,17.546,17.553,1436,0
2010-10-11,17.309,17.546,17.309,17.546,8382,0
2010-10-12,17.519,17.588,17.413,17.588,2298,0
2010-10-13,17.56,17.56,17.469,17.531,3876,0
2010-10-14,17.456,17.588,17.456,17.588,3876,0
2010-10-15,17.524,17.574,17.524,17.546,76808,0
2010-10-18,17.519,17.553,17.456,17.546,18716,0
2010-10-19,17.519,17.581,17.519,17.574,2010,0
2010-10-20,17.456,17.56,17.456,17.519,4092,0
2010-10-21,17.553,17.553,17.553,17.553,144,0
2010-10-22,17.461,17.56,17.461,17.469,40211,0
2010-10-25,17.469,17.553,17.469,17.54,15360,0
2010-10-26,17.469,17.469,17.421,17.449,8685,0
2010-10-27,17.449,17.498,17.449,17.449,3446,0
2010-10-28,17.449,17.588,17.449,17.553,3455,0
2010-10-29,17.553,17.553,17.531,17.531,861,0
2010-11-01,17.504,17.56,17.49,17.504,3318,0
2010-11-02,17.504,17.504,17.441,17.481,1865,0
2010-11-04,17.568,17.588,17.511,17.511,2453,0
2010-11-05,17.553,17.553,17.553,17.553,2010,0
2010-11-08,17.588,17.588,17.504,17.588,4667,0
2010-11-09,17.623,17.623,17.504,17.504,1148,0
2010-11-10,17.588,17.623,17.498,17.504,11009,0
2010-11-11,17.524,17.623,17.511,17.623,2586,0
2010-11-12,17.616,17.623,17.511,17.623,3059,0
2010-11-15,17.741,17.747,17.735,17.735,1578,0
2010-11-16,17.72,17.72,17.498,17.553,3014,0
2010-11-17,17.546,17.825,17.546,17.762,14737,0
2010-11-18,17.762,17.832,17.54,17.832,1368,0
2010-11-19,17.553,17.832,17.553,17.832,8356,0
2010-11-22,17.574,17.825,17.568,17.825,1865,0
2010-11-23,17.49,17.49,17.49,17.49,466,0
2010-11-24,17.524,17.531,17.524,17.524,717,0
2010-11-26,17.762,17.825,17.762,17.762,1865,0
2010-11-29,17.623,17.692,17.511,17.692,4020,0
2010-11-30,17.755,17.755,17.54,17.594,1953,0
2010-12-01,17.762,17.762,17.531,17.531,5600,0
2010-12-02,17.692,17.692,17.441,17.692,2727,0
2010-12-03,17.49,17.692,17.49,17.623,2690,0
2010-12-06,17.776,17.832,17.588,17.588,59324,0
2010-12-07,17.531,17.623,17.524,17.623,717,0
2010-12-08,17.747,17.791,17.685,17.735,22396,0
2010-12-09,17.665,17.692,17.456,17.588,8909,0
2010-12-10,17.469,17.531,17.434,17.449,4666,0
2010-12-13,17.456,17.581,17.456,17.461,3731,0
2010-12-14,17.519,17.553,17.461,17.54,4880,0
2010-12-15,17.762,17.762,17.574,17.762,3157,0
2010-12-16,17.679,17.692,17.679,17.685,1276,0
2010-12-17,17.553,17.609,17.434,17.609,1825,0
2010-12-20,17.609,17.623,17.609,17.623,861,0
2010-12-21,17.628,17.628,17.623,17.623,861,0
2010-12-22,17.692,17.692,17.449,17.553,5542,0
2010-12-23,17.553,17.623,17.553,17.623,602,0
2010-12-27,17.832,17.832,17.699,17.699,1578,0
2010-12-28,17.609,17.692,17.609,17.692,1865,0
2010-12-31,17.692,17.735,17.56,17.735,791,0
2011-01-03,17.657,17.713,17.56,17.692,2241,0
2011-01-04,17.762,17.762,17.747,17.762,1257,0
2011-01-05,17.762,17.762,17.594,17.762,2429,0
2011-01-06,17.796,17.796,17.796,17.796,861,0
2011-01-07,17.762,17.853,17.727,17.727,3269,0
2011-01-10,17.776,17.776,17.762,17.762,1722,0
2011-01-11,17.762,17.762,17.601,17.601,2153,0
2011-01-12,17.665,17.692,17.657,17.657,3493,0
2011-01-13,17.601,17.601,17.588,17.588,645,0
2011-01-14,17.588,17.588,17.588,17.588,1148,0
2011-01-18,17.601,17.601,17.588,17.588,4422,0
2011-01-19,17.574,17.574,17.498,17.553,3723,0
2011-01-20,17.56,17.665,17.511,17.588,3955,0
2011-01-21,17.498,17.657,17.498,17.574,6317,0
2011-01-24,17.54,17.56,17.531,17.531,717,0
2011-01-25,17.519,17.657,17.519,17.649,1780,0
2011-01-26,17.54,17.628,17.54,17.623,3673,0
2011-01-27,17.616,17.616,17.616,17.616,431,0
2011-01-28,17.616,17.623,17.588,17.594,3591,0
2011-01-31,17.609,17.616,17.49,17.594,6462,0
2011-02-02,17.588,17.588,17.546,17.546,2010,0
2011-02-03,17.609,17.628,17.609,17.628,2871,0
2011-02-04,17.747,17.755,17.747,17.755,1148,0
2011-02-07,17.755,17.755,17.581,17.581,1722,0
2011-02-08,17.644,17.672,17.644,17.672,3319,0
2011-02-09,17.628,17.649,17.628,17.644,2727,0
2011-02-11,17.762,17.832,17.735,17.832,530,0
2011-02-14,17.706,17.901,17.649,17.901,6648,0
2011-02-15,17.832,17.832,17.832,17.832,574,0
2011-02-16,17.825,17.838,17.825,17.832,1191,0
2011-02-18,17.727,17.735,17.657,17.735,2586,0
2011-02-22,17.762,17.832,17.762,17.832,972,0
2011-02-23,17.776,17.832,17.776,17.832,1007,0
2011-02-24,17.832,17.832,17.776,17.776,2153,0
2011-02-25,17.776,17.776,17.776,17.776,1436,0
2011-02-28,17.768,17.768,17.692,17.762,1007,0
2011-03-01,17.853,17.853,17.776,17.776,1722,0
2011-03-02,17.832,17.993,17.832,17.88,5368,0
2011-03-04,18.034,18.034,18.019,18.019,288,0
2011-03-07,17.914,18.04,17.914,18.019,4020,0
2011-03-08,17.949,17.949,17.914,17.935,1578,0
2011-03-09,17.914,17.935,17.914,17.914,1615,0
2011-03-10,17.914,17.914,17.914,17.914,1436,0
2011-03-11,17.914,17.923,17.914,17.914,1007,0
2011-03-15,17.901,18.034,17.901,18.034,2871,0
2011-03-17,18.005,18.013,17.901,18.013,4092,0
2011-03-21,18.005,18.027,18.005,18.027,3302,0
2011-03-22,17.993,18.005,17.782,17.873,9620,0
2011-03-23,17.866,17.866,17.866,17.866,144,0
2011-03-24,18.027,18.034,17.901,17.901,4020,0
2011-03-25,17.914,17.993,17.811,17.957,13962,0
2011-03-28,18.019,18.137,18.013,18.137,8184,0
2011-03-29,17.413,17.72,17.282,17.588,5254,0
2011-03-30,17.601,17.601,17.469,17.511,3661,0
2011-03-31,17.358,17.531,17.358,17.386,3619,0
2011-04-01,17.428,17.594,17.407,17.594,1597,0
2011-04-04,17.56,17.588,17.421,17.421,2202,0
2011-04-05,17.498,17.574,17.498,17.574,1570,0
2011-04-07,17.481,17.481,17.481,17.481,1508,0
2011-04-08,17.519,17.519,17.481,17.519,3014,0
2011-04-11,17.49,17.49,17.481,17.481,861,0
2011-04-12,17.481,17.481,17.481,17.481,896,0
2011-04-13,17.498,17.498,17.481,17.481,1436,0
2011-04-14,17.481,17.481,17.481,17.481,1292,0
2011-04-18,17.481,17.481,17.481,17.481,478,0
2011-04-19,17.553,17.56,17.553,17.553,1436,0
2011-04-20,17.481,17.481,17.481,17.481,288,0
2011-04-21,17.546,17.546,17.546,17.546,402,0
2011-04-25,17.519,17.519,17.519,17.519,238,0
2011-04-26,17.531,17.546,17.498,17.546,2225,0
2011-04-27,17.553,17.553,17.546,17.546,1766,0
2011-04-28,17.553,17.553,17.519,17.519,1537,0
2011-04-29,17.679,17.699,17.679,17.692,3014,0
2011-05-02,17.553,17.588,17.553,17.553,1722,0
2011-05-03,17.56,17.56,17.531,17.531,4449,0
2011-05-04,17.553,17.553,17.546,17.546,501,0
2011-05-05,17.519,17.553,17.413,17.49,10910,0
2011-05-06,17.588,17.588,17.553,17.568,3161,0
2011-05-09,17.588,17.762,17.588,17.762,7596,0
2011-05-10,17.574,17.762,17.574,17.762,793,0
2011-05-11,17.637,17.649,17.637,17.644,1722,0
2011-05-12,17.873,18.215,17.657,18.019,20425,0
2011-05-13,18.027,18.027,17.768,17.768,8974,0
2011-05-16,17.741,17.762,17.727,17.741,2442,0
2011-05-17,17.741,17.741,17.741,17.741,2586,0
2011-05-18,17.699,17.699,17.692,17.692,717,0
2011-05-19,17.644,17.644,17.637,17.644,990,0
2011-05-20,17.649,17.679,17.637,17.637,1007,0
2011-05-24,17.588,17.588,17.581,17.581,1772,0
2011-05-26,17.601,17.601,17.601,17.601,1590,0
2011-05-27,17.609,17.657,17.594,17.601,6047,0
