Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,38.264,38.706,38.037,38.431,129895,0
2005-02-28,38.529,39.1,38.381,38.973,242134,0
2005-03-01,38.579,39.889,38.579,39.889,239089,0
2005-03-02,39.811,40.293,39.318,39.761,158818,0
2005-03-03,39.958,40.037,39.071,39.623,103207,0
2005-03-04,39.771,41.012,39.771,40.382,157702,0
2005-03-07,40.392,40.993,40.215,40.56,146639,0
2005-03-08,40.412,40.974,40.115,40.697,141058,0
2005-03-09,40.58,40.777,40.303,40.59,467724,0
2005-03-10,40.677,41.249,40.412,41.249,189972,0
2005-03-11,41.199,41.199,39.692,39.859,240814,0
2005-03-14,39.958,40.747,39.958,40.431,122081,0
2005-03-15,40.797,40.924,39.968,40.254,131925,0
2005-03-16,40.155,40.155,39.426,39.692,139537,0
2005-03-17,39.692,39.988,39.416,39.565,97421,0
2005-03-18,39.575,39.575,39.023,39.387,364925,0
2005-03-21,39.268,39.397,38.658,38.923,118935,0
2005-03-22,38.923,39.367,38.244,38.431,139434,0
2005-03-23,38.529,38.529,37.554,37.672,153743,0
2005-03-24,37.613,38.007,37.416,37.682,118834,0
2005-03-28,37.741,37.879,37.072,37.169,185304,0
2005-03-29,37.022,37.346,36.233,36.51,280392,0
2005-03-30,36.657,37.13,36.657,36.972,125126,0
2005-03-31,36.657,36.667,35.583,36.056,492080,0
2005-04-01,36.46,36.52,35.682,36.017,148974,0
2005-04-04,35.968,37.002,35.968,36.607,165820,0
2005-04-05,37.446,37.446,36.717,36.834,395673,0
2005-04-06,36.982,37.199,36.834,36.914,240611,0
2005-04-07,36.914,37.269,36.815,37.12,107164,0
2005-04-08,37.15,37.199,36.805,36.982,126648,0
2005-04-11,36.982,37.15,36.293,36.47,117616,0
2005-04-12,36.46,36.53,35.888,36.46,246497,0
2005-04-13,36.56,36.854,36.125,36.51,105338,0
2005-04-14,36.51,36.756,35.229,35.229,172720,0
2005-04-15,35.13,35.406,34.608,34.834,193930,0
2005-04-18,34.736,35.622,34.736,35.327,173531,0
2005-04-19,35.327,35.819,35.179,35.366,179317,0
2005-04-20,31.533,31.533,26.36,26.507,4033554,0
2005-04-21,26.557,27.71,25.719,27.356,953107,0
2005-04-22,27.444,27.591,27,27.346,304239,0
2005-04-25,27.691,28.035,27.197,27.561,267503,0
2005-04-26,27.542,27.542,26.902,27.099,247613,0
2005-04-27,27.266,27.681,26.942,27.601,203469,0
2005-04-28,27.591,27.808,26.942,27.286,183579,0
2005-04-29,27.276,27.374,27.059,27.246,184797,0
2005-05-02,27.296,27.356,26.99,27.187,224679,0
2005-05-03,26.942,27.099,26.507,26.665,200728,0
2005-05-04,26.36,26.754,26.015,26.507,292975,0
2005-05-05,26.507,27.473,26.409,26.803,154250,0
2005-05-06,26.902,27.197,26.764,26.902,138216,0
2005-05-09,26.852,27.621,26.764,27.384,109599,0
2005-05-10,27.296,27.296,26.616,26.665,90927,0
2005-05-11,26.665,27.099,26.094,26.932,150801,0
2005-05-12,26.852,26.912,26.231,26.429,141668,0
2005-05-13,26.409,26.577,26.054,26.192,145118,0
2005-05-16,26.163,26.754,26.163,26.4,159426,0
2005-05-17,26.4,26.409,25.857,26.015,181042,0
2005-05-18,26.261,27.256,26.261,27.256,196974,0
2005-05-19,27.256,27.719,27.197,27.581,92144,0
2005-05-20,27.542,27.808,27.197,27.591,106352,0
2005-05-23,27.571,28.005,27.571,27.788,93768,0
2005-05-24,27.788,28.074,27.493,27.523,140753,0
2005-05-25,27.394,27.542,27.099,27.434,149785,0
2005-05-26,27.788,28.213,27.768,27.936,220315,0
2005-05-27,27.956,28.035,27.661,27.888,97320,0
2005-05-31,27.897,28.035,27.778,27.858,108382,0
2005-06-01,27.838,28.833,27.838,28.133,171197,0
2005-06-02,28.143,28.32,27.868,28.183,217170,0
2005-06-03,28.36,28.813,28.32,28.527,160441,0
2005-06-06,28.676,28.853,28.459,28.587,131925,0
2005-06-07,28.557,28.823,28.183,28.183,163283,0
2005-06-08,28.311,28.567,28.193,28.32,80068,0
2005-06-09,28.32,28.567,28.203,28.33,139840,0
2005-06-10,28.36,28.646,28.34,28.557,184694,0
2005-06-13,28.606,28.764,28.429,28.577,93464,0
2005-06-14,28.626,28.961,28.597,28.724,105641,0
2005-06-15,28.774,29.562,28.705,29.267,175765,0
2005-06-16,29.315,29.779,29.315,29.661,117515,0
2005-06-17,29.907,30.134,29.572,29.739,203469,0
2005-06-20,29.749,29.857,29.512,29.809,93971,0
2005-06-21,29.907,30.656,29.907,30.489,171807,0
2005-06-22,30.567,30.942,30.203,30.301,154353,0
2005-06-23,30.074,30.321,29.867,30.054,108686,0
2005-06-24,30.054,30.547,29.907,30.449,132839,0
2005-06-27,30.547,30.547,30.054,30.38,126749,0
2005-06-28,30.479,31.326,30.479,31.089,169878,0
2005-06-29,31.089,31.089,30.794,30.962,56931,0
2005-06-30,31.089,31.149,29.867,29.987,162775,0
2005-07-01,29.957,30.054,29.296,29.562,267605,0
2005-07-05,29.502,29.887,29.228,29.72,205296,0
2005-07-06,29.612,29.838,29.512,29.661,102192,0
2005-07-07,29.582,30.528,29.562,30.4,120051,0
2005-07-08,30.41,31.139,30.41,31.089,154555,0
2005-07-11,31.06,32.587,31.06,32.025,335800,0
2005-07-12,32.025,32.48,31.444,32.025,205499,0
2005-07-13,31.938,31.938,31.602,31.808,106656,0
2005-07-14,32.055,32.085,31.711,31.751,109193,0
2005-07-15,31.731,32.125,31.721,32.045,162673,0
2005-07-18,32.035,32.272,31.731,31.741,416781,0
