Date,Open,High,Low,Close,Volume,OpenInt
1984-07-19,7.1363,7.1902,7.0902,7.1363,102620,0
1984-07-20,7.1363,7.1363,6.99,7.1363,226933,0
1984-07-23,7.0902,7.0902,6.99,7.0902,54426,0
1984-07-24,7.0362,7.0362,6.8823,7.0362,163673,0
1984-07-25,7.0362,7.0902,6.9362,6.99,81575,0
1984-07-26,6.7283,6.7822,6.6823,6.7283,106259,0
1984-07-27,6.8362,6.8362,6.6823,6.7822,152887,0
1984-07-30,6.6823,6.6823,6.6823,6.6823,253691,0
1984-07-31,6.7283,6.7283,6.5283,6.6281,255510,0
1984-08-01,6.6281,6.6823,6.5283,6.5819,135613,0
1984-08-02,6.8362,6.8362,6.8362,6.8362,317469,0
1984-08-03,6.8362,7.2441,6.8362,7.2441,286558,0
1984-08-06,7.1902,7.3982,7.1902,7.2902,270190,0
1984-08-07,7.2902,7.3442,7.1363,7.2902,158343,0
1984-08-08,7.3442,7.3442,7.2441,7.2902,173023,0
1984-08-09,7.2902,7.3982,7.2441,7.3442,150944,0
1984-08-10,7.3982,7.3982,7.3982,7.3982,98201,0
1984-08-13,7.2902,7.2902,7.2441,7.2902,232519,0
1984-08-14,7.3442,7.3982,7.2441,7.3442,105739,0
1984-08-15,7.3442,7.3982,7.2902,7.3442,111971,0
1984-08-16,7.3982,7.3982,7.3442,7.3982,48061,0
1984-08-17,7.3442,7.3982,7.2441,7.3442,66768,0
1984-08-20,7.2902,7.3982,7.2902,7.3442,61187,0
1984-08-21,7.4441,7.4982,7.4441,7.4441,91842,0
1984-08-22,7.4982,7.5982,7.4982,7.5443,100801,0
1984-08-23,7.4982,7.6985,7.4982,7.5982,119896,0
1984-08-24,7.5982,7.5982,7.5443,7.5982,83787,0
1984-08-27,7.5443,7.5443,7.4441,7.4982,57674,0
1984-08-28,7.4982,7.5443,7.4441,7.4982,56117,0
1984-08-29,7.4441,7.5443,7.4441,7.4441,173675,0
1984-08-30,7.4441,7.5443,7.4441,7.4441,198092,0
1984-08-31,7.4982,7.5443,7.4441,7.5443,115481,0
1984-09-04,7.5443,7.5443,7.4982,7.4982,60662,0
1984-09-05,7.4982,7.4982,7.4982,7.4982,72355,0
1984-09-06,7.5443,7.5443,7.4982,7.4982,56117,0
1984-09-07,7.4982,7.5443,7.4982,7.4982,76249,0
1984-09-10,7.4441,7.5443,7.4441,7.5443,61571,0
1984-09-11,7.5443,7.5982,7.4982,7.4982,144185,0
1984-09-12,7.5443,7.5443,7.3982,7.4441,129509,0
1984-09-13,7.7524,7.7524,7.4441,7.7524,345919,0
1984-09-14,7.7524,8.1064,7.7524,7.9524,328125,0
1984-09-17,7.9524,8.0064,7.9524,7.9524,179911,0
1984-09-18,7.9524,8.1064,7.9524,8.0604,476726,0
1984-09-19,8.0604,8.2142,8.0064,8.1603,359948,0
1984-09-20,8.1064,8.2603,8.1064,8.2603,420867,0
1984-09-21,8.1603,8.2142,8.1064,8.1064,126000,0
1984-09-24,8.1064,8.1603,8.0064,8.0064,93784,0
1984-09-25,7.9524,8.0604,7.9524,8.0604,181078,0
1984-09-26,8.0064,8.1064,8.0064,8.0604,164060,0
1984-09-27,8.1064,8.2603,8.1064,8.1064,716515,0
1984-09-28,8.1064,8.3142,8.1064,8.3142,512317,0
1984-10-01,8.3142,8.3605,8.1064,8.1603,545183,0
1984-10-02,8.1064,8.2603,8.1064,8.2142,296297,0
1984-10-03,8.2142,8.3142,8.2142,8.2603,927859,0
1984-10-04,8.2603,8.4682,8.2603,8.4682,412298,0
1984-10-05,8.5683,8.7229,8.5141,8.6223,528943,0
1984-10-08,8.5683,8.6223,8.4682,8.5141,108986,0
1984-10-09,8.5141,8.5683,8.5141,8.5141,205759,0
1984-10-10,8.5141,8.5683,8.3605,8.4144,1647106,0
1984-10-11,8.4144,8.5141,8.4144,8.4682,156784,0
1984-10-12,8.5141,8.5683,8.4144,8.4682,91580,0
1984-10-15,8.4144,8.5683,8.4144,8.5141,259663,0
1984-10-16,8.5141,8.5683,8.4682,8.5141,249275,0
1984-10-17,8.5141,8.6223,8.5141,8.6223,163281,0
1984-10-18,8.5683,8.7229,8.5683,8.6223,125741,0
1984-10-19,8.7229,8.7688,8.5683,8.6223,246287,0
1984-10-22,8.6223,8.7229,8.6223,8.6675,150552,0
1984-10-23,8.7229,8.8228,8.7229,8.7229,122364,0
1984-10-24,8.7688,8.7688,8.6675,8.7688,155358,0
1984-10-25,8.7229,8.7688,8.6223,8.6675,152887,0
1984-10-26,8.3142,8.3605,8.1603,8.2142,144578,0
1984-10-29,8.2142,8.2603,8.1603,8.2142,173154,0
1984-10-30,8.2142,8.3142,8.2142,8.3142,128337,0
1984-10-31,8.3605,8.4682,8.3605,8.4144,99501,0
1984-11-01,8.4682,8.6223,8.4682,8.6223,161075,0
1984-11-02,8.5683,8.6223,8.5141,8.5683,409176,0
1984-11-05,8.5683,8.6223,8.4682,8.5141,228490,0
1984-11-06,8.5141,8.5683,8.4144,8.4682,110936,0
1984-11-07,8.2603,8.3605,8.0604,8.0604,322799,0
1984-11-08,8.0064,8.0064,7.8524,7.9524,297983,0
1984-11-09,7.9524,8.2142,7.9524,8.1603,190170,0
1984-11-12,8.2142,8.2603,8.1603,8.2603,76638,0
1984-11-13,8.2603,8.2603,8.1603,8.1603,137180,0
1984-11-14,8.1603,8.2142,8.0604,8.0604,107424,0
1984-11-15,8.1064,8.1603,8.0604,8.1603,66897,0
1984-11-16,8.1603,8.2142,8.1603,8.1603,107424,0
1984-11-19,8.2142,8.2603,8.1603,8.2142,63650,0
1984-11-20,8.2142,8.3605,8.1603,8.2603,273565,0
1984-11-21,8.3142,8.3605,8.2603,8.3142,83003,0
1984-11-23,8.4682,8.5141,8.3142,8.4682,118337,0
1984-11-26,8.5683,8.6675,8.5141,8.6223,242776,0
1984-11-27,8.5683,8.7229,8.5683,8.7229,115089,0
1984-11-28,8.7229,8.7229,8.6675,8.6675,310588,0
1984-11-29,8.6223,8.6675,8.5683,8.6223,73782,0
1984-11-30,8.5141,8.5141,8.4682,8.5141,361117,0
1984-12-03,8.5683,8.7688,8.5141,8.7229,388525,0
1984-12-04,8.6223,8.6675,8.5683,8.6223,215236,0
1984-12-05,8.6223,8.7229,8.5683,8.5683,102489,0
1984-12-06,8.6223,8.6675,8.6223,8.6223,51310,0
1984-12-07,8.6223,8.6223,8.6223,8.6223,54426,0
1984-12-10,8.6223,8.7229,8.6223,8.6675,549209,0
1984-12-11,8.6675,8.7229,8.6223,8.6675,75212,0
1984-12-12,8.7688,8.7688,8.7688,8.7688,218618,0
1984-12-13,8.7688,8.8757,8.6675,8.7688,69495,0
1984-12-14,8.8228,8.8757,8.8228,8.8228,142109,0
1984-12-17,8.8228,8.8757,8.7688,8.8228,105866,0
1984-12-18,8.9214,8.9762,8.8757,8.9762,264735,0
1984-12-19,8.9214,9.0766,8.9214,9.0301,250182,0
1984-12-20,8.9762,9.0301,8.8757,8.9214,216672,0
1984-12-21,9.0766,9.0766,9.0766,9.0766,123664,0
1984-12-24,9.13,9.231,9.0766,9.1753,228490,0
1984-12-26,9.1753,9.1753,8.9762,8.9762,58190,0
1984-12-27,8.9762,9.0301,8.9214,8.9762,84824,0
1984-12-28,8.9762,8.9762,8.9214,8.9762,102229,0
