Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,17.059,17.325,16.896,17.325,654348,0
2005-02-28,17.177,17.345,17.109,17.109,516151,0
2005-03-01,17.109,17.236,16.876,16.934,512411,0
2005-03-02,16.924,17.109,16.856,16.962,337418,0
2005-03-03,16.982,16.982,16.817,16.846,546989,0
2005-03-04,16.896,16.944,16.62,16.798,501459,0
2005-03-07,16.798,17.315,16.798,17.187,605150,0
2005-03-08,17.325,17.325,17.04,17.059,458297,0
2005-03-09,16.982,17.325,16.944,17.177,511384,0
2005-03-10,17.158,17.335,16.991,17.05,500405,0
2005-03-11,16.982,17.275,16.982,17.265,402921,0
2005-03-14,17.545,17.965,17.545,17.878,828823,0
2005-03-15,18.422,18.579,18.161,18.23,1096928,0
2005-03-16,18.092,18.422,18.092,18.366,755471,0
2005-03-17,18.657,19.017,18.52,18.803,1065031,0
2005-03-18,18.938,19.223,18.735,19.144,2173071,0
2005-03-21,19.173,19.309,19.105,19.223,904888,0
2005-03-22,19.262,19.365,19.056,19.125,522573,0
2005-03-23,19.027,19.135,18.919,18.997,569603,0
2005-03-24,18.997,19.271,18.997,19.085,372561,0
2005-03-28,18.909,19.027,18.609,18.735,665632,0
2005-03-29,18.589,18.589,18.21,18.298,668042,0
2005-03-30,18.22,18.793,18.21,18.763,363426,0
2005-03-31,18.793,18.793,18.48,18.647,451940,0
2005-04-01,18.657,18.744,18.21,18.394,308106,0
2005-04-04,18.161,18.46,18.092,18.384,371392,0
2005-04-05,18.346,18.539,18.259,18.5,398946,0
2005-04-06,18.45,19.075,18.366,18.919,615423,0
2005-04-07,18.783,18.862,18.5,18.803,437406,0
2005-04-08,18.744,18.744,18.47,18.49,627121,0
2005-04-11,18.559,18.899,18.376,18.48,445833,0
2005-04-12,18.413,18.687,18.269,18.609,448942,0
2005-04-13,18.539,18.638,18.327,18.5,617071,0
2005-04-14,18.5,18.822,18.413,18.5,252151,0
2005-04-15,18.5,18.879,18.317,18.413,310818,0
2005-04-18,18.51,18.51,17.975,18.356,667920,0
2005-04-19,18.404,18.559,18.279,18.549,600905,0
2005-04-20,18.356,18.5,17.965,18.062,655721,0
2005-04-21,18.112,18.269,17.975,18.112,414113,0
2005-04-22,18.161,18.161,17.673,17.722,562470,0
2005-04-25,17.8,17.946,17.643,17.791,544215,0
2005-04-26,17.673,18.062,17.448,17.574,386994,0
2005-04-27,17.487,17.896,17.335,17.8,328363,0
2005-04-28,17.82,17.916,17.411,17.438,427326,0
2005-04-29,17.526,17.906,17.393,17.839,335560,0
2005-05-02,17.673,17.791,17.497,17.781,325720,0
2005-05-03,17.82,17.906,17.419,17.574,518349,0
2005-05-04,17.564,17.869,17.429,17.712,300551,0
2005-05-05,17.393,17.478,16.505,17.206,728573,0
2005-05-06,17.383,17.761,16.866,16.952,522067,0
2005-05-09,16.798,16.798,16.358,16.64,795348,0
2005-05-10,16.505,16.7,16.309,16.583,618786,0
2005-05-11,16.495,16.69,15.959,16.077,829773,0
2005-05-12,16.135,16.144,15.746,15.815,723412,0
2005-05-13,15.979,15.979,15.19,15.386,1289147,0
2005-05-16,15.482,15.542,15.356,15.482,584164,0
2005-05-17,15.288,15.482,15.258,15.426,567010,0
2005-05-18,15.492,15.629,15.406,15.472,498331,0
2005-05-19,15.58,15.58,15.22,15.376,582679,0
2005-05-20,15.337,15.472,15.092,15.386,619933,0
2005-05-23,15.337,15.532,15.308,15.472,401247,0
2005-05-24,15.482,15.56,15.043,15.17,753238,0
2005-05-25,15.102,15.102,14.694,14.878,866911,0
2005-05-26,14.819,15.083,14.722,15.033,580313,0
2005-05-27,15.043,15.56,15.043,15.426,788214,0
2005-05-31,15.366,15.366,15.092,15.131,1789374,0
2005-06-01,15.102,15.23,14.946,15.21,719247,0
2005-06-02,15.092,15.248,14.974,15.23,595834,0
2005-06-03,15.23,15.298,14.646,14.684,684790,0
2005-06-06,14.655,14.789,14.462,14.569,837876,0
2005-06-07,14.589,14.636,14.216,14.256,600840,0
2005-06-08,14.196,14.286,13.935,13.964,613291,0
2005-06-09,13.964,13.964,13.7,13.828,703862,0
2005-06-10,13.788,13.925,13.513,13.7,1008360,0
2005-06-13,13.622,13.876,13.533,13.759,705830,0
2005-06-14,13.602,14.041,13.493,14.032,1114729,0
2005-06-15,14.069,14.216,13.828,14.051,737995,0
2005-06-16,14.138,14.471,14.051,14.305,846090,0
2005-06-17,14.305,14.618,14.305,14.5,976241,0
2005-06-20,14.383,14.569,14.315,14.344,475851,0
2005-06-21,14.334,14.618,14.295,14.402,485273,0
2005-06-22,14.079,14.256,13.972,14.118,876502,0
2005-06-23,13.906,14.089,13.493,13.533,926669,0
2005-06-24,13.632,13.915,13.533,13.818,1805147,0
2005-06-27,13.72,13.73,13.437,13.456,819964,0
2005-06-28,13.369,13.681,13.312,13.474,582840,0
2005-06-29,13.379,13.74,13.282,13.622,643720,0
2005-06-30,13.513,13.808,13.418,13.572,597054,0
2005-07-01,13.592,13.74,13.428,13.523,512797,0
2005-07-05,13.312,13.562,13.204,13.513,889422,0
2005-07-06,13.446,13.72,13.446,13.572,727443,0
2005-07-07,13.379,13.582,13.204,13.292,445890,0
2005-07-08,13.312,13.681,13.272,13.513,730890,0
2005-07-11,13.474,13.808,13.379,13.632,589541,0
2005-07-12,13.592,13.592,13.302,13.312,410995,0
2005-07-13,13.409,13.533,13.069,13.35,411551,0
2005-07-14,13.302,13.465,13.233,13.359,336902,0
2005-07-15,13.262,13.523,13.242,13.446,442659,0
2005-07-18,13.331,13.493,13.194,13.35,669957,0
2005-07-19,13.428,13.632,13.399,13.552,404698,0
2005-07-20,13.493,13.848,13.389,13.74,653452,0
2005-07-21,13.749,13.808,13.389,13.73,575073,0
2005-07-22,13.7,13.876,13.456,13.768,572089,0
2005-07-25,13.759,13.858,13.562,13.632,445351,0
2005-07-26,13.661,13.896,13.622,13.681,379335,0
2005-07-27,13.681,13.808,13.456,13.602,856433,0
2005-07-28,13.513,13.73,13.437,13.622,460270,0
2005-07-29,13.612,13.71,13.465,13.533,372228,0
2005-08-01,13.418,13.72,13.359,13.602,385591,0
2005-08-02,13.71,14.118,13.71,13.906,562754,0
2005-08-03,13.818,13.992,13.642,13.848,446950,0
2005-08-04,13.749,13.867,13.562,13.642,462925,0
2005-08-05,13.622,13.73,13.379,13.513,489933,0
2005-08-08,13.369,13.523,13.223,13.359,568764,0
2005-08-09,13.428,13.493,13.233,13.399,214045,0
2005-08-10,13.341,13.389,13.137,13.184,364212,0
2005-08-11,13.079,13.389,12.991,13.379,541089,0
2005-08-12,13.341,13.428,13.069,13.292,342109,0
2005-08-15,13.272,13.409,13.099,13.35,582917,0
2005-08-16,13.262,13.302,13.079,13.146,383412,0
2005-08-17,13.302,13.562,13.302,13.418,573844,0
2005-08-18,13.446,13.503,13.302,13.331,395291,0
2005-08-19,13.262,13.379,13.184,13.242,360010,0
2005-08-22,13.282,13.483,13.223,13.321,346358,0
2005-08-23,13.282,13.418,13.049,13.127,534544,0
2005-08-24,13.049,13.156,12.903,13.039,336074,0
2005-08-25,13.039,13.437,12.952,13.312,537741,0
2005-08-26,13.282,13.399,13.079,13.242,452788,0
2005-08-29,13.194,13.582,13.194,13.523,428123,0
2005-08-30,13.552,13.749,13.483,13.612,661395,0
2005-08-31,13.661,13.992,13.572,13.955,495395,0
2005-09-01,13.972,13.982,13.622,13.661,662435,0
2005-09-02,14.412,14.618,14.118,14.363,874040,0
2005-09-06,14.305,14.608,14.295,14.569,692235,0
2005-09-07,13.474,15.013,13.35,14.703,2173880,0
2005-09-08,14.51,15.043,14.51,14.608,1191322,0
