Date,Open,High,Low,Close,Volume,OpenInt
2016-09-28,25.628,25.628,24.797,24.797,7176,0
2016-09-30,24.847,24.847,24.847,24.847,100,0
2016-10-03,24.747,24.747,24.747,24.747,802,0
2016-10-04,24.64,24.64,24.64,24.64,1011,0
2016-10-05,24.817,24.818,24.817,24.818,2021,0
2016-10-06,24.709,24.709,24.709,24.709,110,0
2016-11-01,23.778,23.778,23.778,23.778,304,0
2016-11-02,24.738,24.738,23.412,23.412,9530,0
2016-11-09,24.62,24.62,24.605,24.605,3097,0
2016-11-10,25.027,25.027,25.027,25.027,353,0
2016-11-14,25.876,25.876,25.876,25.876,4893,0
2016-11-16,27.093,27.093,27.093,27.093,304,0
2016-11-21,26.461,26.461,26.461,26.461,329,0
2016-11-22,26.648,26.777,26.648,26.777,384,0
2016-11-23,27.073,27.073,27.073,27.073,240,0
2016-11-28,27.281,27.281,26.766,26.766,6672,0
2016-11-29,26.806,26.806,26.806,26.806,758,0
2016-12-01,26.96,26.96,26.96,26.96,707,0
2016-12-02,26.708,26.708,26.495,26.609,607,0
2016-12-05,25.451,26.599,25.451,26.599,203,0
2016-12-08,27.843,27.875,27.843,27.875,304,0
2016-12-12,28.192,28.192,27.875,27.875,255,0
2016-12-14,27.589,27.677,27.589,27.606,2319,0
2016-12-15,27.697,27.697,27.637,27.637,8947,0
2016-12-16,27.757,27.757,27.637,27.637,3423,0
2016-12-19,27.608,27.608,27.608,27.608,100,0
2016-12-20,27.885,27.885,27.885,27.885,889,0
2016-12-21,27.895,27.895,27.816,27.816,259,0
2016-12-22,27.816,27.816,27.529,27.569,1495,0
2016-12-23,27.628,27.628,27.628,27.628,718,0
2016-12-28,27.653,27.653,27.653,27.653,168,0
2016-12-29,27.484,27.484,27.484,27.484,974,0
2016-12-30,27.454,27.454,27.437,27.437,418,0
2017-01-03,27.404,27.404,27.404,27.404,100,0
2017-01-09,27.454,27.454,27.454,27.454,102,0
2017-01-10,27.713,27.713,27.713,27.713,257,0
2017-01-13,27.802,27.802,27.693,27.693,358,0
2017-01-17,27.403,27.403,27.403,27.403,200,0
2017-01-18,27.295,27.385,27.295,27.384,574,0
2017-01-24,27.355,27.355,27.355,27.355,303,0
2017-01-25,27.743,27.743,27.554,27.554,1496,0
2017-01-30,27.226,27.226,27.226,27.226,102,0
2017-02-01,27.444,27.444,27.405,27.405,725,0
2017-02-02,27.354,27.355,27.354,27.355,491,0
2017-02-03,27.802,27.802,27.802,27.802,2559,0
2017-02-06,27.554,27.554,27.554,27.554,554,0
2017-02-08,27.295,27.295,27.295,27.295,202,0
2017-02-09,27.881,27.881,27.881,27.881,554,0
2017-02-10,28.04,28.09,27.921,28.085,2589,0
2017-02-14,28.1,28.1,28.1,28.1,100,0
2017-02-15,28.16,28.324,28.16,28.324,1188,0
2017-02-16,28.299,28.299,28.299,28.299,303,0
2017-02-17,28.309,28.309,28.287,28.287,265,0
2017-02-21,29.778,29.778,28.447,28.537,2432,0
2017-02-23,28.299,28.299,28.12,28.209,1572,0
2017-02-27,28.249,28.437,28.249,28.437,484,0
2017-02-28,28.209,28.209,27.969,27.99,1976,0
2017-03-01,28.566,28.566,28.566,28.566,252,0
2017-03-03,28.199,28.199,28.11,28.15,478,0
2017-03-08,27.861,27.861,27.802,27.802,368,0
2017-03-09,27.822,27.822,27.703,27.703,252,0
2017-03-10,27.593,27.623,27.581,27.622,3948,0
2017-03-13,27.782,27.782,27.782,27.782,180,0
2017-03-14,27.703,27.703,27.703,27.703,197,0
2017-03-16,28.12,28.15,28.12,28.14,2044,0
2017-03-17,28.249,28.249,28.249,28.249,1003,0
2017-03-20,28.249,28.249,28.04,28.08,2014,0
2017-03-24,27.574,27.703,27.574,27.663,1881,0
2017-03-27,27.564,27.564,27.564,27.564,378,0
2017-03-31,28.259,28.259,28.259,28.259,681,0
2017-04-11,27.874,27.874,27.735,27.853,465,0
2017-04-20,27.993,28.113,27.993,28.113,337,0
2017-04-25,28.761,28.79,28.761,28.79,261,0
2017-04-27,28.91,28.91,28.9,28.9,3140,0
2017-05-01,28.621,28.621,28.621,28.621,190,0
2017-05-02,28.621,28.621,28.621,28.621,502,0
2017-05-04,28.362,28.362,28.263,28.263,861,0
