Date,Open,High,Low,Close,Volume,OpenInt
2016-08-11,11.7,12,11.7,11.7,1573107,0
2016-08-12,11.75,12,11.28,11.57,113682,0
2016-08-15,11.6,11.7,11.4,11.5,90322,0
2016-08-16,11.5,11.6899,11.46,11.46,50581,0
2016-08-17,11.58,11.8,11.54,11.74,140416,0
2016-08-18,11.835,11.89,11.5,11.76,60778,0
2016-08-19,11.71,12.89,11.5101,11.8,179296,0
2016-08-22,11.45,11.75,11.1,11.6,34662,0
2016-08-23,11.6535,11.68,10.64,11.48,80877,0
2016-08-24,11.3316,11.5,10.74,10.94,65853,0
2016-08-25,11,11.2,10.02,10.71,55749,0
2016-08-26,10.8,11.4,10.08,10.44,110369,0
2016-08-29,10.83,11.07,10.1101,10.62,176805,0
2016-08-30,10.3,11.418,10.3,10.88,101942,0
2016-08-31,10.65,12.35,10.65,12,215784,0
2016-09-01,12.01,12.41,11.74,12.09,39652,0
2016-09-02,11.8821,12.15,11.6078,12.08,20402,0
2016-09-06,12.01,13,11.72,12.41,105532,0
2016-09-07,12.6,12.68,12.2,12.63,116239,0
2016-09-08,12.79,12.79,12.43,12.57,69858,0
2016-09-09,12.7,12.9488,11.691,12.3001,64222,0
2016-09-12,12.4,12.4,12.0501,12.38,45765,0
2016-09-13,12.39,13.68,12.04,12.88,208465,0
2016-09-14,13.18,13.4199,12.45,12.45,97276,0
2016-09-15,12.8,13.89,12.21,13.115,61132,0
2016-09-16,13.62,15.15,13.27,14.33,291347,0
2016-09-19,14.73,16.54,14.475,15.08,153098,0
2016-09-20,14.98,16.5,14.98,15.61,73090,0
2016-09-21,15.65,16,15.3,15.81,64719,0
2016-09-22,15.92,16.78,15.8,16.05,33185,0
2016-09-23,16.69,17.525,16.35,17,56115,0
2016-09-26,17.3,19.56,15.51,18.31,138200,0
2016-09-27,18.59,22.56,18.43,20.99,523483,0
2016-09-28,21,21.6765,20.16,20.94,209970,0
2016-09-29,21.19,22.25,20.11,20.76,261638,0
2016-09-30,20.49,21.8,20,21.13,590854,0
2016-10-03,21.35,21.9,20.86,21.21,156373,0
2016-10-04,21.39,22.1,21.165,21.83,89705,0
2016-10-05,21.68,22.86,21.49,21.72,135861,0
