Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,7.3561,7.5624,7.3561,7.5266,5519,0
2005-02-28,7.5893,7.6881,7.4099,7.4817,12804,0
2005-03-01,7.4368,7.5804,7.4368,7.5804,30924,0
2005-03-02,7.4817,7.6432,7.4817,7.5804,43592,0
2005-03-03,7.4729,7.6342,7.4729,7.5804,14831,0
2005-03-04,7.5624,7.6342,7.5177,7.6342,10856,0
2005-03-07,7.5355,7.5984,7.4459,7.5984,16895,0
2005-03-08,7.4459,7.4817,7.374,7.4729,4710,0
2005-03-09,7.3651,7.4368,7.2843,7.3382,16927,0
2005-03-10,7.2934,7.3472,7.2486,7.2753,22267,0
2005-03-11,7.3561,7.3561,7.3203,7.3203,3627,0
2005-03-14,7.4996,7.6881,7.4996,7.5804,39458,0
2005-03-15,7.5804,7.8047,7.5804,7.7778,22185,0
2005-03-16,7.697,7.8137,7.697,7.7598,11647,0
2005-03-17,7.6432,7.7688,7.6432,7.7419,5932,0
2005-03-18,7.8137,7.8137,7.6611,7.7509,27699,0
2005-03-21,7.706,7.8495,7.706,7.7778,30240,0
2005-03-22,7.8495,8.038,7.8495,7.9572,32698,0
2005-03-23,7.8317,7.9393,7.733,7.7778,7628,0
2005-03-24,8.011,8.0918,7.9303,7.9751,15347,0
2005-03-28,7.8495,7.8495,7.4907,7.5893,29630,0
2005-03-29,7.6163,7.6163,7.3292,7.3651,44925,0
2005-03-30,7.3831,7.5355,7.3651,7.5355,12565,0
2005-03-31,7.5355,7.724,7.5355,7.5804,23019,0
2005-04-01,7.6432,7.8226,7.6432,7.697,5471,0
2005-04-04,7.5893,7.5893,7.2575,7.3831,73033,0
2005-04-05,7.3651,7.3921,7.3113,7.3831,5843,0
2005-04-06,7.4279,7.4729,7.3921,7.3921,12563,0
2005-04-07,7.4548,7.5624,7.3472,7.3831,27342,0
2005-04-08,7.2664,7.4907,7.2664,7.4817,5432,0
2005-04-11,7.5535,7.5535,7.3292,7.401,4701,0
2005-04-12,7.4638,7.4817,7.3561,7.3651,20399,0
2005-04-13,7.5355,7.5804,7.2753,7.3113,53572,0
