Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,8.7883,8.8259,8.7883,8.8259,325,0
2005-02-28,8.7977,8.8822,8.7977,8.8541,1191,0
2005-03-01,8.8541,8.8541,8.8541,8.8541,107,0
2005-03-02,8.9952,8.9952,8.9105,8.9105,757,0
2005-03-03,8.9669,9.0421,8.9012,8.9012,2601,0
2005-03-07,8.8166,8.8166,8.8166,8.8166,216,0
2005-03-08,8.9012,8.9012,8.8166,8.8917,3142,0
2005-03-09,8.6944,8.6944,8.6944,8.6944,540,0
2005-03-10,8.7695,8.8353,8.7695,8.8353,975,0
2005-03-11,8.8541,8.948,8.8448,8.948,6719,0
2005-03-14,8.8541,8.8541,8.8166,8.8541,540,0
2005-03-15,8.948,8.948,8.948,8.948,216,0
2005-03-16,8.8541,8.9952,8.8541,8.8729,1733,0
2005-03-17,8.7883,8.7883,8.7883,8.7883,1084,0
2005-03-18,8.9012,8.9387,8.9012,8.9387,540,0
2005-03-21,8.9012,8.9387,8.9012,8.9012,1516,0
2005-03-22,8.8541,8.8541,8.8541,8.8541,216,0
2005-03-28,8.948,8.9857,8.9294,8.9294,649,0
2005-03-29,8.9012,8.9387,8.8448,8.9387,757,0
2005-03-30,8.9294,8.9294,8.7413,8.7413,2166,0
2005-03-31,8.7977,8.7977,8.7977,8.7977,216,0
2005-04-01,8.7883,8.8729,8.7883,8.8729,540,0
2005-04-04,8.8353,8.8353,8.7977,8.7977,216,0
2005-04-05,8.7226,8.7226,8.7226,8.7226,325,0
2005-04-06,8.7695,8.7695,8.7695,8.7695,107,0
2005-04-07,8.8071,8.8071,8.5533,8.5533,5309,0
2005-04-08,8.6755,8.8071,8.6098,8.8071,7694,0
2005-04-11,8.7789,8.7789,8.7226,8.7226,2384,0
2005-04-12,8.8166,8.8166,8.8166,8.8166,216,0
2005-04-14,8.7695,8.7695,8.7695,8.7695,107,0
2005-04-15,8.6755,8.7695,8.5346,8.7695,3468,0
2005-04-18,8.7695,8.7695,8.4876,8.5814,4768,0
2005-04-19,8.497,8.591,8.497,8.5251,975,0
2005-04-20,8.5814,8.5814,8.5251,8.5533,3250,0
2005-04-21,8.5627,8.5721,8.5627,8.5721,1516,0
2005-04-22,8.5439,8.5439,8.4876,8.4876,867,0
2005-04-25,8.4686,8.4686,8.4686,8.4686,540,0
2005-04-27,8.45,8.6661,8.45,8.6661,1625,0
2005-04-28,8.6285,8.6285,8.5814,8.5814,1733,0
2005-04-29,8.6755,8.6755,8.497,8.497,1625,0
2005-05-04,8.4876,8.5346,8.45,8.5346,540,0
2005-05-09,8.5814,8.6661,8.5814,8.6661,2166,0
2005-05-10,8.6755,8.6755,8.6755,8.6755,432,0
2005-05-11,8.6755,8.6755,8.6755,8.6755,107,0
2005-05-12,8.6755,8.6755,8.6755,8.6755,325,0
2005-05-13,8.6661,8.6755,8.6661,8.6755,216,0
2005-05-16,8.6755,8.7226,8.6755,8.7226,867,0
2005-05-17,8.7601,8.7601,8.7319,8.7319,975,0
2005-05-18,8.7226,8.7226,8.7226,8.7226,540,0
2005-05-20,8.7601,8.7601,8.7601,8.7601,540,0
2005-05-23,8.7319,8.7319,8.7319,8.7319,107,0
2005-05-24,8.6661,8.6661,8.6661,8.6661,540,0
2005-05-25,8.4781,8.5814,8.4781,8.5814,2710,0
2005-05-26,8.6285,8.6285,8.5346,8.5346,1516,0
2005-05-27,8.6473,8.6567,8.4876,8.4876,3250,0
2005-05-31,8.497,8.497,8.45,8.45,216,0
2005-06-01,8.5814,8.6378,8.497,8.6378,5527,0
2005-06-06,8.5439,8.5439,8.5439,8.5439,216,0
2005-06-07,8.4876,8.4876,8.4876,8.4876,216,0
2005-06-08,8.5721,8.5721,8.4123,8.4876,975,0
2005-06-09,8.4218,8.4218,8.4123,8.4218,3359,0
2005-06-10,8.4312,8.4312,8.4312,8.4312,107,0
2005-06-13,8.4312,8.4312,8.4312,8.4312,325,0
2005-06-14,8.4686,8.4781,8.4686,8.4781,1516,0
2005-06-15,8.4876,8.4876,8.4876,8.4876,1084,0
2005-06-16,8.4876,8.4876,8.4406,8.4406,1408,0
2005-06-17,8.4218,8.4218,8.4218,8.4218,757,0
2005-06-20,8.4123,8.4123,8.3278,8.3278,1300,0
2005-06-21,8.3935,8.3935,8.3465,8.3559,649,0
2005-06-22,8.3465,8.4406,8.3184,8.4029,1951,0
2005-06-23,8.4781,8.4781,8.4781,8.4781,1733,0
2005-06-24,8.4029,8.4123,8.4029,8.4123,649,0
2005-06-29,8.4781,8.4781,8.4781,8.4781,107,0
2005-06-30,8.4686,8.4686,8.3278,8.3278,2058,0
2005-07-01,8.3559,8.4686,8.3559,8.4686,867,0
2005-07-05,8.4686,8.4686,8.4686,8.4686,325,0
2005-07-06,8.4312,8.4312,8.3559,8.4312,975,0
2005-07-07,8.4781,8.4781,8.4781,8.4781,216,0
2005-07-08,8.3465,8.3841,8.3465,8.3559,1625,0
2005-07-11,8.3652,8.3652,8.3652,8.3652,975,0
2005-07-12,8.3559,8.3748,8.3465,8.3748,1408,0
2005-07-13,8.3841,8.3841,8.3465,8.3465,1191,0
2005-07-14,8.3559,8.3559,8.3559,8.3559,1084,0
2005-07-15,8.3465,8.3465,8.3465,8.3465,540,0
