Date,Open,High,Low,Close,Volume,OpenInt
2010-08-23,15.392,15.629,15.307,15.565,30736,0
2010-08-24,15.629,15.701,15.606,15.664,26614,0
2010-08-25,15.652,15.737,15.644,15.73,8120,0
2010-08-26,15.758,15.772,15.714,15.758,18602,0
2010-08-27,15.652,15.772,15.652,15.751,12920,0
2010-08-30,15.68,15.901,15.657,15.68,5056,0
2010-08-31,15.644,15.78,15.507,15.544,17942,0
2010-09-01,15.744,15.916,15.492,15.916,6923,0
2010-09-02,15.916,15.916,15.615,15.816,5503,0
2010-09-03,15.916,15.916,15.573,15.635,5349,0
2010-09-07,15.565,15.916,15.565,15.916,4686,0
2010-09-08,15.981,16.096,15.714,16.096,23298,0
2010-09-09,16.088,16.167,15.744,16.067,20590,0
2010-09-10,15.974,16.167,15.974,16.167,10206,0
2010-09-13,16.217,16.382,16.217,16.325,23403,0
2010-09-14,16.26,16.483,16.24,16.29,13184,0
2010-09-15,16.296,16.468,16.296,16.362,8407,0
2010-09-16,16.454,16.489,16.325,16.489,18808,0
2010-09-17,16.24,16.489,16.24,16.489,25751,0
2010-09-20,16.562,16.742,16.505,16.742,27917,0
2010-09-21,16.742,17.071,16.718,16.822,13977,0
2010-09-22,16.957,16.962,16.598,16.793,30815,0
2010-09-23,16.834,16.927,16.362,16.775,27263,0
2010-09-24,16.927,16.927,16.483,16.927,4398,0
2010-09-27,16.927,16.927,16.639,16.899,6344,0
2010-09-28,16.927,16.927,16.619,16.685,1938,0
2010-09-29,16.691,16.95,16.691,16.718,6189,0
2010-09-30,16.718,16.962,16.718,16.957,1887,0
2010-10-01,16.804,16.962,16.804,16.962,1046,0
2010-10-04,16.863,17.071,16.727,16.99,4943,0
2010-10-05,16.863,16.985,16.798,16.957,7871,0
2010-10-06,16.95,16.962,16.884,16.962,6873,0
2010-10-07,16.962,16.962,16.962,16.962,4622,0
2010-10-08,16.934,17.071,16.934,17.071,8864,0
2010-10-11,17.071,17.192,17.036,17.107,17897,0
2010-10-12,16.927,16.927,16.568,16.639,11951,0
2010-10-13,16.783,16.783,16.454,16.562,20173,0
2010-10-14,16.734,16.734,16.498,16.498,7298,0
2010-10-15,16.598,16.822,16.447,16.822,20691,0
2010-10-18,16.77,16.822,16.634,16.77,21271,0
2010-10-19,17,17.014,16.426,16.748,6693,0
2010-10-20,17.093,17.093,16.562,16.855,11840,0
2010-10-21,16.892,17.071,16.691,16.742,13706,0
2010-10-22,17.036,17.042,16.855,16.892,2523,0
2010-10-25,16.913,17.071,16.892,17.071,12391,0
2010-10-26,16.892,17.071,16.855,17.036,6904,0
2010-10-27,17.02,17.028,16.871,17.014,1534,0
2010-10-28,17.014,17.071,16.899,17.049,6182,0
2010-10-29,16.892,17.036,16.718,16.754,6414,0
2010-11-01,16.962,17.071,16.962,17.036,14292,0
2010-11-02,16.97,17.028,16.962,17.007,4327,0
2010-11-03,17,17.036,17,17.036,6135,0
2010-11-04,17.071,17.208,17.071,17.208,8196,0
2010-11-05,17.036,17.036,16.605,16.892,11109,0
2010-11-08,17.192,17.208,16.892,17.208,5002,0
2010-11-09,17.179,17.2,17.007,17.192,7379,0
2010-11-10,17.179,17.192,16.878,17.192,9319,0
2010-11-11,16.849,17.214,16.849,17.214,18296,0
2010-11-12,17.214,17.315,16.985,17.293,5724,0
2010-11-15,17.179,17.214,16.884,17.143,7594,0
2010-11-16,17.2,17.315,17.042,17.042,7402,0
2010-11-17,17.315,17.315,17.179,17.179,1393,0
2010-11-18,17.071,17.2,17.049,17.077,7749,0
2010-11-19,17.278,17.35,17.208,17.35,14616,0
2010-11-22,17.322,17.322,17.042,17.042,6736,0
2010-11-23,17.049,17.114,16.362,16.612,26614,0
2010-11-24,16.612,16.742,16.612,16.639,3524,0
2010-11-26,16.639,16.639,16.639,16.639,558,0
2010-11-29,16.713,16.798,16.34,16.447,8007,0
2010-12-01,16.713,16.713,16.498,16.498,2022,0
2010-12-02,16.59,16.59,16.489,16.498,3067,0
2010-12-03,16.489,16.498,16.375,16.375,2433,0
2010-12-06,16.382,16.483,16.146,16.146,2927,0
2010-12-07,16.224,16.354,15.959,16.34,3576,0
2010-12-08,16.347,16.347,16.067,16.34,806,0
2010-12-09,16.023,16.34,16.023,16.34,1306,0
2010-12-10,16.247,16.247,16.138,16.138,3581,0
