Date,Open,High,Low,Close,Volume,OpenInt
2016-12-06,20.432,20.432,19.795,19.952,59192,0
2016-12-07,19.841,20.204,19.704,19.875,461931,0
2016-12-08,19.803,19.841,19.704,19.795,281480,0
2016-12-09,19.749,20.022,19.704,19.976,217706,0
2016-12-12,19.766,20.104,19.766,20.104,311224,0
2016-12-13,20.076,20.232,20.058,20.103,255123,0
2016-12-14,20.048,20.103,19.919,19.948,230372,0
2016-12-15,19.8,19.974,19.8,19.974,290530,0
2016-12-16,19.929,20.039,19.892,20.02,163394,0
2016-12-19,20.076,20.167,19.993,20.067,110821,0
2016-12-20,20.02,20.103,19.974,20.084,148455,0
2016-12-21,20.039,20.149,20.02,20.029,127480,0
2016-12-22,20.149,20.167,20.039,20.067,229470,0
2016-12-23,20.02,20.149,20.012,20.103,108178,0
2016-12-27,20.029,20.196,20.029,20.158,229723,0
2016-12-28,19.782,20.223,19.782,20.122,324633,0
2016-12-29,20.139,20.36,20.139,20.333,307309,0
2016-12-30,20.342,20.487,20.25,20.487,155053,0
2017-01-03,20.387,20.562,20.387,20.544,108222,0
2017-01-04,20.507,20.682,20.507,20.656,151552,0
2017-01-05,20.699,20.737,20.682,20.709,134916,0
2017-01-06,20.664,20.698,20.617,20.682,96061,0
2017-01-09,20.637,20.743,20.562,20.737,162139,0
2017-01-10,20.617,20.829,20.617,20.829,157086,0
2017-01-11,20.69,20.797,20.656,20.756,80826,0
2017-01-12,20.69,20.819,20.664,20.766,142593,0
2017-01-13,20.809,20.847,20.744,20.847,349539,0
2017-01-17,20.892,20.948,20.856,20.901,118556,0
2017-01-18,20.856,20.967,20.856,20.929,118768,0
2017-01-19,20.866,20.919,20.846,20.91,257463,0
2017-01-20,20.866,20.901,20.846,20.892,189927,0
2017-01-23,20.892,20.929,20.866,20.91,107313,0
2017-01-24,20.866,21.021,20.866,21.012,161456,0
2017-01-25,20.884,21.243,20.884,21.124,163126,0
2017-01-26,20.948,21.271,20.91,21.171,178872,0
2017-01-27,21.079,21.227,21.061,21.208,116110,0
2017-01-30,21.088,21.147,21.04,21.05,118776,0
2017-01-31,21.04,21.208,20.986,21.141,160219,0
2017-02-01,21.132,21.262,21.124,21.217,97037,0
2017-02-02,21.19,21.301,21.141,21.243,130613,0
2017-02-03,21.208,21.412,21.2,21.403,104908,0
2017-02-06,21.412,21.726,21.262,21.586,195041,0
2017-02-07,21.56,21.697,21.52,21.643,59651,0
2017-02-08,21.551,21.625,21.355,21.44,94100,0
2017-02-09,21.363,21.449,21.338,21.422,125847,0
2017-02-10,21.383,21.688,21.383,21.671,161796,0
2017-02-13,21.635,21.652,21.494,21.586,103191,0
2017-02-14,21.585,21.663,21.54,21.604,182881,0
2017-02-15,21.594,21.634,21.492,21.604,146894,0
2017-02-16,21.522,21.604,21.492,21.522,125800,0
2017-02-17,21.559,21.568,21.492,21.531,67504,0
2017-02-21,21.492,21.531,21.419,21.473,108424,0
2017-02-22,21.41,21.634,21.41,21.604,97910,0
2017-02-23,21.624,21.643,21.512,21.634,91344,0
2017-02-24,21.55,21.615,21.512,21.55,93521,0
2017-02-27,21.522,21.72,21.522,21.662,83656,0
2017-02-28,21.634,21.652,21.55,21.604,104436,0
2017-03-01,21.604,21.859,21.569,21.793,221825,0
2017-03-02,21.746,21.801,21.671,21.697,75533,0
2017-03-03,21.55,21.858,21.55,21.746,116015,0
2017-03-06,21.773,21.773,21.652,21.746,155835,0
2017-03-07,21.688,21.688,21.568,21.616,117211,0
2017-03-08,21.624,21.688,21.585,21.652,94989,0
2017-03-09,21.662,21.662,21.41,21.522,199303,0
2017-03-10,21.502,21.756,21.502,21.585,261405,0
2017-03-13,21.559,21.671,21.482,21.502,103936,0
2017-03-14,21.464,21.553,21.445,21.464,69044,0
2017-03-15,21.445,21.643,21.445,21.634,93981,0
2017-03-16,21.634,21.715,21.481,21.481,110498,0
2017-03-17,21.511,21.594,21.351,21.388,134763,0
2017-03-20,21.521,21.539,21.351,21.417,217966,0
2017-03-21,21.398,21.511,21.209,21.228,183357,0
2017-03-22,21.358,21.464,21.265,21.388,151379,0
2017-03-23,21.455,21.53,21.351,21.464,199638,0
2017-03-24,21.417,21.549,21.265,21.322,137368,0
2017-03-27,21.255,21.445,21.238,21.427,47872,0
2017-03-28,21.368,21.53,21.358,21.521,137669,0
2017-03-29,21.521,21.539,21.378,21.455,184958,0
2017-03-30,21.427,21.568,21.427,21.53,160978,0
2017-03-31,21.491,21.559,21.436,21.472,112395,0
2017-04-03,21.427,21.614,21.427,21.511,113483,0
2017-04-04,21.481,21.643,21.481,21.624,62664,0
2017-04-05,21.585,21.717,21.585,21.614,78887,0
2017-04-06,21.585,21.708,21.585,21.708,98387,0
2017-04-07,21.775,21.801,21.682,21.737,95353,0
2017-04-10,21.717,21.83,21.717,21.803,99169,0
2017-04-11,21.83,22.011,21.775,21.973,80107,0
2017-04-12,21.963,22.057,21.84,21.908,222736,0
2017-04-13,22.011,22.096,21.925,22.076,97179,0
2017-04-17,22.076,22.096,21.917,22.076,50442,0
2017-04-18,22.046,22.143,21.951,22.113,114425,0
2017-04-19,22.065,22.133,21.895,21.905,92893,0
2017-04-20,21.875,21.971,21.875,21.942,74455,0
2017-04-21,21.924,22.065,21.915,22.065,58709,0
2017-04-24,22.113,22.189,22.075,22.17,109824,0
2017-04-25,22.189,22.189,22.009,22.104,80698,0
2017-04-26,22.113,22.218,22.038,22.218,67156,0
2017-04-27,22.161,22.218,22.152,22.17,71016,0
2017-04-28,22.189,22.227,22.133,22.218,50234,0
2017-05-01,22.218,22.266,22.161,22.237,72805,0
2017-05-02,22.17,22.266,22.161,22.247,63724,0
2017-05-03,22.152,22.257,22.056,22.075,99531,0
2017-05-04,22.123,22.123,21.961,22.046,71182,0
2017-05-05,22.085,22.085,21.942,21.942,50646,0
2017-05-08,21.951,22.161,21.951,22.161,121456,0
2017-05-09,22.113,22.247,22.056,22.227,78432,0
2017-05-10,22.237,22.275,22.113,22.257,75997,0
2017-05-11,22.199,22.237,22.113,22.143,64627,0
2017-05-12,22.133,22.275,22.113,22.266,116643,0
2017-05-15,22.209,22.275,22.133,22.266,74474,0
2017-05-16,22.293,22.361,22.197,22.302,86910,0
2017-05-17,22.293,22.437,22.159,22.217,96321,0
2017-05-18,22.141,22.341,22.121,22.341,94135,0
2017-05-19,22.246,22.399,22.197,22.236,111974,0
2017-05-22,22.293,22.408,22.274,22.38,93134,0
2017-05-23,22.417,22.437,22.332,22.341,40112,0
2017-05-24,22.332,22.427,22.332,22.408,67936,0
2017-05-25,22.408,22.524,22.38,22.524,96792,0
2017-05-26,22.524,22.571,22.466,22.571,98003,0
2017-05-30,22.466,22.772,22.461,22.591,170470,0
2017-05-31,22.562,22.725,22.532,22.601,85640,0
2017-06-01,22.552,22.657,22.542,22.601,84504,0
2017-06-02,22.581,22.725,22.571,22.716,92600,0
2017-06-05,22.657,22.772,22.629,22.772,70767,0
2017-06-06,22.754,22.782,22.687,22.744,110923,0
2017-06-07,22.696,22.775,22.648,22.763,123899,0
2017-06-08,22.763,22.772,22.639,22.763,126663,0
2017-06-09,22.763,22.792,22.72,22.772,103095,0
2017-06-12,22.782,22.802,22.629,22.772,177797,0
2017-06-13,22.82,22.862,22.743,22.801,98661,0
2017-06-14,22.781,22.801,22.733,22.743,124840,0
2017-06-15,22.704,22.813,22.655,22.771,67200,0
2017-06-16,22.791,22.81,22.655,22.733,89163,0
2017-06-19,22.81,22.84,22.733,22.781,127760,0
2017-06-20,22.771,22.791,22.655,22.724,83248,0
2017-06-21,22.763,22.763,22.675,22.724,69219,0
2017-06-22,22.791,22.83,22.685,22.771,100663,0
2017-06-23,22.733,22.781,22.655,22.763,75376,0
2017-06-26,22.771,22.801,22.559,22.559,116491,0
2017-06-27,22.559,22.642,22.376,22.376,147177,0
2017-06-28,22.376,22.529,22.346,22.453,115707,0
2017-06-29,22.453,22.453,22.191,22.366,150226,0
2017-06-30,22.307,22.472,22.288,22.413,95142,0
2017-07-03,22.405,22.694,22.405,22.65,46143,0
2017-07-05,22.492,22.617,22.482,22.617,61005,0
2017-07-06,22.501,22.608,22.423,22.559,94581,0
2017-07-07,22.492,22.637,22.395,22.559,120300,0
2017-07-10,22.511,22.82,22.506,22.781,100947,0
2017-07-11,22.801,22.82,22.714,22.82,70666,0
2017-07-12,22.82,22.879,22.801,22.869,113954,0
