Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,0.8,0.8,0.8,0.8,2500,0
2005-02-28,0.8,0.8,0.7,0.74,104625,0
2005-03-01,0.76,0.76,0.76,0.76,2500,0
2005-03-02,0.72,0.82,0.72,0.82,1087,0
2005-03-03,0.82,0.82,0.82,0.82,2500,0
2005-03-04,0.72,0.82,0.64,0.7,82786,0
2005-03-07,0.66,0.82,0.66,0.82,3655,0
2005-03-08,0.7,0.82,0.7,0.7,14113,0
2005-03-09,0.8,0.8,0.48,0.7,76250,0
2005-03-10,0.7,0.74,0.66,0.68,18650,0
2005-03-11,0.7,0.7,0.64,0.66,3487,0
2005-03-14,0.66,0.74,0.64,0.64,17770,0
2005-03-15,0.74,0.74,0.74,0.74,1500,0
2005-03-16,0.7,0.74,0.7,0.74,1125,0
2005-03-18,0.64,0.74,0.64,0.74,3125,0
2005-03-21,0.74,0.74,0.74,0.74,250,0
2005-03-22,0.74,0.8,0.7,0.74,16750,0
2005-03-23,0.8,0.8,0.8,0.8,500,0
2005-03-24,0.8,0.8,0.8,0.8,250,0
2005-03-28,0.7,0.8,0.7,0.8,664,0
2005-03-29,0.7,0.7,0.7,0.7,125,0
2005-03-30,0.7,0.8,0.7,0.8,5750,0
2005-04-01,0.64,0.8,0.64,0.68,2204,0
2005-04-04,0.68,0.8,0.68,0.78,3300,0
2005-04-05,0.72,0.72,0.72,0.72,4000,0
2005-04-06,0.68,0.72,0.68,0.68,5987,0
2005-04-07,0.72,0.72,0.72,0.72,500,0
2005-04-08,0.68,0.72,0.68,0.72,655,0
2005-04-11,0.6,0.8,0.6,0.8,3875,0
2005-04-12,0.64,0.76,0.64,0.76,362,0
2005-04-13,0.64,0.76,0.64,0.76,1100,0
2005-04-14,0.64,0.7,0.64,0.7,3400,0
2005-04-18,0.7,0.7,0.7,0.7,3057,0
2005-04-19,0.64,0.7,0.64,0.7,800,0
2005-04-20,0.64,0.7,0.64,0.7,1350,0
2005-04-21,0.7,0.7,0.64,0.64,3431,0
2005-04-22,0.64,0.74,0.64,0.74,336,0
2005-04-25,0.66,0.66,0.66,0.66,50,0
2005-04-26,0.66,0.74,0.66,0.74,350,0
2005-04-27,0.66,0.74,0.64,0.64,3100,0
2005-04-28,0.74,0.74,0.74,0.74,250,0
2005-04-29,0.74,0.74,0.74,0.74,450,0
2005-05-03,0.66,0.74,0.66,0.66,800,0
2005-05-04,0.66,0.74,0.64,0.74,20500,0
2005-05-06,0.66,0.74,0.66,0.74,375,0
2005-05-10,0.74,0.74,0.66,0.74,1500,0
2005-05-12,0.66,0.7,0.66,0.7,4250,0
2005-05-13,0.72,0.72,0.72,0.72,2725,0
2005-05-16,0.72,0.72,0.72,0.72,125,0
2005-05-17,0.72,0.72,0.52,0.66,44800,0
2005-05-18,0.66,0.66,0.58,0.66,7225,0
2005-05-19,0.58,0.66,0.58,0.66,2000,0
2005-05-20,0.6,0.66,0.6,0.66,7175,0
2005-05-24,0.6,0.64,0.6,0.64,1250,0
2005-05-25,0.66,0.66,0.66,0.66,4000,0
2005-05-26,0.6,0.66,0.6,0.66,1490,0
2005-05-27,0.62,0.72,0.62,0.66,10375,0
2005-05-31,0.66,0.72,0.58,0.72,4165,0
2005-06-02,0.58,0.58,0.58,0.58,5000,0
2005-06-03,0.72,0.72,0.72,0.72,1250,0
2005-06-06,0.64,0.64,0.64,0.64,5000,0
2005-06-07,0.66,0.72,0.66,0.72,325,0
2005-06-08,0.7,0.82,0.7,0.8,23500,0
2005-06-09,0.78,0.86,0.78,0.8,11660,0
2005-06-10,0.8,0.84,0.78,0.84,2073,0
2005-06-13,0.78,0.84,0.78,0.78,1900,0
2005-06-14,0.78,0.78,0.78,0.78,1875,0
2005-06-15,0.78,0.84,0.78,0.84,11000,0
2005-06-16,0.78,0.86,0.78,0.78,4800,0
2005-06-17,0.78,0.86,0.78,0.78,1097,0
2005-06-20,0.78,0.78,0.78,0.78,250,0
2005-06-21,0.82,0.86,0.82,0.82,12123,0
2005-06-22,0.86,0.86,0.86,0.86,250,0
2005-06-23,0.82,0.86,0.82,0.82,3261,0
2005-06-24,0.82,0.86,0.82,0.86,3600,0
2005-06-27,0.86,0.86,0.86,0.86,9998,0
2005-06-28,0.82,0.86,0.82,0.82,392,0
2005-06-29,0.82,0.82,0.82,0.82,475,0
2005-06-30,0.82,0.82,0.78,0.8,31946,0
2005-07-01,0.78,0.86,0.78,0.86,1825,0
