Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,4.5935,4.6486,4.5568,4.6395,110694,0
2005-02-28,4.5935,4.6627,4.5705,4.6072,109395,0
2005-03-01,4.5614,4.6349,4.5153,4.6349,125490,0
2005-03-02,4.6486,4.6486,4.5614,4.6072,141145,0
2005-03-03,4.6072,4.6764,4.5843,4.6534,100691,0
2005-03-04,4.6211,4.6764,4.6211,4.6671,72421,0
2005-03-07,4.5889,4.6395,4.5705,4.612,128313,0
2005-03-08,4.5889,4.6303,4.5889,4.6165,55239,0
2005-03-09,4.5889,4.6303,4.4832,4.4832,99388,0
2005-03-10,4.4877,4.5243,4.4603,4.4877,53938,0
2005-03-11,4.4877,4.4877,4.3634,4.405,125918,0
2005-03-14,4.4096,4.4877,4.3634,4.4141,78509,0
2005-03-15,4.4326,4.5018,4.4188,4.4694,80467,0
2005-03-16,4.4694,4.4787,4.3313,4.3313,81989,0
2005-03-17,4.3038,4.3452,4.2441,4.3313,140058,0
2005-03-18,4.3406,4.4694,4.3406,4.3915,114617,0
2005-03-21,4.3915,4.3915,4.3177,4.3727,68293,0
2005-03-22,4.3727,4.5018,4.3498,4.3915,137009,0
2005-03-23,4.3915,4.4006,4.2074,4.3131,179852,0
2005-03-24,4.3452,4.4188,4.3313,4.4188,95037,0
2005-03-28,4.4006,4.4188,4.2808,4.2992,80034,0
2005-03-29,4.2808,4.2947,4.1751,4.1934,189644,0
2005-03-30,4.1704,4.2669,4.1614,4.2305,173983,0
2005-03-31,4.2533,4.2808,4.2121,4.2808,76118,0
2005-04-01,4.2992,4.3591,4.2441,4.2441,81114,0
2005-04-04,4.2349,4.3223,4.2212,4.2486,72207,0
2005-04-05,4.2669,4.3131,4.2533,4.2624,89603,0
2005-04-06,4.2854,4.3131,4.2393,4.2947,168541,0
2005-04-07,4.2947,4.3452,4.2716,4.3313,39797,0
2005-04-08,4.3915,4.3915,4.2349,4.2349,125918,0
2005-04-11,4.1751,4.2441,4.1751,4.2212,111345,0
2005-04-12,4.2121,4.29,4.1614,4.29,85252,0
2005-04-13,4.2762,4.2762,4.1843,4.2167,63502,0
2005-04-14,4.2212,4.2669,4.1108,4.1429,121350,0
2005-04-15,4.1567,4.1567,4.0139,4.0327,130707,0
2005-04-18,3.8762,3.9683,3.8762,3.959,402990,0
2005-04-19,3.9775,4.0462,3.9775,3.9775,80249,0
2005-04-20,4.0233,4.0462,3.9452,3.9775,94821,0
2005-04-21,4.0097,4.1567,4.0097,4.1244,96995,0
2005-04-22,4.1199,4.1199,4.0555,4.0831,65461,0
2005-04-25,4.0924,4.1704,4.0924,4.1429,78945,0
2005-04-26,4.1567,4.1934,4.0646,4.0786,114830,0
2005-04-27,4.0646,4.1429,4.0139,4.0327,98953,0
2005-04-28,4.0462,4.0924,4.0279,4.0601,66330,0
2005-04-29,4.0924,4.1061,4.0462,4.0739,55457,0
2005-05-02,4.0924,4.1016,4.0327,4.0646,60019,0
2005-05-03,4.0646,4.1429,4.0049,4.1061,82859,0
2005-05-04,4.1244,4.1887,4.0786,4.1429,115260,0
2005-05-05,4.1751,4.1751,4.0279,4.0646,185512,0
2005-05-06,4.0831,4.1061,4.0462,4.0786,81555,0
2005-05-09,4.0646,4.1108,4.0646,4.0877,53067,0
2005-05-10,4.0555,4.1061,4.0371,4.0739,86775,0
2005-05-11,4.0555,4.1016,4.0233,4.0462,114180,0
2005-05-12,4.0462,4.1429,4.0327,4.0646,73290,0
2005-05-13,4.0786,4.1338,4.0646,4.1244,63502,0
2005-05-16,4.1108,4.1244,4.0739,4.0786,66984,0
2005-05-17,4.0924,4.1522,4.0646,4.0877,129625,0
2005-05-18,4.0555,4.1061,4.0462,4.051,203127,0
2005-05-19,4.0694,4.1061,4.0555,4.0924,111131,0
2005-05-20,4.0786,4.1061,4.0555,4.1061,106787,0
2005-05-23,4.051,4.1751,4.051,4.1429,170289,0
2005-05-24,4.1152,4.198,4.1108,4.198,97435,0
2005-05-25,4.2074,4.2669,4.2074,4.2669,122660,0
2005-05-26,4.2533,4.3313,4.2349,4.3177,73507,0
2005-05-27,4.3313,4.3591,4.3177,4.3361,132663,0
2005-05-31,4.3223,4.3727,4.3131,4.3634,76771,0
2005-06-01,4.3772,4.3868,4.3406,4.3819,116572,0
2005-06-02,4.4141,4.4141,4.3498,4.3591,71116,0
2005-06-03,4.327,4.3634,4.2624,4.3223,93953,0
2005-06-06,4.3545,4.3545,4.3085,4.3177,51545,0
2005-06-07,4.2854,4.3131,4.2578,4.2947,115699,0
2005-06-08,4.2947,4.2992,4.2716,4.2808,57417,0
2005-06-09,4.3131,4.3131,4.2533,4.2947,71550,0
2005-06-10,4.2947,4.396,4.2947,4.3915,106560,0
2005-06-13,4.3634,4.396,4.2533,4.3085,160281,0
2005-06-14,4.3498,4.4462,4.3452,4.4234,59371,0
2005-06-15,4.4279,4.4554,4.4141,4.451,70898,0
2005-06-16,4.4554,4.4554,4.405,4.4462,69810,0
2005-06-17,4.4141,4.4603,4.4141,4.451,70026,0
2005-06-20,4.4462,4.4603,4.396,4.4006,87429,0
2005-06-21,4.4141,4.4141,4.3406,4.3819,53067,0
2005-06-22,4.3498,4.3819,4.2854,4.3177,78296,0
2005-06-23,4.3085,4.3634,4.3085,4.3591,61115,0
2005-06-24,4.3177,4.3772,4.3177,4.3591,84814,0
2005-06-27,4.3223,4.4279,4.3223,4.4141,142230,0
2005-06-28,4.3915,4.4416,4.3915,4.4416,74812,0
2005-06-29,4.4279,4.4554,4.4141,4.4416,60246,0
2005-06-30,4.4188,4.4787,4.4141,4.4554,39144,0
2005-07-01,4.4462,4.474,4.4279,4.4649,29576,0
2005-07-05,4.4462,4.5061,4.4462,4.4694,54806,0
2005-07-06,4.4694,4.5018,4.4279,4.5018,48500,0
2005-07-07,4.4787,4.5429,4.4603,4.5243,55239,0
2005-07-08,4.5061,4.6349,4.497,4.6349,88735,0
2005-07-11,4.6534,4.7222,4.6257,4.6856,78728,0
2005-07-12,4.6764,4.6856,4.6257,4.6856,50669,0
2005-07-13,4.6534,4.6534,4.6211,4.6349,60019,0
2005-07-14,4.6534,4.6856,4.6257,4.6257,71550,0
2005-07-15,4.6211,4.6534,4.5889,4.6395,53938,0
2005-07-18,4.6671,4.6856,4.5799,4.6211,56109,0
2005-07-19,4.6349,4.6902,4.6349,4.6902,109174,0
2005-07-20,4.7038,4.7822,4.6856,4.7591,90690,0
2005-07-21,4.7222,4.7637,4.6764,4.7637,44147,0
2005-07-22,4.7637,4.7637,4.7313,4.7313,45889,0
2005-07-25,4.6992,4.7268,4.6671,4.7177,68293,0
2005-07-26,4.7038,4.7637,4.6992,4.7313,97866,0
2005-07-27,4.7361,4.7822,4.7361,4.7499,72639,0
2005-07-28,4.7822,4.8463,4.7822,4.8463,66552,0
2005-07-29,4.8463,4.9109,4.805,4.8463,107655,0
2005-08-01,4.8786,4.8786,4.805,4.8143,53502,0
2005-08-02,4.805,4.966,4.805,4.8369,79381,0
2005-08-03,4.8925,4.9568,4.8143,4.9568,80900,0
2005-08-04,4.9432,4.966,4.8189,4.8463,76987,0
2005-08-05,4.8463,4.9432,4.8143,4.8602,82430,0
2005-08-08,4.8649,4.9248,4.8418,4.8925,115485,0
2005-08-09,4.8925,4.9061,4.8602,4.8925,59807,0
2005-08-10,4.8925,4.9016,4.8463,4.874,89166,0
