Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,44.178,44.353,43.743,44.093,574208,0
2005-02-28,44.021,44.213,43.514,43.853,1129960,0
2005-03-01,43.947,44.453,43.947,44.194,514809,0
2005-03-02,44.159,44.185,43.531,43.836,253008,0
2005-03-03,43.928,44.048,43.237,43.284,470834,0
2005-03-04,43.421,44.112,43.33,43.984,524912,0
2005-03-07,43.863,44.093,43.698,43.928,187964,0
2005-03-08,43.698,44.72,43.698,44.498,697998,0
2005-03-09,44.766,45.467,44.72,45.06,770210,0
2005-03-10,45.245,45.365,44.876,44.913,192198,0
2005-03-11,44.959,45.169,44.6,44.6,330649,0
2005-03-14,44.757,45.816,44.711,45.309,478978,0
2005-03-15,45.217,46.045,45.217,45.679,721342,0
2005-03-16,45.679,45.688,44.812,45.179,378210,0
2005-03-17,45.179,45.519,44.848,45.493,352040,0
2005-03-18,45.08,45.134,44.267,44.443,425009,0
2005-03-21,44.443,44.664,44.203,44.443,195239,0
2005-03-22,44.248,44.286,43.909,44.021,600700,0
2005-03-23,44.021,44.021,42.841,42.914,588760,0
2005-03-24,42.731,43.054,42.519,42.547,699410,0
2005-03-28,42.823,43.365,42.675,43.274,551295,0
2005-03-29,43.274,43.45,42.831,42.86,622423,0
2005-03-30,42.841,43.209,42.823,42.96,770860,0
2005-03-31,43.063,43.33,42.896,43.006,606134,0
2005-04-01,42.455,45.125,42.455,43.355,1270577,0
2005-04-04,43.192,43.743,42.778,43.108,679976,0
2005-04-05,42.97,43.568,42.877,43.256,394931,0
2005-04-06,43.054,43.063,42.547,42.914,608195,0
2005-04-07,43.034,43.265,42.684,43.006,580505,0
2005-04-08,42.96,43.274,42.914,43.044,434349,0
2005-04-11,42.823,42.951,42.223,42.362,538485,0
2005-04-12,42.362,42.988,42.279,42.731,570298,0
2005-04-13,42.639,42.731,42.198,42.316,346718,0
2005-04-14,42.251,42.334,41.349,41.596,870978,0
2005-04-15,41.489,41.577,40.897,40.98,619704,0
2005-04-18,40.744,40.744,40.134,40.282,1063503,0
2005-04-19,40.585,40.585,40.198,40.438,422730,0
2005-04-20,40.499,40.603,39.728,39.895,364307,0
2005-04-21,40.014,40.198,39.784,40.031,508405,0
2005-04-22,40.077,40.934,40.068,40.934,472355,0
2005-04-25,40.934,40.934,40.547,40.815,976741,0
2005-04-26,40.752,40.934,40.499,40.613,439886,0
2005-04-27,40.383,40.668,40.105,40.254,807890,0
2005-04-28,40.3,40.556,40.3,40.438,382771,0
2005-04-29,40.499,41.228,40.254,41.228,512639,0
2005-05-02,41.209,42.5,41.191,41.83,548799,0
2005-05-03,41.883,42.04,41.568,41.811,326631,0
2005-05-04,40.98,40.989,39.148,40.537,1924925,0
2005-05-05,40.715,40.916,40.105,40.518,595493,0
2005-05-06,40.797,41.443,40.593,40.925,760436,0
2005-05-09,41.075,41.368,40.86,41.265,402423,0
2005-05-10,41.265,41.568,41.12,41.489,710161,0
2005-05-11,41.855,42.362,41.643,42.223,859579,0
2005-05-12,42.251,42.261,41.443,41.505,501888,0
2005-05-13,41.505,41.587,40.518,40.925,267776,0
2005-05-16,40.744,41.883,40.706,41.83,232266,0
2005-05-17,41.919,42.362,41.606,42.261,364531,0
2005-05-18,42.362,43.256,42.352,43.006,652934,0
2005-05-19,43.237,43.265,42.778,43.127,364422,0
2005-05-20,42.869,42.914,42.269,42.565,356384,0
2005-05-23,42.428,42.62,42.251,42.409,221626,0
2005-05-24,42.409,43.054,42.316,42.896,406769,0
2005-05-25,42.684,42.896,42.556,42.831,363983,0
2005-05-26,42.788,43.016,42.547,42.869,267234,0
2005-05-27,43.098,43.606,42.914,43.303,342702,0
2005-05-31,43.31,43.393,43.156,43.374,229772,0
2005-06-01,43.374,43.531,42.823,43.523,210985,0
2005-06-02,43.514,43.514,42.988,43.237,300680,0
2005-06-03,43.284,43.33,43.246,43.284,304588,0
2005-06-06,43.284,43.487,43.274,43.487,234655,0
2005-06-07,43.606,44.093,43.558,43.918,238347,0
2005-06-08,44.159,44.711,44.021,44.353,534575,0
2005-06-09,44.203,44.296,43.789,43.872,277118,0
2005-06-10,43.78,43.789,43.256,43.403,359966,0
2005-06-13,43.346,43.374,43.006,43.098,296225,0
2005-06-14,43.284,43.458,43.016,43.44,244971,0
2005-06-15,43.558,43.975,43.468,43.975,237264,0
2005-06-16,44.021,44.23,43.789,44.23,185902,0
2005-06-17,44.462,44.609,44.038,44.296,321851,0
2005-06-20,44.334,44.674,44.203,44.563,244540,0
2005-06-21,44.784,44.848,44.213,44.415,298723,0
2005-06-22,44.481,44.498,44.066,44.203,173197,0
2005-06-23,44.112,44.194,43.384,43.853,350738,0
2005-06-24,43.853,44.507,43.836,44.49,216635,0
2005-06-27,44.664,44.959,44.185,44.664,348456,0
2005-06-28,44.618,44.618,44.221,44.286,353343,0
2005-06-29,44.39,44.803,44.381,44.481,398300,0
2005-06-30,44.987,46.238,44.904,45.348,1126051,0
2005-07-01,45.575,45.733,45.245,45.493,217500,0
2005-07-05,45.622,45.907,45.116,45.198,414155,0
2005-07-06,45.198,45.3,44.637,44.646,328258,0
2005-07-07,44.655,45.125,44.277,44.536,596037,0
2005-07-08,44.766,44.766,43.789,43.836,768688,0
