Date,Open,High,Low,Close,Volume,OpenInt
2006-02-06,25.209,25.209,25.209,25.209,0,0
2006-02-07,24.365,24.703,23.523,23.523,1500217,0
2006-02-08,23.523,23.828,23.523,23.523,313882,0
2006-02-09,23.691,24.197,23.608,23.893,51630,0
2006-02-10,23.945,24.029,23.861,23.961,34658,0
2006-02-13,23.945,24.029,23.861,23.977,16795,0
2006-02-14,24.029,24.533,23.945,24.516,73827,0
2006-02-15,24.449,24.449,24.197,24.28,11750,0
2006-02-16,24.365,24.668,24.365,24.449,12701,0
2006-02-17,24.533,24.855,24.28,24.365,18338,0
2006-02-21,24.382,24.568,24.382,24.568,4927,0
2006-02-22,24.533,24.533,24.18,24.18,40532,0
2006-02-23,24.095,24.095,23.691,23.691,18456,0
2006-02-24,23.861,23.861,23.558,23.776,29792,0
2006-02-27,23.741,24.112,23.741,24.112,9258,0
2006-02-28,24.095,24.601,23.945,24.365,21128,0
2006-03-01,24.365,24.5,24.197,24.467,6648,0
2006-03-02,24.467,24.653,24.365,24.365,9200,0
2006-03-03,24.365,24.382,24.197,24.197,8192,0
2006-03-06,24.112,24.348,24.029,24.215,9200,0
2006-03-07,24.029,24.029,23.691,23.708,20117,0
2006-03-08,23.691,23.945,23.558,23.861,25874,0
2006-03-09,23.861,24.062,23.776,23.945,48429,0
2006-03-10,23.776,24.095,23.776,24.08,27362,0
2006-03-13,24.029,24.095,23.776,24.045,39643,0
2006-03-14,23.877,24.28,23.776,24.18,24391,0
2006-03-15,24.029,24.248,23.861,23.945,18933,0
2006-03-16,23.945,24.163,23.608,24.163,35609,0
2006-03-17,24.112,24.264,24.045,24.163,20712,0
2006-03-20,24.28,24.28,23.861,24.197,24569,0
2006-03-21,24.197,24.197,23.776,24.011,15369,0
2006-03-22,23.945,24.062,23.861,23.945,39702,0
2006-03-23,23.523,23.945,23.523,23.945,24747,0
2006-03-24,24.011,24.029,23.925,23.945,45044,0
2006-03-27,23.995,23.995,23.776,23.945,30207,0
2006-03-28,23.925,23.961,23.776,23.961,27775,0
2006-03-29,23.945,23.961,23.608,23.776,44449,0
2006-03-30,23.608,23.608,23.523,23.539,21009,0
2006-03-31,23.539,23.539,22.966,23.151,143204,0
2006-04-03,23.186,23.523,22.58,22.898,60177,0
2006-04-04,22.747,23.067,22.747,23.018,31100,0
2006-04-05,23.018,23.424,22.933,23.222,16556,0
2006-04-06,23.067,23.186,22.966,23.018,87773,0
2006-04-07,23.17,23.256,22.948,23.035,12818,0
2006-04-10,23.035,23.1,22.933,23.1,21069,0
2006-04-11,23.018,23.052,22.866,22.948,10682,0
2006-04-12,22.982,23.17,22.883,22.933,48367,0
2006-04-13,22.883,22.966,22.883,22.966,3146,0
2006-04-17,22.966,23.893,22.966,23.504,54065,0
2006-04-18,23.49,23.911,23.49,23.861,45044,0
2006-04-19,23.843,23.861,23.558,23.828,25638,0
2006-04-20,23.776,23.861,23.608,23.776,23858,0
2006-04-21,23.776,23.81,23.558,23.776,9555,0
2006-04-24,23.843,23.861,23.353,23.523,8546,0
2006-04-25,23.523,23.861,23.44,23.558,17152,0
2006-04-26,23.523,23.591,23.353,23.372,6350,0
2006-04-27,23.372,23.372,23.001,23.018,15254,0
2006-04-28,23.018,23.504,22.917,23.237,14658,0
2006-05-01,23.186,23.523,23.151,23.27,13115,0
2006-05-02,23.27,23.372,23.085,23.27,47001,0
2006-05-03,23.204,23.237,23.018,23.222,19407,0
2006-05-04,23.353,23.49,23.222,23.49,11572,0
2006-05-05,23.49,23.691,23.424,23.424,15311,0
2006-05-08,23.256,23.523,23.186,23.319,9436,0
2006-05-09,23.319,23.504,23.27,23.44,8844,0
2006-05-10,23.44,23.523,23.186,23.27,15192,0
2006-05-11,23.204,23.286,23.052,23.067,15608,0
2006-05-12,23.1,23.237,23.018,23.018,5877,0
2006-05-15,22.933,23.018,22.933,23.018,7536,0
2006-05-16,23.018,23.018,22.933,22.966,3205,0
2006-05-17,22.966,23.035,22.917,22.933,11038,0
2006-05-18,22.966,23.319,22.948,23.186,10739,0
2006-05-19,23.204,23.204,22.763,23.018,13292,0
2006-05-22,22.933,22.948,22.278,22.563,22849,0
2006-05-23,22.681,23.001,22.596,22.917,14065,0
2006-05-24,22.898,22.933,22.192,22.259,22372,0
2006-05-25,22.259,22.478,21.939,22.007,58636,0
2006-05-26,22.007,22.007,21.115,21.652,152045,0
2006-05-30,21.652,21.652,21.164,21.399,39581,0
2006-05-31,21.433,21.754,21.164,21.399,180295,0
2006-06-01,21.5,21.567,21.164,21.399,25935,0
2006-06-02,21.567,21.889,21.265,21.838,47536,0
2006-06-05,21.838,21.838,21.298,21.298,29377,0
2006-06-06,21.316,21.35,21.028,21.213,30979,0
2006-06-07,21.213,21.517,21.164,21.399,54538,0
2006-06-08,21.332,21.35,20.861,20.964,55252,0
2006-06-09,21.079,21.13,20.661,20.759,109138,0
2006-06-12,20.743,20.759,20.354,20.372,79169,0
2006-06-13,20.322,20.575,20.169,20.457,44687,0
2006-06-14,20.522,20.827,20.522,20.661,14481,0
2006-06-15,20.827,21.028,20.827,20.995,22077,0
2006-06-16,20.827,21.064,20.777,21.064,39643,0
2006-06-19,20.995,21.838,20.676,21.332,60534,0
2006-06-20,21.484,21.484,20.995,21.064,62849,0
2006-06-21,21.232,21.399,21.179,21.179,43500,0
2006-06-22,21.164,21.367,21.164,21.367,31334,0
2006-06-23,21.197,21.298,21.064,21.164,11397,0
2006-06-26,21.669,22.04,21.652,21.924,73530,0
2006-06-27,21.838,21.838,21.586,21.669,52817,0
2006-06-28,21.669,21.805,21.535,21.669,23915,0
2006-06-29,21.669,21.754,21.517,21.669,49138,0
2006-06-30,21.586,21.669,21.517,21.619,45576,0
2006-07-03,21.788,21.788,21.586,21.586,5402,0
2006-07-05,21.586,21.669,21.416,21.416,26881,0
2006-07-06,21.433,21.535,21.332,21.416,45874,0
2006-07-07,21.381,21.5,21.332,21.416,27775,0
2006-07-10,21.416,21.5,21.248,21.484,12818,0
2006-07-11,21.332,21.838,21.332,21.5,22077,0
2006-07-12,21.5,21.669,21.164,21.298,17329,0
2006-07-13,21.248,21.248,20.995,21.115,20177,0
