Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,31.978,32.164,31.69,32.164,133219,0
2005-02-28,32.111,32.139,31.645,31.808,160504,0
2005-03-01,31.745,32.193,31.7,31.924,225014,0
2005-03-02,31.861,32.219,31.78,31.833,190261,0
2005-03-03,32.048,32.694,31.78,32.497,197623,0
2005-03-04,32.82,33.294,32.525,33.196,283673,0
2005-03-07,33.357,33.357,33.106,33.206,172490,0
2005-03-08,33.367,33.367,32.812,32.927,232563,0
2005-03-09,33.037,33.061,32.578,32.721,158201,0
2005-03-10,32.704,32.872,32.174,32.382,268842,0
2005-03-11,32.578,32.9,32.273,32.795,227328,0
2005-03-14,32.613,33.225,32.613,33.053,134434,0
2005-03-15,33.394,33.394,32.855,32.864,186818,0
2005-03-16,32.676,33.061,32.389,32.442,365079,0
2005-03-17,32.273,32.676,32.094,32.452,239349,0
2005-03-18,32.721,35.893,32.094,34.623,1468055,0
2005-03-21,34.773,34.773,33.906,34.03,465707,0
2005-03-22,34.327,34.327,33.294,33.636,231814,0
2005-03-23,33.797,33.906,33.26,33.682,223107,0
2005-03-24,33.842,33.842,33.431,33.457,148732,0
2005-03-28,33.357,33.707,33.188,33.519,161038,0
2005-03-29,33.573,33.573,33.087,33.251,220454,0
2005-03-30,33.403,33.564,32.864,33.474,286747,0
2005-03-31,33.609,33.617,32.91,33.069,198206,0
2005-04-01,33.376,33.376,32.516,32.685,167211,0
2005-04-04,32.837,32.964,32.408,32.9,163160,0
2005-04-05,33.125,33.125,32.639,32.846,134639,0
2005-04-06,33.069,33.234,32.525,32.91,157926,0
2005-04-07,33.053,33.196,32.507,33.061,156113,0
2005-04-08,33.17,33.294,32.649,32.731,131185,0
2005-04-11,32.992,33.17,32.417,32.945,208899,0
2005-04-12,32.974,33.17,32.408,33.043,180181,0
2005-04-13,32.739,33.037,31.764,32.015,272926,0
2005-04-14,32.247,32.353,31.626,31.626,154606,0
2005-04-15,31.824,31.824,30.731,31.098,395008,0
2005-04-18,30.894,31.592,30.569,31.287,231032,0
2005-04-19,31.466,31.522,30.775,31.179,227823,0
2005-04-20,31.089,31.244,30.393,30.505,266519,0
2005-04-21,30.606,31.736,29.656,31.529,291929,0
2005-04-22,31.671,31.824,31.035,31.179,250107,0
2005-04-25,31.368,31.635,31.169,31.457,107832,0
2005-04-26,31.538,31.7,30.876,31.179,119985,0
2005-04-27,31.215,31.78,30.706,31.351,178746,0
2005-04-28,31.16,31.495,30.497,30.588,162699,0
2005-04-29,30.894,31.377,30.318,31.244,176618,0
2005-05-02,31.089,31.522,31.009,31.476,272119,0
2005-05-03,31.322,31.914,30.993,31.645,277253,0
2005-05-04,31.861,32.417,31.662,32.148,170401,0
2005-05-05,32.273,32.273,31.225,31.411,157809,0
2005-05-06,31.78,32.148,31.368,31.843,100534,0
2005-05-09,32.048,32.048,31.439,31.978,135820,0
2005-05-10,32.039,32.039,31.332,31.411,144315,0
2005-05-11,31.601,31.601,30.281,31.169,138348,0
2005-05-12,31.153,31.522,30.714,30.765,89195,0
2005-05-13,30.974,31.495,30.588,31.377,229728,0
2005-05-16,31.522,32.024,31.244,31.933,179280,0
2005-05-17,32.048,32.389,31.377,32.247,233516,0
2005-05-18,32.148,33.367,32.148,33.285,252443,0
2005-05-19,33.537,34.004,33.367,34.004,260184,0
2005-05-20,33.753,33.842,33.303,33.654,194942,0
2005-05-23,33.663,34.2,33.422,34.165,182787,0
2005-05-24,34.238,34.558,34.004,34.247,213158,0
2005-05-25,33.923,33.995,33.234,33.285,218772,0
2005-05-26,33.44,34.004,33.17,33.617,128136,0
2005-05-27,33.978,34.066,33.376,33.913,72718,0
2005-05-31,33.995,34.049,33.527,33.636,328536,0
2005-06-01,33.931,34.057,33.33,33.797,200100,0
2005-06-02,33.968,33.995,33.555,33.887,102201,0
2005-06-03,33.959,33.995,33.376,33.555,177985,0
2005-06-06,33.69,33.69,33.303,33.617,89867,0
2005-06-07,33.787,34.137,33.244,33.348,212046,0
2005-06-08,33.367,33.474,32.749,32.812,268094,0
2005-06-09,32.974,33.44,32.309,33.44,272718,0
2005-06-10,33.519,33.646,33.043,33.348,377239,0
2005-06-13,33.403,33.59,33.234,33.527,178384,0
2005-06-14,33.609,34.256,33.609,33.986,220997,0
2005-06-15,34.155,34.184,33.599,33.868,258830,0
2005-06-16,33.868,34.488,33.797,34.335,165432,0
2005-06-17,34.298,34.91,33.995,34.686,428050,0
2005-06-20,34.773,34.773,34.11,34.417,207710,0
2005-06-21,34.289,34.678,33.978,34.2,119439,0
2005-06-22,34.514,34.713,34.147,34.576,155510,0
2005-06-23,34.695,34.695,33.834,33.94,151684,0
2005-06-24,33.931,34.668,33.537,33.896,282041,0
2005-06-27,33.868,34.12,32.881,33.94,146451,0
2005-06-28,34.03,34.668,33.787,34.668,274045,0
2005-06-29,34.703,34.955,34.522,34.738,187362,0
2005-06-30,34.91,35.06,34.549,34.558,233353,0
2005-07-01,34.65,34.873,34.289,34.873,202619,0
2005-07-05,34.522,35.447,34.522,35.41,255715,0
2005-07-06,35.574,35.574,34.219,34.335,182941,0
