Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,1692,1764,1656,1710,593,0
2005-02-28,1710,1782,1656,1656,531,0
2005-03-01,1656,1746,1656,1656,455,0
2005-03-02,1692,1710,1656,1710,277,0
2005-03-03,1674,1728,1656,1656,339,0
2005-03-04,1692,1710,1620,1638,545,0
2005-03-07,1656,1710,1638,1638,370,0
2005-03-08,1656,1674,1620,1638,374,0
2005-03-09,1638,1692,1638,1674,306,0
2005-03-10,1656,1719,1638,1656,711,0
2005-03-11,1350,1458,1278,1440,3116,0
2005-03-14,1404,1494,1368,1368,707,0
2005-03-15,1350,1422,1296,1314,799,0
2005-03-16,1296,1386,1278,1386,603,0
2005-03-17,1368,1368,1278,1279.8,706,0
2005-03-18,1260,1314,1224,1242,526,0
2005-03-21,1278,1278,1224,1242,474,0
2005-03-22,1224,1278,1206,1206,394,0
2005-03-23,1242,1260,1188,1224,579,0
2005-03-24,1206,1279.8,1188,1278,366,0
2005-03-28,1260,1332,1242,1242,332,0
2005-03-29,1278,1278,1188,1206,366,0
2005-03-30,1188,1260,1188,1206,278,0
2005-03-31,1206,1242,1170,1224,363,0
2005-04-01,1242,1260,1188,1224,342,0
2005-04-04,1206,1206,1080,1116,627,0
2005-04-05,1080,1119.6,950.4,1008,1377,0
2005-04-06,954,1008,900,954,1356,0
2005-04-07,918,1009.8,918,1008,494,0
2005-04-08,1008,1062,990,1026,379,0
2005-04-11,1008,1026,918,918,481,0
2005-04-12,918,964.8,918,954,336,0
2005-04-13,954,954,864,882,601,0
2005-04-14,882,882,756,792,1221,0
2005-04-15,792,792,702,738,1003,0
2005-04-18,720,838.8,671.4,810,1036,0
2005-04-19,810,972,792,936,806,0
2005-04-20,990,1116,954,972,1449,0
2005-04-21,1008,1008,900,918,713,0
2005-04-22,900,936,864,864,398,0
2005-04-25,846,883.8,756,792,445,0
2005-04-26,792,813.6,756,810,607,0
2005-04-27,810,828,774,783,197,0
2005-04-28,757.8,810,738,792,486,0
2005-04-29,810,810,768.6,792,486,0
2005-05-02,811.8,846,756,828,294,0
2005-05-03,828,846,810,810,160,0
2005-05-04,828,900,824.4,864,470,0
2005-05-05,900,1116,900,1044,2632,0
2005-05-06,1098,1170,1026,1098,1645,0
2005-05-09,1152,1170,1116,1134,495,0
2005-05-10,1134,1134,972,1008,1370,0
2005-05-11,1008,1026,936,936,600,0
2005-05-12,936,972,936,968.4,227,0
2005-05-13,990,1008,936,954,382,0
2005-05-16,954,1008,918,954,305,0
2005-05-17,936,1026,936,1008,233,0
2005-05-18,1044,1134,1008,1080,820,0
2005-05-19,1098,1114.2,1026,1044,421,0
2005-05-20,1026,1080,1008,1026,296,0
2005-05-23,1044,1116,1044,1116,458,0
2005-05-24,1278,1566,1224,1314,1955,0
2005-05-25,1261.8,1386,1224,1242,892,0
2005-05-26,1278,1296,1242,1260,388,0
2005-05-27,1260,1260,1134,1188,709,0
2005-05-31,1278,1404,1260,1404,1191,0
2005-06-01,1440,1566,1350,1440,1479,0
2005-06-02,1458,1494,1350,1386,499,0
2005-06-03,1422,1494,1368,1423.8,508,0
2005-06-06,1476,1494,1420.2,1458,360,0
2005-06-07,1458,1476,1350,1350,290,0
2005-06-08,1386,1386,1332,1350,279,0
2005-06-09,1350,1350,1274.4,1319.4,462,0
2005-06-10,1332,1332,1260,1314,282,0
2005-06-13,1278,1350,1260,1278,347,0
2005-06-14,1278,1404,1278,1332,196,0
2005-06-15,1296,1350,1276.2,1296,206,0
2005-06-16,1296,1335.6,1278,1296,206,0
2005-06-17,1278,1332,1278,1314,142,0
2005-06-20,1314,1315.8,1278,1279.8,118,0
2005-06-21,1314,1314,1276.2,1278,163,0
2005-06-22,1296,1314,1170,1206,479,0
2005-06-23,1170,1224,1152,1188,326,0
2005-06-24,1170,1206,1098,1134,296,0
2005-06-27,1116,1170,1060.2,1080,204,0
2005-06-28,1080,1225.8,1080,1206,390,0
2005-06-29,1206,1242,1152,1152,175,0
2005-06-30,1116,1224,1114.2,1170,128,0
2005-07-01,1134,1170,1116,1134,98,0
2005-07-05,1134,1152,1098,1152,107,0
2005-07-06,1152,1170,1116,1134,139,0
2005-07-07,1296,1350,1242,1263.6,1452,0
2005-07-08,1278,1350,1278,1278,542,0
2005-07-11,1296,1422,1296,1386,570,0
2005-07-12,1386,1422,1328.4,1332,317,0
2005-07-13,1314,1386,1314,1332,231,0
2005-07-14,1350,1386,1332,1332,200,0
2005-07-15,1314,1350,1296,1314,186,0
2005-07-18,1278,1314,1260,1296,192,0
