Date,Open,High,Low,Close,Volume,OpenInt
2011-04-14,6.9834,7.0341,6.8002,6.8839,2106350,0
2011-04-15,7.0026,7.0396,6.8709,7.0286,1191999,0
2011-04-18,6.9546,7.023,6.8984,6.9272,877566,0
2011-04-19,6.9546,7.1101,6.9217,7.0108,1050191,0
2011-04-20,7.2034,7.2034,6.9443,7.0566,1219112,0
2011-04-21,7.045,7.3187,7.023,7.2933,747009,0
2011-04-25,7.3917,7.4334,7.2226,7.3187,1214665,0
2011-04-26,7.4002,7.4002,7.1527,7.1527,1103649,0
2011-04-27,7.1754,7.3104,7.0874,7.2452,629546,0
2011-04-28,7.1973,7.3917,7.1802,7.2933,529567,0
2011-04-29,7.3084,7.4203,7.2863,7.3173,744694,0
2011-05-02,7.3214,7.3584,7.2316,7.2481,559690,0
2011-05-03,7.2083,7.2736,7.1101,7.1128,741888,0
2011-05-04,7.1101,7.1772,6.8984,7.0479,1572016,0
2011-05-05,7.0396,7.0396,6.8285,6.8285,1353078,0
2011-05-06,7.2316,7.2316,6.9834,7.0676,1866111,0
2011-05-09,7.1239,7.3034,7.0965,7.2363,1362726,0
2011-05-10,7.2905,7.2905,7.0314,7.0314,1281717,0
2011-05-11,7.0821,7.1802,6.96,6.9723,1293816,0
2011-05-12,7.045,7.0676,6.9272,7.0176,548147,0
2011-05-13,7.0541,7.3034,7.0108,7.2171,1991448,0
2011-05-16,7.4141,7.5156,7.2905,7.4171,2278489,0
2011-05-17,7.4195,7.4334,7.1273,7.1273,2328372,0
2011-05-18,7.2618,7.3502,7.1802,7.3151,1504931,0
2011-05-19,7.428,7.4613,7.2736,7.338,938575,0
2011-05-20,7.4474,7.4613,7.3502,7.4334,864166,0
2011-05-23,7.3739,7.377,7.2397,7.2762,795441,0
2011-05-24,7.3446,7.4026,7.2996,7.377,773037,0
2011-05-25,7.363,7.4057,7.3151,7.3808,739909,0
2011-05-26,7.3971,7.4613,7.3854,7.4474,655098,0
2011-05-27,7.4613,7.603,7.4334,7.5752,727388,0
2011-05-31,7.6379,7.6743,7.5016,7.5906,848763,0
2011-06-01,7.5891,7.6116,7.4374,7.4474,624205,0
2011-06-02,7.49,7.5101,7.4102,7.4474,318850,0
2011-06-03,7.3917,7.5698,7.3357,7.4939,507202,0
2011-06-06,7.4374,7.5187,7.2562,7.2789,730500,0
2011-06-07,7.2171,7.2363,7.0821,7.1999,1024950,0
2011-06-08,7.1548,7.3077,7.0676,7.1754,1078814,0
2011-06-09,7.1855,7.2736,7.1412,7.1917,410070,0
2011-06-10,7.1664,7.2509,7.1412,7.2062,359700,0
2011-06-13,7.2062,7.2363,7.0979,7.1239,849080,0
2011-06-14,7.1548,7.2083,7.1101,7.1664,863528,0
2011-06-15,7.0979,7.2226,7.0979,7.1458,453544,0
2011-06-16,7.1259,7.1788,7.0841,7.1404,351257,0
2011-06-17,7.1855,7.1973,7.043,7.074,500799,0
2011-06-20,7.0706,7.1945,7.0541,7.1412,289585,0
2011-06-21,7.1711,7.2509,7.1205,7.2397,674539,0
2011-06-22,7.2363,7.3214,7.1843,7.1945,685300,0
2011-06-23,7.1611,7.2509,7.0759,7.1611,454659,0
2011-06-24,7.1917,7.2481,7.0566,7.0566,338427,0
2011-06-27,7.0759,7.3668,7.0759,7.3668,1009246,0
2011-06-28,7.4761,7.5411,7.3151,7.3151,734796,0
2011-06-29,7.4613,7.5125,7.3077,7.4613,418811,0
2011-06-30,7.4622,7.4753,7.3427,7.4467,372393,0
2011-07-01,7.4613,7.5473,7.4026,7.4334,418304,0
2011-07-05,7.59,7.59,7.4334,7.4374,576122,0
2011-07-06,7.4753,7.4753,7.3986,7.4606,460312,0
2011-07-07,7.5241,7.6596,7.4537,7.4629,643324,0
2011-07-08,7.4374,7.4753,7.4102,7.4482,344642,0
2011-07-11,7.4474,7.5799,7.4057,7.4644,723354,0
2011-07-12,7.4629,7.5458,7.4133,7.4846,575458,0
2011-07-13,7.4846,7.5799,7.4171,7.5217,442177,0
2011-07-14,7.5799,7.6859,7.5101,7.5853,577741,0
2011-07-15,7.6348,7.6735,7.5217,7.6618,519712,0
2011-07-18,7.6704,7.7577,7.5324,7.6078,667390,0
2011-07-19,7.6596,7.8416,7.6596,7.7836,766011,0
2011-07-20,7.7699,7.853,7.7215,7.7862,438936,0
2011-07-21,7.8839,7.9295,7.7804,7.8196,402632,0
2011-07-22,7.8775,8.1003,7.8537,8.1003,1242842,0
2011-07-25,8.0512,8.1577,7.9379,8.1294,665005,0
2011-07-26,8.1644,8.2144,8.0162,8.0828,734004,0
2011-07-27,8.0304,8.1102,7.7438,7.8229,770394,0
2011-07-28,7.8358,8.1036,7.831,7.9116,675671,0
2011-07-29,7.8717,8.0436,7.7512,8.0436,609017,0
2011-08-01,8.216,8.3039,7.9254,8.0903,853548,0
2011-08-02,8.7261,8.7261,7.6596,7.7091,1553375,0
2011-08-03,7.7161,7.8561,7.4102,7.813,1342416,0
2011-08-04,7.7626,7.8506,7.4482,7.5078,1412382,0
2011-08-05,7.4669,7.6844,7.0676,7.5458,2008191,0
2011-08-08,7.1219,7.3986,6.9847,7.0093,1909003,0
2011-08-09,7.0437,7.3668,7.0437,7.2933,1235091,0
2011-08-10,7.3227,7.5636,7.1926,7.3516,1550956,0
2011-08-11,7.3042,7.3956,7.0794,7.187,1530554,0
2011-08-12,7.3398,7.4846,7.211,7.3104,914162,0
2011-08-15,7.4133,7.5518,7.373,7.4435,701574,0
2011-08-16,7.4164,7.4334,7.2021,7.2459,561685,0
2011-08-17,7.2816,7.3846,7.2611,7.373,1045635,0
2011-08-18,7.2961,7.3537,7.0813,7.1993,550786,0
2011-08-19,7.1028,7.2638,7.1028,7.1046,307232,0
2011-08-22,7.3227,7.3344,7.058,7.0643,384119,0
2011-08-23,7.1706,7.1706,7.0519,7.1581,312900,0
2011-08-24,7.1926,7.2371,6.9794,7.0874,451182,0
2011-08-25,7.1843,7.187,6.9964,7.0437,426701,0
2011-08-26,7.017,7.1259,6.9731,7.1259,267451,0
2011-08-29,7.211,7.4846,7.211,7.4606,429072,0
2011-08-30,7.5225,7.6348,7.4458,7.61,368747,0
2011-08-31,7.6348,7.7585,7.6053,7.6503,583117,0
2011-09-01,7.6906,7.7076,7.4482,7.5983,376398,0
2011-09-02,7.5752,7.668,7.3446,7.3569,305389,0
2011-09-06,7.1548,7.4374,7.1028,7.3986,664963,0
2011-09-07,7.3607,7.5048,7.3344,7.3344,459162,0
2011-09-08,7.3435,7.4133,7.3015,7.314,272574,0
2011-09-09,7.3104,7.3986,7.27,7.3372,281907,0
2011-09-12,7.2816,7.3746,7.1527,7.2075,296704,0
2011-09-13,7.2816,7.3015,7.1959,7.2816,268823,0
2011-09-14,7.3372,7.3685,7.2905,7.3254,346659,0
2011-09-15,7.3685,7.3901,7.2666,7.314,332017,0
2011-09-16,7.3398,7.3516,7.2816,7.3015,182452,0
2011-09-19,7.2961,7.3042,7.2521,7.2843,226600,0
2011-09-20,7.2933,7.3435,7.211,7.2459,395932,0
2011-09-21,7.2075,7.2459,7.135,7.2371,375748,0
2011-09-22,7.1205,7.135,6.9794,7.0052,629086,0
2011-09-23,6.9731,6.988,6.6385,6.777,1213529,0
2011-09-26,6.8408,6.8408,6.6796,6.7352,450406,0
2011-09-27,6.8612,6.9942,6.7522,6.8207,593027,0
2011-09-28,6.8078,7.0292,6.7996,6.8317,306277,0
2011-09-29,6.9202,6.9847,6.6494,6.718,555238,0
2011-09-30,6.6994,6.8818,6.5733,6.6041,878560,0
2011-10-03,6.6616,6.6616,5.802,6.0011,1649020,0
2011-10-04,5.8956,6.1596,5.5072,6.0894,1118671,0
2011-10-05,6.3136,6.8339,6.1283,6.7125,767033,0
2011-10-06,6.7249,6.9546,6.5375,6.8969,631399,0
2011-10-07,6.9499,6.9847,6.7522,6.7522,588390,0
2011-10-10,6.8584,6.9964,6.8408,6.9025,263436,0
2011-10-11,6.988,6.9964,6.9169,6.947,181207,0
2011-10-12,6.9794,7.017,6.9731,6.9942,239856,0
2011-10-13,6.9552,6.9847,6.7578,6.9813,333163,0
2011-10-14,7.0347,7.1171,6.9794,7.0902,261182,0
2011-10-17,7.1815,7.2459,7.0643,7.0813,316951,0
2011-10-18,7.0676,7.187,7.017,7.0874,277154,0
2011-10-19,7.1046,7.3077,7.0314,7.1672,537984,0
2011-10-20,7.2459,7.2863,7.0985,7.1815,203330,0
2011-10-21,7.2961,7.3777,7.2452,7.3295,271818,0
2011-10-24,7.3537,7.4807,7.331,7.3986,309284,0
2011-10-25,7.4296,7.5016,7.2452,7.3269,436486,0
2011-10-26,7.4669,7.5836,7.3933,7.4862,318675,0
2011-10-27,7.7215,7.7215,7.4862,7.5101,423152,0
2011-10-28,7.5387,8.1403,7.5256,7.853,1307389,0
2011-10-31,7.9845,8.1985,7.8628,7.9912,1265419,0
2011-11-01,7.7014,8.1711,7.6348,7.9945,889622,0
2011-11-02,8.206,8.3326,8.0352,8.0978,659500,0
2011-11-03,8.1436,8.1919,8.0436,8.1254,564113,0
2011-11-04,8.1036,8.2036,8.0737,8.1718,653973,0
2011-11-07,8.1769,8.2194,8.117,8.1769,490911,0
2011-11-08,8.1711,8.2587,8.1328,8.2127,667225,0
2011-11-09,8.2093,8.2648,8.1477,8.1477,902133,0
2011-11-10,8.3735,8.3735,7.9471,8.2648,831919,0
2011-11-11,8.2736,8.2804,8.1286,8.156,683148,0
2011-11-14,8.0346,8.1036,7.8669,8.0095,634727,0
2011-11-15,8.0737,8.2427,8.0578,8.0862,383253,0
2011-11-16,8.0162,8.2427,7.9978,8.1436,354941,0
2011-11-17,8.167,8.2235,7.9611,7.9904,258770,0
2011-11-18,8.0069,8.1586,8.0069,8.092,211661,0
2011-11-21,8.0319,8.0619,7.8652,8.0279,332302,0
2011-11-22,8.0619,8.167,8.0404,8.0945,260752,0
2011-11-23,8.1069,8.1319,7.8961,7.8986,221055,0
2011-11-25,7.9379,8.117,7.9379,8.0221,115375,0
2011-11-28,8.167,8.1769,8.0254,8.0703,273299,0
2011-11-29,8.1328,8.2883,8.1003,8.1978,290365,0
2011-11-30,8.4543,8.4543,8.0269,8.1695,548480,0
2011-12-01,8.1885,8.3196,8.1319,8.1861,291193,0
2011-12-02,8.2519,8.2736,8.2036,8.2036,218216,0
2011-12-05,8.3083,8.482,8.3083,8.4769,849567,0
2011-12-06,8.4838,8.4864,8.3933,8.4735,497159,0
2011-12-07,8.4968,8.667,8.4473,8.6302,543957,0
2011-12-08,8.6275,8.6822,8.482,8.5246,445235,0
2011-12-09,8.5451,8.6947,8.5451,8.6947,464367,0
2011-12-12,8.7063,8.8605,8.6516,8.7242,624462,0
2011-12-13,8.795,8.9075,8.6947,8.7332,564415,0
2011-12-14,8.7467,8.7467,8.4769,8.6275,469060,0
2011-12-15,8.7583,8.7583,8.5703,8.5944,274683,0
2011-12-16,8.5398,8.6481,8.2587,8.495,748256,0
2011-12-19,8.5398,8.5979,8.357,8.3735,269310,0
2011-12-20,8.4769,8.7448,8.4108,8.7332,394970,0
2011-12-21,8.7108,8.9215,8.6454,8.7063,604969,0
2011-12-22,8.7842,8.8991,8.7091,8.7754,553472,0
2011-12-23,8.7879,8.987,8.6571,8.8121,572878,0
2011-12-27,8.8605,8.9852,8.855,8.8873,347110,0
2011-12-28,8.9637,9.0573,8.7727,8.8138,885439,0
2011-12-29,8.8873,9.2502,8.8873,9.0882,917566,0
2011-12-30,9.1743,9.4723,9.1368,9.3937,922979,0
2012-01-03,9.514,9.762,8.9898,9.1621,2239360,0
2012-01-04,9.1359,9.15,8.8479,8.8605,1207599,0
2012-01-05,8.9215,9.1808,8.803,9.1313,1561312,0
2012-01-06,9.2201,9.2201,8.9637,8.9673,1309216,0
2012-01-09,9.0937,9.1144,8.9711,9.0844,1086812,0
2012-01-10,9.209,9.3782,9.15,9.3394,1234925,0
2012-01-11,9.3675,9.4296,9.1846,9.1977,969451,0
2012-01-12,9.2347,9.574,9.207,9.512,1065134,0
2012-01-13,9.53,9.537,9.3782,9.508,730608,0
2012-01-17,9.676,9.872,9.574,9.821,1448754,0
2012-01-18,9.832,10.185,9.756,10.091,1317279,0
2012-01-19,10.064,10.234,9.4723,9.574,1909141,0
2012-01-20,9.556,9.839,9.4248,9.803,1189344,0
2012-01-23,9.994,10.325,9.931,10.045,1182283,0
2012-01-24,10.198,10.198,9.81,9.865,1011981,0
2012-01-25,9.801,10.191,9.691,10.126,1130126,0
2012-01-26,10.242,10.357,10.135,10.321,992694,0
2012-01-27,10.285,10.308,10.165,10.241,628124,0
2012-01-30,10.273,10.307,10.179,10.285,642133,0
2012-01-31,10.285,10.285,10.138,10.272,487451,0
2012-02-01,10.285,10.285,10.095,10.255,740378,0
2012-02-02,10.285,10.307,10.175,10.285,699057,0
2012-02-03,10.33,10.504,10.225,10.471,993936,0
2012-02-06,10.548,10.709,10.467,10.632,1108942,0
2012-02-07,10.679,10.965,10.618,10.956,1235361,0
2012-02-08,11.068,11.182,10.783,11.049,1423165,0
2012-02-09,11.071,11.155,10.956,11.114,1347293,0
2012-02-10,10.853,11.049,10.771,10.839,1137826,0
2012-02-13,10.978,11.061,10.898,11.034,714248,0
2012-02-14,11.099,11.202,10.812,10.882,673448,0
2012-02-15,10.978,10.99,10.305,10.378,1592394,0
2012-02-16,10.378,10.435,9.763,10.258,2124494,0
2012-02-17,10.308,10.681,10.305,10.511,907367,0
2012-02-21,10.884,11.019,10.59,10.812,1212706,0
2012-02-22,10.264,10.294,10.111,10.294,4247318,0
2012-02-23,10.294,10.305,10.197,10.245,988125,0
2012-02-24,10.285,10.31,10.203,10.241,680706,0
2012-02-27,10.264,10.277,10.229,10.239,638099,0
2012-02-28,10.234,10.268,10.008,10.085,1089517,0
2012-02-29,10.127,10.127,9.774,9.881,1179016,0
2012-03-01,9.923,10.215,9.909,10.165,855012,0
2012-03-02,10.156,10.252,10.046,10.046,694748,0
2012-03-05,9.971,10.031,9.893,9.92,578810,0
2012-03-06,9.869,9.881,9.77,9.814,569279,0
2012-03-07,9.838,10.245,9.838,10.156,648216,0
2012-03-08,10.252,10.258,10.081,10.168,642282,0
2012-03-09,10.203,10.248,10.139,10.234,502748,0
2012-03-12,10.234,10.248,10.008,10.152,601147,0
2012-03-13,10.152,10.181,10.056,10.139,407870,0
2012-03-14,10.192,10.234,10.054,10.215,566732,0
2012-03-15,10.197,10.203,10.078,10.103,415909,0
2012-03-16,10.1,10.131,10.043,10.066,420103,0
2012-03-19,10.081,10.11,9.971,10.012,437396,0
2012-03-20,9.988,10.012,9.77,9.816,765762,0
2012-03-21,9.778,9.834,9.676,9.683,466259,0
2012-03-22,9.659,9.661,9.1228,9.2676,2171236,0
2012-03-23,9.2744,9.564,9.2744,9.4218,734032,0
2012-03-26,9.4723,9.502,9.4218,9.4451,538934,0
2012-03-27,9.4315,9.448,9.15,9.2376,1365793,0
2012-03-28,9.2136,9.2395,8.7342,8.9561,1989099,0
2012-03-29,8.9608,9.0311,8.8273,8.9637,808134,0
2012-03-30,9.045,9.2667,9.0029,9.209,732926,0
2012-04-02,9.3045,9.4296,9.3045,9.3986,624123,0
2012-04-03,9.3986,9.3986,9.1808,9.3093,459268,0
2012-04-04,9.2599,9.3637,9.1518,9.2793,426774,0
2012-04-05,9.2444,9.481,9.1967,9.4354,278747,0
2012-04-09,9.288,9.288,9.0985,9.1902,579175,0
2012-04-10,9.1902,9.2347,9.0423,9.1631,587896,0
2012-04-11,9.1977,9.2647,9.1677,9.1808,321546,0
