Date,Open,High,Low,Close,Volume,OpenInt
1992-03-23,121.11,124.79,121.11,123.87,303,0
1992-03-24,127.53,133.03,127.53,133.03,629,0
1992-03-27,131.2,131.2,129.36,129.36,194,0
1992-04-06,131.2,131.2,131.2,131.2,109,0
1992-04-07,129.36,129.36,128.45,128.45,109,0
1992-04-09,130.27,133.95,130.27,133.95,218,0
1992-04-10,135.79,137.62,133.95,137.62,520,0
1992-04-13,135.79,135.79,135.79,135.79,194,0
1992-04-14,135.79,135.79,133.95,133.95,520,0
1992-04-16,128.45,128.45,128.45,128.45,653,0
1992-04-20,128.45,128.45,128.45,128.45,109,0
1992-04-21,130.28,130.28,130.28,130.28,109,0
1992-04-23,132.12,132.12,132.12,132.12,85,0
1992-04-28,132.12,132.12,132.12,132.12,85,0
1992-04-29,133.03,133.03,133.03,133.03,109,0
1992-05-04,134.87,134.87,134.87,134.87,109,0
1992-05-05,136.71,138.54,136.71,138.54,109,0
1992-05-06,140.38,140.38,140.38,140.38,85,0
1992-05-07,140.37,141.74,140.37,140.82,303,0
1992-05-08,145.42,145.42,144.5,144.5,629,0
1992-05-11,142.66,142.66,141.28,141.28,109,0
1992-05-13,141.29,141.29,139.46,139.46,218,0
1992-05-14,137.62,137.62,137.62,137.62,85,0
1992-05-18,137.62,137.62,137.62,137.62,218,0
1992-05-19,139.46,139.46,139.46,139.46,109,0
1992-05-20,138.54,140.38,138.54,140.38,109,0
1992-05-21,140.38,140.38,140.38,140.38,85,0
1992-05-26,137.62,139.46,137.62,139.46,194,0
1992-05-29,141.28,142.2,141.28,142.2,109,0
1992-06-03,144.04,144.04,144.04,144.04,85,0
1992-06-10,145.88,147.72,145.88,147.72,194,0
1992-06-11,145.88,145.88,145.88,145.88,85,0
1992-06-12,141.28,141.28,141.28,141.28,303,0
1992-06-16,141.29,141.29,141.29,141.29,326,0
1992-06-19,143.13,146.69,143.13,146.69,979,0
1992-06-22,146.69,164.36,146.69,161.61,1720,0
1992-06-23,159.77,159.77,159.77,159.77,302,0
1992-06-25,157.93,157.93,156.1,156.1,109,0
1992-06-26,157.93,159.77,157.93,159.77,109,0
1992-06-29,157.93,159.77,157.93,159.77,109,0
1992-06-30,160.69,160.69,160.69,160.69,109,0
1992-07-01,159.77,162.52,157.93,157.93,2179,0
1992-07-02,159.77,165.28,159.77,165.28,1526,0
1992-07-07,163.44,163.44,162.52,162.52,109,0
1992-07-08,162.52,162.52,162.52,162.52,326,0
1992-07-09,160.69,160.69,157.93,157.93,435,0
1992-07-22,156.1,156.1,156.1,156.1,85,0
1992-07-24,157.93,157.93,157.93,157.93,85,0
1992-07-29,156.1,159.77,156.1,159.77,217,0
1992-07-31,159.77,161.61,159.77,161.61,109,0
1992-08-03,159.77,159.77,157.93,157.93,109,0
1992-08-04,157.93,157.93,157.93,157.93,85,0
1992-08-07,156.1,156.1,156.1,156.1,85,0
1992-08-12,157.93,157.93,157.93,157.93,302,0
1992-08-14,160.69,160.69,158.85,158.85,194,0
1992-08-20,157.02,157.02,156.1,156.1,194,0
1992-08-24,155.19,155.19,155.19,155.19,109,0
1992-08-25,154.27,154.27,154.27,154.27,109,0
1992-08-26,152.43,152.43,152.43,152.43,85,0
1992-09-03,152.43,152.43,152.43,152.43,85,0
1992-09-04,152.43,152.43,152.43,152.43,85,0
1992-09-10,152.43,152.43,152.43,152.43,109,0
1992-09-11,150.6,150.6,150.6,150.6,326,0
1992-09-14,149.91,149.91,149.91,149.91,1087,0
1992-09-15,150.94,150.94,150.94,150.94,109,0
1992-09-22,151.17,151.17,151.17,151.17,109,0
1992-09-25,151.17,151.17,151.17,151.17,109,0
1992-09-29,151.4,151.4,151.4,151.4,85,0
1992-10-06,149.79,149.79,149.79,149.79,109,0
1992-10-08,151.63,152.55,151.63,152.55,109,0
1992-10-20,150.71,150.71,148.87,148.87,217,0
1992-10-29,147.03,147.03,145.19,145.19,652,0
1992-10-30,145.19,147.95,145.19,147.95,326,0
1992-11-02,148.87,150.71,148.87,150.71,109,0
1992-11-03,152.55,152.55,152.55,152.55,85,0
1992-11-04,154.39,156.22,154.39,156.22,435,0
1992-11-05,154.39,154.39,151.63,152.55,326,0
1992-11-06,150.71,158.05,150.71,158.05,435,0
1992-11-10,158.05,158.05,157.14,157.14,543,0
1992-11-16,158.97,158.97,158.97,158.97,85,0
1992-11-17,158.51,158.51,157.36,157.36,217,0
1992-11-19,157.14,157.14,157.14,157.14,217,0
1992-11-20,158.97,160.58,158.97,160.58,326,0
1992-11-24,160.58,165.4,160.58,164.48,761,0
1992-11-30,163.56,163.56,163.56,163.56,217,0
1992-12-08,165.41,165.41,165.41,165.41,737,0
1992-12-09,164.02,164.02,162.64,162.64,193,0
1992-12-10,164.48,164.48,164.48,164.48,109,0
1992-12-16,166.32,166.32,165.52,165.52,326,0
1992-12-17,167.35,167.35,167.35,167.35,85,0
1992-12-18,165.52,166.43,165.52,166.43,193,0
1992-12-24,168.28,170.12,168.28,170.12,193,0
1992-12-28,171.96,171.96,171.96,171.96,109,0
1992-12-29,170.11,170.11,168.27,168.27,109,0
1992-12-30,170.12,170.12,170.12,170.12,109,0
1992-12-31,170.12,170.12,170.12,170.12,109,0
1993-01-04,171.96,172.88,171.96,172.88,410,0
1993-01-06,171.5,171.5,171.5,171.5,326,0
1993-01-07,171.04,171.04,171.04,171.04,628,0
1993-01-12,171.04,171.04,171.04,171.04,85,0
1993-01-15,171.04,171.04,171.04,171.04,85,0
1993-01-18,171.73,171.73,171.73,171.73,109,0
1993-01-19,169.89,169.89,169.89,169.89,85,0
1993-01-20,171.73,171.96,171.73,171.96,193,0
1993-01-21,170.12,170.12,170.12,170.12,109,0
1993-01-25,171.96,171.96,171.96,171.96,85,0
1993-01-28,173.8,173.8,173.8,173.8,109,0
1993-01-29,173.8,173.8,171.96,173.8,434,0
1993-02-02,175.64,178.4,175.64,178.4,193,0
1993-02-03,180.25,182.09,180.25,182.09,109,0
1993-02-04,183.01,193.1,183.01,193.1,977,0
1993-02-05,193.1,193.1,193.1,193.1,434,0
1993-02-08,192.18,192.18,192.18,192.18,1086,0
1993-02-09,192.18,192.18,192.18,192.18,652,0
1993-02-10,193.1,202.31,193.1,202.31,519,0
1993-02-11,204.16,208.76,202.31,208.76,953,0
1993-02-12,214.26,217.01,211.52,213.34,1935,0
1993-02-16,213.34,213.34,209.68,211.52,217,0
1993-02-17,213.34,215.17,211.52,211.52,326,0
1993-02-18,211.52,213.34,211.52,211.52,845,0
1993-02-19,213.34,217.92,213.34,217.92,652,0
1993-02-22,218.85,222.53,217.93,220.69,3020,0
1993-02-23,218.84,218.84,211.52,214.26,2176,0
1993-02-24,215.86,215.86,211.52,211.52,652,0
1993-02-25,209.68,215.86,209.68,212.42,2912,0
1993-03-01,212.42,212.42,211.52,212.42,410,0
1993-03-02,210.6,215.17,210.6,215.17,543,0
1993-03-03,216.1,224.37,216.1,220.69,845,0
1993-03-04,220.69,220.69,220.69,220.69,217,0
1993-03-05,218.85,222.53,218.85,222.53,410,0
1993-03-08,224.37,227.13,224.37,227.13,434,0
1993-03-09,224.37,225.52,223.45,225.52,736,0
1993-03-10,227.37,229.9,227.37,229.79,543,0
1993-03-11,229.79,229.79,229.79,229.79,193,0
1993-03-12,227.95,228.87,226.11,228.87,217,0
1993-03-15,227.02,227.02,227.02,227.02,85,0
1993-03-16,228.86,230.01,228.17,228.17,868,0
1993-03-17,228.17,229.55,228.17,229.55,193,0
1993-03-18,229.09,229.55,229.09,229.55,193,0
1993-03-24,227.71,227.71,225.87,225.87,109,0
1993-03-31,224.03,225.18,224.03,225.18,193,0
1993-04-01,223.33,223.33,221.49,221.49,109,0
1993-04-02,219.88,219.88,212.53,212.53,302,0
1993-04-05,214.14,214.14,214.14,214.14,109,0
1993-04-06,215.74,215.74,215.28,215.28,109,0
1993-04-08,215.28,215.28,215.28,215.28,85,0
1993-04-12,217.11,220.8,217.11,220.8,627,0
1993-04-15,219.88,219.88,219.88,219.88,109,0
1993-04-19,218.96,218.96,218.96,218.96,109,0
1993-04-20,218.96,218.96,218.96,218.96,193,0
1993-04-21,220.57,220.57,219.77,219.77,434,0
1993-04-23,219.88,219.88,219.88,219.88,326,0
1993-04-27,220.8,220.8,220.8,220.8,217,0
1993-04-29,221.72,232.77,221.72,230.01,2476,0
1993-04-30,231.86,233.7,231.86,233.7,217,0
1993-05-03,235.54,235.54,232.78,232.78,1170,0
1993-05-04,234.62,234.62,234.62,234.62,109,0
1993-05-05,232.78,236.47,232.78,232.78,760,0
1993-05-06,230.93,230.93,229.09,229.09,109,0
1993-05-07,227.25,227.25,225.87,226.33,519,0
1993-05-10,226.33,226.33,222.64,222.64,627,0
1993-05-12,222.64,222.64,222.64,222.64,217,0
1993-05-13,222.64,222.64,221.03,221.03,302,0
1993-05-14,220.8,220.8,218.96,218.96,410,0
1993-05-18,219.88,219.88,219.88,219.88,85,0
1993-05-25,219.88,219.88,216.2,216.2,4349,0
1993-05-27,217.11,217.11,216.2,216.2,109,0
1993-06-01,214.37,214.37,199.65,199.65,868,0
1993-06-02,200.56,204.71,200.56,204.71,844,0
1993-06-04,204.71,204.71,204.71,204.71,85,0
1993-06-07,204.25,204.25,204.25,204.25,627,0
1993-06-15,202.41,202.41,201.14,201.14,735,0
1993-06-16,201.6,201.6,201.6,201.6,108,0
1993-06-21,199.76,199.76,198.84,198.84,108,0
1993-06-22,196.99,196.99,196.07,196.07,108,0
1993-06-23,194.23,194.23,188.71,188.71,518,0
1993-06-24,190.55,190.55,190.55,190.55,108,0
1993-06-25,185.95,185.95,185.95,185.95,627,0
1993-06-28,184.12,184.12,179.52,179.52,844,0
1993-06-29,179.52,179.52,173.53,175.37,1085,0
1993-06-30,174.91,175.72,173.06,175.72,868,0
1993-07-02,177.56,180.44,177.56,180.44,518,0
1993-07-06,180.44,180.44,180.44,180.44,434,0
1993-07-07,181.36,181.36,181.36,181.36,85,0
1993-07-08,183.21,185.95,183.21,184.12,518,0
1993-07-09,185.95,185.95,185.95,185.95,108,0
1993-07-13,185.95,187.78,185.95,187.78,518,0
1993-07-14,189.63,189.63,189.63,189.63,85,0
1993-07-15,191.48,193.31,191.48,193.31,217,0
1993-07-16,195.15,199.76,195.15,199.76,325,0
1993-07-19,201.6,202.52,201.6,202.52,108,0
1993-07-20,200.68,200.68,200.68,200.68,108,0
1993-07-21,200.68,200.68,200.68,200.68,108,0
1993-07-23,198.84,198.84,198.84,198.84,108,0
1993-07-28,197.92,197.92,197.92,197.92,952,0
1993-07-30,199.76,201.14,199.3,199.3,193,0
1993-08-02,198.84,198.84,198.84,198.84,651,0
1993-08-03,198.84,198.84,198.84,198.84,434,0
1993-08-04,197.91,198.03,197.91,198.03,759,0
1993-08-09,196.99,196.99,196.99,196.99,108,0
1993-08-10,195.15,195.15,193.31,193.31,108,0
1993-08-11,193.3,193.3,183.2,183.2,434,0
1993-08-12,185.03,185.03,183.2,183.2,108,0
1993-08-16,181.36,181.36,181.36,181.36,108,0
1993-08-18,183.21,184.12,183.21,184.12,193,0
1993-08-19,182.28,182.28,182.28,182.28,85,0
1993-08-24,183.2,183.2,183.2,183.2,85,0
1993-08-25,183.2,183.2,183.2,183.2,193,0
1993-08-26,181.36,181.36,180.44,180.44,108,0
1993-09-01,178.59,178.59,178.59,178.59,85,0
1993-09-02,169.38,171.22,169.38,171.22,1304,0
1993-09-03,174.91,174.91,174.91,174.91,1304,0
1993-09-07,173.06,173.06,173.06,173.06,108,0
1993-09-13,173.07,174.91,173.07,174.91,410,0
1993-09-22,174.21,176.06,174.21,176.06,193,0
1993-10-04,176.06,176.06,176.06,176.06,650,0
1993-10-06,176.98,176.98,176.98,176.98,325,0
1993-10-07,176.99,177.91,176.99,177.91,1192,0
1993-10-08,177.91,177.91,177.91,177.91,217,0
1993-10-11,177.91,177.91,177.91,177.91,84,0
1993-10-14,177.91,178.83,177.91,177.91,2062,0
1993-10-15,176.06,176.06,176.06,176.06,108,0
1993-10-19,176.06,176.06,176.06,176.06,108,0
1993-10-20,176.06,176.06,176.06,176.06,108,0
1993-10-21,175.14,175.14,175.14,175.14,108,0
1993-10-22,174.68,174.91,174.68,174.91,433,0
1993-10-25,174.91,174.91,174.91,174.91,108,0
