Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,10.772,11.054,10.752,10.971,1285481,0
2005-02-28,10.971,11.009,10.785,10.785,1439597,0
2005-03-01,10.707,10.802,10.445,10.51,1089469,0
2005-03-02,10.409,10.603,10.339,10.475,1056631,0
2005-03-03,10.484,10.484,9.997,10.136,699852,0
2005-03-04,9.997,10.541,9.997,10.498,755251,0
2005-03-07,10.334,10.364,10.016,10.116,739136,0
2005-03-08,9.983,9.993,9.798,9.886,1148492,0
2005-03-09,9.764,10.212,9.764,10.046,1276218,0
2005-03-10,9.993,10.241,9.824,10.166,1088263,0
2005-03-11,10.166,10.361,9.993,10.033,362013,0
2005-03-14,10.042,10.266,9.993,10.26,584019,0
2005-03-15,10.334,10.487,10.235,10.454,710934,0
2005-03-16,10.484,10.613,10.35,10.432,736517,0
2005-03-17,10.484,10.613,10.369,10.515,821332,0
2005-03-18,10.391,10.475,10.241,10.425,692802,0
2005-03-21,10.484,10.603,10.375,10.51,547552,0
2005-03-22,10.51,10.534,10.315,10.375,287475,0
2005-03-23,10.375,10.438,9.993,10.033,931526,0
2005-03-24,10.033,10.425,10.033,10.255,576964,0
2005-03-28,10.246,10.246,10.046,10.105,470194,0
2005-03-29,10.016,10.033,9.749,9.798,866860,0
2005-03-30,9.798,9.874,9.68,9.833,1293142,0
2005-03-31,9.939,10.027,9.814,9.896,1046155,0
2005-04-01,9.973,10.042,9.798,9.893,647877,0
2005-04-04,9.993,10.081,9.874,10.046,691998,0
2005-04-05,9.993,10.098,9.944,10.027,649490,0
2005-04-06,9.948,10.136,9.857,10.042,984107,0
2005-04-07,10.068,10.116,9.874,9.904,945225,0
2005-04-08,9.983,9.983,9.783,9.814,580590,0
2005-04-11,9.808,9.857,9.719,9.723,933739,0
2005-04-12,9.749,9.837,9.723,9.783,635390,0
2005-04-13,9.759,9.854,9.68,9.68,430910,0
2005-04-14,9.665,9.675,9.554,9.581,862832,0
2005-04-15,9.54,9.561,9.3918,9.4913,569917,0
2005-04-18,9.4113,9.554,9.3128,9.506,469387,0
2005-04-19,9.554,9.753,9.554,9.705,432325,0
2005-04-20,9.749,9.749,9.506,9.517,585828,0
2005-04-21,9.4991,9.7,9.4113,9.67,596306,0
2005-04-22,9.705,9.723,9.57,9.655,342674,0
2005-04-25,9.655,9.745,9.547,9.7,399287,0
2005-04-26,9.745,9.795,9.611,9.749,349322,0
2005-04-27,9.4571,9.581,9.4113,9.422,471206,0
2005-04-28,9.1727,9.2529,8.9459,9.1141,1177099,0
2005-04-29,9.0443,9.1038,8.9717,9.0641,1326383,0
2005-05-02,9.0736,9.2982,9.0736,9.1575,573139,0
2005-05-03,9.1434,9.1434,8.9717,9.083,494974,0
2005-05-04,9.0699,9.2322,9.0189,9.2142,539096,0
2005-05-05,9.1623,9.4649,9.1623,9.4016,786276,0
2005-05-06,9.4055,9.644,9.4055,9.596,415602,0
2005-05-09,9.506,9.605,9.3918,9.506,593082,0
2005-05-10,9.506,9.521,9.3869,9.422,441387,0
2005-05-11,9.3713,9.524,9.3713,9.4571,253029,0
2005-05-12,9.4513,9.565,9.169,9.2855,573542,0
2005-05-13,9.4055,9.4055,9.1623,9.2529,427888,0
2005-05-16,9.2529,9.346,9.0943,9.1434,389616,0
2005-05-17,9.1434,9.3079,9.1179,9.3079,492559,0
2005-05-18,9.3508,9.3674,9.1283,9.2265,646066,0
2005-05-19,9.2142,9.2529,9.1434,9.2322,357179,0
2005-05-20,9.2265,9.2529,9.0736,9.1085,479868,0
2005-05-23,9.1141,9.1141,9.0189,9.0641,625312,0
2005-05-24,9.0641,9.0641,8.9111,8.9111,560246,0
2005-05-25,8.89,9.0283,8.881,8.9413,688573,0
2005-05-26,8.9413,9.1331,8.9248,8.9886,478255,0
2005-05-27,9.0943,9.1783,9.0142,9.099,672055,0
2005-05-31,9.0585,9.4913,8.9194,9.4318,1246198,0
2005-06-01,9.2378,9.655,9.1575,9.581,863635,0
2005-06-02,9.69,9.917,9.64,9.844,1065496,0
2005-06-03,9.868,9.91,9.655,9.775,621685,0
2005-06-06,9.749,9.874,9.665,9.749,387197,0
2005-06-07,9.705,9.779,9.506,9.506,482686,0
2005-06-08,9.2787,9.3382,9.0085,9.3382,576765,0
2005-06-09,9.3382,9.3869,9.2142,9.3869,318899,0
2005-06-10,9.3869,9.3869,9.2142,9.2855,450659,0
2005-06-13,9.2855,9.2855,9.1179,9.1491,781848,0
2005-06-14,9.1246,9.1283,8.9286,9.0443,1090472,0
2005-06-15,8.9953,9.2085,8.9496,9.2019,431517,0
2005-06-16,9.1878,9.1925,8.9717,9.0585,634583,0
2005-06-17,8.9999,9.1434,8.9999,9.0736,454885,0
2005-06-20,9.0491,9.0943,8.9248,8.9541,437964,0
2005-06-21,8.9459,8.9459,8.8206,8.8864,707106,0
2005-06-22,8.9459,9.0792,8.9459,9.0245,427283,0
2005-06-23,9.0943,9.0943,8.9783,9.0585,316489,0
2005-06-24,9.0943,9.1623,9.0443,9.0538,319915,0
2005-06-27,9.0943,9.099,8.9999,8.9999,330185,0
2005-06-28,8.9999,9.1331,8.9953,9.1331,349726,0
2005-06-29,9.1878,9.2265,9.1387,9.1991,260684,0
2005-06-30,9.1991,9.2738,9.1849,9.2444,223617,0
2005-07-01,9.2787,9.4815,9.2378,9.4815,400691,0
2005-07-05,9.4864,9.575,9.4815,9.4864,481475,0
2005-07-06,9.554,9.554,9.3674,9.4269,301578,0
2005-07-07,9.3869,9.4767,9.3079,9.4347,182520,0
2005-07-08,9.4513,9.521,9.3869,9.4513,208303,0
2005-07-11,9.521,9.524,9.4347,9.4464,186751,0
2005-07-12,9.4464,9.729,9.3713,9.7,657143,0
2005-07-13,9.745,9.775,9.605,9.605,490342,0
2005-07-14,9.655,9.719,9.547,9.59,424466,0
2005-07-15,9.717,9.74,9.605,9.655,213544,0
2005-07-18,9.71,9.719,9.529,9.529,325751,0
2005-07-19,9.554,9.581,9.4864,9.536,279623,0
2005-07-20,9.57,9.717,9.4172,9.693,318502,0
2005-07-21,9.655,9.729,9.581,9.6,255043,0
2005-07-22,9.581,9.581,9.4952,9.506,278811,0
2005-07-25,9.4991,9.59,9.3977,9.4016,281834,0
2005-07-26,9.3918,9.4649,9.2982,9.3128,302383,0
2005-07-27,9.3567,9.4055,9.2322,9.2378,450659,0
2005-07-28,9.2826,9.3625,9.1387,9.1783,441789,0
2005-07-29,9.169,9.2787,9.1387,9.1878,368259,0
2005-08-01,9.2855,9.2855,9.1387,9.1623,369672,0
2005-08-02,9.1491,9.2227,9.0943,9.218,952077,0
2005-08-03,9.2378,9.2614,9.1491,9.2529,238120,0
2005-08-04,9.2444,9.4113,9.169,9.3567,398475,0
2005-08-05,9.3762,9.3762,9.2855,9.3382,401497,0
2005-08-08,9.2904,9.3382,9.083,9.0943,412981,0
2005-08-09,9.1387,9.218,8.9999,9.0189,700658,0
2005-08-10,9.0189,9.1575,9.0189,9.0443,368662,0
2005-08-11,9.0943,9.1085,8.9459,8.9953,415394,0
2005-08-12,8.9717,9.0085,8.9194,8.9194,353555,0
2005-08-15,8.8947,8.9953,8.8461,8.9541,440383,0
2005-08-16,8.9459,9.1085,8.9194,9.0943,431517,0
2005-08-17,9.0443,9.0699,8.9459,9.0443,426879,0
2005-08-18,9.0887,9.0887,9.0142,9.0387,334414,0
2005-08-19,9.0943,9.2787,9.0538,9.2322,760493,0
2005-08-22,9.1623,9.2855,9.0943,9.2227,837243,0
2005-08-23,9.1331,9.2529,9.099,9.2265,304800,0
2005-08-24,9.3869,9.808,9.3869,9.749,2300616,0
2005-08-25,9.775,10.016,9.775,9.948,1278636,0
2005-08-26,10.022,10.081,9.874,9.91,1144867,0
2005-08-29,9.944,9.956,9.849,9.874,562259,0
2005-08-30,9.896,9.939,9.804,9.886,357382,0
2005-08-31,9.879,10.182,9.819,10.046,1013724,0
2005-09-01,9.833,9.91,9.798,9.837,610810,0
2005-09-02,9.829,9.893,9.798,9.798,752433,0
2005-09-06,9.581,9.849,9.565,9.808,405127,0
2005-09-07,9.779,9.824,9.7,9.775,531839,0
2005-09-08,9.775,9.896,9.775,9.857,365640,0
2005-09-09,9.874,9.884,9.798,9.833,617257,0
2005-09-12,9.3674,9.854,9.3674,9.779,914401,0
2005-09-13,9.749,9.798,9.605,9.745,432119,0
2005-09-14,9.705,9.779,9.705,9.74,341265,0
2005-09-15,9.723,9.775,9.7,9.749,809046,0
2005-09-16,9.745,9.795,9.719,9.768,732287,0
2005-09-19,9.753,9.789,9.705,9.789,380753,0
2005-09-20,9.808,9.824,9.67,9.74,554202,0
2005-09-21,9.789,9.808,9.596,9.626,366648,0
2005-09-22,9.644,9.675,9.4649,9.4864,388605,0
2005-09-23,9.4571,9.517,9.4055,9.4113,745788,0
2005-09-26,9.4016,9.575,8.657,9.575,372688,0
2005-09-27,9.554,9.605,9.4571,9.554,404924,0
2005-09-28,9.529,9.551,9.4698,9.511,212131,0
2005-09-29,9.461,9.705,9.461,9.69,170430,0
2005-09-30,9.719,9.798,9.67,9.798,273778,0
2005-10-03,9.753,9.922,9.693,9.922,754846,0
2005-10-04,9.922,9.922,9.521,9.629,553799,0
2005-10-05,9.59,9.605,9.3811,9.3811,336026,0
2005-10-06,9.3274,9.3918,9.2491,9.3079,490543,0
2005-10-07,9.2904,9.611,9.2904,9.554,394448,0
2005-10-10,9.4864,9.506,9.3567,9.506,231672,0
2005-10-11,9.547,9.6,9.4913,9.529,286068,0
2005-10-12,9.547,9.551,9.3977,9.4016,264309,0
2005-10-13,9.346,9.346,9.0641,9.2019,557831,0
2005-10-14,9.2019,9.3157,9.1623,9.2566,585026,0
2005-10-17,9.218,9.3508,9.218,9.2982,133967,0
2005-10-18,9.2855,9.2904,8.9496,8.965,508470,0
2005-10-19,8.965,8.965,8.697,8.8461,698245,0
2005-10-20,8.8947,8.965,8.8206,8.8417,394247,0
2005-10-21,8.8699,8.8699,8.7711,8.7959,427283,0
2005-10-24,8.8571,9.0641,8.8571,9.0142,381957,0
2005-10-25,9.0585,9.1331,9.0142,9.099,210720,0
2005-10-26,9.0887,9.218,9.083,9.218,201255,0
2005-10-27,9.169,9.1783,8.9783,9.1085,193595,0
2005-10-28,9.1085,9.3079,9.0585,9.2738,179701,0
2005-10-31,9.2378,9.3625,9.2019,9.3274,375915,0
2005-11-01,9.3206,9.3625,9.2904,9.3333,332196,0
2005-11-02,9.3079,9.4571,9.2679,9.3567,455285,0
2005-11-03,9.3333,9.4513,9.2614,9.3079,768751,0
2005-11-04,9.3079,9.3382,9.2142,9.3382,315679,0
2005-11-07,9.3674,9.3869,9.2566,9.3079,222406,0
