Date,Open,High,Low,Close,Volume,OpenInt
2013-02-22,18.625,18.651,18.525,18.606,261405,0
2013-02-25,18.638,18.638,18.538,18.591,129595,0
2013-02-26,18.591,18.597,18.531,18.531,98750,0
2013-02-27,18.565,18.591,18.488,18.509,88302,0
2013-02-28,18.449,18.565,18.437,18.488,101501,0
2013-03-01,18.488,18.546,18.488,18.546,64166,0
2013-03-04,18.546,18.584,18.525,18.577,54837,0
2013-03-05,18.565,18.565,18.488,18.546,250472,0
2013-03-06,18.488,18.565,18.449,18.565,86067,0
2013-03-07,18.565,18.565,18.488,18.546,45254,0
2013-03-08,18.577,18.597,18.546,18.572,54162,0
2013-03-11,18.591,18.591,18.496,18.565,86224,0
2013-03-12,18.591,18.597,18.517,18.538,73265,0
2013-03-13,18.577,18.597,18.546,18.591,55867,0
2013-03-14,18.597,18.597,18.517,18.531,53461,0
2013-03-15,18.577,18.675,18.531,18.625,52310,0
2013-03-18,18.597,18.651,18.577,18.584,32844,0
2013-03-19,18.597,18.597,18.517,18.531,85772,0
2013-03-20,18.525,18.644,18.525,18.538,108612,0
2013-03-21,18.565,18.657,18.538,18.638,52581,0
2013-03-22,18.577,18.657,18.577,18.615,42310,0
2013-03-25,18.675,18.735,18.644,18.684,50506,0
2013-03-26,18.712,18.712,18.666,18.712,49664,0
2013-03-27,18.675,18.753,18.675,18.712,48756,0
2013-03-28,18.705,18.712,18.675,18.712,36790,0
2013-04-01,18.753,18.753,18.712,18.712,49092,0
2013-04-02,18.712,18.753,18.693,18.753,73051,0
2013-04-03,18.699,18.753,18.699,18.712,90535,0
2013-04-04,18.753,18.753,18.705,18.753,61301,0
2013-04-05,18.735,18.743,18.705,18.743,28784,0
2013-04-08,18.773,18.802,18.743,18.773,133079,0
2013-04-09,18.753,18.765,18.718,18.743,119306,0
2013-04-10,18.753,18.796,18.753,18.779,115478,0
2013-04-11,18.765,18.779,18.735,18.753,108848,0
2013-04-12,18.753,18.765,18.735,18.765,43392,0
2013-04-15,18.773,18.833,18.735,18.765,170255,0
2013-04-16,18.826,18.908,18.779,18.908,259155,0
2013-04-17,18.908,19.004,18.901,18.92,218913,0
2013-04-18,18.937,18.944,18.833,18.869,221335,0
2013-04-19,18.92,19.056,18.901,19.056,384838,0
2013-04-22,18.975,19.096,18.937,19.028,132478,0
2013-04-23,19.111,19.124,18.915,19.02,145612,0
