Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,2.7789,2.8048,2.7789,2.8048,1970,0
2005-02-28,2.7962,2.8048,2.7962,2.8048,3244,0
2005-03-01,2.6667,2.8307,2.6667,2.8221,5156,0
2005-03-02,2.7875,2.8479,2.7875,2.8479,4122,0
2005-03-03,2.8221,2.8221,2.8221,2.8221,1692,0
2005-03-04,2.8048,2.9342,2.7875,2.8652,4867,0
2005-03-07,2.8566,2.9947,2.8566,2.917,6036,0
2005-03-08,2.9256,2.9256,2.9256,2.9256,232,0
2005-03-09,2.8393,2.8652,2.8221,2.8221,1855,0
2005-03-10,2.8134,2.8134,2.7962,2.7962,1046,0
2005-03-11,2.8479,3.0982,2.8221,2.8911,17498,0
2005-03-14,2.8825,2.917,2.8738,2.8738,1564,0
2005-03-15,2.8652,2.8652,2.8652,2.8652,116,0
2005-03-16,2.753,2.8307,2.753,2.8221,3153,0
2005-03-17,2.8221,2.8221,2.8221,2.8221,7624,0
2005-03-18,2.8221,2.9601,2.8221,2.8825,1217,0
2005-03-21,2.8048,2.8048,2.8048,2.8048,1159,0
2005-03-22,2.7616,2.8134,2.7012,2.7358,5446,0
2005-03-24,2.753,2.753,2.7099,2.7099,1275,0
2005-03-28,2.7271,2.8738,2.7271,2.8738,3270,0
2005-03-29,2.8566,2.8652,2.6926,2.8652,5090,0
2005-03-30,2.6581,2.8393,2.4768,2.6495,13030,0
2005-03-31,2.753,2.8048,2.6149,2.6149,2202,0
2005-04-05,2.7875,2.8221,2.6408,2.6408,3940,0
2005-04-06,2.6408,2.6495,2.5804,2.5804,2155,0
2005-04-07,2.5545,2.5545,2.5545,2.5545,695,0
2005-04-08,2.5286,2.589,2.5286,2.589,1855,0
2005-04-11,2.6667,2.8738,2.6667,2.7444,1390,0
2005-04-12,2.589,2.7444,2.589,2.684,927,0
2005-04-13,2.753,2.753,2.5804,2.5804,2781,0
2005-04-14,2.5804,2.5804,2.5804,2.5804,1228,0
2005-04-15,2.7358,3.0896,2.5804,2.6149,4954,0
2005-04-18,2.5977,2.6063,2.5977,2.6063,811,0
2005-04-20,2.6408,2.6408,2.5804,2.5804,2319,0
2005-04-21,2.5977,2.7012,2.5977,2.7012,1275,0
2005-04-22,2.5804,2.5804,2.5114,2.5114,5447,0
2005-04-25,2.5114,2.5114,2.5114,2.5114,116,0
2005-04-27,2.5114,2.5114,2.4682,2.4682,2578,0
2005-04-28,2.4682,2.5459,2.4423,2.5459,3397,0
2005-04-29,2.2352,2.5286,2.1403,2.52,7045,0
2005-05-02,2.1748,2.5114,2.1748,2.5114,1557,0
