Date,Open,High,Low,Close,Volume,OpenInt
1981-12-31,6.8842,6.9197,6.8492,6.902,510897,0
1982-01-04,6.7877,6.902,6.6646,6.7612,716986,0
1982-01-05,6.5502,6.6557,6.4184,6.4184,1224699,0
1982-01-06,6.3656,6.4096,6.3041,6.3656,1774724,0
1982-01-07,6.278,6.3922,6.181,6.2338,1482654,0
1982-01-08,6.3306,6.3746,6.269,6.313,1127343,0
1982-01-11,6.2248,6.3922,6.049,6.0844,1682829,0
1982-01-12,6.181,6.269,6.0666,6.2513,1239261,0
1982-01-13,6.2513,6.4538,6.0401,6.1195,1400308,0
1982-01-14,6.1898,6.2513,6.1195,6.2513,1215145,0
1982-01-15,6.269,6.3041,6.2248,6.269,823896,0
1982-01-18,6.2248,6.313,6.1284,6.313,1020890,0
1982-01-19,6.2248,6.313,6.1284,6.1284,821169,0
1982-01-20,6.0401,6.1457,5.9085,6.0228,2107287,0
1982-01-21,5.9961,6.0844,5.8996,5.9612,1350263,0
1982-01-22,5.9349,6.0054,5.8381,5.8381,987220,0
1982-01-25,5.9699,6.1546,5.7767,6.1546,2161880,0
1982-01-26,6.1195,6.1898,6.0228,6.0228,1300220,0
1982-01-27,6.1546,6.269,6.049,6.1898,1490841,0
1982-01-28,6.3656,6.4711,6.2338,6.4538,1329791,0
1982-01-29,6.6381,6.7173,6.5593,6.6646,3254645,0
1982-02-01,6.3922,6.5327,6.2513,6.278,1529967,0
1982-02-02,6.313,6.3746,6.2338,6.3041,1631419,0
1982-02-03,6.181,6.3656,5.9961,6.0401,1472642,0
1982-02-04,6.0844,6.181,5.9961,6.181,2067709,0
1982-02-05,6.2513,6.3656,6.1284,6.2338,1674180,0
1982-02-08,6.0401,6.1457,5.9349,5.9436,1588198,0
1982-02-09,5.9699,6.0844,5.8645,6.0054,1454902,0
1982-02-10,6.1195,6.2074,6.0054,6.049,1303405,0
1982-02-11,5.9699,6.0844,5.8645,5.8996,1545889,0
1982-02-12,5.9436,5.9961,5.8822,5.9349,1345259,0
1982-02-16,5.9699,6.1457,5.803,6.1457,1908933,0
1982-02-17,6.093,6.1457,6.0401,6.049,1279747,0
1982-02-18,6.0844,6.1457,6.0228,6.093,870305,0
1982-02-19,6.0666,6.1284,5.9961,6.0401,881220,0
1982-02-22,5.9436,6.1284,5.759,5.7767,1617317,0
1982-02-23,5.7767,5.8822,5.6447,5.803,1820675,0
1982-02-24,5.9612,6.093,5.8206,6.0666,1171474,0
1982-02-25,5.9699,6.0666,5.8645,5.9699,897597,0
1982-02-26,5.9436,5.9961,5.8822,5.9085,727907,0
1982-03-01,5.8381,5.9436,5.7151,5.803,1111875,0
1982-03-02,5.6447,5.8558,5.4511,5.4602,1561813,0
1982-03-03,5.2756,5.3461,5.2138,5.3106,3197328,0
1982-03-04,5.2756,5.3986,5.1611,5.3106,5103070,0
1982-03-05,5.2756,5.3542,5.2051,5.328,2924361,0
1982-03-08,5.1875,5.4251,4.9412,4.9766,2624552,0
