Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,12.52,12.704,12.52,12.52,114615,0
2005-02-28,12.704,12.982,12.334,12.704,117332,0
2005-03-01,13.076,13.076,12.797,13.076,147789,0
2005-03-02,13.168,13.168,12.89,13.168,107483,0
2005-03-03,13.076,13.261,13.076,13.076,120693,0
2005-03-04,13.316,13.354,13.076,13.316,106233,0
2005-03-07,13.261,13.354,13.076,13.261,107329,0
2005-03-08,13.076,13.261,13.076,13.076,88475,0
2005-03-09,13.261,13.261,13.076,13.261,72734,0
2005-03-10,13.354,13.354,13.076,13.354,100731,0
2005-03-11,13.354,13.445,13.168,13.354,80169,0
2005-03-14,13.354,13.445,13.261,13.354,115576,0
2005-03-15,13.261,13.445,13.261,13.261,90208,0
2005-03-16,13.354,13.445,13.168,13.354,83635,0
2005-03-17,13.224,13.261,12.982,13.224,106269,0
2005-03-18,13.168,13.261,13.076,13.168,104393,0
2005-03-21,13.168,13.354,13.076,13.168,83461,0
2005-03-22,12.89,13.168,12.89,12.89,137039,0
2005-03-23,12.982,12.982,12.797,12.982,324798,0
2005-03-24,12.704,12.872,12.704,12.704,519828,0
2005-03-28,12.797,12.89,12.611,12.797,73387,0
2005-03-29,12.649,12.797,12.52,12.649,127142,0
2005-03-30,12.611,12.704,12.425,12.611,102754,0
2005-03-31,12.611,12.704,12.52,12.611,82588,0
2005-04-01,12.611,12.797,12.52,12.611,107887,0
2005-04-04,12.52,12.611,12.425,12.52,105794,0
2005-04-05,12.52,12.704,12.425,12.52,135363,0
2005-04-06,12.52,12.611,12.334,12.52,150955,0
2005-04-07,12.425,12.611,12.334,12.425,132721,0
2005-04-08,12.241,12.334,12.241,12.241,166935,0
2005-04-11,12.334,12.334,12.241,12.334,47917,0
2005-04-12,12.334,12.334,12.147,12.334,294392,0
2005-04-13,12.241,12.334,12.232,12.241,213769,0
2005-04-14,12.056,12.241,12.017,12.056,112845,0
2005-04-15,11.87,12.147,11.87,11.87,73636,0
2005-04-18,11.685,11.87,11.592,11.685,81109,0
2005-04-19,11.962,11.962,11.776,11.962,107191,0
2005-04-20,11.87,12.056,11.685,11.87,105702,0
2005-04-21,12.204,12.204,11.87,12.204,101538,0
2005-04-22,12.056,12.147,11.962,12.056,61351,0
2005-04-25,12.147,12.147,11.962,12.147,97687,0
2005-04-26,11.87,12.056,11.776,11.87,131378,0
2005-04-27,11.87,11.962,11.776,11.87,112622,0
2005-04-28,11.776,11.962,11.685,11.776,115362,0
2005-04-29,12.056,12.056,11.87,12.056,83766,0
2005-05-02,12.147,12.204,11.962,12.147,76791,0
2005-05-03,12.056,12.241,12.056,12.056,149742,0
2005-05-04,12.241,12.334,12.147,12.241,119239,0
2005-05-05,12.241,12.334,12.147,12.241,94643,0
2005-05-06,12.334,12.425,12.056,12.334,111276,0
2005-05-09,12.147,12.334,12.056,12.147,70303,0
2005-05-10,11.916,12.147,11.87,11.916,61691,0
2005-05-11,12.037,12.056,11.87,12.037,290196,0
2005-05-12,11.776,12.056,11.685,11.776,92826,0
2005-05-13,11.776,11.776,11.685,11.776,98056,0
2005-05-16,11.776,11.776,11.498,11.776,109490,0
2005-05-17,11.498,11.685,11.498,11.498,96974,0
2005-05-18,11.518,11.592,11.406,11.518,78190,0
2005-05-19,11.685,11.796,11.573,11.685,120005,0
2005-05-20,11.592,11.776,11.592,11.592,53751,0
2005-05-23,11.685,11.759,11.592,11.685,72416,0
2005-05-24,12.056,12.056,11.776,12.056,189712,0
2005-05-25,11.776,11.962,11.776,11.776,881010,0
2005-05-26,11.776,11.776,11.685,11.776,88790,0
2005-05-27,11.685,11.916,11.685,11.685,89249,0
2005-05-31,11.962,12.147,11.851,11.962,117715,0
2005-06-01,12.241,12.334,12.147,12.241,112199,0
2005-06-02,12.334,12.425,12.241,12.334,96327,0
2005-06-03,12.334,12.425,12.334,12.334,82159,0
2005-06-06,12.52,12.611,12.425,12.52,129124,0
2005-06-07,12.52,12.52,12.334,12.52,54617,0
2005-06-08,12.611,12.704,12.334,12.611,196605,0
2005-06-09,12.593,12.611,12.334,12.593,155840,0
2005-06-10,12.408,12.5,12.334,12.408,77929,0
2005-06-13,12.147,12.425,12.147,12.147,105994,0
2005-06-14,12.056,12.241,12.056,12.056,82170,0
2005-06-15,12.52,12.52,12.241,12.52,151768,0
2005-06-16,12.611,12.704,12.52,12.611,55063,0
2005-06-17,12.611,12.704,12.611,12.611,119605,0
2005-06-20,12.611,12.704,12.52,12.611,83495,0
2005-06-21,12.704,12.797,12.611,12.704,141919,0
2005-06-22,12.704,12.797,12.611,12.704,153313,0
2005-06-23,12.704,12.945,12.704,12.704,121982,0
2005-06-24,12.704,12.824,12.611,12.704,94796,0
2005-06-27,12.611,12.704,12.445,12.611,162815,0
2005-06-28,12.52,12.704,12.425,12.52,177725,0
2005-06-29,12.611,12.649,12.52,12.611,166938,0
2005-06-30,12.575,12.611,12.537,12.575,227911,0
2005-07-01,12.611,12.76,12.537,12.611,152528,0
2005-07-05,12.472,12.52,12.334,12.472,121192,0
2005-07-06,12.056,12.425,12.056,12.056,140873,0
2005-07-07,12.241,12.241,12.056,12.241,92266,0
2005-07-08,12.315,12.315,12.056,12.315,124806,0
2005-07-11,12.147,12.241,12.147,12.147,58595,0
2005-07-12,12.425,12.425,12.241,12.425,94142,0
2005-07-13,12.241,12.425,12.241,12.241,55731,0
2005-07-14,12.334,12.39,12.241,12.334,52656,0
2005-07-15,12.334,12.52,12.241,12.334,78295,0
2005-07-18,12.296,12.52,12.147,12.296,83646,0
2005-07-19,12.056,12.222,12.056,12.056,90333,0
2005-07-20,12.017,12.073,11.87,12.017,142275,0
2005-07-21,12.241,12.241,12.056,12.241,75259,0
2005-07-22,11.962,12.147,11.943,11.962,309264,0
2005-07-25,11.962,11.962,11.685,11.962,98257,0
2005-07-26,11.87,11.87,11.498,11.87,73000,0
2005-07-27,11.87,11.962,11.87,11.87,64257,0
2005-07-28,12.147,12.147,12.056,12.147,159167,0
2005-07-29,12.425,12.425,12.056,12.425,218404,0
2005-08-01,12.147,12.241,12.147,12.147,140289,0
2005-08-02,12.481,12.481,12.334,12.481,102005,0
2005-08-03,12.425,12.52,12.334,12.425,74969,0
2005-08-04,12.5,12.52,12.334,12.5,60048,0
2005-08-05,12.147,12.241,12.147,12.147,119164,0
2005-08-08,12.112,12.241,12.056,12.112,57293,0
2005-08-09,12.296,12.39,12.147,12.296,105131,0
2005-08-10,12.704,12.89,11.127,12.704,59556,0
2005-08-11,14.002,14.002,13.445,14.002,178583,0
2005-08-12,14.28,14.374,14.096,14.28,62701,0
2005-08-15,14.465,14.652,14.465,14.465,109952,0
2005-08-16,14.374,14.652,14.374,14.374,68644,0
