Date,Open,High,Low,Close,Volume,OpenInt
2014-07-29,7.4062,7.5631,7.2711,7.3532,6435907,0
2014-07-30,7.2914,7.3201,7.1177,7.1226,452618,0
2014-07-31,7.0563,7.1934,6.9172,7.0484,218019,0
2014-08-01,7.1805,7.1805,6.9539,7.0731,148903,0
2014-08-04,7.3042,7.3201,7.0563,7.2013,142459,0
2014-08-05,7.1434,7.1672,7.0152,7.0899,56634,0
2014-08-06,7.2013,7.2825,7.1187,7.2825,90901,0
2014-08-07,7.3042,7.3042,7.2013,7.2453,48398,0
2014-08-08,7.1597,7.2825,7.1394,7.2622,49438,0
2014-08-11,7.3696,7.3696,7.2013,7.3003,44633,0
2014-08-12,7.2013,7.2622,7.1597,7.2216,55617,0
2014-08-13,7.1642,7.2785,7.0563,7.0771,62477,0
2014-08-14,7.184,7.3042,7.184,7.2666,23411,0
2014-08-15,7.2374,7.3042,7.2013,7.2013,62328,0
2014-08-18,7.2953,7.3042,7.2048,7.3003,18590,0
2014-08-19,7.1756,7.3443,7.1756,7.2622,32607,0
2014-08-20,7.3443,7.3656,7.2013,7.2048,56183,0
2014-08-21,7.2409,7.3656,7.2216,7.2745,42619,0
2014-08-22,7.2745,7.3894,7.0805,7.3532,57078,0
2014-08-25,7.3532,7.3656,7.1023,7.1716,151081,0
2014-08-26,7.2127,7.3201,7.2013,7.3042,43085,0
2014-08-27,7.2048,7.3245,7.2048,7.2825,58444,0
2014-08-28,7.1756,7.3042,7.1756,7.2711,55114,0
2014-08-29,7.2013,7.3003,7.1642,7.2127,66060,0
2014-09-02,7.3077,7.3077,7.2067,7.2622,82245,0
2014-09-03,7.1805,7.3003,7.1068,7.1879,84526,0
2014-09-04,7.1177,7.2013,7.1023,7.1879,62819,0
2014-09-05,7.1434,7.1968,7.0979,7.1597,36215,0
2014-09-08,7.0731,7.1756,7.032,7.1558,39937,0
2014-09-09,7.184,7.184,7.1107,7.1672,45551,0
2014-09-10,7.0771,7.1271,6.9954,7.0771,59608,0
2014-09-11,7.0484,7.184,6.9954,7.0365,59297,0
2014-09-12,7.1756,7.1756,6.9004,6.9954,59068,0
2014-09-15,6.942,6.9954,6.7886,6.8583,120814,0
2014-09-16,6.8628,6.8717,6.7886,6.8425,63257,0
2014-09-17,6.8514,7.0365,6.7886,6.8192,142148,0
2014-09-18,6.888,6.8925,6.7886,6.847,93200,0
2014-09-19,6.8019,6.8717,6.7886,6.8628,301489,0
2014-09-22,6.9251,6.9251,6.5832,6.7114,158252,0
2014-09-23,6.4896,7.0365,6.4896,7.0365,227066,0
2014-09-24,6.9331,7.3003,6.9331,7.1558,114857,0
2014-09-25,7.1177,7.3003,7.04,7.1177,81598,0
2014-09-26,7.0281,7.2864,7.0281,7.1513,62200,0
2014-09-29,7.2216,7.3696,7.1968,7.2978,113049,0
2014-09-30,7.2548,7.3042,7.0979,7.1474,672195,0
2014-10-01,7.1597,7.2825,6.942,7.032,74199,0
2014-10-02,6.8192,7.1968,6.8192,7.04,48693,0
2014-10-03,7.1226,7.2785,6.9504,7.1474,27357,0
2014-10-06,7.1513,7.2666,6.8019,6.9128,89733,0
2014-10-07,6.9128,7.1474,6.8301,6.8514,89268,0
2014-10-08,6.8093,7.0899,6.5639,7.0855,56722,0
2014-10-09,7.0934,7.0934,6.9172,7.0899,46832,0
2014-10-10,7.0281,7.0805,6.8257,7.0771,32477,0
2014-10-13,7.0647,7.0934,6.7886,7.0281,78460,0
2014-10-14,7.0771,7.0771,6.8054,7.0484,87052,0
2014-10-15,6.9954,7.0934,6.8801,7.0118,140147,0
2014-10-16,6.9657,7.032,6.7603,6.7975,171899,0
2014-10-17,6.8143,6.9613,6.7886,6.8257,26884,0
2014-10-20,6.9128,6.9128,6.7925,6.8717,19343,0
2014-10-21,6.9286,6.9781,6.7114,6.8672,78216,0
2014-10-22,6.8717,6.8964,6.6525,6.7886,47525,0
2014-10-23,6.8143,7.0934,6.7198,7.0855,77733,0
2014-10-24,7.04,7.04,6.7069,6.7396,49891,0
2014-10-27,6.7029,6.7029,6.5639,6.6485,38986,0
2014-10-28,6.6856,6.6856,6.5421,6.6416,66494,0
2014-10-29,6.6247,6.6569,6.5178,6.645,49727,0
2014-10-30,6.6351,6.6856,6.3778,6.5792,57312,0
2014-10-31,6.6742,6.8514,6.645,6.6668,81845,0
2014-11-03,6.6668,6.6668,6.4352,6.5263,46130,0
2014-11-04,6.5302,6.5832,6.3486,6.4223,29753,0
2014-11-05,6.4436,6.5792,6.4273,6.5263,30093,0
2014-11-06,6.5832,6.8925,6.3778,6.8054,52865,0
2014-11-07,6.8143,6.888,6.6856,6.8549,28860,0
2014-11-10,6.8301,6.8301,6.5545,6.7198,26834,0
2014-11-11,6.6619,6.748,6.5421,6.6292,29715,0
2014-11-12,6.7925,6.888,6.6371,6.8717,55330,0
2014-11-13,6.7554,6.847,6.5564,6.7267,46476,0
2014-11-14,6.7821,6.8549,6.5421,6.6826,73188,0
2014-11-17,6.888,7.2453,6.7158,7.2082,99717,0
2014-11-18,7.184,7.2914,6.9573,7.0608,39190,0
2014-11-19,6.9989,6.9989,6.5639,6.8801,83902,0
2014-11-20,7.0024,7.0024,6.505,6.6247,65769,0
2014-11-21,6.4802,6.694,6.4189,6.4931,50139,0
2014-11-24,6.5302,6.6247,6.119,6.1556,122220,0
2014-11-25,6.1808,6.306,5.8458,5.9052,142711,0
2014-11-26,6.3397,6.3397,5.8255,5.9052,70929,0
2014-11-28,5.9007,6.1962,5.8596,5.8596,12180,0
2014-12-01,5.9259,6.1927,5.4612,5.6201,87252,0
2014-12-02,5.5033,5.8458,5.5033,5.6201,55641,0
2014-12-03,5.6572,5.7884,5.5201,5.6572,72467,0
2014-12-04,5.7463,5.8502,5.6919,5.7428,76973,0
2014-12-05,5.7121,5.8458,5.6572,5.8423,44587,0
2014-12-08,5.7755,5.8552,5.6458,5.7755,105175,0
2014-12-09,5.8131,5.9596,5.6894,5.8131,55316,0
2014-12-10,5.6953,5.8334,5.6953,5.7913,58693,0
2014-12-11,5.7913,5.9616,5.7795,5.8755,65078,0
2014-12-12,5.8552,6.2184,5.8215,6.1605,72582,0
2014-12-15,6.2184,6.2184,6.0531,6.1269,47395,0
2014-12-16,6.1051,6.3689,6.1051,6.2273,39939,0
2014-12-17,6.1714,6.2813,6.0512,6.2813,75841,0
2014-12-18,6.1313,6.2724,6.1313,6.2689,47971,0
2014-12-19,6.2432,6.3733,5.7795,5.9769,151416,0
2014-12-22,5.9769,6.162,5.8794,5.9631,54409,0
2014-12-23,6.0051,6.0635,5.7166,5.7839,76555,0
2014-12-24,5.8002,5.8755,5.6349,5.8002,112495,0
2014-12-26,5.8131,5.8715,5.7092,5.7507,94223,0
2014-12-29,5.8131,5.8596,5.6671,5.8131,98016,0
2014-12-30,5.8334,5.9126,5.7329,5.8171,103489,0
2014-12-31,5.7626,6.0007,5.7626,5.8923,69489,0
2015-01-02,5.8255,5.8794,5.7428,5.8794,71536,0
2015-01-05,5.8215,5.9091,5.729,5.8552,43449,0
2015-01-06,5.917,6.0972,5.7626,5.9259,52188,0
2015-01-07,5.917,6.165,5.917,6.0264,36114,0
2015-01-08,6.022,6.2724,5.9126,6.2145,28527,0
2015-01-09,6.1976,6.2313,6.0695,6.1427,16963,0
2015-01-12,6.1764,6.1764,5.6874,5.8002,43283,0
2015-01-13,5.7755,6.0853,5.7755,6.0853,37218,0
2015-01-14,5.9799,6.2649,5.9799,6.1976,45637,0
2015-01-15,5.9928,6.1348,5.9091,5.9799,15805,0
2015-01-16,5.9725,6.2358,5.9007,6.2273,16351,0
2015-01-20,6.1684,6.2516,6.1472,6.2476,16613,0
2015-01-21,6.2145,6.2689,6.1051,6.2605,56292,0
2015-01-22,6.2724,6.2724,6.2095,6.2689,17688,0
2015-01-23,6.2318,6.31,6.1348,6.31,21582,0
2015-01-26,6.2724,6.3139,6.2318,6.2605,65165,0
2015-01-27,6.2516,6.2763,6.2432,6.2763,8034,0
2015-01-28,6.2358,6.3139,6.2318,6.2813,35476,0
2015-01-29,6.2813,6.3139,6.2318,6.3139,21816,0
2015-01-30,6.3139,6.4401,6.2941,6.4278,20964,0
2015-02-02,6.4278,6.4817,6.3649,6.4817,24843,0
2015-02-03,6.6698,6.6698,6.3773,6.4025,28288,0
2015-02-04,6.2763,6.3946,6.2016,6.2051,37709,0
2015-02-05,6.2224,6.2724,6.1224,6.2318,53384,0
2015-02-06,6.306,6.306,6.0635,6.0635,39644,0
2015-02-09,6.114,6.1605,6.0007,6.0264,26735,0
2015-02-10,6.0427,6.0635,5.8171,5.8839,33847,0
2015-02-11,5.9383,5.9675,5.8379,5.8626,25767,0
2015-02-12,5.9052,5.9052,5.5914,5.6745,24274,0
2015-02-13,5.6166,5.6874,5.5241,5.6122,75680,0
2015-02-17,5.6458,5.9675,5.4404,5.8794,80958,0
2015-02-18,5.8755,6.2649,5.8755,6.1764,41976,0
2015-02-19,6.4639,6.4639,6.0804,6.2145,40808,0
2015-02-20,6.2392,6.3733,6.1897,6.357,33277,0
2015-02-23,6.2689,6.4401,6.2689,6.31,79006,0
2015-02-24,6.3605,6.3986,6.2813,6.2857,42148,0
2015-02-25,6.4357,6.4357,6.0804,6.0972,115441,0
2015-02-26,5.9819,6.1932,5.9611,6.0126,68410,0
2015-02-27,6.064,6.064,5.965,5.9819,33294,0
2015-03-02,6.017,6.2273,5.9611,6.1368,34510,0
2015-03-03,5.9819,6.1368,5.9819,6.1061,28917,0
2015-03-04,6.068,6.068,5.965,6.0299,25185,0
2015-03-05,6.1704,6.1704,5.9611,5.9952,28450,0
2015-03-06,5.97,6.0086,5.9611,5.9744,24718,0
2015-03-09,5.9858,6.0898,5.9353,5.9611,15623,0
2015-03-10,5.9908,6.0422,5.9611,5.9858,9559,0
2015-03-11,6.0556,6.1239,5.9819,6.0764,16787,0
2015-03-12,6.1061,6.2659,6.0126,6.2575,49669,0
2015-03-13,6.2362,6.2397,6.0338,6.1061,20055,0
2015-03-16,6.2699,6.3214,6.068,6.1496,34746,0
2015-03-17,6.0729,6.2016,6.0472,6.1887,31247,0
2015-03-18,6.1971,6.4416,6.1536,6.3986,84178,0
2015-03-19,6.3347,6.4629,6.1496,6.458,30079,0
2015-03-20,6.4505,6.6005,6.2828,6.403,70885,0
2015-03-23,6.3045,6.4119,6.2224,6.3347,28917,0
2015-03-24,6.5698,6.5921,6.1155,6.1932,29848,0
2015-03-25,6.2016,6.214,6.0378,6.068,25185,0
2015-03-26,6.1496,6.3006,6.064,6.2318,20752,0
2015-03-27,6.5827,6.6045,6.1328,6.6045,44304,0
2015-03-30,6.647,6.7163,5.5835,6.4545,308733,0
2015-03-31,6.2699,6.3303,6.0254,6.3258,79515,0
2015-04-01,6.4505,6.4505,6.111,6.3684,40339,0
2015-04-02,6.3006,6.3733,6.0299,6.1239,67620,0
2015-04-06,6.111,6.3511,6.0596,6.3511,61095,0
2015-04-07,6.2526,6.3431,6.0942,6.1536,69200,0
2015-04-08,6.2778,6.2778,5.9057,5.9264,40576,0
2015-04-09,5.9611,6.0472,5.9611,6.0299,63067,0
