Date,Open,High,Low,Close,Volume,OpenInt
2017-07-17,25.33,25.33,25.3003,25.305,1191,0
2017-07-18,25.28,25.28,25.238,25.238,400,0
2017-07-19,25.37,25.37,25.3625,25.3625,200,0
2017-07-20,25.3625,25.3625,25.3625,25.3625,0,0
2017-07-21,25.3625,25.3625,25.3625,25.3625,0,0
2017-07-24,25.44,25.44,25.44,25.44,595,0
2017-07-25,25.44,25.44,25.44,25.44,0,0
2017-07-26,25.57,25.59,25.57,25.59,200,0
2017-07-27,25.59,25.59,25.59,25.59,0,0
2017-07-28,25.59,25.59,25.59,25.59,0,0
2017-07-31,25.59,25.59,25.59,25.59,0,0
2017-08-01,25.59,25.59,25.59,25.59,0,0
2017-08-02,25.635,25.635,25.6054,25.6054,200,0
2017-08-03,25.6054,25.6054,25.6054,25.6054,0,0
2017-08-04,25.6054,25.6054,25.6054,25.6054,0,0
2017-08-07,25.6054,25.6054,25.6054,25.6054,0,0
2017-08-08,25.6054,25.6054,25.6054,25.6054,0,0
2017-08-09,25.6054,25.6054,25.6054,25.6054,0,0
2017-08-10,25.6054,25.6054,25.6054,25.6054,0,0
2017-08-11,25.6054,25.6054,25.6054,25.6054,0,0
2017-08-14,25.6054,25.6054,25.6054,25.6054,0,0
2017-08-15,25.6054,25.6054,25.6054,25.6054,0,0
2017-08-16,25.6054,25.6054,25.6054,25.6054,0,0
2017-08-17,25.6054,25.6054,25.6054,25.6054,0,0
2017-08-18,25.6054,25.6054,25.6054,25.6054,0,0
2017-08-21,25.6054,25.6054,25.6054,25.6054,0,0
2017-08-22,25.6054,25.6054,25.6054,25.6054,0,0
2017-08-23,25.6054,25.6054,25.6054,25.6054,0,0
2017-08-24,25.6054,25.6054,25.6054,25.6054,0,0
2017-08-25,25.6054,25.6054,25.6054,25.6054,0,0
2017-08-28,25.6054,25.6054,25.6054,25.6054,0,0
2017-08-29,25.6054,25.6054,25.6054,25.6054,0,0
2017-08-30,25.6054,25.6054,25.6054,25.6054,0,0
2017-08-31,25.6054,25.6054,25.6054,25.6054,0,0
2017-09-01,25.6054,25.6054,25.6054,25.6054,0,0
2017-09-05,25.6054,25.6054,25.6054,25.6054,0,0
2017-09-06,25.6054,25.6054,25.6054,25.6054,0,0
2017-09-07,25.6054,25.6054,25.6054,25.6054,0,0
2017-09-08,25.6054,25.6054,25.6054,25.6054,0,0
2017-09-11,25.72,25.72,25.72,25.72,399,0
2017-09-12,25.72,25.72,25.72,25.72,0,0
2017-09-13,25.72,25.72,25.72,25.72,0,0
2017-09-14,25.72,25.72,25.72,25.72,0,0
2017-09-15,25.72,25.72,25.72,25.72,0,0
2017-09-18,25.6423,25.6423,25.6423,25.6423,0,0
2017-09-19,25.82,25.82,25.82,25.82,0,0
2017-09-20,25.82,25.82,25.82,25.82,0,0
2017-09-21,25.82,25.82,25.82,25.82,0,0
2017-09-22,25.82,25.82,25.82,25.82,0,0
2017-09-25,25.82,25.82,25.82,25.82,0,0
2017-09-26,25.82,25.82,25.82,25.82,0,0
2017-09-27,25.82,25.82,25.82,25.82,0,0
2017-09-28,25.82,25.82,25.82,25.82,0,0
2017-09-29,25.82,25.82,25.82,25.82,0,0
2017-10-02,25.82,25.82,25.82,25.82,0,0
2017-10-03,25.82,25.82,25.82,25.82,0,0
2017-10-04,25.82,25.82,25.82,25.82,0,0
2017-10-05,25.82,25.82,25.82,25.82,0,0
2017-10-06,25.82,25.82,25.82,25.82,0,0
2017-10-09,26.06,26.06,26.06,26.06,0,0
2017-10-10,25.92,25.92,25.92,25.92,200,0
2017-10-11,25.92,25.92,25.92,25.92,0,0
2017-10-12,25.92,25.92,25.92,25.92,0,0
2017-10-13,25.92,25.92,25.92,25.92,0,0
2017-10-16,25.92,25.92,25.92,25.92,0,0
2017-10-17,25.92,25.92,25.92,25.92,0,0
2017-10-18,25.92,25.92,25.92,25.92,0,0
2017-10-19,25.92,25.92,25.92,25.92,0,0
2017-10-20,25.92,25.92,25.92,25.92,0,0
2017-10-23,25.92,25.92,25.92,25.92,0,0
2017-10-24,25.92,25.92,25.92,25.92,0,0
2017-10-25,25.92,25.92,25.92,25.92,0,0
2017-10-26,25.92,25.92,25.92,25.92,0,0
2017-10-27,25.92,25.92,25.92,25.92,0,0
2017-10-30,25.92,25.92,25.92,25.92,0,0
2017-10-31,25.92,25.92,25.92,25.92,0,0
2017-11-01,25.92,25.92,25.92,25.92,0,0
2017-11-02,25.92,25.92,25.92,25.92,0,0
2017-11-03,25.92,25.92,25.92,25.92,0,0
2017-11-06,25.92,25.92,25.92,25.92,0,0
2017-11-07,25.92,25.92,25.92,25.92,0,0
2017-11-08,25.92,25.92,25.92,25.92,0,0
2017-11-09,25.92,25.92,25.92,25.92,0,0
2017-11-10,25.92,25.92,25.92,25.92,0,0
