Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,12.634,12.746,12.634,12.746,17646,0
2005-02-28,12.733,12.733,12.674,12.674,20364,0
2005-03-01,12.696,12.749,12.696,12.737,12204,0
2005-03-02,12.67,12.783,12.67,12.743,10170,0
2005-03-03,12.755,12.768,12.688,12.746,26460,0
2005-03-04,12.793,12.888,12.593,12.888,47502,0
2005-03-07,12.867,12.914,12.867,12.892,16974,0
2005-03-08,12.895,12.895,12.815,12.815,7452,0
2005-03-09,12.82,12.821,12.74,12.74,6096,0
2005-03-10,12.75,12.75,12.68,12.742,17646,0
2005-03-11,12.734,12.734,12.634,12.634,12204,0
2005-03-14,12.66,12.687,12.66,12.671,6792,0
2005-03-15,12.75,12.753,12.643,12.643,16974,0
2005-03-16,12.618,12.618,12.507,12.54,56982,0
2005-03-17,12.512,12.582,12.505,12.559,15606,0
2005-03-18,12.519,12.519,12.42,12.469,1096548,0
2005-03-21,12.475,12.475,12.384,12.438,54966,0
2005-03-22,12.448,12.478,12.33,12.33,122814,0
2005-03-23,12.282,12.351,12.281,12.318,86178,0
2005-03-24,12.35,12.386,12.32,12.32,244266,0
2005-03-28,12.32,12.582,12.32,12.582,236832,0
2005-03-29,12.612,12.612,12.237,12.237,105192,0
2005-03-30,12.305,12.366,12.289,12.364,67170,0
2005-03-31,12.399,12.435,12.388,12.426,94998,0
2005-04-01,12.503,12.503,12.286,12.312,6792,0
2005-04-04,12.353,12.372,12.267,12.372,63780,0
2005-04-05,12.435,12.445,12.396,12.423,33930,0
2005-04-06,12.459,12.499,12.435,12.454,37332,0
2005-04-07,12.431,12.507,12.431,12.507,126888,0
2005-04-08,12.504,12.504,12.476,12.487,3378,0
2005-04-11,12.437,12.437,12.407,12.414,16284,0
2005-04-12,12.391,12.391,12.332,12.364,6096,0
2005-04-13,12.482,12.482,12.336,12.336,9516,0
2005-04-14,12.366,12.366,12.234,12.247,84822,0
2005-04-15,12.183,12.216,12.036,12.036,111960,0
2005-04-18,12.055,12.082,12.014,12.067,40032,0
2005-04-19,12.14,12.165,12.105,12.165,35280,0
2005-04-20,12.121,12.143,11.981,11.986,280938,0
2005-04-21,12.087,12.192,12.06,12.189,83466,0
2005-04-22,12.171,12.183,12.065,12.065,11544,0
2005-04-25,12.052,12.233,12.052,12.233,118740,0
2005-04-26,12.188,12.247,12.155,12.155,179130,0
2005-04-27,12.082,12.173,12.043,12.17,189324,0
2005-04-28,12.098,12.148,12.092,12.118,19002,0
2005-04-29,12.121,12.121,12.003,12.098,73968,0
2005-05-02,12.223,12.252,12.183,12.252,31890,0
2005-05-03,12.244,12.278,12.207,12.207,77334,0
2005-05-04,12.276,12.322,12.257,12.322,13578,0
2005-05-05,12.388,12.403,12.313,12.322,94998,0
2005-05-06,12.382,12.411,12.341,12.36,50892,0
2005-05-09,12.335,12.413,12.335,12.406,43434,0
2005-05-10,12.326,12.342,12.31,12.342,35280,0
2005-05-11,12.319,12.335,12.252,12.335,56322,0
2005-05-12,12.351,12.351,12.233,12.233,19002,0
2005-05-13,12.182,12.248,12.096,12.16,82770,0
2005-05-16,12.198,12.276,12.198,12.276,45450,0
2005-05-17,12.229,12.252,12.229,12.234,27144,0
2005-05-18,12.428,12.497,12.428,12.473,59700,0
2005-05-19,12.479,12.538,12.479,12.534,46134,0
2005-05-20,12.528,12.531,12.499,12.512,21708,0
2005-05-23,12.525,12.618,12.525,12.571,111960,0
2005-05-24,12.556,12.578,12.545,12.578,29874,0
2005-05-25,12.533,12.534,12.505,12.534,15606,0
2005-05-26,12.593,12.615,12.582,12.615,23070,0
2005-05-27,12.6,12.628,12.6,12.628,31230,0
2005-05-31,12.624,12.628,12.56,12.56,19680,0
2005-06-01,12.538,12.684,12.538,12.621,46134,0
2005-06-02,12.616,12.68,12.616,12.68,19680,0
2005-06-03,12.672,12.684,12.588,12.588,44094,0
2005-06-06,12.599,12.628,12.567,12.627,25092,0
2005-06-07,12.711,12.734,12.637,12.637,19680,0
2005-06-08,12.654,12.656,12.637,12.656,22386,0
2005-06-09,12.632,12.649,12.616,12.649,4068,0
2005-06-10,12.653,12.653,12.616,12.616,81414,0
2005-06-13,12.647,12.674,12.638,12.638,4740,0
2005-06-14,12.644,12.714,12.644,12.688,61740,0
2005-06-15,12.717,12.717,12.646,12.694,49530,0
2005-06-16,12.742,12.78,12.737,12.778,54270,0
2005-06-17,12.772,12.784,12.747,12.783,10842,0
2005-06-20,12.733,12.796,12.733,12.755,27822,0
2005-06-21,12.762,12.783,12.734,12.756,56982,0
2005-06-22,12.799,12.799,12.731,12.767,25794,0
2005-06-23,12.74,12.74,12.628,12.628,13578,0
2005-06-24,12.627,12.627,12.542,12.547,19680,0
2005-06-27,12.512,12.547,12.505,12.538,16974,0
2005-06-28,12.582,12.649,12.582,12.644,14238,0
2005-06-29,12.674,12.674,12.63,12.63,12888,0
2005-06-30,12.654,12.67,12.637,12.637,3378,0
2005-07-01,12.588,12.606,12.578,12.578,9516,0
2005-07-05,12.571,12.725,12.571,12.725,8160,0
2005-07-06,12.697,12.715,12.65,12.65,6096,0
2005-07-07,12.528,12.649,12.527,12.649,33246,0
2005-07-08,12.674,12.821,12.674,12.811,23742,0
2005-07-11,12.845,12.907,12.845,12.897,31890,0
2005-07-12,12.912,12.958,12.87,12.949,33246,0
2005-07-13,12.918,12.932,12.918,12.932,8814,0
2005-07-14,12.969,12.969,12.93,12.948,6096,0
2005-07-15,12.921,12.97,12.92,12.952,10842,0
2005-07-18,12.917,12.936,12.912,12.936,4740,0
2005-07-19,12.918,12.986,12.918,12.986,29172,0
2005-07-20,12.944,13.037,12.944,13.037,7452,0
2005-07-21,12.949,13.042,12.949,12.989,3378,0
2005-07-22,13.026,13.028,12.99,13.028,4068,0
2005-07-25,13.078,13.078,12.992,12.992,4740,0
2005-07-26,13.001,13.028,13.001,13.028,15606,0
2005-07-27,13.039,13.07,13.016,13.068,26460,0
2005-07-28,13.094,13.17,13.086,13.167,10170,0
2005-07-29,13.151,13.151,13.094,13.116,8160,0
2005-08-01,13.116,13.144,13.101,13.114,10842,0
2005-08-02,13.146,13.184,13.146,13.176,31890,0
2005-08-03,13.18,13.213,13.175,13.187,40734,0
2005-08-04,13.131,13.131,13.096,13.104,6096,0
2005-08-05,13.057,13.057,12.989,13.038,18318,0
2005-08-08,12.979,12.995,12.969,12.969,9516,0
2005-08-09,12.998,12.998,12.984,12.984,6096,0
2005-08-10,13.066,13.126,12.989,12.989,27144,0
2005-08-11,12.88,13.08,12.88,13.08,6792,0
2005-08-12,13.03,13.044,13.004,13.037,21030,0
2005-08-15,13.003,13.089,12.998,13.089,2022,0
2005-08-16,13.033,13.033,12.964,12.964,33930,0
2005-08-17,12.932,12.932,12.916,12.916,12204,0
2005-08-18,12.876,12.917,12.876,12.905,16284,0
2005-08-19,12.927,12.945,12.908,12.908,8814,0
2005-08-22,12.989,12.992,12.903,12.918,14238,0
2005-08-23,12.924,12.939,12.889,12.903,37332,0
2005-08-24,12.885,12.97,12.861,12.861,19680,0
2005-08-25,12.836,12.873,12.836,12.873,18318,0
2005-08-26,12.834,12.834,12.774,12.811,27822,0
2005-08-29,12.706,12.882,12.619,12.88,22386,0
2005-08-30,12.814,12.818,12.814,12.818,4740,0
2005-08-31,12.848,12.911,12.836,12.911,110598,0
2005-09-01,12.969,13.045,12.952,13,29874,0
2005-09-02,13.007,13.007,12.672,12.963,31230,0
2005-09-06,12.995,13.104,12.995,13.104,33246,0
2005-09-07,13.085,13.149,13.075,13.146,61074,0
2005-09-08,13.122,13.122,13.103,13.103,6096,0
2005-09-09,13.114,13.197,13.114,13.197,4068,0
2005-09-12,13.215,13.215,13.183,13.192,30516,0
2005-09-13,13.11,13.113,13.096,13.113,3378,0
2005-09-14,13.112,13.132,13.047,13.047,54270,0
2005-09-15,13.114,13.114,13.035,13.064,24438,0
2005-09-16,13.057,13.099,13.025,13.099,42084,0
2005-09-19,13.103,13.103,13.016,13.016,12888,0
2005-09-20,13.063,13.066,12.918,12.918,12204,0
2005-09-21,12.901,12.901,12.817,12.817,30516,0
2005-09-22,12.793,12.854,12.772,12.849,27822,0
2005-09-23,12.821,12.885,12.821,12.885,32574,0
2005-09-26,12.954,12.954,12.885,12.885,16284,0
2005-09-27,12.876,12.876,12.846,12.87,3378,0
2005-09-28,12.901,12.924,12.879,12.886,21030,0
2005-09-29,12.908,13.012,12.867,13,7452,0
2005-09-30,12.995,13.047,12.995,13.021,12888,0
2005-10-03,13.096,13.096,13.02,13.044,18318,0
2005-10-04,13.05,13.056,12.901,12.907,38682,0
2005-10-05,12.877,12.877,12.702,12.706,29172,0
2005-10-06,12.694,12.696,12.545,12.634,33930,0
2005-10-07,12.727,12.727,12.662,12.683,21030,0
2005-10-10,12.697,12.697,12.593,12.593,25794,0
2005-10-11,12.602,12.605,12.545,12.56,9516,0
2005-10-12,12.531,12.531,12.422,12.473,26460,0
2005-10-13,12.431,12.448,12.376,12.442,15606,0
2005-10-14,12.497,12.56,12.457,12.554,24438,0
2005-10-17,12.593,12.593,12.553,12.59,4740,0
2005-10-18,12.564,12.564,12.487,12.487,12888,0
2005-10-19,12.408,12.637,12.408,12.637,19002,0
2005-10-20,12.61,12.61,12.428,12.47,16974,0
2005-10-21,12.533,12.55,12.481,12.522,6096,0
2005-10-24,12.637,12.715,12.637,12.715,18318,0
2005-10-25,12.693,12.712,12.654,12.654,2022,0
2005-10-26,12.719,12.727,12.637,12.638,13578,0
2005-10-27,12.581,12.581,12.502,12.513,28518,0
2005-10-28,12.619,12.68,12.527,12.68,12888,0
2005-10-31,12.733,12.836,12.733,12.811,44784,0
2005-11-01,12.753,12.781,12.747,12.755,25092,0
2005-11-02,12.867,12.914,12.867,12.909,27822,0
2005-11-03,12.97,13.03,12.952,12.958,25794,0
2005-11-04,12.97,12.986,12.917,12.969,37332,0
2005-11-07,12.946,13.01,12.944,12.998,5430,0
2005-11-08,12.955,12.975,12.944,12.949,5430,0
2005-11-09,12.948,13.037,12.948,12.983,33246,0
2005-11-10,12.987,13.091,12.932,13.083,49530,0
2005-11-11,13.112,13.126,13.089,13.116,19680,0
2005-11-14,13.112,13.125,13.097,13.12,7452,0
2005-11-15,13.08,13.15,13.051,13.068,29874,0
2005-11-16,13.103,13.103,13.045,13.068,10170,0
2005-11-17,13.138,13.206,13.135,13.206,5430,0
2005-11-18,13.269,13.271,13.231,13.268,20364,0
2005-11-21,13.264,13.364,13.264,13.344,86862,0
2005-11-22,13.312,13.399,13.3,13.399,25092,0
2005-11-23,13.405,13.504,13.405,13.471,12204,0
2005-11-25,13.477,13.494,13.458,13.494,3378,0
2005-11-28,13.464,13.464,13.362,13.362,23070,0
2005-11-29,13.377,13.401,13.377,13.378,2730,0
2005-11-30,13.36,13.36,13.319,13.319,7452,0
2005-12-01,13.408,13.493,13.408,13.472,2730,0
2005-12-02,13.464,13.481,13.437,13.481,5430,0
2005-12-05,13.445,13.445,13.427,13.445,3378,0
2005-12-06,13.486,13.536,13.468,13.468,12204,0
2005-12-07,13.458,13.458,13.355,13.397,6792,0
2005-12-08,13.412,13.464,13.402,13.402,25794,0
2005-12-09,13.388,13.449,13.388,13.449,6792,0
2005-12-12,13.477,13.477,13.405,13.448,6096,0
2005-12-13,13.426,13.558,13.426,13.511,13578,0
2005-12-14,13.554,13.588,13.515,13.567,7452,0
2005-12-15,13.57,13.57,13.536,13.552,4740,0
2005-12-16,13.497,13.514,13.449,13.449,2730,0
2005-12-19,13.442,13.462,13.34,13.35,20364,0
2005-12-20,13.321,13.374,13.321,13.359,3378,0
2005-12-21,13.392,13.445,13.392,13.399,10170,0
2005-12-22,13.416,13.453,13.416,13.453,13578,0
2005-12-23,13.484,13.484,13.443,13.465,25794,0
2005-12-27,13.484,13.484,13.346,13.346,6792,0
