Date,Open,High,Low,Close,Volume,OpenInt
2012-10-11,22.5,22.9,21.28,21.66,5873665,0
2012-10-12,21.5,22.06,21,22,402330,0
2012-10-15,22.25,23.21,22,22.95,114291,0
2012-10-16,23.1,23.49,22.62,23.04,122289,0
2012-10-17,23.1,23.18,22.97,23.08,60741,0
2012-10-18,23.08,25.22,22.99,24.36,201996,0
2012-10-19,24.01,24.45,22.83,22.83,162781,0
2012-10-22,22.9,23.73,22.85,23.42,72277,0
2012-10-23,23,23,22.34,22.6,42538,0
2012-10-24,22.65,22.74,22.36,22.68,30116,0
2012-10-25,22.75,23.95,22.54,22.69,169523,0
2012-10-26,22.39,23.48,22.27,23.21,62138,0
2012-10-31,23,25,22.61,23.75,73947,0
2012-11-01,23.75,24.77,23.75,24.69,80824,0
2012-11-02,25.01,25.2,24.74,24.82,47222,0
2012-11-05,24.12,24.76,23.95,24.11,104929,0
2012-11-06,23.5,23.7,22.65,22.67,138336,0
2012-11-07,22.02,23.38,21.8,23.35,102860,0
2012-11-08,23.13,24.01,22.77,24,12600,0
2012-11-09,23.69,23.95,22.5,23.85,22988,0
2012-11-12,23.85,24,23.29,23.94,23075,0
2012-11-13,24.08,24.1,23.84,23.97,27790,0
2012-11-14,23.49,23.65,22.77,22.87,66037,0
2012-11-15,22.28,22.93,21.4,21.79,56728,0
2012-11-16,23.5,24.64,23.1,23.37,91200,0
2012-11-19,23.64,26.69,23.64,26.02,110372,0
2012-11-20,26.27,28.63,25.99,27.5,102418,0
2012-11-21,27.6,28,27.08,27.64,32192,0
2012-11-23,27.63,28.13,26.97,27.51,20074,0
2012-11-26,27.12,27.5,26.95,26.98,17006,0
2012-11-27,27.22,27.22,25.58,25.9,28727,0
2012-11-28,25.58,26.05,25.58,25.93,56774,0
2012-11-29,26.35,26.83,25.51,25.86,22204,0
2012-11-30,25.68,25.7,25.3,25.6,17782,0
2012-12-03,26.38,27.27,25.72,25.94,147485,0
2012-12-04,26.45,26.45,25,25.22,372851,0
2012-12-05,25.58,25.58,23.67,24.65,191967,0
2012-12-06,24.29,24.8,24.1,24.4,40774,0
2012-12-07,24.76,25.7,24.46,25.64,25111,0
2012-12-10,25.18,27.27,25.07,26.18,62886,0
2012-12-11,26.04,26.68,25.5,25.57,36323,0
2012-12-12,25.72,26.32,25.5,25.69,61059,0
2012-12-13,25.78,26.27,24.88,25.65,33471,0
2012-12-14,25.73,25.9,25.27,25.79,12768,0
2012-12-17,25.68,25.68,24.52,24.8,85092,0
2012-12-18,24.71,25.96,24.67,25.5,71216,0
2012-12-19,25.33,25.99,24.8,25.09,112045,0
2012-12-20,24.97,25.35,24.13,24.25,125179,0
2012-12-21,24.04,24.33,23.12,23.91,595841,0
2012-12-24,23.78,23.79,23.3,23.58,29564,0
2012-12-26,23.67,23.8,23,23.34,41832,0
2012-12-27,23.4,24.98,23.13,24.55,65114,0
2012-12-28,24.51,25.49,24.51,25.3,38573,0
2012-12-31,25.15,26.08,24.9,26,103565,0
2013-01-02,26.37,27.27,26.02,26.34,134156,0
2013-01-03,26.58,26.73,25.8,25.86,44868,0
2013-01-04,26.13,26.35,25.16,25.76,83403,0
2013-01-07,25.84,26.41,25.53,26.12,24917,0
2013-01-08,26.04,26.37,25.2,25.83,32436,0
2013-01-09,25.89,26.77,25.76,26.59,66625,0
2013-01-10,26.71,27,26.2,26.92,39274,0
2013-01-11,26.87,28.2,26.87,27.92,61429,0
2013-01-14,27.76,28,26.84,26.94,52079,0
2013-01-15,26.87,26.87,25.84,26.52,27256,0
2013-01-16,26.5,27.32,25.76,25.87,48382,0
2013-01-17,26.1,26.49,25.1,26.4,40189,0
2013-01-18,26.25,26.35,25.5,25.64,47917,0
2013-01-22,25.69,25.87,25.39,25.65,16589,0
2013-01-23,25.46,26.33,24.77,25.17,54100,0
2013-01-24,25.2,25.86,23.31,23.8,142596,0
2013-01-25,23.93,24.87,23.55,24.67,58452,0
2013-01-28,24.63,25.16,24.34,24.47,45838,0
2013-01-29,24.36,25.34,24.2,25.29,64176,0
2013-01-30,25.34,25.34,24.61,24.72,25006,0
2013-01-31,24.65,25.28,24.03,25.23,49662,0
2013-02-01,25.28,25.5,24.78,25.42,28110,0
2013-02-04,25.3,25.36,25.02,25.19,31951,0
2013-02-05,25.3,25.45,25,25.15,26781,0
2013-02-06,24.99,25.18,24.84,25.05,14461,0
2013-02-07,25.12,25.23,24.8,25.11,10319,0
2013-02-08,25.32,25.43,24.88,25.24,31278,0
2013-02-11,25.2,25.94,25.03,25.81,30567,0
2013-02-12,25.75,25.78,24.01,24.36,114947,0
2013-02-13,24.56,25.2,24.47,25.15,10760,0
2013-02-14,24.95,25.28,24.4,25.09,8783,0
2013-02-15,25.14,25.27,24.87,25.27,20717,0
2013-02-19,25.17,25.89,25.15,25.66,6549,0
2013-02-20,25.53,26.95,25.5,26.45,23233,0
2013-02-21,26.49,28.34,26.12,28.05,103409,0
2013-02-22,28.86,33,28.86,32.86,213571,0
2013-02-25,33.47,34.82,33,34.82,171991,0
2013-02-26,34.99,35.73,33.8,34.05,290520,0
2013-02-27,34.23,34.56,31.33,31.47,144658,0
2013-02-28,31.43,33.65,30.56,32.6,119505,0
2013-03-01,32.22,32.71,30.64,32.52,89458,0
2013-03-04,32.42,34.91,32.25,34.17,91611,0
2013-03-05,34.25,35.66,34.04,34.78,77002,0
2013-03-06,34.83,34.98,34.09,34.5,45585,0
2013-03-07,34.41,34.99,33.94,34.84,55486,0
2013-03-08,35,35.61,34.5,35.5,32817,0
2013-03-11,35.74,36.72,35.14,35.93,51429,0
2013-03-12,35.96,36.27,35.51,36.1,114693,0
2013-03-13,36.37,36.39,35.76,36.03,36100,0
2013-03-14,36.61,38.64,36.01,38.19,43405,0
2013-03-15,38.19,40,38.09,39.99,98238,0
2013-03-18,39.41,42.43,39.32,41.29,229037,0
2013-03-19,41.5,42.12,40.35,41.99,91421,0
2013-03-20,42,43,41.68,42.99,41148,0
2013-03-21,42.85,43,41.75,42.75,51368,0
2013-03-22,42.97,44.73,42.67,44.48,49847,0
2013-03-25,44.74,44.96,43.91,44.87,33345,0
2013-03-26,44.89,45.13,44,44.94,44059,0
2013-03-27,45.21,45.21,44.19,44.34,61180,0
2013-03-28,44.45,45.13,44,44.98,50497,0
2013-04-01,44.8,45,42.9,43.07,60406,0
2013-04-02,43.28,43.28,41.59,41.83,67198,0
2013-04-03,41.79,41.79,37.74,38.11,127208,0
2013-04-04,38.01,40.61,37.37,40.26,180497,0
2013-04-05,40.1,42.27,39.7,40.57,112944,0
2013-04-08,40.91,41.28,39.04,39.73,71448,0
2013-04-09,40.2,43.34,39.29,42.53,141347,0
2013-04-10,42.41,44.84,42.3,43.38,92146,0
2013-04-11,43.27,44.39,43.27,43.64,57006,0
2013-04-12,43.43,43.9,42.93,43.22,29106,0
2013-04-15,43.79,43.79,41,41.57,60384,0
2013-04-16,42.16,42.25,41.2,42.01,202082,0
2013-04-17,41.49,42.78,41.27,42.43,80588,0
2013-04-18,42.36,42.95,41.93,42.6,34391,0
2013-04-19,42.74,44.17,42.25,43.73,57220,0
2013-04-22,43.92,44.37,43.3,44.03,47820,0
2013-04-23,43.98,46.75,43.98,46.13,107521,0
2013-04-24,45.87,47.1,45.64,46.06,45063,0
2013-04-25,46.33,46.57,45.84,46.23,43412,0
2013-04-26,46.27,46.27,45.7,45.87,10554,0
2013-04-29,45.74,46.53,45.09,45.38,18270,0
2013-04-30,45.32,45.56,41.42,41.7,109156,0
2013-05-01,41.65,43.53,40.25,41.88,140484,0
2013-05-02,41.86,44.1,41.23,43.96,110728,0
2013-05-03,44.6,45.76,43.99,44.41,34760,0
2013-05-06,44.71,44.79,44.01,44.54,48165,0
2013-05-07,44.5,44.7,43.75,44.5,41233,0
2013-05-08,44.21,46,43.77,45.35,66936,0
2013-05-09,49,49,45,46.21,88763,0
2013-05-10,46.42,47.65,45.56,47.49,71120,0
2013-05-13,46.72,49.55,46.07,49.14,126069,0
2013-05-14,49.27,52.58,49.11,51.42,116928,0
2013-05-15,51.43,52,50.11,50.5,205672,0
2013-05-16,50.49,50.95,49.39,50.08,81769,0
2013-05-17,50.15,50.6,49.08,49.32,89371,0
2013-05-20,49.33,49.6,48.75,49.04,37651,0
2013-05-21,49,49.62,49,49.18,26737,0
2013-05-22,48.75,48.75,45.02,45.52,269370,0
2013-05-23,44.66,45.53,43.03,44.84,144941,0
2013-05-24,44.4,46.41,44.03,46.24,46494,0
2013-05-28,46.89,49.46,46.65,47.79,147011,0
2013-05-29,47.27,48.55,46.34,47.41,29792,0
2013-05-30,47.55,47.99,46.42,47.48,36091,0
2013-05-31,46.84,47.97,46.34,47.34,67320,0
2013-06-03,47.25,47.91,46.51,47.17,59734,0
2013-06-04,47.33,47.62,46.02,46.44,111412,0
2013-06-05,46.44,46.88,44.92,45.01,38041,0
2013-06-06,44.68,44.95,43.37,44.04,223885,0
2013-06-07,44.12,45.43,43.75,44.4,168743,0
2013-06-10,44.27,47.29,44.12,46.27,113856,0
2013-06-11,45.67,45.98,44.4,44.79,65074,0
2013-06-12,44.96,45.45,44.5,44.81,27191,0
2013-06-13,44.43,44.94,43.54,44.68,71627,0
2013-06-14,44.4,45.61,43.87,45.58,89685,0
2013-06-17,46.21,48.9,46.04,48.5,107808,0
2013-06-18,48.44,50.26,47.82,49.56,223057,0
2013-06-19,49.88,49.99,49.03,49.26,76140,0
2013-06-20,48.93,49.32,47.95,48.94,104612,0
2013-06-21,49.44,49.99,47.55,49.72,258498,0
2013-06-24,49.2,50.38,48.93,49.88,113190,0
2013-06-25,50,50,49.4,49.81,72183,0
2013-06-26,50,50,49.62,49.81,83945,0
2013-06-27,49.9,53.99,49.62,53.56,293207,0
2013-06-28,53.8,57.49,53.8,55.78,544904,0
2013-07-01,56.16,57.63,55.72,56.08,332100,0
2013-07-02,56.35,57.51,55.77,57.05,77842,0
2013-07-03,56.96,57.1,56.63,57.01,29755,0
2013-07-05,57.85,59.28,57.79,58.14,58602,0
2013-07-08,58.63,58.84,58,58.35,76494,0
2013-07-09,58.77,60.51,58.4,60.36,150148,0
2013-07-10,60.49,60.61,59.86,60.17,65338,0
2013-07-11,60.95,60.95,60.1,60.17,78720,0
2013-07-12,59.99,60.32,59.41,59.97,115649,0
2013-07-15,59.53,60,59.1,59.8,122480,0
2013-07-16,59.85,60.16,58.3,58.48,85480,0
2013-07-17,58.75,59.11,57.06,57.32,87901,0
2013-07-18,57.25,57.25,55.82,56.06,126032,0
2013-07-19,55.86,56.28,55.21,55.65,273849,0
2013-07-22,55.01,55.35,54.3,54.76,201761,0
2013-07-23,54.72,54.92,53.75,54.17,98060,0
2013-07-24,54.19,54.56,53.73,54.29,75449,0
2013-07-25,54.35,54.37,52.7,53.7,119345,0
2013-07-26,53.14,54.27,52.89,54.18,87403,0
2013-07-29,53.83,54.25,52.95,53.13,68572,0
2013-07-30,53.47,54.15,52.22,52.43,62835,0
2013-07-31,52.34,53.49,51.52,53.15,103768,0
2013-08-01,53.72,56.9,53.56,56.64,194441,0
2013-08-02,56.91,57.16,56.25,56.43,116367,0
2013-08-05,56.35,57.04,53.91,54.54,91112,0
2013-08-06,54.76,54.76,51.69,52.52,92350,0
2013-08-07,52.52,54.23,51,53.46,255637,0
2013-08-08,55.59,57.7,54.8,56.2,393079,0
2013-08-09,56.37,57.56,55.95,56.77,81571,0
2013-08-12,56.48,58.18,56.38,57.69,104673,0
2013-08-13,57.55,58,56.49,57.35,105942,0
2013-08-14,57.29,57.35,55.28,55.56,108301,0
2013-08-15,55.25,55.25,53.63,53.64,80741,0
2013-08-16,53.7,54.44,51.49,52.47,87632,0
2013-08-19,52.25,52.85,50.43,50.44,71972,0
2013-08-20,50.65,51.67,50.17,51.12,82739,0
2013-08-21,50.76,54.09,50.73,53.66,107844,0
2013-08-22,53.36,55.66,53.36,53.92,137576,0
2013-08-23,54.09,55.09,54.07,54.8,55770,0
2013-08-26,54.91,54.91,52.28,52.98,120996,0
2013-08-27,52,52.76,50.86,51.09,47110,0
2013-08-28,50.55,50.69,48.28,48.79,99895,0
2013-08-29,48.43,50.35,48.05,50.09,88843,0
2013-08-30,49.51,50.12,48.65,49.64,57039,0
2013-09-03,50.11,50.5,49.5,49.68,100393,0
2013-09-04,49.57,51.3,49.34,51.1,193412,0
2013-09-05,51.3,53.73,51.3,52.88,69123,0
2013-09-06,52.94,53.99,51.58,53.45,58755,0
2013-09-09,53.45,53.45,49.92,50.91,111089,0
2013-09-10,51,53.88,50.96,53.73,104608,0
2013-09-11,53.31,58.15,53.16,58.05,250480,0
2013-09-12,57.86,58.08,56.21,56.47,111100,0
2013-09-13,56.89,58.28,55.68,58.08,80851,0
2013-09-16,58.88,60.42,58.31,59.99,158704,0
2013-09-17,57.92,61.95,56.19,61.31,230217,0
2013-09-18,61.39,61.39,58.76,59.18,123296,0
2013-09-19,58.9,60.92,57.4,60.32,254798,0
2013-09-20,62.65,70.8,62.18,70.41,3366697,0
2013-09-23,70.04,72.75,69.14,71.62,419637,0
2013-09-24,71.55,72.11,70.35,71.27,242420,0
2013-09-25,72.15,74.7,71.12,72.65,266170,0
2013-09-26,73.11,73.66,72.6,72.64,313681,0
2013-09-27,72.6,73.03,71.89,72.87,151479,0
2013-09-30,71.94,76.12,71.91,72.72,356083,0
2013-10-01,73,74.99,72.58,74,235197,0
2013-10-02,73.55,75.7,72.82,75.62,167805,0
2013-10-03,75.62,75.9,71.9,73.17,461295,0
2013-10-04,73.01,73.72,70.25,72.45,635939,0
2013-10-07,71.52,72.02,68.54,70.48,271599,0
2013-10-08,70.86,71.55,66.76,69.06,331302,0
2013-10-09,69.07,69.08,66.31,67.63,206432,0
2013-10-10,68.36,72.3,68.04,72.04,193124,0
2013-10-11,71.18,72.18,69.57,70.8,235561,0
2013-10-14,70.13,71.89,69.71,71.32,83079,0
2013-10-15,70.98,71.34,70.05,70.27,106370,0
2013-10-16,70.45,72.36,70.45,72.28,133290,0
2013-10-17,72.09,73.79,70.46,72.11,261641,0
2013-10-18,76.07,76.07,71.43,71.92,139106,0
2013-10-21,71.8,74,71.65,73.77,116678,0
2013-10-22,73.86,75,73.22,73.69,200977,0
2013-10-23,73.11,74.15,70.69,71.19,69101,0
2013-10-24,71.22,72.25,70.88,71.39,89504,0
2013-10-25,71.82,71.82,69,69.63,158490,0
2013-10-28,69.65,70,68.64,69.75,96686,0
2013-10-29,69.95,70.4,68.3,69.47,94168,0
2013-10-30,69.3,70.39,66.02,69.97,262864,0
2013-10-31,69.77,71.85,69.6,70.8,188776,0
2013-11-01,70.58,71.16,69.18,69.9,171625,0
2013-11-04,70.23,75.72,69.84,75.59,299749,0
