Date,Open,High,Low,Close,Volume,OpenInt
2016-08-17,24.81,24.84,24.76,24.81,256907,0
2016-08-18,24.84,25.75,24.8,24.826,194280,0
2016-08-19,24.8,24.85,24.75,24.81,147864,0
2016-08-22,24.85,24.87,24.81,24.86,225920,0
2016-08-23,24.89,24.89,24.77,24.77,218435,0
2016-08-24,24.8,24.85,24.8,24.82,180749,0
2016-08-25,24.82,24.9,24.82,24.87,147651,0
2016-08-26,24.88,24.932,24.85,24.87,90893,0
2016-08-29,24.9,24.9699,24.88,24.9525,102844,0
2016-08-30,24.97,24.99,24.95,24.95,61058,0
2016-08-31,24.95,24.95,24.74,24.77,342600,0
2016-09-01,24.8,24.8,24.54,24.59,435795,0
2016-09-02,24.57,24.57,23.7,24.01,254641,0
2016-09-06,24.1,24.29,24.07,24.26,369662,0
2016-09-07,24.3,24.55,24.3,24.55,90964,0
2016-09-08,24.6,24.682,24.6,24.6199,66916,0
2016-09-09,24.65,24.65,24.22,24.32,89911,0
2016-09-12,24.39,24.48,24.36,24.43,56554,0
2016-09-13,24.32,24.49,24.32,24.35,66040,0
2016-09-14,24.34,24.7,24.31,24.68,119613,0
2016-09-15,24.64,24.8,24.5447,24.77,26570,0
2016-09-16,24.62,24.84,24.6101,24.83,46590,0
2016-09-19,24.79,25.3925,24.7601,24.94,114498,0
2016-09-20,24.94,24.97,24.91,24.96,271550,0
2016-09-21,24.97,24.98,24.83,24.98,83216,0
2016-09-22,24.99,25,24.9453,25,105136,0
2016-09-23,25,25.1,24.97,25.03,191666,0
2016-09-26,24.98,25.03,24.95,24.99,74725,0
2016-09-27,25,25.02,24.95,25,59934,0
2016-09-28,24.9998,25.1,24.97,25.05,184725,0
2016-09-29,25.04,25.05,24.98,25.04,59170,0
2016-09-30,25.0491,25.15,24.98,25.12,100611,0
2016-10-03,25.15,25.25,25.09,25.24,131648,0
2016-10-04,25.25,25.25,25.01,25.15,57908,0
2016-10-05,25.2,25.25,25.0601,25.23,113678,0
2016-10-06,25.2,25.2,24.92,25.08,147202,0
2016-10-07,25.08,25.23,25.04,25.18,63125,0
2016-10-10,25.24,25.32,24.98,25.06,142168,0
2016-10-11,25.0992,25.0992,24.93,25.04,47773,0
2016-10-12,25.05,25.14,24.9,25.14,62526,0
2016-10-13,25,25.11,24.97,25.11,59269,0
