Date,Open,High,Low,Close,Volume,OpenInt
2016-11-08,9.91,9.925,9.9,9.9,2000,0
2016-11-11,9.88,9.88,9.88,9.88,500,0
2016-11-18,9.91,9.91,9.91,9.91,5000,0
2016-11-23,9.95,9.95,9.95,9.95,10900,0
2016-12-01,10,10,10,10,1798,0
2016-12-06,9.9,9.91,9.9,9.91,740,0
2016-12-07,10,10,9.9,9.9,1456,0
2016-12-14,9.95,9.9501,9.95,9.95,10900,0
2016-12-15,9.91,9.91,9.9,9.9,2000,0
2016-12-16,9.95,9.95,9.95,9.95,480,0
2016-12-21,10,10,10,10,478,0
2016-12-28,10,10,10,10,1000,0
2017-01-04,10.01,10.01,10,10,1000,0
2017-01-05,10.02,10.02,10.02,10.02,100,0
2017-01-09,10.04,10.04,10,10.03,17640,0
2017-01-10,10.01,10.028,10,10.01,23902,0
2017-01-25,10.09,10.16,10.09,10.16,50004,0
2017-01-31,10.0101,10.0101,10.01,10.01,400,0
2017-02-03,10.01,10.01,10.01,10.01,1000,0
2017-02-23,10.01,10.01,10,10,3000,0
2017-03-08,10.12,10.15,10.1125,10.12,1277818,0
2017-03-09,10.12,10.18,10.12,10.18,60200,0
2017-03-13,10.12,10.18,10.12,10.18,2000,0
2017-03-15,10.18,10.2,10.18,10.2,5206,0
2017-03-22,10.2,10.2,10.2,10.2,100,0
2017-03-23,10.2,10.2,10.2,10.2,100,0
2017-03-29,10.05,10.2,10.05,10.2,3820,0
2017-03-30,10.05,10.18,10.05,10.18,1303,0
2017-04-05,10.19,10.19,10.1,10.17,5073,0
2017-04-06,10.07,10.2,10.05,10.2,2100,0
2017-04-07,10.2,10.2,10.08,10.2,2900,0
2017-04-17,10.2,10.2,10.2,10.2,100,0
2017-04-18,10.1999,10.2,10.1999,10.2,200,0
2017-04-20,10.084,10.2,10.084,10.2,1750,0
2017-04-27,10.12,10.2,10.12,10.19,7300,0
2017-05-24,10.02,10.02,10,10,4700,0
2017-05-25,10.03,10.03,10.03,10.03,1400,0
2017-06-06,10.03,10.03,10.03,10.03,100,0
2017-06-15,10.01,10.05,10.01,10.02,1200,0
2017-06-16,10.01,10.01,10.01,10.01,100,0
2017-06-19,10.01,10.01,10,10,2951,0
2017-06-20,10.04,10.05,10.04,10.05,1000,0
2017-06-22,10.01,10.05,10,10.05,1500,0
2017-06-26,10,10.04,9.9902,10.0001,16064,0
2017-06-27,10.02,10.04,10.02,10.04,968,0
2017-06-28,10.05,10.11,10.0493,10.11,10100,0
2017-06-29,10.11,10.11,10.0468,10.0468,400,0
2017-07-03,10.085,10.12,10.085,10.1,40282,0
2017-07-07,10.1,10.1,10.1,10.1,3621,0
2017-07-11,10.1,10.1,10,10,8998,0
2017-07-12,10.09,10.09,10.07,10.07,10100,0
2017-07-13,10.07,10.09,10.06,10.06,68800,0
2017-07-14,10.069,10.07,10.059,10.06,24800,0
2017-07-17,10.06,10.06,10.05,10.05,1400,0
2017-07-24,10.02,10.02,10,10,400,0
2017-07-31,10.04,10.04,10.04,10.04,3900,0
2017-08-02,10,10,10,10,8700,0
2017-08-03,10.05,10.05,10.05,10.05,1000,0
2017-08-15,10,10.08,10,10.08,51200,0
2017-08-16,10.09,10.1,10.09,10.1,2000,0
2017-08-17,10.19,10.21,10.12,10.1208,45600,0
2017-08-18,10.19,10.25,10.12,10.2,203301,0
2017-08-21,10.2744,10.2744,10.2,10.2097,31200,0
2017-08-22,10.2,10.2,10.2,10.2,102,0
2017-08-25,10.2,10.21,10.17,10.17,1990,0
2017-08-28,10.2,10.22,10.2,10.22,1941,0
2017-08-31,10.26,10.28,10.26,10.28,5500,0
2017-09-01,10.279,10.279,10.24,10.24,700,0
2017-09-05,10.22,10.22,10.22,10.22,300,0
2017-09-07,10.1049,10.1049,10.1049,10.1049,100,0
2017-09-11,10.0499,10.22,10.0499,10.22,3065,0
2017-09-12,10.1914,10.1914,10.1914,10.1914,280,0
2017-09-13,10.2,10.22,10.2,10.22,5100,0
2017-09-19,10.217,10.22,10.18,10.18,1800,0
2017-09-26,10.2097,10.2097,10.1703,10.1703,600,0
2017-09-27,10.17,10.17,10.1699,10.1699,3900,0
2017-09-28,10.135,10.17,10.08,10.17,15500,0
2017-10-03,10.15,10.17,10.139,10.17,172069,0
2017-10-04,10.1104,10.1104,10.1104,10.1104,500,0
2017-10-05,10.12,10.13,10.12,10.13,300,0
2017-10-06,10.13,10.17,10.13,10.17,700,0
2017-10-09,10.17,10.17,10.17,10.17,17981,0
2017-10-11,10.17,10.17,10.17,10.17,325,0
2017-10-17,10.17,10.17,10.17,10.17,400,0
2017-10-18,10.19,10.19,10.19,10.19,100,0
2017-10-20,10.21,10.21,10.21,10.21,100,0
2017-10-23,10.2186,10.2199,10.2186,10.2199,1000,0
2017-10-25,10.2,10.2,10.2,10.2,400,0
2017-10-26,10.1751,10.1751,10.1751,10.1751,490,0
2017-10-27,10.22,10.23,10.22,10.23,787,0
