Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,48.691,49.474,48.691,49.416,964,0
2005-02-28,48.533,49.838,48.356,48.906,12373,0
2005-03-01,49.846,49.846,48.672,49.464,7445,0
2005-03-02,48.774,49.37,48.709,48.878,5840,0
2005-03-03,49.186,49.195,48.755,49.094,6900,0
2005-03-04,49.195,49.885,49.195,49.81,2769,0
2005-03-07,49.885,49.885,48.774,49.018,7580,0
2005-03-08,48.709,49.195,48.709,48.737,11893,0
2005-03-09,48.709,49.111,48.709,49.055,9119,0
2005-03-10,48.801,49.279,48.801,49.279,11221,0
2005-03-11,49.252,49.252,48.327,48.626,2738,0
2005-03-14,49.195,49.416,48.375,48.691,8400,0
2005-03-15,48.27,49.716,48.27,49.624,7210,0
2005-03-16,48.579,48.933,48.542,48.791,4048,0
2005-03-17,48.327,49.279,48.327,48.728,12918,0
2005-03-18,49.455,49.455,47.909,47.909,18747,0
2005-03-21,48.506,48.506,46.268,46.325,11402,0
2005-03-22,46.342,47.164,46.342,46.669,2769,0
2005-03-23,46.073,48.728,45.989,46.126,21396,0
2005-03-24,45.857,46.993,45.857,46.577,4064,0
2005-03-28,47.267,47.432,46.53,46.846,1286,0
2005-03-29,46.773,46.783,46.155,46.342,2108,0
2005-03-30,47.03,47.524,45.419,46.52,6524,0
2005-03-31,47.211,47.211,46.342,47.069,5441,0
2005-04-01,46.53,47.173,45.857,45.989,6180,0
2005-04-04,45.81,46.164,45.522,45.905,11511,0
2005-04-05,46.118,46.473,46.083,46.1,5926,0
2005-04-06,45.876,46.993,45.876,46.481,10567,0
2005-04-07,46.164,47.03,45.942,46.736,7275,0
2005-04-08,45.923,46.435,45.923,46.342,6464,0
2005-04-11,45.792,47.524,45.792,45.905,5530,0
2005-04-12,45.512,45.512,44.451,45.419,8923,0
2005-04-13,45.384,45.439,44.785,44.785,1625,0
2005-04-14,45.326,45.549,44.18,44.235,4374,0
2005-04-15,45.103,45.178,44.216,44.665,13216,0
2005-04-18,44.067,45.738,44.067,45.076,9315,0
2005-04-19,45.979,45.979,44.708,44.983,6089,0
2005-04-20,44.683,44.804,43.92,44.216,6142,0
2005-04-21,44.004,46.146,43.92,44.562,12887,0
2005-04-22,43.92,44.358,43.92,43.92,5697,0
2005-04-25,44.012,44.339,44.012,44.244,2578,0
2005-04-26,43.977,44.451,43.977,44.124,8823,0
2005-04-27,44.022,44.254,44.022,44.254,964,0
2005-04-28,45.634,45.634,43.92,43.92,8728,0
2005-04-29,44.581,45.439,44.012,45.439,8049,0
2005-05-02,45.549,45.682,45.467,45.682,5086,0
2005-05-03,45.672,45.82,45.038,45.596,4791,0
2005-05-04,45.857,45.96,45.122,45.783,20581,0
2005-05-05,46.035,46.064,45.14,45.476,7402,0
2005-05-06,44.861,45.241,44.814,44.814,18829,0
2005-05-09,44.918,45.512,44.833,44.926,6368,0
