Date,Open,High,Low,Close,Volume,OpenInt
2012-05-08,17.157,17.157,16.473,16.741,34544,0
2012-05-09,16.659,17.718,16.326,17.259,24225,0
2012-05-10,17.775,17.804,16.902,16.902,23090,0
2012-05-11,16.678,17.325,16.678,17.147,11454,0
2012-05-14,16.922,16.978,16.395,16.615,51458,0
2012-05-15,16.424,16.503,15.253,15.57,67039,0
2012-05-16,15.429,16.126,15.29,15.636,18645,0
2012-05-17,15.787,15.916,15.493,15.645,10997,0
2012-05-18,15.767,15.889,15.108,15.186,14540,0
2012-05-21,15.024,15.024,14.708,14.776,20642,0
2012-05-22,15.024,15.777,15.024,15.206,16957,0
2012-05-23,14.906,15.468,14.556,15.015,18019,0
2012-05-24,15.108,15.429,14.839,15.429,10550,0
2012-05-25,15.176,15.777,15.176,15.655,6659,0
2012-05-29,15.832,15.832,15.484,15.777,5386,0
2012-05-30,15.758,15.758,15.243,15.393,7899,0
2012-05-31,15.484,15.702,14.921,15.458,40336,0
2012-06-01,15.347,15.692,15.31,15.692,37223,0
2012-06-04,15.458,15.805,15.176,15.636,28662,0
2012-06-05,15.824,16.548,15.739,16.512,10324,0
2012-06-06,16.633,17.363,16.633,16.643,78623,0
2012-06-07,16.838,16.838,15.477,15.512,74730,0
2012-06-08,15.273,15.664,15.215,15.56,53843,0
2012-06-11,15.56,15.889,15.484,15.541,158445,0
2012-06-12,15.645,15.645,15.347,15.403,87378,0
2012-06-13,15.263,15.56,15.253,15.319,242127,0
2012-06-14,15.365,15.995,15.015,15.805,154045,0
2012-06-15,15.796,15.796,15.493,15.722,90335,0
2012-06-18,15.374,17.832,15.374,17.646,377586,0
2012-06-19,17.832,18.216,17.269,17.551,266320,0
2012-06-20,17.317,17.718,16.922,17.465,112665,0
2012-06-21,17.465,17.671,16.153,16.272,381012,0
2012-06-22,16.586,16.779,16.08,16.483,4405862,0
2012-06-25,15.975,15.975,15.328,15.493,456826,0
2012-06-26,15.609,15.712,14.886,15.234,132271,0
2012-06-27,15.206,15.215,14.792,14.83,77755,0
2012-06-28,14.573,14.699,8.0244,11.28,8182962,0
2012-06-29,11.882,13.215,11.834,13.036,977607,0
2012-07-02,12.791,13.036,12.265,12.699,107969,0
2012-07-03,13.054,13.551,12.905,13.169,388316,0
2012-07-05,13.206,13.91,13.15,13.617,191557,0
2012-07-06,13.328,13.411,12.999,13.196,125296,0
2012-07-09,13.15,13.206,12.596,12.905,314217,0
2012-07-10,12.989,13.026,11.91,12.127,189848,0
2012-07-11,12.171,12.531,12.006,12.197,253565,0
2012-07-12,11.9,12.237,11.685,12.161,193770,0
2012-07-13,12.255,12.409,11.844,11.891,180526,0
2012-07-16,11.938,12.006,11.721,11.749,99302,0
2012-07-17,11.853,12.265,11.572,12.265,74550,0
2012-07-18,12.313,12.64,12.189,12.493,63430,0
2012-07-19,12.587,13.299,12.503,13.15,115036,0
2012-07-20,13.073,13.561,12.886,13.111,114116,0
2012-07-23,12.811,12.999,12.578,12.943,97934,0
2012-07-24,13.017,13.131,12.727,13.026,114223,0
2012-07-25,13.265,13.701,13.178,13.344,103778,0
2012-07-26,13.797,14.122,13.627,13.854,145075,0
2012-07-27,14.015,14.444,13.758,14.305,282754,0
2012-07-30,14.49,14.49,13.674,14.189,112701,0
2012-07-31,14.208,14.333,13.701,14.286,168904,0
