Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,15.645,15.93,15.636,15.645,19347,0
2005-02-28,15.89,15.981,15.645,15.89,7991,0
2005-03-01,15.914,16.201,15.89,15.914,68607,0
2005-03-02,15.055,15.527,15.055,15.055,54601,0
2005-03-03,15.249,15.283,15.132,15.249,9514,0
2005-03-04,15.721,15.771,15.417,15.721,41545,0
2005-03-07,15.947,15.99,15.696,15.947,26114,0
2005-03-08,16.284,16.369,16.066,16.284,19265,0
2005-03-09,16.336,16.421,16.277,16.336,7360,0
2005-03-10,15.401,15.99,15.391,15.401,80241,0
2005-03-11,15.838,15.838,15.518,15.838,5963,0
2005-03-14,15.965,15.998,15.914,15.965,4132,0
2005-03-15,16.208,16.528,16.208,16.208,5257,0
2005-03-16,16.04,16.226,16.04,16.04,6882,0
2005-03-17,15.99,16.082,15.99,15.99,17882,0
2005-03-18,16.167,16.301,16.048,16.167,20180,0
2005-03-21,15.82,16.056,15.812,15.82,32477,0
2005-03-22,15.678,15.914,15.678,15.678,22338,0
2005-03-23,14.997,15.258,14.877,14.997,27539,0
2005-03-24,14.894,14.971,14.894,14.894,14005,0
2005-03-28,14.54,14.741,14.28,14.54,37860,0
2005-03-29,14.036,14.776,14.036,14.036,18041,0
2005-03-30,14.71,14.71,14.237,14.71,62556,0
2005-03-31,15.536,15.543,14.894,15.536,28073,0
2005-04-01,15.619,15.855,15.619,15.619,5877,0
2005-04-04,15.738,15.738,15.738,15.738,463,0
2005-04-05,15.408,15.458,15.331,15.408,38851,0
2005-04-06,15.798,15.798,15.704,15.798,1199,0
2005-04-07,15.714,15.771,15.714,15.714,5539,0
2005-04-08,15.627,15.806,15.627,15.627,12108,0
2005-04-11,15.611,15.611,15.611,15.611,237,0
2005-04-12,14.919,15.072,14.919,14.919,11634,0
2005-04-13,14.045,14.843,14.045,14.045,18991,0
2005-04-14,13.363,13.731,13.185,13.363,47729,0
2005-04-15,13.191,13.613,13.191,13.191,12938,0
2005-04-18,13.396,13.648,13.058,13.396,13651,0
2005-04-19,14.096,14.096,13.85,14.096,5817,0
2005-04-20,13.944,14.289,13.944,13.944,46295,0
2005-04-21,13.917,13.993,13.817,13.917,123683,0
2005-04-22,14.137,14.204,13.977,14.137,17637,0
2005-04-25,14.304,14.304,14.045,14.304,1304,0
2005-04-26,14.262,14.262,13.951,14.262,23978,0
2005-04-27,14.011,14.011,14.011,14.011,237,0
2005-04-28,13.176,13.176,13.135,13.176,1425,0
2005-04-29,13.447,13.555,13.421,13.447,31574,0
2005-05-02,13.977,13.977,13.606,13.977,1105,0
2005-05-03,13.731,13.731,13.698,13.731,4750,0
2005-05-04,13.866,13.866,13.757,13.866,2611,0
2005-05-05,13.75,13.959,13.75,13.75,1507,0
2005-05-06,13.917,13.935,13.774,13.917,5862,0
2005-05-09,13.935,13.986,13.909,13.935,7027,0
2005-05-10,14.347,14.347,14.036,14.347,1663,0
2005-05-11,13.59,13.59,13.59,13.59,593,0
2005-05-12,12.973,12.973,12.973,12.973,237,0
2005-05-13,12.806,12.957,12.806,12.806,24910,0
2005-05-16,11.869,12.208,11.869,11.869,27778,0
2005-05-17,12.603,12.603,11.973,12.603,3038,0
2005-05-18,13.051,13.051,12.696,13.051,3410,0
2005-05-19,12.932,13.091,12.832,12.932,4038,0
2005-05-20,12.391,12.391,12.342,12.391,1902,0
2005-05-23,12.452,12.484,12.452,12.452,3086,0
2005-05-24,12.738,12.814,12.738,12.738,27301,0
2005-05-25,12.603,12.637,12.586,12.603,14837,0
2005-05-26,13.091,13.091,12.881,13.091,1663,0
2005-05-27,13.631,13.631,13.294,13.631,4038,0
2005-06-01,14.096,14.096,13.826,14.096,26588,0
