Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,17.711,18.255,17.593,18.255,128722,0
2005-02-28,18.255,18.255,17.957,18.191,118097,0
2005-03-01,18.25,18.932,18.23,18.791,151401,0
2005-03-02,18.791,19.063,18.58,18.605,136894,0
2005-03-03,18.605,18.962,18.605,18.892,63341,0
2005-03-04,18.991,19.576,18.917,19.498,111558,0
2005-03-07,19.576,19.895,19.576,19.88,129335,0
2005-03-08,19.797,19.92,19.601,19.641,140164,0
2005-03-09,19.455,19.797,19.137,19.137,83160,0
2005-03-10,19.233,19.412,18.678,18.796,115442,0
2005-03-11,18.698,18.942,18.698,18.863,78662,0
2005-03-14,18.819,19.576,18.771,19.357,79479,0
2005-03-15,19.431,19.717,19.431,19.626,123411,0
2005-03-16,19.551,19.551,18.791,18.937,69674,0
2005-03-17,18.986,19.186,18.844,18.853,63747,0
2005-03-18,18.942,19.048,18.451,19.014,213717,0
2005-03-21,18.942,19.048,18.844,19.048,54964,0
2005-03-22,19.048,19.46,18.976,18.981,49243,0
2005-03-23,18.981,19.058,18.796,18.912,91127,0
2005-03-24,18.912,19.421,18.868,19.243,77439,0
2005-03-28,19.268,19.67,19.268,19.503,140164,0
2005-03-29,19.431,19.66,18.545,18.6,123000,0
2005-03-30,18.673,19.576,18.673,19.576,107676,0
2005-03-31,19.576,19.576,18.815,19.058,93578,0
2005-04-01,19.038,19.201,18.653,18.917,99298,0
2005-04-04,18.819,19.503,18.815,19.382,60682,0
2005-04-05,19.382,19.566,19.382,19.455,99504,0
2005-04-06,19.528,19.895,19.382,19.382,102364,0
2005-04-07,19.417,19.717,19.402,19.675,333041,0
2005-04-08,19.67,19.777,19.238,19.238,114215,0
2005-04-11,19.287,19.332,18.999,19.153,89085,0
2005-04-12,19.028,19.162,18.8,19.038,111969,0
2005-04-13,18.991,19.206,18.6,18.624,65789,0
2005-04-14,18.205,18.21,16.228,16.243,759461,0
2005-04-15,16.263,16.37,15.295,15.491,387393,0
2005-04-18,15.511,15.638,15.001,15.501,191855,0
2005-04-19,15.663,15.687,15.344,15.564,152220,0
2005-04-20,15.589,15.589,15.044,15.044,264595,0
2005-04-21,15.049,15.491,15.049,15.088,233538,0
2005-04-22,15.059,15.064,14.666,15.044,256624,0
2005-04-25,15.025,15.32,15.001,15.275,273587,0
2005-04-26,15.245,15.477,15.148,15.33,260918,0
2005-04-27,15.33,15.564,15.074,15.098,273177,0
2005-04-28,15.103,15.467,15.03,15.034,147931,0
2005-04-29,15.069,15.32,15.025,15.236,183887,0
2005-05-02,15.172,15.506,15.049,15.383,126475,0
2005-05-03,15.197,15.443,15.074,15.255,106246,0
2005-05-04,15.172,15.663,15.069,15.663,126679,0
2005-05-05,15.589,15.589,15.088,15.241,118097,0
2005-05-06,16.2,18.476,16.176,17.545,671398,0
2005-05-09,17.424,17.618,17.206,17.424,355723,0
2005-05-10,17.303,17.593,17.254,17.479,214131,0
2005-05-11,17.429,17.618,17.351,17.54,195332,0
2005-05-12,17.54,17.746,17.215,17.404,208004,0
2005-05-13,17.376,17.706,17.244,17.258,170813,0
2005-05-16,17.181,17.424,17.107,17.112,194516,0
