Date,Open,High,Low,Close,Volume,OpenInt
2015-05-27,5.57,5.9,5.57,5.78,800,0
2015-05-28,5.7,6.23,5.61,5.7498,11675,0
2015-05-29,5.6,5.6,5.6,5.6,2000,0
2015-06-01,5.5,5.5,4.96,4.96,1300,0
2015-06-02,5,5.27,5,5.2,4300,0
2015-06-03,5.2,5.2,5.2,5.2,200,0
2015-06-04,5.2,5.2,5.2,5.2,600,0
2015-06-05,5.01,5.01,5,5,4000,0
2015-06-12,4.8,4.85,4.75,4.85,11200,0
2015-06-15,4.9,4.9,4.9,4.9,100,0
2015-06-16,5,5,4.75,4.75,700,0
2015-06-17,4.76,4.76,4.76,4.76,200,0
2015-06-22,4.77,4.77,4.77,4.77,200,0
2015-06-23,4.77,4.77,4.77,4.77,300,0
2015-06-24,4.98,4.98,4.98,4.98,300,0
2015-06-26,4.77,4.77,4.77,4.77,100,0
2015-06-29,4.85,5,4.85,4.98,2700,0
2015-06-30,4.9,4.9,4.9,4.9,100,0
2015-07-01,4.91,4.99,4.91,4.95,1000,0
2015-07-02,4.95,5.15,4.95,4.95,1600,0
2015-07-06,4.95,4.95,4.9,4.93,2400,0
2015-07-07,4.96,5,4.96,4.96,500,0
2015-07-09,5.43,5.43,5.43,5.43,400,0
2015-07-10,5.23,5.23,5,5.01,2800,0
2015-07-13,4.95,4.96,4.95,4.95,4500,0
2015-07-14,4.9,4.9,4.88,4.88,200,0
2015-07-15,4.85,4.85,4.75,4.78,9215,0
2015-07-16,4.75,4.75,4.7,4.7,2900,0
2015-07-17,4.48,4.48,4.3,4.3,3400,0
2015-07-20,4.3,4.3,4.07,4.1,2800,0
2015-07-21,4.05,4.05,3.86,3.86,1700,0
2015-07-22,3.88,4.11,3.86,4.11,1800,0
2015-07-23,4.05,4.05,4.01,4.01,900,0
2015-07-24,4.03,4.03,4,4,1300,0
2015-07-29,4.1,4.1,4.05,4.05,400,0
2015-07-30,4.05,4.1,4.05,4.05,500,0
2015-07-31,4.11,4.11,4.08,4.08,2400,0
2015-08-03,4.0501,4.0501,4.0501,4.0501,200,0
2015-08-04,4.05,4.05,4,4,5300,0
2015-08-06,4,4,4,4,118,0
2015-08-07,4.01,4.02,4,4,5800,0
2015-08-10,4,4.01,4,4,2700,0
2015-08-11,4,4.03,4,4,5615,0
2015-08-12,4,4.14,3.8,3.8,4200,0
2015-08-14,3.51,3.76,3.5,3.75,7200,0
2015-08-17,3.75,3.75,3.75,3.75,100,0
2015-08-18,3.75,3.75,3.7,3.7,3600,0
2015-08-19,3.75,3.77,3.75,3.75,2100,0
2015-08-20,3.75,3.75,3.75,3.75,1200,0
2015-08-21,3.75,3.9,3.75,3.75,2500,0
2015-08-24,3.75,3.9,3.7,3.75,4539,0
2015-08-26,3.73,3.73,3.55,3.55,2000,0
2015-08-28,3.75,3.75,3.75,3.75,1300,0
2015-09-01,3.75,3.75,3.75,3.75,600,0
2015-09-02,3.76,3.92,3.75,3.75,1300,0
2015-09-03,3.8,3.87,3.8,3.85,500,0
2015-09-08,3.81,3.9,3.75,3.8,104100,0
2015-09-09,3.71,3.75,3.71,3.75,1200,0
2015-09-10,3.85,3.85,3.85,3.85,160,0
2015-09-11,3.8,3.85,3.8,3.85,2200,0
2015-09-14,3.85,3.85,3.85,3.85,200,0
2015-09-16,3.87,3.87,3.85,3.85,1600,0
2015-09-17,3.85,3.85,3.85,3.85,200,0
2015-09-18,3.85,3.85,3.85,3.85,1000,0
2015-09-21,3.86,3.86,3.86,3.86,1000,0
2015-09-22,3.81,3.81,3.81,3.81,400,0
