Date,Open,High,Low,Close,Volume,OpenInt
2015-06-30,22.891,22.937,22.818,22.864,135212,0
2015-07-01,22.699,22.699,22.681,22.699,15654,0
2015-07-02,22.782,22.782,22.782,22.782,219,0
2015-07-06,22.536,22.536,22.536,22.536,1094,0
2015-07-07,22.672,22.672,22.672,22.672,219,0
2015-07-08,22.562,22.562,22.562,22.562,1312,0
2015-07-09,22.371,22.444,22.371,22.389,1642,0
2015-07-10,22.47,22.581,22.47,22.572,87469,0
2015-07-13,22.764,22.928,22.717,22.845,3723,0
2015-07-17,22.946,22.946,22.435,22.444,548,0
2015-07-20,22.379,22.379,22.005,22.005,2189,0
2015-07-21,21.923,21.923,21.923,21.923,548,0
2015-07-23,21.923,21.923,21.256,21.34,116479,0
2015-07-24,21.284,21.375,21.284,21.32,21457,0
2015-07-27,21.311,21.356,21.311,21.356,15325,0
2015-07-28,21.356,21.356,21.356,21.356,658,0
2015-07-30,21.85,21.85,21.85,21.85,876,0
2015-07-31,21.904,21.904,21.841,21.841,3613,0
2015-08-03,21.841,21.841,21.841,21.841,109,0
2015-08-05,21.841,21.841,21.841,21.841,109,0
2015-08-06,20.764,20.764,20.206,20.342,14014,0
2015-08-07,20.726,20.726,20.515,20.515,2846,0
2015-08-10,20.515,20.515,20.515,20.515,109,0
2015-08-11,20.819,20.909,20.819,20.909,437,0
2015-08-13,20.909,20.909,20.909,20.909,109,0
2015-08-17,21.558,21.685,21.558,21.685,876,0
2015-08-18,21.604,21.604,21.356,21.402,5693,0
2015-08-19,21.093,21.093,21.093,21.093,328,0
2015-08-20,20.9,20.9,20.872,20.872,767,0
2015-08-21,20.216,20.424,20.216,20.325,548,0
2015-08-24,19.795,20.022,19.795,20.022,1369,0
2015-08-25,19.904,19.904,19.32,19.32,2520,0
2015-08-26,19.349,19.392,19.301,19.392,548,0
2015-08-27,20.9,20.9,20.416,20.416,219,0
2015-08-28,20.525,20.726,20.525,20.697,3613,0
2015-08-31,20.424,20.789,20.424,20.789,1312,0
2015-09-01,20.361,20.361,20.333,20.333,437,0
2015-09-02,20.059,20.059,19.987,19.987,219,0
2015-09-03,20.068,20.325,20.068,20.225,2298,0
2015-09-04,19.96,19.96,19.922,19.932,1094,0
2015-09-08,20.197,20.197,20.197,20.197,109,0
2015-09-09,20.159,20.159,20.159,20.159,109,0
2015-09-10,19.942,19.942,19.904,19.922,1221,0
2015-09-11,19.522,19.522,19.33,19.33,767,0
2015-09-14,19.349,19.349,19.257,19.273,16531,0
2015-09-15,19.34,19.34,19.34,19.34,109,0
2015-09-16,19.457,19.457,19.457,19.457,109,0
2015-09-17,19.821,19.821,19.795,19.795,219,0
2015-09-18,19.795,19.795,19.758,19.758,1094,0
2015-09-21,19.812,20.015,19.778,20.015,437,0
2015-09-22,19.758,19.758,19.704,19.748,437,0
2015-09-23,19.641,19.641,19.142,19.142,325,0
2015-09-24,18.838,18.838,18.819,18.819,231,0
2015-09-25,19.363,19.363,19.115,19.125,1843,0
2015-09-28,18.755,18.755,18.755,18.755,108,0
2015-09-29,18.432,18.432,17.628,17.628,1843,0
2015-09-30,18.145,18.145,18.11,18.11,2276,0
2015-10-01,18.681,18.681,18.543,18.543,1734,0
2015-10-02,18.708,19.208,18.708,19.208,217,0
2015-10-05,19.697,19.697,19.697,19.697,194,0
2015-10-06,19.946,20.214,19.946,20.075,17553,0
2015-10-07,20.5,20.5,20.5,20.5,108,0
2015-10-08,20.454,20.454,20.454,20.454,325,0
2015-10-09,20.677,20.677,20.648,20.648,325,0
2015-10-12,20.49,20.49,20.444,20.444,217,0
2015-10-13,20.278,20.278,20.278,20.278,867,0
2015-10-14,20.241,20.241,20.214,20.214,217,0
2015-10-15,20.084,20.342,20.084,20.342,1083,0
2015-10-16,20.638,20.638,20.527,20.527,1408,0
2015-10-19,20.25,20.25,20.195,20.195,325,0
2015-10-20,20.342,20.342,20.342,20.342,108,0
2015-10-21,20.297,20.297,20.297,20.297,108,0
2015-10-22,19.964,19.964,19.761,19.761,1408,0
2015-10-23,19.679,19.679,19.679,19.679,975,0
2015-10-26,19.372,19.457,19.281,19.29,3357,0
2015-10-27,19.078,19.078,19.041,19.041,433,0
2015-10-28,19.328,19.328,19.318,19.318,6392,0
2015-11-02,19.697,19.697,19.65,19.65,5469,0
2015-11-04,19.65,19.65,19.65,19.65,3,0
2015-11-06,18.765,18.765,18.737,18.745,113329,0
2015-11-10,18.663,18.663,18.588,18.588,325,0
2015-11-12,18.588,18.588,18.588,18.588,108,0
2015-11-13,17.906,17.906,17.897,17.897,217,0
2015-11-18,17.897,17.897,17.897,17.897,108,0
2015-11-20,18.476,18.476,18.476,18.476,13002,0
2015-11-23,18.265,18.359,18.258,18.359,1516,0
2015-11-24,18.359,18.359,18.359,18.359,542,0
2015-11-25,18.249,18.274,18.249,18.274,5633,0
2015-11-30,18.154,18.154,18.072,18.145,686795,0
