Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,32.275,32.967,32.166,32.86,1844353,0
2005-02-28,32.816,32.833,32.183,32.435,2283705,0
2005-03-01,32.461,32.761,32.461,32.469,2418261,0
2005-03-02,32.469,32.539,32.235,32.327,2140402,0
2005-03-03,32.369,32.504,31.827,32.089,2304735,0
2005-03-04,32.335,32.575,31.864,32.369,3314214,0
2005-03-07,32.342,32.599,32.183,32.486,1689949,0
2005-03-08,32.369,32.486,32.122,32.243,2628901,0
2005-03-09,32.089,32.284,31.905,31.996,1395788,0
2005-03-10,32.115,32.52,32.024,32.52,1954105,0
2005-03-11,32.406,32.415,31.978,32.074,1798989,0
2005-03-14,32.082,32.335,31.929,32.284,1956586,0
2005-03-15,32.284,32.327,31.954,32.015,1717120,0
2005-03-16,31.92,31.92,31.354,31.775,2719395,0
2005-03-17,31.759,31.827,31.398,31.615,1421424,0
2005-03-18,31.559,31.702,31.024,31.284,4031774,0
2005-03-21,31.284,31.363,30.677,30.819,2705568,0
2005-03-22,30.863,31.184,30.362,30.379,2186952,0
2005-03-23,30.379,30.931,30.379,30.904,2713487,0
2005-03-24,30.939,30.989,30.627,30.692,2565343,0
2005-03-28,30.812,31.132,30.77,30.819,2293391,0
2005-03-29,30.685,31.066,30.677,30.77,2378924,0
2005-03-30,30.896,31.108,30.499,31.075,2943615,0
2005-03-31,31.159,31.193,30.904,31.091,2213649,0
2005-04-01,31.124,31.175,29.415,29.931,6099998,0
2005-04-04,30.048,30.346,29.506,30.074,4731383,0
2005-04-05,30.066,30.137,29.798,29.863,2718567,0
2005-04-06,29.94,30.235,29.821,29.991,2034320,0
2005-04-07,29.922,30.202,29.829,30.128,2434685,0
2005-04-08,30.083,30.271,29.798,29.863,3236597,0
2005-04-11,29.967,29.967,29.711,29.752,2605866,0
2005-04-12,29.752,30.152,29.506,30.007,4917448,0
2005-04-13,29.967,30.048,29.442,29.483,2835286,0
2005-04-14,29.483,29.551,29.346,29.389,2767712,0
2005-04-15,29.296,29.373,28.855,28.863,3004578,0
2005-04-18,28.711,29.069,28.711,28.941,3197256,0
2005-04-19,28.917,29.094,28.73,28.863,2767712,0
2005-04-20,28.855,29.119,28.526,28.535,2075075,0
2005-04-21,28.78,29.152,28.526,29.144,1827461,0
2005-04-22,28.991,29.415,28.917,29.16,2298468,0
2005-04-25,29.458,29.721,29.22,29.415,1901884,0
2005-04-26,29.29,29.61,29.025,29.111,1856993,0
2005-04-27,28.926,29.863,28.908,29.838,3752973,0
2005-04-28,29.667,29.967,29.584,29.584,1768627,0
2005-04-29,29.752,30.355,29.559,30.305,4991876,0
2005-05-02,30.474,30.575,30.262,30.456,2216012,0
2005-05-03,31.327,31.445,30.762,31.211,5478717,0
2005-05-04,31.318,32.309,31.276,31.996,4628017,0
2005-05-05,32.04,32.335,31.784,32.243,3098140,0
2005-05-06,32.335,32.387,32.015,32.097,2937355,0
2005-05-09,32.175,32.342,31.954,32.342,2567942,0
2005-05-10,32.015,32.335,31.72,31.92,2894705,0
2005-05-11,31.92,32.378,31.72,32.3,2696006,0
2005-05-12,32.267,32.461,32.048,32.074,2644967,0
2005-05-13,32.166,32.166,31.318,31.551,3072270,0
2005-05-16,31.506,31.895,31.15,31.872,2236920,0
2005-05-17,31.676,32.166,31.479,32.089,2738768,0
2005-05-18,32.097,32.3,31.827,31.895,7277823,0
2005-05-19,31.962,32.157,31.809,32.097,3059156,0
2005-05-20,32.097,32.097,31.607,31.658,3300631,0
2005-05-23,31.954,32.327,31.775,32.015,2822055,0
2005-05-24,32.122,32.318,31.97,32.031,3598568,0
2005-05-25,32.048,32.122,31.845,31.987,2691393,0
2005-05-26,32.089,32.327,32.015,32.227,1995568,0
2005-05-27,32.352,32.415,32.157,32.291,1587289,0
2005-05-31,32.378,32.378,32.048,32.065,2942199,0
2005-06-01,32.082,32.406,32.082,32.3,2330014,0
2005-06-02,32.3,32.539,32.14,32.461,2521987,0
2005-06-03,32.461,32.655,32.318,32.486,2663394,0
2005-06-06,32.486,32.584,32.352,32.435,2610234,0
2005-06-07,32.461,32.886,32.352,32.639,2237867,0
2005-06-08,32.777,32.869,32.614,32.717,4272302,0
2005-06-09,32.717,33.276,32.599,33.233,3852916,0
2005-06-10,33.25,33.25,33.002,33.138,4049971,0
2005-06-13,33.056,33.138,32.816,32.896,2157415,0
2005-06-14,32.886,33.25,32.851,33.056,1966271,0
2005-06-15,33.18,33.217,32.807,33.107,1644583,0
2005-06-16,33.107,33.107,32.877,32.953,1432647,0
2005-06-17,33.199,33.208,32.877,32.921,2832332,0
2005-06-20,32.816,33.002,32.639,32.905,1347706,0
2005-06-21,32.93,33.056,32.798,32.886,1277061,0
2005-06-22,32.886,33.048,32.655,32.798,2476742,0
2005-06-23,32.798,32.816,32.397,32.469,1830176,0
2005-06-24,32.397,32.639,32.284,32.3,1630525,0
2005-06-27,32.227,32.798,32.14,32.655,2420274,0
2005-06-28,32.673,32.953,32.378,32.938,1801117,0
2005-06-29,33.122,33.775,33.115,33.749,4342832,0
2005-06-30,33.775,33.9,33.453,33.462,4677279,0
2005-07-01,33.537,33.647,33.418,33.52,1732950,0
2005-07-05,33.386,34.171,33.351,34.097,2367347,0
2005-07-06,33.96,34.157,33.9,33.927,2048376,0
2005-07-07,33.606,34.241,33.395,34.241,2689978,0
2005-07-08,34.027,34.036,33.554,33.884,5093708,0
2005-07-11,34.113,34.687,34.003,34.639,4569774,0
2005-07-12,34.639,34.824,34.427,34.696,3383678,0
2005-07-13,34.494,34.664,34.384,34.553,2736994,0
2005-07-14,34.833,35.096,34.757,34.864,2524467,0
2005-07-15,34.873,35.146,34.873,35.096,2184470,0
2005-07-18,35.102,35.256,34.951,35.13,1581264,0
2005-07-19,35.299,35.467,35.002,35.35,2055111,0
2005-07-20,35.13,35.477,34.968,35.204,1923033,0
2005-07-21,35.111,35.121,34.544,34.671,3006941,0
2005-07-22,34.605,34.873,34.41,34.782,2041052,0
2005-07-25,34.704,34.833,34.374,34.494,1362710,0
2005-07-26,34.502,34.687,34.366,34.553,1720309,0
2005-07-27,34.696,35.077,34.605,35.052,2843909,0
2005-07-28,35.932,36.491,35.798,36.441,5755393,0
2005-07-29,36.695,37.455,36.678,37.261,5083785,0
2005-08-01,37.44,37.65,37.253,37.49,4179918,0
2005-08-02,37.668,38.041,37.406,37.779,2933105,0
2005-08-03,37.711,37.981,37.499,37.786,2715023,0
2005-08-04,37.939,38.269,37.686,37.864,3704301,0
2005-08-05,37.957,37.957,37.043,37.253,3308898,0
2005-08-08,37.472,37.516,36.906,36.956,1940282,0
2005-08-09,37.455,37.711,37.33,37.583,3800110,0
2005-08-10,37.677,38.286,37.559,37.659,2658552,0
2005-08-11,37.752,37.88,37.449,37.795,2678638,0
2005-08-12,37.795,37.907,37.499,37.583,2500603,0
2005-08-15,37.625,37.872,37.49,37.743,2654417,0
2005-08-16,37.743,37.77,37.22,37.302,2372546,0
2005-08-17,37.228,37.33,37.034,37.067,3972232,0
2005-08-18,37.007,37.294,36.66,37.17,5532583,0
2005-08-19,37.33,37.659,37.178,37.533,2744200,0
2005-08-22,37.668,38.336,37.668,38.211,4304908,0
2005-08-23,38.286,38.329,37.964,38.116,2289020,0
2005-08-24,38.15,38.228,37.55,37.6,2250744,0
2005-08-25,37.819,37.828,37.472,37.752,2270943,0
2005-08-26,37.567,38.125,37.312,37.872,2716675,0
2005-08-29,37.819,37.819,36.374,37.472,4957971,0
