Date,Open,High,Low,Close,Volume,OpenInt
2006-06-12,0.7,0.7,0.65,0.7,22500,0
2006-06-13,0.65,0.65,0.65,0.65,3000,0
2006-06-14,0.69,0.69,0.69,0.69,150,0
2006-06-15,0.66,0.68,0.62,0.68,11400,0
2006-06-16,0.55,0.68,0.55,0.68,26142,0
2006-06-19,0.4,0.6,0.4,0.6,49303,0
2006-06-20,0.68,0.68,0.65,0.65,2200,0
2006-06-21,0.65,0.7,0.62,0.7,24400,0
2006-06-22,0.6,0.6,0.6,0.6,9000,0
2006-06-23,0.62,0.65,0.6,0.6,35500,0
2006-06-26,0.6,0.6,0.6,0.6,10000,0
2006-06-27,0.64,0.64,0.64,0.64,300,0
2006-06-28,0.6,0.6,0.6,0.6,2000,0
2006-06-29,0.56,0.56,0.56,0.56,20000,0
2006-06-30,0.6,0.6,0.6,0.6,2000,0
2006-07-05,0.52,0.52,0.48,0.48,2500,0
2006-07-06,0.52,0.52,0.51,0.51,7500,0
2006-07-07,0.51,0.53,0.51,0.53,8100,0
2006-07-10,0.51,0.53,0.51,0.51,12300,0
2006-07-11,0.51,0.53,0.51,0.52,28000,0
2006-07-12,0.52,0.56,0.52,0.56,15000,0
2006-07-13,0.53,0.53,0.51,0.51,29300,0
2006-07-14,0.53,0.53,0.51,0.51,10200,0
2006-07-18,0.51,0.51,0.51,0.51,5000,0
2006-07-19,0.51,0.51,0.48,0.48,8450,0
2006-07-20,0.51,0.51,0.51,0.51,3500,0
2006-07-21,0.51,0.51,0.51,0.51,5000,0
2006-07-24,0.5,0.52,0.5,0.51,20100,0
2006-07-25,0.5,0.5,0.5,0.5,4000,0
2006-07-26,0.52,0.52,0.51,0.51,45000,0
2006-07-27,0.5,0.51,0.5,0.5,54300,0
2006-07-31,0.49,0.5,0.49,0.5,16400,0
2006-08-01,0.49,0.49,0.48,0.49,46900,0
2006-08-04,0.5,0.51,0.42,0.5,62500,0
2006-08-07,0.45,0.49,0.45,0.49,8000,0
2006-08-08,0.45,0.45,0.45,0.45,10000,0
2006-08-09,0.43,0.43,0.43,0.43,10860,0
2006-08-10,0.44,0.44,0.44,0.44,5000,0
2006-08-11,0.45,0.5,0.45,0.5,5000,0
2006-08-14,0.48,0.48,0.46,0.48,26220,0
2006-08-15,0.48,0.48,0.44,0.45,82500,0
2006-08-16,0.45,0.45,0.42,0.43,49400,0
2006-08-17,0.43,0.43,0.38,0.38,48500,0
2006-08-18,0.4,0.4,0.38,0.4,63600,0
2006-08-21,0.45,0.45,0.4,0.4,7950,0
2006-08-22,0.4,0.4,0.4,0.4,8000,0
2006-08-23,0.4,0.4,0.4,0.4,5200,0
2006-08-24,0.45,0.45,0.43,0.43,45998,0
2006-08-25,0.4,0.48,0.4,0.45,6200,0
2006-08-28,0.4,0.4,0.4,0.4,5000,0
2006-08-29,0.4,0.4,0.4,0.4,5000,0
2006-08-30,0.41,0.43,0.41,0.43,18700,0
2006-08-31,0.43,0.43,0.43,0.43,24000,0
2006-09-01,0.43,0.43,0.43,0.43,40000,0
2006-09-05,0.42,0.43,0.41,0.41,35000,0
2006-09-06,0.43,0.43,0.38,0.4,33682,0
2006-09-07,0.42,0.42,0.4,0.4,12100,0
2006-09-08,0.4,0.42,0.4,0.42,25600,0
2006-09-11,0.4,0.4,0.39,0.39,13722,0
2006-09-12,0.41,0.41,0.39,0.4,14400,0
2006-09-13,0.39,0.41,0.39,0.4,15950,0
2006-09-14,0.395,0.395,0.39,0.39,5500,0
2006-09-15,0.4,0.42,0.4,0.41,77000,0
2006-09-18,0.4,0.4,0.4,0.4,200,0
2006-09-20,0.4,0.41,0.4,0.41,41000,0
2006-09-21,0.4,0.41,0.4,0.41,41000,0
2006-09-22,0.4,0.42,0.4,0.4,34900,0
2006-09-25,0.4,0.41,0.35,0.39,52154,0
2006-09-26,0.37,0.4,0.37,0.4,34300,0
2006-09-27,0.42,0.42,0.42,0.42,58343,0
2006-09-28,0.38,0.38,0.38,0.38,900,0
2006-10-03,0.38,0.38,0.38,0.38,700,0
2006-10-04,0.38,0.38,0.38,0.38,1000,0
2006-10-05,0.42,0.42,0.42,0.42,2000,0
2006-10-09,0.42,0.42,0.42,0.42,2000,0
2006-10-11,0.39,0.39,0.39,0.39,8000,0
2006-10-12,0.39,0.39,0.39,0.39,8000,0
2006-10-18,0.4,0.4,0.39,0.39,36500,0
2006-10-19,0.39,0.52,0.39,0.43,85700,0
2006-10-20,0.52,0.52,0.52,0.52,13500,0
2006-10-23,0.49,0.49,0.46,0.46,15400,0
2006-10-24,0.43,0.48,0.43,0.48,6500,0
2006-10-25,0.48,0.52,0.48,0.52,8000,0
2006-10-26,0.52,0.52,0.52,0.52,37200,0
2006-10-27,0.52,0.54,0.52,0.52,1700,0
2006-10-30,0.52,0.52,0.48,0.48,21000,0
2006-10-31,0.52,0.52,0.52,0.52,20100,0
2006-11-01,0.52,0.52,0.48,0.48,15000,0
2006-11-02,0.5,0.5,0.47,0.47,10700,0
2006-11-03,0.47,0.47,0.47,0.47,7000,0
2006-11-06,0.43,0.55,0.43,0.55,2400,0
2006-11-07,0.43,0.43,0.43,0.43,500,0
2006-11-08,0.43,0.55,0.43,0.55,32569,0
2006-11-09,0.57,0.57,0.51,0.55,27400,0
2006-11-10,0.55,0.57,0.55,0.55,25000,0
2006-11-13,0.55,0.59,0.55,0.59,34000,0
2006-11-14,0.57,0.57,0.57,0.57,3400,0
2006-11-15,0.57,0.57,0.51,0.55,23086,0
2006-11-16,0.51,0.51,0.48,0.48,12000,0
2006-11-17,0.55,0.55,0.55,0.55,5000,0
2006-11-20,0.53,0.55,0.53,0.55,24000,0
2006-11-21,0.54,0.54,0.54,0.54,2000,0
2006-11-22,0.54,0.54,0.54,0.54,22800,0
2006-11-24,0.54,0.54,0.54,0.54,4300,0
2006-11-27,0.55,0.55,0.54,0.54,33000,0
2006-11-28,0.53,0.53,0.53,0.53,5000,0
2006-11-29,0.51,0.51,0.51,0.51,10100,0
2006-11-30,0.52,0.55,0.52,0.55,27500,0
2006-12-01,0.55,0.55,0.53,0.54,27500,0
2006-12-04,0.54,0.55,0.51,0.51,38000,0
