Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,9.2902,9.3048,9.2902,9.3048,1582,0
2005-02-28,9.3704,9.3704,9.2407,9.2591,12144,0
2005-03-01,9.1934,9.2318,9.1934,9.2318,792,0
2005-03-02,9.1934,9.3615,9.13,9.2843,10158,0
2005-03-03,9.2843,9.475,9.2591,9.475,27977,0
2005-03-04,9.3867,9.3867,9.3867,9.3867,258,0
2005-03-07,9.3772,9.475,9.1934,9.2407,23304,0
2005-03-09,9.1934,9.3331,9.1934,9.3331,6596,0
2005-03-10,9.2039,9.2039,9.2039,9.2039,792,0
2005-03-14,9.2591,9.2591,9.2591,9.2591,2610,0
2005-03-15,9.2504,9.2504,9.2504,9.2504,258,0
2005-03-16,9.2039,9.2127,9.2039,9.2127,1322,0
2005-03-17,9.1934,9.2843,9.1934,9.1982,2327,0
2005-03-18,9.4343,9.4711,9.1982,9.1982,4922,0
2005-03-21,9.3772,9.3772,9.3772,9.3772,274,0
2005-03-22,9.3772,9.3772,9.2407,9.2504,2769,0
2005-03-23,9.4711,9.4711,9.1982,9.1982,4409,0
2005-03-24,9.2843,9.3965,9.0085,9.3965,12497,0
2005-03-28,9.0293,9.1579,9.0293,9.1579,6804,0
2005-03-29,9.0566,9.0566,9.0566,9.0566,3435,0
2005-03-30,9.1934,9.4343,9.0566,9.0566,9306,0
2005-03-31,9.0566,9.0566,8.7224,8.7224,12394,0
2005-04-01,8.7224,8.8062,8.7143,8.8062,3430,0
2005-04-04,8.6787,8.7143,8.5642,8.7143,5991,0
2005-04-05,8.8062,9.2961,8.8062,9.2843,16285,0
2005-04-06,9.1491,9.3615,9.1491,9.3615,8056,0
2005-04-07,9.1761,9.3517,9.1063,9.3331,8579,0
2005-04-11,9.475,9.553,9.3965,9.553,11875,0
2005-04-12,9.569,9.569,9.4343,9.475,7653,0
2005-04-13,9.7,9.7,9.517,9.536,15094,0
2005-04-14,9.728,9.728,9.569,9.569,19584,0
2005-04-15,9.673,9.774,9.673,9.774,10694,0
2005-04-18,9.774,10.228,9.56,9.662,61571,0
2005-04-19,9.774,10.052,9.766,9.937,14916,0
2005-04-20,9.774,10.305,9.4979,9.845,55353,0
2005-04-21,9.853,9.853,9.82,9.845,2444,0
2005-04-22,9.853,9.853,9.59,9.59,6069,0
2005-04-25,9.794,9.794,9.794,9.794,1582,0
2005-04-26,9.569,9.569,9.569,9.569,2002,0
2005-04-27,9.479,9.479,9.479,9.479,1008,0
2005-04-28,9.479,9.56,9.479,9.56,6611,0
2005-04-29,9.569,9.662,9.569,9.662,2457,0
2005-05-02,9.662,9.745,9.479,9.719,10985,0
2005-05-04,9.719,9.719,9.719,9.719,528,0
2005-05-05,9.628,9.719,9.4153,9.719,4493,0
2005-05-06,9.691,9.691,9.569,9.569,7785,0
2005-05-09,10.045,10.045,9.553,9.569,2903,0
2005-05-10,9.945,9.995,9.628,9.774,7011,0
2005-05-11,9.7,9.7,9.662,9.662,3421,0
2005-05-12,9.662,9.803,9.662,9.803,2410,0
2005-05-13,10.48,10.48,9.668,10.045,27189,0
2005-05-16,9.884,9.884,9.58,9.58,21802,0
2005-05-17,9.475,9.7,9.475,9.7,5576,0
2005-05-18,9.637,9.668,9.637,9.662,4462,0
2005-05-19,9.853,9.853,9.853,9.853,507,0
2005-05-20,9.508,9.845,9.508,9.761,6095,0
2005-05-23,9.662,9.662,9.58,9.58,3958,0
2005-05-24,10.045,10.045,9.58,9.58,10161,0
2005-05-25,9.58,9.58,9.508,9.508,7919,0
2005-05-26,9.508,9.508,9.3817,9.475,3430,0
2005-05-27,9.4889,9.508,9.4889,9.508,6806,0
2005-05-31,9.683,9.774,9.628,9.774,4090,0
2005-06-01,9.662,9.662,9.508,9.58,29302,0
2005-06-02,9.4889,9.4889,9.4889,9.4889,258,0
2005-06-03,9.662,9.662,9.662,9.662,8353,0
2005-06-06,9.662,9.7,9.662,9.7,2005,0
2005-06-07,9.7,9.7,9.7,9.7,2639,0
2005-06-08,9.812,9.812,9.812,9.812,528,0
2005-06-09,9.662,9.719,9.662,9.719,11294,0
2005-06-10,9.662,9.662,9.662,9.662,2136,0
2005-06-13,9.752,9.752,9.628,9.628,1848,0
2005-06-14,9.58,9.58,9.58,9.58,4243,0
2005-06-16,9.58,9.683,9.58,9.683,944,0
2005-06-17,9.508,9.736,9.508,9.691,2374,0
2005-06-20,9.803,9.803,9.691,9.761,3430,0
2005-06-21,9.761,9.761,9.628,9.628,2150,0
2005-06-24,9.628,9.628,9.58,9.58,24627,0
2005-06-27,9.662,9.662,9.662,9.662,2639,0
2005-06-28,9.569,9.654,9.569,9.572,3676,0
2005-06-29,9.4889,9.553,9.4889,9.527,12198,0
2005-06-30,9.645,9.761,9.645,9.761,4824,0
2005-07-01,9.837,9.837,9.7,9.7,4826,0
2005-07-05,9.752,9.752,9.7,9.7,3507,0
2005-07-06,9.853,9.853,9.803,9.812,5014,0
2005-07-07,9.766,9.945,9.766,9.853,10555,0
2005-07-08,10.12,10.12,9.937,10.029,2666,0
2005-07-11,10.045,10.045,9.953,9.953,7916,0
2005-07-12,10.045,10.137,10.045,10.137,14332,0
2005-07-13,10.137,10.137,10.045,10.045,7937,0
2005-07-14,10.137,10.606,10.137,10.506,35398,0
2005-07-15,10.554,10.554,10.269,10.269,4803,0
2005-07-18,10.322,10.361,10.322,10.322,34054,0
2005-07-19,10.204,10.606,10.204,10.454,21226,0
2005-07-20,10.513,10.589,10.422,10.462,38197,0
2005-07-21,10.581,10.606,10.353,10.606,18621,0
2005-07-22,10.513,10.68,10.129,10.269,19551,0
2005-07-25,10.672,10.672,10.361,10.361,2317,0
2005-07-26,10.338,10.471,10.322,10.33,4912,0
2005-07-27,10.287,10.287,10.287,10.287,528,0
2005-07-28,10.245,10.245,10.228,10.228,2069,0
2005-07-29,10.228,10.454,10.228,10.422,5436,0
2005-08-01,10.497,10.949,10.48,10.94,6335,0
2005-08-02,10.839,10.923,10.839,10.873,2243,0
2005-08-03,10.832,10.832,10.529,10.529,1319,0
2005-08-04,10.237,10.731,10.237,10.606,1453,0
2005-08-05,10.672,10.672,10.606,10.606,792,0
2005-08-08,10.606,10.606,10.513,10.513,1995,0
2005-08-09,10.513,10.513,10.513,10.513,2706,0
2005-08-10,10.305,10.422,10.228,10.237,3637,0
2005-08-12,10.422,10.422,10.422,10.422,1585,0
2005-08-15,10.513,10.513,10.489,10.489,3824,0
2005-08-16,10.489,10.489,10.48,10.489,2639,0
2005-08-17,10.471,10.471,10.322,10.422,2035,0
2005-08-19,10.422,10.422,10.322,10.322,4222,0
2005-08-22,10.346,10.606,10.346,10.462,7296,0
2005-08-24,10.462,10.462,10.438,10.446,2381,0
2005-08-29,10.554,10.554,10.521,10.521,1848,0
2005-08-31,10.513,10.513,10.513,10.513,27977,0
2005-09-01,10.706,10.781,10.48,10.554,8937,0
2005-09-02,10.454,10.798,10.454,10.798,1848,0
2005-09-06,10.631,10.723,10.454,10.723,7484,0
2005-09-07,10.489,10.489,10.422,10.422,528,0
2005-09-08,10.438,10.949,10.438,10.765,19431,0
2005-09-09,10.773,10.773,10.554,10.554,1319,0
2005-09-12,10.638,10.932,10.554,10.664,2374,0
2005-09-19,10.68,10.68,10.68,10.68,9266,0
2005-09-20,10.982,10.982,10.974,10.982,1348,0
2005-09-21,10.907,10.907,10.907,10.907,528,0
2005-09-22,10.798,10.798,10.689,10.689,846,0
2005-09-23,10.599,10.599,10.599,10.599,258,0
2005-09-30,10.422,10.606,10.422,10.606,6365,0
2005-10-03,10.839,10.839,10.599,10.599,1377,0
2005-10-05,11.091,11.091,11.091,11.091,528,0
2005-10-07,10.689,11.091,10.689,11.091,1582,0
2005-10-11,10.966,10.966,10.966,10.966,410,0
2005-10-12,10.798,10.798,10.798,10.798,3667,0
2005-10-13,10.614,11.173,10.529,11.173,1848,0
2005-10-17,11.275,11.366,10.991,10.991,1793,0
2005-10-18,11.517,11.694,11.275,11.552,10318,0
2005-10-19,11.401,11.743,11.401,11.477,37716,0
2005-10-20,11.559,11.559,11.559,11.559,2324,0
2005-10-24,12.312,12.312,11.835,11.844,4252,0
2005-10-25,11.743,12.121,11.442,11.726,10559,0
2005-10-26,11.442,12.002,11.401,11.559,15131,0
2005-10-27,11.477,11.971,11.477,11.61,17292,0
2005-10-28,11.659,11.828,11.442,11.45,8918,0
2005-10-31,12.112,12.112,11.435,11.492,16892,0
2005-11-01,11.425,11.425,11.425,11.425,507,0
2005-11-02,11.559,11.794,11.384,11.384,3296,0
2005-11-07,11.594,11.751,11.594,11.743,7525,0
2005-11-08,11.726,11.726,11.594,11.651,6682,0
2005-11-09,11.844,12.027,11.635,11.644,9658,0
2005-11-10,11.644,11.644,11.559,11.559,5440,0
2005-11-11,11.852,11.852,11.852,11.852,528,0
2005-11-14,11.787,11.787,11.787,11.787,1582,0
2005-11-15,11.685,11.961,11.601,11.835,9503,0
2005-11-16,11.685,11.685,11.685,11.685,1582,0
2005-11-17,11.685,11.685,11.685,11.685,1319,0
2005-11-18,11.601,11.601,11.559,11.559,1055,0
2005-11-21,11.559,11.811,11.559,11.719,2461,0
2005-11-23,11.559,11.559,11.559,11.559,342,0
2005-11-28,11.601,11.651,11.559,11.651,9288,0
2005-11-29,11.559,11.651,11.559,11.651,7128,0
2005-11-30,11.559,11.794,11.442,11.794,8037,0
2005-12-01,11.777,11.777,11.777,11.777,258,0
2005-12-02,11.794,11.803,11.601,11.601,4061,0
2005-12-05,11.777,11.777,11.777,11.777,258,0
2005-12-07,11.644,11.644,11.644,11.644,2903,0
2005-12-08,12.103,12.112,12.071,12.112,3530,0
2005-12-09,12.01,12.01,12.01,12.01,528,0
2005-12-12,11.961,12.204,11.961,12.204,8394,0
2005-12-13,12.121,12.121,12.027,12.103,7916,0
2005-12-14,12.103,12.103,12.103,12.103,2863,0
2005-12-15,12.103,12.103,12.103,12.103,413,0
2005-12-16,12.179,12.179,12.037,12.037,2259,0
2005-12-19,12.22,12.38,11.936,12.38,14238,0
2005-12-20,12.281,12.39,12.179,12.39,22529,0
2005-12-21,12.396,12.396,12.22,12.312,3326,0
2005-12-22,12.396,12.396,12.037,12.037,3430,0
2005-12-23,11.945,12.079,11.559,12.01,16516,0
2005-12-27,11.685,11.895,11.685,11.895,1848,0
2005-12-28,11.677,11.677,11.651,11.651,6170,0
2005-12-29,11.635,11.635,11.594,11.594,1319,0
2005-12-30,11.895,12.079,11.559,11.559,10895,0
2006-01-03,11.559,11.743,11.559,11.559,16692,0
2006-01-04,11.852,12.121,11.819,12.121,6363,0
2006-01-05,12.121,12.214,11.936,12.128,13196,0
2006-01-06,12.121,12.145,12.121,12.145,1410,0
2006-01-09,12.145,12.556,12.145,12.556,5094,0
2006-01-10,12.238,12.329,12.238,12.255,3227,0
