Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,18.848,19.495,18.83,19.495,29228,0
2005-02-28,19.544,19.579,19.093,19.348,18798,0
2005-03-01,19.544,19.906,19.281,19.309,37120,0
2005-03-02,19.505,20.139,19.309,20.139,33025,0
2005-03-03,20.139,20.139,18.983,19.673,7847,0
2005-03-04,18.858,19.366,18.858,19.281,26492,0
2005-03-07,19.271,19.271,18.848,18.945,25898,0
2005-03-08,19.271,19.271,18.357,18.503,111200,0
2005-03-09,18.795,18.795,18.422,18.551,12497,0
2005-03-10,18.431,18.626,18.214,18.485,55236,0
2005-03-11,18.626,19.067,18.422,19.067,20435,0
2005-03-14,18.848,19.712,18.422,19.455,121756,0
2005-03-15,19.664,19.664,19.067,19.401,29034,0
2005-03-16,18.848,19.712,18.848,18.992,38135,0
2005-03-17,18.848,18.945,18.813,18.813,41883,0
2005-03-18,18.886,19.196,18.848,19.196,46958,0
2005-03-21,18.858,19.02,18.768,18.974,25075,0
2005-03-22,18.795,19.794,18.795,19.625,40348,0
2005-03-23,19.427,19.712,18.906,19.067,40739,0
2005-03-24,19.465,19.465,18.768,19.067,81911,0
2005-03-28,18.945,19.067,18.768,18.768,121064,0
2005-03-29,18.848,18.925,18.475,18.731,50516,0
2005-03-30,18.465,19.047,18.224,18.448,47945,0
2005-03-31,18.983,19.271,18.084,18.084,378034,0
2005-04-01,18.205,18.242,16.927,17.467,190261,0
2005-04-04,17.311,17.311,16.869,17.132,35222,0
2005-04-05,17.168,17.742,17.132,17.742,39886,0
2005-04-06,17.907,17.999,17.301,17.394,10702,0
2005-04-07,17.486,17.486,16.822,17.14,28223,0
2005-04-08,16.907,16.927,15.955,16.714,55378,0
2005-04-11,16.646,16.646,15.937,15.937,34265,0
2005-04-12,15.853,15.937,15.169,15.814,29996,0
2005-04-13,15.964,16.084,15.722,15.983,28635,0
2005-04-14,16.093,16.093,15.179,15.302,101679,0
2005-04-15,15.395,15.423,14.786,14.983,11111,0
2005-04-18,15.159,15.159,14.358,14.394,19724,0
