Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,12.98,13.01,12.66,12.66,11199,0
2005-02-28,12.59,12.95,12.42,12.79,11199,0
2005-03-01,12.82,13.03,12.8,13.03,12533,0
2005-03-02,13.1,13.1,12.97,13.04,2933,0
2005-03-03,13.1,13.1,12.76,12.79,8399,0
2005-03-04,12.75,13.27,12.75,13.1,7466,0
2005-03-07,13.23,13.29,13.13,13.15,6533,0
2005-03-08,13.15,13.22,13.01,13.01,3999,0
2005-03-09,12.84,12.84,12.31,12.32,11333,0
2005-03-10,12.22,12.74,12.13,12.74,5999,0
2005-03-11,12.75,12.88,12.49,12.49,13466,0
2005-03-14,12.57,13.01,12.56,12.82,3999,0
2005-03-15,12.82,12.82,12.57,12.59,3733,0
2005-03-16,12.59,12.68,12.48,12.48,3599,0
2005-03-17,12.41,12.41,12.17,12.35,14666,0
2005-03-18,12.26,13.24,12.23,12.63,20666,0
2005-03-21,12.48,12.48,11.8,11.87,21733,0
2005-03-22,11.73,11.98,11.26,11.78,49466,0
2005-03-23,11.78,11.8,11.27,11.27,8799,0
2005-03-24,11.38,11.54,11.38,11.47,4533,0
2005-03-28,11.55,11.55,10.48,11.24,26133,0
2005-03-29,11.07,11.2,10.99,11.14,7199,0
2005-03-30,10.96,11.32,10.88,11.29,22133,0
2005-03-31,11.35,11.49,11.34,11.49,10133,0
2005-04-01,11.44,11.59,11.44,11.56,2399,0
2005-04-04,11.58,11.61,11.55,11.61,2266,0
2005-04-05,11.6,11.65,11.59,11.65,9199,0
2005-04-06,11.62,11.62,11.45,11.47,3066,0
2005-04-07,11.45,11.55,11.45,11.47,8266,0
2005-04-08,11.47,11.47,11.39,11.39,2666,0
2005-04-11,11.53,11.53,11.38,11.38,2399,0
2005-04-12,11.38,11.41,11.38,11.41,933,0
2005-04-13,11.41,11.46,11.39,11.46,799,0
2005-04-14,11.4,11.41,11.36,11.4,9733,0
2005-04-15,11.39,11.39,11.21,11.21,8266,0
2005-04-18,11.21,11.21,10.94,11.08,8133,0
2005-04-19,11.07,11.21,11.07,11.09,3333,0
2005-04-20,11.1,11.17,11.05,11.05,2933,0
2005-04-21,11.11,11.16,10.99,10.99,3466,0
