Date,Open,High,Low,Close,Volume,OpenInt
2011-05-18,18.255,18.292,18.224,18.275,751216,0
2011-05-19,18.255,18.313,18.216,18.261,712582,0
2011-05-20,18.248,18.313,18.248,18.292,464948,0
2011-05-23,18.275,18.313,18.241,18.261,286467,0
2011-05-24,18.299,18.313,18.248,18.267,676490,0
2011-05-25,18.275,18.275,18.216,18.261,430232,0
2011-05-26,18.275,18.292,18.255,18.292,190381,0
2011-05-27,18.261,18.307,18.241,18.261,110583,0
2011-05-31,18.275,18.299,18.202,18.292,545633,0
2011-06-01,18.255,18.267,18.202,18.216,203668,0
2011-06-02,18.255,18.275,18.202,18.241,141014,0
2011-06-03,18.255,18.267,18.216,18.255,175743,0
2011-06-06,18.267,18.267,18.233,18.233,182453,0
2011-06-07,18.241,18.267,18.224,18.233,181607,0
2011-06-08,18.275,18.292,18.224,18.292,637969,0
2011-06-09,18.284,18.284,18.233,18.267,164734,0
2011-06-10,18.055,18.19,17.644,18.139,263302,0
2011-06-13,18.158,18.202,18.144,18.144,145591,0
2011-06-14,18.164,18.241,18.151,18.202,190324,0
2011-06-15,18.144,18.224,18.144,18.209,117292,0
2011-06-16,18.202,18.202,18.071,18.158,175327,0
2011-06-17,18.197,18.224,18.139,18.216,155239,0
2011-06-20,18.209,18.255,18.173,18.255,156565,0
2011-06-21,18.267,18.307,18.202,18.275,334460,0
2011-06-22,18.299,18.319,18.255,18.319,253535,0
2011-06-23,18.307,18.313,18.267,18.299,216183,0
2011-06-24,18.307,18.35,18.267,18.343,284488,0
2011-06-27,18.35,18.35,18.284,18.343,139335,0
2011-06-28,18.334,18.35,18.267,18.334,252804,0
2011-06-29,18.334,18.35,18.307,18.334,124787,0
2011-06-30,18.343,18.385,18.313,18.35,208883,0
2011-07-01,18.385,18.393,18.327,18.334,68615,0
2011-07-05,18.334,18.385,18.334,18.35,93520,0
2011-07-06,18.385,18.402,18.35,18.357,109084,0
2011-07-07,18.393,18.474,18.371,18.467,290084,0
2011-07-08,18.459,18.584,18.429,18.562,160777,0
2011-07-11,18.541,18.541,18.393,18.467,266876,0
2011-07-12,18.489,18.51,18.423,18.474,195518,0
2011-07-13,18.497,18.568,18.467,18.541,189768,0
2011-07-14,18.562,18.568,18.474,18.497,191094,0
2011-07-15,18.524,18.709,18.481,18.709,1338924,0
2011-07-18,18.679,18.803,18.607,18.722,430687,0
2011-07-19,18.679,18.753,18.51,18.613,624822,0
2011-07-20,18.635,18.686,18.575,18.626,234459,0
2011-07-21,18.65,18.811,18.619,18.753,346348,0
2011-07-22,18.803,18.817,18.722,18.817,158685,0
2011-07-25,18.817,18.885,18.679,18.847,139570,0
