Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,12.515,12.521,12.488,12.515,9229,0
2005-02-28,12.484,12.511,12.442,12.484,15439,0
2005-03-01,12.449,12.488,12.449,12.463,7936,0
2005-03-02,12.398,12.503,12.398,12.463,25106,0
2005-03-03,12.484,12.484,12.427,12.456,20195,0
2005-03-04,12.42,12.484,12.42,12.47,20487,0
2005-03-07,12.433,12.47,12.427,12.47,10676,0
2005-03-08,12.484,12.484,12.442,12.477,11249,0
2005-03-09,12.477,12.477,12.371,12.383,29870,0
2005-03-10,12.371,12.412,12.358,12.377,30737,0
2005-03-11,12.272,12.303,12.183,12.19,13130,0
2005-03-14,12.205,12.246,12.183,12.19,19620,0
2005-03-15,12.101,12.205,12.067,12.205,32757,0
2005-03-16,12.135,12.135,12.004,12.011,21641,0
2005-03-17,12.037,12.037,11.934,11.947,12694,0
2005-03-18,12.045,12.045,11.852,11.928,32028,0
2005-03-21,11.934,11.934,11.724,11.804,24967,0
2005-03-22,11.804,11.81,11.547,11.623,42851,0
2005-03-23,11.423,11.463,11.367,11.415,49490,0
2005-03-24,11.484,11.577,11.444,11.518,48631,0
2005-03-28,11.49,11.531,11.484,11.496,11401,0
2005-03-29,11.49,11.518,11.469,11.518,17028,0
2005-03-30,11.69,11.69,11.589,11.685,20059,0
2005-03-31,11.69,11.775,11.69,11.775,15587,0
2005-04-01,11.831,11.961,11.797,11.86,25687,0
2005-04-04,11.852,11.928,11.81,11.831,8228,0
2005-04-05,11.797,11.895,11.797,11.81,10962,0
2005-04-06,11.738,11.831,11.685,11.724,12265,0
2005-04-07,11.846,12.067,11.846,11.928,40546,0
2005-04-08,11.934,11.952,11.696,11.782,34490,0
2005-04-11,11.782,11.908,11.782,11.817,12265,0
2005-04-12,11.797,11.831,11.724,11.831,12411,0
2005-04-13,11.724,11.852,11.724,11.831,31164,0
2005-04-14,11.76,11.817,11.69,11.724,48341,0
2005-04-15,11.797,11.831,11.679,11.724,8080,0
2005-04-18,11.659,11.797,11.659,11.797,14861,0
2005-04-19,11.797,11.921,11.76,11.86,18328,0
2005-04-20,11.86,11.86,11.789,11.81,13420,0
2005-04-21,11.895,11.913,11.797,11.825,7791,0
2005-04-22,11.895,11.928,11.789,11.831,15877,0
2005-04-25,11.872,11.88,11.804,11.88,13275,0
2005-04-26,11.895,12.101,11.852,11.895,18328,0
2005-04-27,11.961,12.045,11.864,11.928,44004,0
2005-04-28,11.908,12.06,11.902,11.902,18613,0
2005-04-29,11.895,12.011,11.895,12.004,17460,0
2005-05-02,12.075,12.101,11.902,12.03,11830,0
2005-05-03,12.101,12.183,11.996,12.067,10101,0
2005-05-04,12.135,12.156,12.037,12.135,9960,0
2005-05-05,12.095,12.142,12.037,12.037,9808,0
2005-05-06,12.045,12.045,11.902,11.928,9380,0
2005-05-09,11.961,12.163,11.651,11.846,37372,0
2005-05-10,11.895,12.101,11.754,11.928,26551,0
2005-05-11,11.902,12.308,11.902,12.03,21064,0
2005-05-12,12.067,12.095,11.996,12.03,10962,0
2005-05-13,11.975,12.129,11.947,12.067,11401,0
2005-05-16,11.996,12.114,11.928,12.03,12411,0
2005-05-17,11.961,12.129,11.934,12.067,17028,0
2005-05-18,11.996,12.101,11.952,12.03,15007,0
2005-05-19,12.03,12.163,12.03,12.108,15587,0
2005-05-20,12.108,12.163,11.996,12.067,16597,0
2005-05-23,11.961,12.163,11.961,12.156,7214,0
2005-05-24,12.088,12.212,12.011,12.101,18759,0
2005-05-25,12.067,12.228,12.067,12.082,12979,0
2005-05-26,12.082,12.235,12.045,12.108,19620,0
2005-05-27,12.156,12.246,12.045,12.045,13275,0
2005-05-31,12.037,12.24,12.037,12.235,32028,0
2005-06-01,12.205,12.286,12.17,12.22,30737,0
2005-06-02,12.286,12.371,12.19,12.303,10388,0
2005-06-03,12.205,12.371,12.205,12.345,19767,0
2005-06-06,12.412,12.412,12.19,12.316,10388,0
2005-06-07,12.377,12.377,12.142,12.316,13275,0
2005-06-08,12.286,12.365,12.24,12.365,12121,0
2005-06-09,12.329,12.377,12.212,12.337,12694,0
2005-06-10,12.377,12.377,12.228,12.235,11690,0
2005-06-13,12.198,12.22,12.163,12.163,12694,0
2005-06-14,12.163,12.19,12.122,12.135,9808,0
2005-06-15,12.19,12.19,11.996,12.101,17460,0
2005-06-16,12.067,12.101,11.934,11.941,13420,0
2005-06-17,11.913,12.004,11.902,11.952,17604,0
2005-06-20,11.895,11.991,11.895,11.934,10962,0
2005-06-21,11.934,12.135,11.934,12.022,20487,0
2005-06-22,11.991,12.088,11.991,12.017,8654,0
2005-06-23,11.941,12.022,11.941,11.996,9669,0
2005-06-24,11.967,12.149,11.967,12.142,15298,0
2005-06-27,12.176,12.22,12.088,12.088,10676,0
2005-06-28,11.996,12.205,11.996,12.088,8228,0
2005-06-29,12.272,12.286,12.101,12.101,24675,0
2005-06-30,12.067,12.235,12.053,12.235,21501,0
2005-07-01,12.264,12.405,12.19,12.272,20059,0
2005-07-05,12.235,12.329,12.205,12.228,7505,0
2005-07-06,12.19,12.279,12.135,12.252,7066,0
2005-07-07,12.24,12.329,12.129,12.286,8804,0
2005-07-08,12.22,12.316,12.108,12.108,17460,0
2005-07-11,12.067,12.24,12.037,12.067,7066,0
2005-07-12,12.129,12.129,12.037,12.067,8804,0
2005-07-13,12.045,12.17,12.017,12.135,8080,0
2005-07-14,12.135,12.24,12.03,12.17,12841,0
2005-07-15,12.101,12.22,12.067,12.082,6784,0
2005-07-18,12.03,12.108,12.022,12.095,7505,0
2005-07-19,12.101,12.163,12.004,12.004,8368,0
2005-07-20,12.06,12.129,12.053,12.067,12841,0
2005-07-21,12.004,12.067,11.983,11.983,19905,0
2005-07-22,12.011,12.17,11.996,12.17,17891,0
2005-07-25,12.17,12.183,12.108,12.183,18328,0
2005-07-26,12.101,12.17,12.067,12.163,14571,0
2005-07-27,12.082,12.135,12.053,12.075,18043,0
2005-07-28,12.156,12.163,12.067,12.149,9960,0
2005-07-29,12.067,12.129,12.053,12.101,11249,0
2005-08-01,12.067,12.101,12.011,12.037,11974,0
2005-08-02,12.075,12.122,12.011,12.122,11830,0
2005-08-03,12.122,12.122,11.996,12.037,15728,0
2005-08-04,12.011,12.101,11.975,12.037,17318,0
2005-08-05,12.037,12.088,12.037,12.037,26112,0
2005-08-08,12.037,12.037,11.967,11.975,18176,0
2005-08-09,11.961,12.053,11.961,11.967,7356,0
2005-08-10,11.996,12.129,11.961,11.983,17604,0
2005-08-11,11.961,12.03,11.961,11.961,9518,0
