Date,Open,High,Low,Close,Volume,OpenInt
2010-01-27,23.85,24,22.8,23.25,31664,0
2010-01-28,23.1,24.95,20.9,24.75,181440,0
2010-01-29,24.75,24.75,22.98,23.5,42633,0
2010-02-01,22.75,24.6,21.95,23.99,96349,0
2010-02-02,24.25,24.25,23.25,24.15,44858,0
2010-02-03,24.15,24.85,24.1,24.85,140214,0
2010-02-04,24.85,25.5,24,25.4,115213,0
2010-02-05,25.5,25.5,24.5,25.4,19712,0
2010-02-08,25.4,26.5,25,26.05,55879,0
2010-02-09,26.08,26.7,25.5,26.4,43151,0
2010-02-10,26.65,26.65,25.55,26,7058,0
2010-02-11,25.55,26,25,25.65,16922,0
2010-02-12,25.05,25.4,23.77,24.25,70621,0
2010-02-16,24.24,24.25,22.5,23.2,97449,0
2010-02-17,23.1,25.35,23.1,25.04,102517,0
2010-02-18,25.8,27,25.3,26.85,153961,0
2010-02-19,26.9,27.65,26.49,27,87219,0
2010-02-22,26.55,28,26.55,28,39451,0
2010-02-23,27.97,28.75,27.5,28.65,72049,0
2010-02-24,28.7,30.25,28.6,30,193937,0
2010-02-25,30.2,31.25,29.05,31,124230,0
2010-02-26,31,32.24,31,32.03,133843,0
2010-03-01,32,32.7,30.55,31.43,157663,0
2010-03-02,31.25,31.43,29.5,30.2,112961,0
2010-03-03,30,31.56,29.05,31.5,141538,0
2010-03-04,31,33.15,31,32.81,91341,0
2010-03-05,33.15,34,32.7,33.81,216279,0
2010-03-08,33.18,34,31.25,33.11,85362,0
2010-03-09,33.5,34,31.75,32,84519,0
2010-03-10,32,32,30.85,31,79010,0
2010-03-11,30.85,31.7,28.5,31.7,242727,0
2010-03-12,33.9,34,32,33,202199,0
2010-03-15,33,33.25,31.05,32.3,75154,0
2010-03-16,32.35,32.5,29.06,29.85,104155,0
2010-03-17,29.8,31,28.1,28.95,144802,0
2010-03-18,29.99,29.99,27.6,28.9,74090,0
2010-03-19,29.75,30.4,28.6,28.65,54656,0
2010-03-22,29.1,29.5,28.5,29.05,23408,0
2010-03-23,29.8,29.8,26.81,29.25,135814,0
2010-03-24,28.75,29.5,28,29.2,30564,0
2010-03-25,28.6,29.49,28.5,29.49,41150,0
2010-03-26,29,29.5,28.9,29.25,135695,0
2010-03-29,29.1,29.6,28.6,29.25,115873,0
2010-03-30,29,29.5,28.8,29.25,103973,0
2010-03-31,29.25,29.5,28.3,28.75,132130,0
2010-04-01,28.65,29,28.05,28.4,30972,0
2010-04-05,28.3,28.4,25.56,26,123192,0
2010-04-06,26.9,26.9,23.27,24,183194,0
2010-04-07,22.25,26,22.25,26,167820,0
2010-04-08,25.8,26.85,25,25.7,56163,0
2010-04-09,25.65,25.85,24,24.75,39607,0
2010-04-12,24.3,24.9,24,24.3,25140,0
2010-04-13,24.25,24.3,22.54,23,132305,0
2010-04-14,23.1,23.1,20.5,21.9,274158,0
2010-04-15,21.8,21.8,19.6,20.15,192174,0
2010-04-16,20,20.1,18.6,18.75,275448,0
2010-04-19,19,21,18.65,19.85,137532,0
2010-04-20,20,22.05,20,21.85,199215,0
2010-04-21,21.9,24.5,21.9,23,339293,0
