Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,20.104,20.45,20.051,20.441,153017,0
2005-02-28,20.268,20.687,19.998,20.669,250285,0
2005-03-01,20.747,20.79,20.494,20.79,190522,0
2005-03-02,20.607,20.825,20.504,20.669,179397,0
2005-03-03,20.607,20.713,20.408,20.624,193413,0
2005-03-04,20.747,20.765,20.513,20.713,292775,0
2005-03-07,20.774,20.782,20.59,20.765,194522,0
2005-03-08,20.79,20.816,20.599,20.8,164640,0
2005-03-09,20.713,20.72,20.276,20.321,182059,0
2005-03-10,20.321,20.485,20.293,20.485,176735,0
2005-03-11,20.468,20.548,20.233,20.259,128597,0
2005-03-14,20.121,20.607,20.016,20.599,293792,0
2005-03-15,20.599,20.713,20.365,20.365,130956,0
2005-03-16,20.268,20.476,20.2,20.251,164557,0
2005-03-17,20.208,20.45,20.096,20.356,184543,0
2005-03-18,20.523,20.523,20.191,20.259,436432,0
2005-03-21,20.191,20.384,20.026,20.251,185962,0
2005-03-22,20.172,20.523,20.069,20.191,172634,0
2005-03-23,20.113,20.182,19.963,20.059,137997,0
2005-03-24,20.223,20.223,19.931,19.989,148318,0
2005-03-28,19.922,20.121,19.922,19.989,164988,0
2005-03-29,19.931,20.096,19.931,19.98,439845,0
2005-03-30,19.94,20.321,19.931,20.312,403404,0
2005-03-31,20.312,20.391,20.136,20.33,561420,0
2005-04-01,20.33,20.494,20.172,20.293,368787,0
2005-04-04,20.155,20.233,19.947,20.233,289289,0
2005-04-05,20.128,20.365,20.128,20.251,296639,0
2005-04-06,20.155,20.433,20.155,20.284,208174,0
2005-04-07,20.365,20.416,20.182,20.356,117670,0
2005-04-08,20.241,20.391,20.128,20.172,107035,0
2005-04-11,20.113,20.208,20.034,20.077,101164,0
2005-04-12,20.146,20.416,20.007,20.348,190985,0
2005-04-13,20.348,20.476,20.069,20.077,149674,0
2005-04-14,19.912,20.217,19.711,19.737,141889,0
2005-04-15,19.876,19.903,19.366,19.441,239097,0
2005-04-18,19.625,19.676,19.19,19.633,286569,0
2005-04-19,19.493,19.798,19.484,19.798,258671,0
2005-04-20,19.633,19.823,19.356,19.399,165462,0
2005-04-21,19.607,19.791,19.172,19.52,296042,0
2005-04-22,19.346,19.555,18.997,19.172,302118,0
2005-04-25,19.269,19.372,19.049,19.372,188905,0
2005-04-26,19.389,19.529,19.199,19.337,188430,0
2005-04-27,19.408,19.694,19.232,19.573,264278,0
2005-04-28,19.26,19.459,19.137,19.319,187104,0
