Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,8.9462,8.997,8.9237,8.9707,32266,0
2005-02-28,8.9658,9.035,8.907,8.9237,46983,0
2005-03-01,8.9013,9.0276,8.9013,9.0095,30594,0
2005-03-02,8.9772,9.0095,8.8471,8.936,40458,0
2005-03-03,8.8526,8.9192,8.8147,8.8585,101819,0
2005-03-04,8.8646,8.9915,8.8147,8.8909,95799,0
2005-03-07,8.936,8.9915,8.8111,8.8332,48985,0
2005-03-08,8.8646,8.8646,8.7762,8.8278,71725,0
2005-03-09,8.8278,8.8646,8.7632,8.8111,45646,0
2005-03-10,8.7513,8.8111,8.6842,8.7079,29259,0
2005-03-11,8.6385,8.6788,8.5361,8.5812,40961,0
2005-03-14,8.5172,8.6077,8.5116,8.543,47981,0
2005-03-15,8.543,8.5547,8.3191,8.3252,74406,0
2005-03-16,8.3146,8.3576,8.04,8.1347,99640,0
2005-03-17,8.2116,8.2445,8.122,8.2308,48818,0
2005-03-18,8.2308,8.2591,8.1534,8.2445,33101,0
2005-03-21,8.2244,8.2308,8.0152,8.1347,46983,0
2005-03-22,8.08,8.1112,7.8828,7.9486,76072,0
2005-03-23,7.8115,7.9096,7.7392,7.9023,133078,0
2005-03-24,7.8459,7.9783,7.8411,7.9675,73398,0
2005-03-28,7.9203,7.961,7.789,7.794,67039,0
2005-03-29,7.789,7.8286,7.7273,7.8286,30761,0
2005-03-30,7.8004,7.9313,7.8004,7.9313,35947,0
2005-03-31,7.9023,8.1465,7.9023,8.1347,41961,0
2005-04-01,8.1347,8.2842,8.08,8.0864,33778,0
2005-04-04,8.1274,8.2186,8.0216,8.0216,27918,0
2005-04-05,8.04,8.2116,8.0017,8.1705,63371,0
2005-04-06,8.1705,8.2116,8.0744,8.1534,44140,0
2005-04-07,8.1274,8.1826,8.0289,8.0681,30094,0
2005-04-08,8.1274,8.1534,8.0152,8.0152,19061,0
2005-04-11,8.0152,8.1465,7.9908,8.0985,29590,0
2005-04-12,8.04,8.1996,7.995,8.1882,30931,0
2005-04-13,8.1534,8.1826,8.0744,8.0744,34774,0
2005-04-14,8.0985,8.0985,7.961,8.04,49320,0
2005-04-15,8.1274,8.1347,8.0152,8.0519,30594,0
2005-04-18,8.0216,8.0985,7.985,8.0744,36443,0
2005-04-19,8.0152,8.2445,7.9783,8.16,31432,0
2005-04-20,8.1654,8.2486,8.0681,8.1347,48985,0
2005-04-21,8.1347,8.2842,8.04,8.0681,24578,0
2005-04-22,8.0681,8.0681,8.0152,8.0681,14551,0
2005-04-25,8.04,8.122,8.0152,8.1042,34774,0
2005-04-26,8.1772,8.1996,8.0985,8.1042,62530,0
2005-04-27,8.1826,8.2308,8.0627,8.1534,41126,0
2005-04-28,8.1826,8.3794,8.1274,8.1534,53166,0
2005-04-29,8.1274,8.272,8.0985,8.0985,38954,0
2005-05-02,8.1826,8.3025,8.1274,8.2486,38785,0
2005-05-03,8.2445,8.2964,8.0985,8.1945,39125,0
2005-05-04,8.1654,8.309,8.1654,8.309,23733,0
2005-05-05,8.3447,8.4405,8.2445,8.3306,43968,0
2005-05-06,8.3576,8.3847,8.2964,8.3025,15718,0
2005-05-09,8.2964,8.3576,8.2964,8.3576,29090,0
2005-05-10,8.3025,8.4287,8.1534,8.3906,22070,0
2005-05-11,8.2792,8.2792,8.1882,8.2186,21569,0
2005-05-12,8.1826,8.1996,8.1534,8.1882,34607,0
2005-05-13,8.1534,8.16,8.0933,8.0985,14042,0
2005-05-16,8.0681,8.1534,8.0627,8.0744,26419,0
2005-05-17,8.16,8.16,7.9675,8.0017,45646,0
2005-05-18,8.0216,8.08,8.0017,8.08,34275,0
2005-05-19,8.1112,8.1347,8.04,8.1274,44975,0
2005-05-20,8.1534,8.1772,8.04,8.1534,35111,0
2005-05-23,8.0985,8.1882,8.04,8.0985,47648,0
2005-05-24,8.1112,8.309,8.0933,8.309,54837,0
2005-05-25,8.2651,8.4405,8.2486,8.4166,39622,0
2005-05-26,8.4405,8.463,8.2651,8.2964,47149,0
2005-05-27,8.3252,8.4041,8.2964,8.3794,22070,0
2005-05-31,8.4093,8.4557,8.3576,8.4405,24404,0
2005-06-01,8.4405,8.4405,8.2486,8.2538,38114,0
2005-06-02,8.3025,8.4041,8.2445,8.4041,33101,0
2005-06-03,8.3576,8.5812,8.3576,8.4928,35770,0
2005-06-06,8.4928,8.5495,8.3794,8.4928,31432,0
2005-06-07,8.4557,8.5707,8.4557,8.5644,19893,0
2005-06-08,8.5059,8.5361,8.4093,8.4405,33940,0
2005-06-09,8.4405,8.5547,8.4405,8.5236,33778,0
2005-06-10,8.4691,8.5707,8.4405,8.5707,20899,0
2005-06-13,8.4691,8.5812,8.4557,8.4814,34439,0
2005-06-14,8.5547,8.5879,8.4093,8.4691,42137,0
2005-06-15,8.4093,8.4093,8.309,8.3576,42801,0
2005-06-16,8.4093,8.4879,8.2964,8.3576,32094,0
2005-06-17,8.3794,8.4814,8.3025,8.3794,16218,0
2005-06-20,8.3576,8.4814,8.3025,8.4691,31936,0
2005-06-21,8.4405,8.5116,8.2964,8.3252,40626,0
2005-06-22,8.2651,8.463,8.2374,8.3794,38287,0
2005-06-23,8.3375,8.4225,8.3306,8.3794,21062,0
2005-06-24,8.3576,8.4405,8.3576,8.4405,19231,0
2005-06-27,8.4093,8.6311,8.3306,8.6311,43641,0
2005-06-28,8.6311,8.8111,8.5879,8.8111,32094,0
2005-06-29,8.8111,8.8111,8.6739,8.7513,29759,0
2005-06-30,8.7762,8.7808,8.6675,8.733,19231,0
2005-07-01,8.7383,8.8332,8.6961,8.7808,49154,0
2005-07-05,8.7383,8.8037,8.6385,8.7198,31432,0
2005-07-06,8.6961,8.7808,8.6675,8.6961,32431,0
2005-07-07,8.7198,8.798,8.6788,8.6961,29431,0
2005-07-08,8.6739,8.8332,8.6739,8.7513,30594,0
2005-07-11,8.7808,8.7808,8.6961,8.7706,28255,0
2005-07-12,8.8111,8.8111,8.7513,8.7808,18385,0
2005-07-13,8.6675,8.8332,8.6004,8.7198,35947,0
2005-07-14,8.6961,8.7513,8.6557,8.6739,19724,0
2005-07-15,8.7383,8.7383,8.4691,8.6385,33434,0
2005-07-18,8.6961,8.6961,8.6119,8.6623,12037,0
2005-07-19,8.6004,8.6961,8.5761,8.6961,30931,0
2005-07-20,8.6193,8.6675,8.5592,8.5812,29590,0
2005-07-21,8.5547,8.5592,8.3847,8.4691,83933,0
2005-07-22,8.4405,8.5172,8.3906,8.4405,22904,0
2005-07-25,8.4928,8.6385,8.4452,8.5236,53166,0
2005-07-26,8.5707,8.5761,8.4691,8.5761,37448,0
2005-07-27,8.5236,8.5812,8.4691,8.5547,38785,0
2005-07-28,8.5592,8.6385,8.5547,8.6385,27756,0
2005-07-29,8.6675,8.6961,8.5644,8.6385,32266,0
2005-08-01,8.6268,8.6961,8.6268,8.6675,37788,0
2005-08-02,8.6077,8.7198,8.6077,8.6961,35446,0
2005-08-03,8.6385,8.8646,8.6193,8.8526,26585,0
2005-08-04,8.8111,8.8646,8.6961,8.7513,28757,0
2005-08-05,8.6961,8.7383,8.4814,8.4879,32094,0
2005-08-08,8.4879,8.5547,8.4691,8.5236,27414,0
2005-08-09,8.5812,8.5812,8.4093,8.5172,20734,0
2005-08-10,8.5236,8.6077,8.4691,8.5,29590,0
2005-08-11,8.5,8.5236,8.3794,8.5236,21062,0
2005-08-12,8.4928,8.4928,8.4093,8.4557,29759,0
2005-08-15,8.4557,8.5172,8.4405,8.4928,35770,0
2005-08-16,8.5172,8.5172,8.4093,8.4814,17553,0
2005-08-17,8.5236,8.5644,8.4814,8.4879,25414,0
2005-08-18,8.5236,8.5547,8.3794,8.5547,40301,0
2005-08-19,8.5236,8.6385,8.5236,8.6385,37448,0
2005-08-22,8.6675,8.6675,8.5297,8.5547,21901,0
2005-08-23,8.5812,8.6119,8.5236,8.5495,43297,0
2005-08-24,8.543,8.5592,8.4691,8.5361,36282,0
2005-08-25,8.5495,8.5812,8.4691,8.4928,27918,0
2005-08-26,8.5,8.5495,8.4691,8.5,13378,0
2005-08-29,8.4691,8.7762,8.4691,8.6961,33940,0
2005-08-30,8.6385,8.6905,8.5879,8.6788,16218,0
2005-08-31,8.6842,8.6842,8.6077,8.6842,20734,0
2005-09-01,8.6842,8.6842,8.5297,8.6675,22741,0
2005-09-02,8.6842,8.7134,8.6311,8.6961,27086,0
2005-09-06,8.6385,9.0398,8.6268,8.9237,25242,0
2005-09-07,8.8909,8.9013,8.7762,8.8332,29925,0
2005-09-08,8.8111,8.8111,8.6385,8.6675,37448,0
2005-09-09,8.645,8.7134,8.6311,8.7025,17056,0
2005-09-12,8.7025,8.7808,8.6119,8.7808,28255,0
2005-09-13,8.7079,8.733,8.6675,8.6788,28255,0
2005-09-14,8.6675,8.7448,8.6675,8.6739,18225,0
2005-09-15,8.6675,8.8223,8.6675,8.8147,30425,0
2005-09-16,8.7706,8.7706,8.6077,8.6675,60518,0
2005-09-19,8.6268,8.6557,8.5236,8.5236,18053,0
2005-09-20,8.4814,8.5361,8.3619,8.374,57340,0
2005-09-21,8.4166,8.4495,8.3906,8.4405,24404,0
2005-09-22,8.4452,8.4814,8.4166,8.4166,36948,0
2005-09-23,8.4341,8.5495,8.4341,8.5172,31255,0
2005-09-26,8.4691,8.5707,8.4452,8.5236,16887,0
2005-09-27,8.5547,8.5547,8.4452,8.4452,22904,0
2005-09-28,8.4405,8.5707,8.4405,8.5172,32094,0
2005-09-29,8.463,8.5116,8.4341,8.4928,31432,0
2005-09-30,8.4691,8.5172,8.4166,8.4452,16547,0
2005-10-03,8.4341,8.5172,8.3576,8.4691,26245,0
2005-10-04,8.4879,8.5707,8.4691,8.5,14878,0
2005-10-05,8.5,8.5761,8.4405,8.4405,33270,0
2005-10-06,8.4452,8.4928,8.3576,8.4495,27918,0
