Date,Open,High,Low,Close,Volume,OpenInt
1983-04-06,0.5702,0.5787,0.5616,0.5616,1464640,0
1983-04-07,0.5702,0.5702,0.5616,0.5702,1369859,0
1983-04-08,0.5875,0.5875,0.5787,0.5875,1605919,0
1983-04-11,0.5875,0.6219,0.5875,0.6219,7688010,0
1983-04-12,0.6219,0.6219,0.6133,0.6219,4760523,0
1983-04-13,0.6219,0.6392,0.6219,0.6305,3576654,0
1983-04-14,0.6305,0.6392,0.6219,0.6219,6591771,0
1983-04-15,0.6305,0.6305,0.6219,0.6219,2285480,0
1983-04-18,0.6219,0.6219,0.6049,0.6219,2855955,0
1983-04-19,0.6133,0.6219,0.6049,0.6049,1677447,0
1983-04-20,0.6049,0.6133,0.6049,0.6049,1230366,0
1983-04-21,0.6133,0.6133,0.5875,0.5959,2433914,0
1983-04-22,0.6049,0.6049,0.5875,0.5959,1536171,0
1983-04-25,0.5787,0.5875,0.5702,0.5787,2698583,0
1983-04-26,0.5787,0.5959,0.5702,0.5875,2487560,0
1983-04-27,0.6049,0.6049,0.5959,0.5959,3803769,0
1983-04-28,0.6133,0.6219,0.6049,0.6133,1974307,0
1983-04-29,0.6219,0.6219,0.6133,0.6133,2913185,0
1983-05-02,0.6049,0.6133,0.5959,0.6049,2194275,0
1983-05-03,0.6049,0.6133,0.5959,0.6133,2752235,0
1983-05-04,0.6219,0.6219,0.6133,0.6133,2099495,0
1983-05-05,0.6219,0.6219,0.6133,0.6133,2936432,0
1983-05-06,0.6219,0.648,0.6219,0.6392,3903917,0
1983-05-09,0.6392,0.6392,0.6305,0.6392,3227929,0
1983-05-10,0.6305,0.6392,0.6305,0.6392,4234758,0
1983-05-11,0.648,0.648,0.6305,0.6392,2530480,0
1983-05-12,0.6392,0.6392,0.6133,0.6219,2712892,0
1983-05-13,0.6219,0.6219,0.6049,0.6133,2044057,0
1983-05-16,0.6049,0.6049,0.5959,0.6049,1881319,0
1983-05-17,0.6049,0.6133,0.5959,0.5959,2085190,0
1983-05-18,0.6049,0.6133,0.5959,0.5959,3179645,0
1983-05-19,0.5959,0.5959,0.5702,0.5787,3279790,0
1983-05-20,0.5702,0.5959,0.5616,0.5875,2609165,0
1983-05-23,0.5787,0.6049,0.5787,0.6049,2340920,0
1983-05-24,0.6049,0.6049,0.5959,0.6049,2049420,0
1983-05-25,0.6049,0.6049,0.5875,0.5959,1593399,0
1983-05-26,0.5959,0.5959,0.5875,0.5875,1620221,0
1983-05-27,0.5959,0.6305,0.5959,0.6305,5390013,0
1983-05-31,0.6219,0.6305,0.6049,0.6133,2178179,0
1983-06-01,0.6133,0.6219,0.6049,0.6133,2625260,0
1983-06-02,0.6219,0.6219,0.6049,0.6133,1673873,0
1983-06-03,0.6133,0.6219,0.6133,0.6219,1629164,0
1983-06-06,0.6219,0.6392,0.6219,0.6305,2328400,0
1983-06-07,0.6219,0.6305,0.6133,0.6133,1586241,0
1983-06-08,0.6049,0.6133,0.6049,0.6133,1149895,0
1983-06-09,0.6133,0.6133,0.5959,0.6049,1614854,0
1983-06-10,0.6049,0.6133,0.5959,0.5959,1453907,0
1983-06-13,0.6049,0.6133,0.6049,0.6133,1643469,0
1983-06-14,0.6133,0.6133,0.6049,0.6133,2020809,0
1983-06-15,0.6049,0.6133,0.6049,0.6133,1428872,0
1983-06-16,0.6133,0.6133,0.5959,0.5959,1940333,0
1983-06-17,0.5959,0.5959,0.5787,0.5787,3692892,0
1983-06-20,0.5787,0.5787,0.5702,0.5787,3040157,0
1983-06-21,0.5875,0.6049,0.5702,0.5959,4143551,0
1983-06-22,0.6049,0.6133,0.5959,0.6133,2154935,0
1983-06-23,0.6133,0.6219,0.6133,0.6219,1943911,0
1983-06-24,0.6219,0.6219,0.6133,0.6133,1108761,0
1983-06-27,0.6133,0.6133,0.5875,0.5959,1310841,0
1983-06-28,0.5875,0.6219,0.5787,0.5787,1003249,0
1983-06-29,0.5527,0.5616,0.5441,0.5616,7609327,0
1983-06-30,0.5616,0.5787,0.5616,0.5702,3335226,0
1983-07-01,0.5787,0.5875,0.5702,0.5787,1421719,0
1983-07-05,0.5616,0.5702,0.5527,0.5616,2312308,0
1983-07-06,0.5616,0.5616,0.5527,0.5527,2374897,0
1983-07-07,0.5527,0.5702,0.5441,0.5616,3290519,0
1983-07-08,0.5616,0.5702,0.5527,0.5616,1357341,0
1983-07-11,0.5616,0.5702,0.5616,0.5616,1317995,0
1983-07-12,0.5616,0.5702,0.5527,0.5527,1457484,0
1983-07-13,0.5441,0.5527,0.5441,0.5527,1248252,0
1983-07-14,0.5527,0.5616,0.5527,0.5616,699236,0
1983-07-15,0.5616,0.5616,0.5358,0.5441,2319461,0
1983-07-18,0.5358,0.5441,0.5358,0.5441,1471792,0
1983-07-19,0.5441,0.5527,0.5358,0.5527,3390664,0
1983-07-20,0.5616,0.5702,0.5616,0.5702,2262233,0
1983-07-21,0.5702,0.5702,0.5527,0.5616,2403509,0
1983-07-22,0.5527,0.5616,0.5441,0.5527,1067630,0
1983-07-25,0.5527,0.5616,0.5441,0.5527,1012194,0
1983-07-26,0.5616,0.5616,0.5527,0.5616,2074458,0
1983-07-27,0.5527,0.5616,0.5358,0.5441,4170377,0
1983-07-28,0.5358,0.5527,0.5358,0.5441,3662492,0
1983-07-29,0.5441,0.5441,0.5358,0.5441,829783,0
1983-08-01,0.5441,0.5441,0.5358,0.5358,1235730,0
1983-08-02,0.5358,0.5358,0.5358,0.5358,1478943,0
1983-08-03,0.5358,0.5358,0.5182,0.5358,4200776,0
1983-08-04,0.5358,0.5358,0.5182,0.527,1677447,0
1983-08-05,0.527,0.527,0.5099,0.5182,2297996,0
1983-08-08,0.5182,0.5182,0.48372,0.49243,2512598,0
1983-08-09,0.48372,0.5099,0.48372,0.5099,1548690,0
