Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,22.679,23.071,22.61,22.78,39299,0
2005-02-28,22.944,22.944,22.555,22.555,67711,0
2005-03-01,22.508,22.78,22.174,22.243,65652,0
2005-03-02,22.277,22.843,22.026,22.475,57112,0
2005-03-03,22.378,22.751,22.378,22.516,47542,0
2005-03-04,22.44,22.698,22.44,22.595,51959,0
2005-03-07,22.712,23.444,22.712,23.278,78158,0
2005-03-08,23.278,23.377,22.712,22.78,45334,0
2005-03-09,22.786,22.819,22.106,22.156,81692,0
2005-03-10,22.047,22.679,22.004,22.106,68297,0
2005-03-11,22.011,22.277,21.739,22.174,73006,0
2005-03-14,22.106,22.759,22.052,22.338,36651,0
2005-03-15,22.243,22.475,22.074,22.074,24287,0
2005-03-16,22.143,22.174,21.278,21.359,92145,0
2005-03-17,21.341,21.341,20.933,21.177,55783,0
2005-03-18,21.177,21.278,21.039,21.087,35177,0
2005-03-21,21.148,21.244,20.145,20.642,128206,0
2005-03-22,20.544,20.708,19.537,19.537,75804,0
2005-03-23,19.675,20.827,19.537,20.544,108778,0
2005-03-24,20.603,20.774,20.007,20.206,51809,0
2005-03-28,20.09,20.253,19.872,19.872,58143,0
2005-03-29,19.682,20.11,19.411,19.621,54753,0
2005-03-30,19.722,19.987,19.375,19.49,53432,0
2005-03-31,19.744,20.261,19.675,20.253,72276,0
2005-04-01,20.274,20.511,19.514,19.939,55493,0
2005-04-04,20.211,20.211,19.722,19.775,83311,0
2005-04-05,19.722,19.811,19.272,19.39,59612,0
2005-04-06,19.375,19.506,19.205,19.309,34589,0
2005-04-07,19.272,19.893,19.272,19.775,38713,0
2005-04-08,19.736,19.939,19.577,19.577,23994,0
2005-04-11,19.52,19.52,19.219,19.342,30619,0
2005-04-12,19.476,19.926,19.242,19.913,52253,0
2005-04-13,19.775,19.872,19.675,19.757,31058,0
2005-04-14,19.858,19.872,19.078,19.144,49750,0
2005-04-15,19.205,19.242,18.343,18.677,70360,0
2005-04-18,18.839,19.643,18.839,19.411,77132,0
2005-04-19,19.375,19.643,19.349,19.452,35472,0
